year, GFDL-ESM4, INM-CM4-8, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-MM, NorESM2-LM, CESM2-WACCM, EC-Earth3-Veg, CanESM5, INM-CM5-0, MIROC-ES2L, IPSL-CM6A-LR, CNRM-ESM2-1, MPI-ESM1-2-LR, UKESM1-0-LL, TaiESM1
2.025000000000000000e+03, 1.507268375572761387e+00, 5.771305919198693068e+00, 3.062656117691380242e+00, 2.072742940745620377e+00, 2.872870054068219936e+00, 2.854155423308214701e+00, 3.134208613051807646e+00, 4.303908744062735714e+00, 7.137851737024321963e+00, 4.832588973605640881e+00, 3.016603034013325857e+00, 2.978134231916296670e+00, 3.958550364864133364e+00, 5.567300172985742535e+00, 3.270152470135348377e+00, 3.728475632135720197e+00
2.026000000000000000e+03, 1.664750158895243581e+00, 6.169194360177062464e+00, 3.337648170364332589e+00, 1.894478928171045684e+00, 2.951592662140977819e+00, 2.590610386474558879e+00, 3.088565742535993586e+00, 4.362762240832234184e+00, 6.980624168452747469e+00, 5.200221015390257051e+00, 3.254513422194263761e+00, 3.865576389794788348e+00, 4.660861820279749601e+00, 6.199920689957795439e+00, 2.761777342633958909e+00, 4.154475022395418549e+00
2.027000000000000000e+03, 1.707059566871544698e+00, 5.898490123291892040e+00, 3.407526387368103205e+00, 1.945112044338461521e+00, 2.712845077962900753e+00, 2.565144032446962097e+00, 3.057994929696554731e+00, 4.940130173011194614e+00, 6.736517069488961340e+00, 5.315862139844952594e+00, 3.170580103941705197e+00, 3.707193684752227991e+00, 4.219897078676581259e+00, 6.364389454077150177e+00, 2.736774591047533622e+00, 3.967872287699834466e+00
2.028000000000000000e+03, 1.580267000014486056e+00, 5.480694146535039835e+00, 4.259101971351169524e+00, 2.102631541995506836e+00, 2.820493580750789597e+00, 2.414398681984633033e+00, 3.026903168291095625e+00, 4.791573513576188326e+00, 7.044935682176220126e+00, 5.711769884945403497e+00, 3.256652219260617986e+00, 2.893008277332421052e+00, 4.571236795721170587e+00, 5.869591764873254292e+00, 2.605228633794780979e+00, 4.126949265525144739e+00
2.029000000000000000e+03, 1.494958179624307659e+00, 5.613865225387246305e+00, 4.443812202027148217e+00, 2.037649786334987390e+00, 2.905175451374936824e+00, 2.941481210626216036e+00, 3.321990453972373913e+00, 4.952630920200647324e+00, 7.144161111155255206e+00, 5.205740400758426034e+00, 3.020377813144667911e+00, 2.613501685818122144e+00, 3.955531688500282694e+00, 5.992011777266800898e+00, 2.785667422359696221e+00, 4.080046690613460036e+00
2.030000000000000000e+03, 1.501590374007075734e+00, 6.152542493237681320e+00, 4.050580348830719934e+00, 2.115673539616425014e+00, 3.103894104139116816e+00, 2.755490433151505769e+00, 3.285435533947051123e+00, 4.754413485330647227e+00, 7.449366253108863134e+00, 5.370932324332773788e+00, 3.160764151469786842e+00, 2.938281038602914563e+00, 4.295085322133088468e+00, 6.095658878010683956e+00, 2.900983763571180152e+00, 4.225850544642018924e+00
2.031000000000000000e+03, 1.646746155422982083e+00, 6.170201933036224773e+00, 2.733268244340498754e+00, 1.969245141959626189e+00, 3.174684209287355507e+00, 2.782828690673520455e+00, 2.986891442132343144e+00, 4.755859321288165908e+00, 7.169983452353876352e+00, 5.549401778712494071e+00, 3.172623315884550266e+00, 3.619917070569144801e+00, 4.084552337259964361e+00, 7.111501190920622939e+00, 2.906329370833739212e+00, 4.380205643374683433e+00
2.032000000000000000e+03, 1.477425759030808416e+00, 5.629992041723009599e+00, 3.834112810374310065e+00, 1.967784173317985275e+00, 3.018143374902238385e+00, 2.993706633057282573e+00, 3.183187169938572758e+00, 4.990180651267417389e+00, 7.088853276338989318e+00, 5.491710651633195717e+00, 2.948440979821358887e+00, 3.187771422862387016e+00, 5.224392119765606246e+00, 6.236906094673893897e+00, 3.351811255503920339e+00, 4.386356776189431983e+00
2.033000000000000000e+03, 1.666315541467669137e+00, 6.123827660750022162e+00, 3.418407037681828076e+00, 2.060219575812700654e+00, 3.093494364346687675e+00, 2.745817553595939042e+00, 3.223188961086625781e+00, 5.241483005360031200e+00, 7.218879322446651869e+00, 4.987714802006570913e+00, 3.054690075861816734e+00, 3.142111794811206948e+00, 4.509449125832009742e+00, 6.176787799817136104e+00, 3.312050986173453726e+00, 4.305702763584120518e+00
2.034000000000000000e+03, 1.499245373436669082e+00, 5.670253011632694573e+00, 3.058387974242484209e+00, 2.110246653204062017e+00, 3.169017766138738423e+00, 2.535786841180084572e+00, 3.925987833898055612e+00, 5.217467808077031144e+00, 7.171889205852445492e+00, 5.428587404792692972e+00, 3.412708820641006557e+00, 3.588309567998481331e+00, 4.027884539124656271e+00, 5.794853507326422459e+00, 2.986374822030938958e+00, 4.767637206364081059e+00
