year, ACCESS-ESM1-5, CNRM-ESM2-1, GFDL-ESM4, EC-Earth3-Veg, NorESM2-LM, TaiESM1, CESM2-WACCM, MIROC-ES2L, MPI-ESM1-2-LR, IPSL-CM6A-LR, CMCC-CM2-SR5, CanESM5, NorESM2-MM, UKESM1-0-LL
2.015000000000000000e+03, 8.801522528126701772e-01, 1.674800879413883781e+00, 8.925196974399695060e-01, 1.069128741441504271e+00, 9.303864563394229625e-01, 1.269733661320855855e+00, 1.006864767847424957e+00, 1.438524875706586714e+00, 1.423486615770193753e+00, 9.901417625956130397e-01, 1.400818746972135820e+00, 3.862443162382975359e+00, 1.007603403597160385e+00, 1.270491532292199910e+00
2.016000000000000000e+03, 8.730938372001214587e-01, 1.516880262849771066e+00, 8.672433680325140060e-01, 1.039372055607779455e+00, 8.027593094445092392e-01, 1.303066649182296866e+00, 1.023447387792493890e+00, 1.374464636599334932e+00, 1.340566220745427195e+00, 1.005834950313878373e+00, 1.548254030405703086e+00, 4.176230144727450799e+00, 9.140001426757474734e-01, 1.263211673348819897e+00
2.017000000000000000e+03, 8.599302286812924301e-01, 1.576832734171167871e+00, 7.950313373102545489e-01, 1.059319908038550029e+00, 8.989611422302006272e-01, 1.241976442316311102e+00, 1.027234686211897952e+00, 1.385807189030560771e+00, 1.409023633075745519e+00, 1.026832260985293122e+00, 1.392157328672352312e+00, 3.821967799740375149e+00, 9.448648703920845549e-01, 1.378059681482993515e+00
2.018000000000000000e+03, 8.737660294690838825e-01, 1.489250523162679363e+00, 7.846759619391410201e-01, 1.126390491659581272e+00, 8.966584442798140042e-01, 1.138388575546953607e+00, 1.037902107309603306e+00, 1.410101445672544029e+00, 1.318396219961905036e+00, 1.008698789638386328e+00, 1.364323037259473015e+00, 3.817070577430911715e+00, 1.005181546389170455e+00, 1.334404297127828265e+00
2.019000000000000000e+03, 8.977347295436708396e-01, 1.596513447663113539e+00, 7.794905250350805392e-01, 1.152652746907827819e+00, 1.025055117542946315e+00, 1.535173481032880760e+00, 1.190245544087852769e+00, 1.413203842183815118e+00, 1.118302651042441642e+00, 1.061901589396729184e+00, 1.404799838651915600e+00, 4.351209336358074609e+00, 1.078281957518570477e+00, 1.273882296286128257e+00
2.020000000000000000e+03, 8.720727480507185492e-01, 1.445858148182437741e+00, 8.082361280910715928e-01, 1.153248368103312327e+00, 9.604303655909700588e-01, 1.400906429107423357e+00, 1.013884075805892460e+00, 1.410077036082444613e+00, 1.420175618858545930e+00, 9.862916206123771845e-01, 1.485069841953759129e+00, 4.204474153062165875e+00, 1.000958050291540724e+00, 1.371449410922774614e+00
2.021000000000000000e+03, 8.705712349373868619e-01, 1.603567782396882357e+00, 8.213101420681361287e-01, 1.036212193296733641e+00, 8.820405485441693560e-01, 1.152100229600728332e+00, 1.066799255601308616e+00, 1.408057162498290271e+00, 1.499765349942978609e+00, 1.054157325251879218e+00, 1.373018048891569975e+00, 4.343522885658496868e+00, 1.126473870580043002e+00, 1.392240383239863988e+00
2.022000000000000000e+03, 8.844229100911583652e-01, 1.636237688529339263e+00, 8.043993607092594367e-01, 1.055119327550241959e+00, 1.043566131875097058e+00, 1.511729702642978346e+00, 1.041978594900651478e+00, 1.397902425584637287e+00, 1.454215032513465067e+00, 1.037486166628094786e+00, 1.534971945338677202e+00, 4.576645741033780190e+00, 1.064289366216328414e+00, 1.346031274006926237e+00
2.023000000000000000e+03, 9.229764269965398116e-01, 1.606774071718005681e+00, 7.830246342828171002e-01, 1.120369435009858083e+00, 1.057596674763874756e+00, 1.445681957141486285e+00, 1.121540819244671638e+00, 1.400016177122419991e+00, 1.523597319035880693e+00, 1.050865815783032176e+00, 1.322599264340438507e+00, 3.603067007961930024e+00, 1.144960409255163958e+00, 1.389477708506309028e+00
2.024000000000000000e+03, 9.301152192382838857e-01, 1.489776761723692111e+00, 7.876475524719908083e-01, 1.206109640700483432e+00, 1.089494479082431466e+00, 1.383119156881583045e+00, 1.116806888092709338e+00, 1.384963156030473597e+00, 1.560506518961196187e+00, 1.035488549773320610e+00, 1.333006210116884915e+00, 4.297412268511071609e+00, 1.092653742475115930e+00, 1.461055372204721703e+00
2.025000000000000000e+03, 9.052527305478395014e-01, 1.464558668879673897e+00, 7.413342073525017728e-01, 1.149099603963501304e+00, 9.714747030173036535e-01, 1.362516265802478310e+00, 1.091610190174445050e+00, 1.356069704212966354e+00, 1.556872625344120520e+00, 1.030754848594719997e+00, 1.613857248163892422e+00, 4.511984761040554126e+00, 1.094915875700247065e+00, 1.534307290426624837e+00
2.026000000000000000e+03, 9.402601107226954413e-01, 1.695297025647277245e+00, 7.096096662184135928e-01, 1.044386922238235371e+00, 9.384006857378164312e-01, 1.289456700808478740e+00, 1.110104397806738863e+00, 1.347331764166387558e+00, 1.625646277940138384e+00, 1.124761594262360997e+00, 1.592869317709786792e+00, 4.071858153036810535e+00, 1.112957489163259872e+00, 1.346806047758682956e+00
2.027000000000000000e+03, 8.995376855914599679e-01, 1.582107943161370933e+00, 7.190105984556336427e-01, 1.044953544224952235e+00, 9.332195545105721468e-01, 1.451936813338674082e+00, 1.086159395895097246e+00, 1.355158729380784077e+00, 1.700710354572734451e+00, 1.107837433137156324e+00, 1.595848823049358378e+00, 4.085553797594312364e+00, 9.873176994990443545e-01, 1.320783360149616614e+00
