year, TaiESM1, CESM2-WACCM, INM-CM4-8, GFDL-ESM4, CMCC-CM2-SR5, CanESM5, UKESM1-0-LL, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-LM, ACCESS-ESM1-5, INM-CM5-0, NorESM2-MM, MIROC-ES2L, IPSL-CM6A-LR, CNRM-ESM2-1
1.850000000000000000e+03, 9.994061524297267463e-01, 1.533194842856264284e+00, 1.978712056334992697e+00, 1.742975453389689733e+00, 2.116745880897536569e+00, 3.147657530176106278e+00, 2.179552013002161726e+00, 2.605820118812674391e+00, 1.451237975032857008e+00, 1.337186360749609726e+00, 2.278353260718059659e+00, 2.111822035493995386e+00, 1.274930022371696170e+00, 2.653166325908817402e+00, 1.683106623873974916e+00, 1.924397434466690981e+00
1.851000000000000000e+03, 1.011832449336482087e+00, 1.445571239034353805e+00, 1.930689570795557586e+00, 1.689065858789828622e+00, 1.542990705427266240e+00, 3.384995684580941688e+00, 2.097379385913747729e+00, 2.573908091517732810e+00, 1.528707484129704364e+00, 1.361850989953992785e+00, 2.326497790271762955e+00, 2.008175581386379971e+00, 1.409648322097351691e+00, 2.487355475731617638e+00, 1.639473448238961018e+00, 1.961465595543195661e+00
1.852000000000000000e+03, 1.005580895536946517e+00, 1.404503554752090544e+00, 2.098395895980065706e+00, 1.615555012510789146e+00, 1.949767809099443250e+00, 3.190517196462194782e+00, 2.288999293513763522e+00, 2.468410953940026076e+00, 1.626123939899751569e+00, 1.307219712629923869e+00, 2.355767888953750777e+00, 2.259143048247539198e+00, 1.359410283914559203e+00, 2.549956375668399389e+00, 1.825897055380703682e+00, 2.154066736504858248e+00
1.853000000000000000e+03, 1.131126736354979290e+00, 1.408105192234657022e+00, 1.761340261131160823e+00, 1.659522332545866785e+00, 2.093787883433765984e+00, 3.310945274999910648e+00, 2.303689465802989833e+00, 2.538173322321033432e+00, 1.451713065626163202e+00, 1.264344304920524520e+00, 2.257335660816133682e+00, 2.072340233141865440e+00, 1.257301735192808190e+00, 2.522628252294472961e+00, 1.712280355703649004e+00, 2.148696883807220903e+00
1.854000000000000000e+03, 1.011533897028877416e+00, 1.534938733633992802e+00, 1.959585302069854595e+00, 1.633487799599492085e+00, 1.936756630260908940e+00, 3.204937750497374616e+00, 2.389149395060998327e+00, 2.550982943700257799e+00, 1.315238104602002522e+00, 1.314907728327804781e+00, 2.153540805289503979e+00, 2.275652918590994389e+00, 1.394547561199554586e+00, 2.620151754500181340e+00, 1.718434489336805537e+00, 2.319761198837115401e+00
1.855000000000000000e+03, 8.570593880911089313e-01, 1.400070034877792358e+00, 2.130602492728216113e+00, 1.803472621075070892e+00, 1.972152526869135558e+00, 3.137754940319087638e+00, 2.358487214479447314e+00, 2.674455233561444878e+00, 1.305785074358546405e+00, 1.370766739387599298e+00, 2.001221022434136021e+00, 2.486492685779982281e+00, 1.326218363783828291e+00, 2.501088485790849081e+00, 1.653749830698322265e+00, 1.672941502230514965e+00
1.856000000000000000e+03, 9.548199131917995963e-01, 1.442591770251275385e+00, 2.052155658875860045e+00, 1.652630787861047557e+00, 2.007190698309312626e+00, 3.143841655807095403e+00, 2.376985714531263394e+00, 2.444754540269564735e+00, 1.556207156785275325e+00, 1.370441690756612596e+00, 1.965479589126703175e+00, 2.066451411453629206e+00, 1.295804701947293358e+00, 2.380655628288803172e+00, 1.863964365754533725e+00, 1.930067322223311566e+00
1.857000000000000000e+03, 1.148869777763206645e+00, 1.415620562964271523e+00, 2.199754781658352254e+00, 1.574254823007256832e+00, 1.960734372726242958e+00, 3.267139178199842675e+00, 2.087306606047422353e+00, 2.723585057519263941e+00, 1.568921614706703993e+00, 1.279400517547579330e+00, 2.003844575854761167e+00, 2.260264221306489851e+00, 1.378274770128266713e+00, 2.521486012364010154e+00, 1.558419770370903512e+00, 1.792536884138447695e+00
1.858000000000000000e+03, 1.100814606317192634e+00, 1.443058987972229312e+00, 2.246240434690198740e+00, 1.706175423667142921e+00, 1.737706379138359569e+00, 3.289434382659310430e+00, 2.212298346840059438e+00, 2.593056030803954748e+00, 1.653117656419982762e+00, 1.317187803171946170e+00, 2.204394977901933839e+00, 2.264669919283077260e+00, 1.411551712173139572e+00, 2.470711819232389583e+00, 1.825640294341499104e+00, 1.769037192602145092e+00
1.859000000000000000e+03, 9.668515741836145594e-01, 1.403770839579035812e+00, 1.924127490996951906e+00, 1.571933573867887901e+00, 1.820932166081631998e+00, 3.288592851353856261e+00, 2.089469201705404622e+00, 2.606918002745754137e+00, 1.459460702154114831e+00, 1.362175115008266602e+00, 2.088492917538251170e+00, 2.106497725972833468e+00, 1.299537020491982942e+00, 2.540395774576249099e+00, 1.888955056858208525e+00, 2.049017922017762228e+00
