year, CNRM-ESM2-1, UKESM1-0-LL, MIROC-ES2L, CMCC-ESM2, CanESM5, CESM2-WACCM, GFDL-ESM4, MPI-ESM1-2-LR
1.874000000000000000e+03, 4.894685368606666404e-10, 1.078059761901837031e-10, -4.032128355771400541e-10, -8.247086187100574260e-10, 1.060855496355742030e-10, -3.634698026835336310e-10, -2.242109542047746759e-10, 2.633813766564191453e-10
1.875000000000000000e+03, -1.078038719048454041e-09, -3.268793251112441645e-10, -6.124425477113436456e-10, -7.041246805718313091e-10, 3.719541805245193638e-10, -2.688006508735337385e-10, -1.106403365815633194e-09, -3.388010973841038142e-10
1.876000000000000000e+03, -4.060498357563657300e-10, -5.598327907739352441e-10, -3.763725180223512807e-10, 9.756973526843384353e-10, -6.312809000132212342e-10, -7.597016969780998390e-10, 2.366455044699909386e-10, 1.960029570254396451e-10
1.877000000000000000e+03, -3.013519748109206334e-10, -1.126260848199714404e-10, -2.529751723268423955e-10, -9.632110414433763057e-10, -1.001541237221166947e-09, -6.474894149000844239e-10, -1.529116656427600649e-10, -1.677827637823765685e-10
1.878000000000000000e+03, 5.693784798858877501e-10, -3.211484535845438682e-11, -2.328608401805010246e-10, 8.976938102269830580e-10, -3.584628460579753544e-10, -5.029629160404807625e-10, -8.007207839683864386e-11, -3.210926949591650250e-10
1.879000000000000000e+03, 1.059682535171144316e-10, 5.524170682166417345e-10, 1.488238295203832943e-10, 1.996572855455983998e-09, -6.804593181466110708e-10, -2.689072394271780607e-10, -4.142460709162054192e-10, 4.410664233679371403e-10
1.880000000000000000e+03, -5.000074941721288165e-10, 4.834311148767355699e-10, -3.200643712155795534e-10, 1.502301885535257556e-10, -6.906635213025953662e-10, -3.842866488919960577e-10, -8.957764357599297154e-10, 2.851594309644576147e-10
1.881000000000000000e+03, -2.668671358426635585e-10, -2.856787390987035511e-10, -2.495047498638904609e-10, -1.341378451391604508e-09, -1.832772278123095285e-10, -7.458369761062008842e-10, -4.772604779594472052e-10, 7.222343977060318646e-10
1.882000000000000000e+03, 1.434117822697730727e-10, 3.642209502199098975e-10, -5.198303209151874925e-10, -4.950463013230990895e-10, -2.592866264182025566e-10, -1.379099216348315816e-09, -3.130765614840067361e-10, -4.266294422682618382e-10
1.883000000000000000e+03, -4.860931776349840506e-10, -3.371859816624015049e-10, -2.645721916167296591e-10, 1.110782868880033980e-09, -9.656940696796655568e-10, -3.953493837820256981e-10, -5.983409514533898542e-10, -1.310994268882676518e-10
1.884000000000000000e+03, 2.088755341902803894e-10, -6.078817413567449187e-10, 2.690724425122593909e-10, -8.161589663946125987e-11, 5.105076293218321670e-10, -3.479406340901593588e-10, -2.755892870372195963e-10, 8.598433571840266379e-10
1.885000000000000000e+03, -6.489942206144485055e-10, -3.863168786563294920e-10, 1.349130324209560086e-10, 1.280597944225108524e-09, -4.338057526546757690e-10, 3.083822069047431343e-10, -3.992499319554830431e-11, 7.490801645425614162e-11
1.886000000000000000e+03, 8.225740795764921721e-10, 2.850895904965215398e-12, -2.672876999900088527e-10, 7.620965685659347640e-10, -1.173433434784598032e-10, -4.912848088304489247e-10, -6.686592182381498434e-10, -4.928985358403104630e-10
1.887000000000000000e+03, -4.391353928844419555e-10, -1.047410734285703378e-10, -9.565841950640820879e-10, 1.253212470872185337e-09, -5.450548441816513689e-10, -6.610116660131281763e-10, -4.057028243102832870e-10, 2.146771131472758467e-10
1.888000000000000000e+03, 1.304081802382222327e-09, 5.796217057128128306e-11, -4.275029051044224408e-10, 2.287306268108997874e-09, -5.126508979238314222e-10, -2.871013884637723773e-10, -6.642302724727396577e-10, 1.242238891432460214e-10
1.889000000000000000e+03, -8.883636421652781226e-10, -5.729297636045487810e-10, -2.522582680824848207e-10, -7.730941374666027282e-10, -1.448708965535837618e-10, -1.514209472821925266e-10, -8.751034412350801519e-10, -4.076563821841230725e-10
1.890000000000000000e+03, 2.676963574871518409e-10, -2.053539436067747730e-10, -1.691741226483027635e-10, -1.285600734437951094e-09, -9.545938591759768278e-11, 8.916321121107872517e-11, -5.719310015213064496e-10, 2.456083699946358063e-10
1.891000000000000000e+03, 7.598112330870962430e-10, 1.650213482895580553e-10, -2.909407647138285706e-10, 8.465545501171380190e-10, -5.886846146066417671e-10, -3.348549907568254222e-10, -1.742457921631146595e-10, 1.606277899630137265e-10
1.892000000000000000e+03, 4.175593537723721277e-10, 2.320737633395459193e-10, -8.970955341493684008e-10, -3.642524390102995116e-11, -5.339147944186855153e-10, -1.215716807433108449e-10, -6.884233879021990275e-10, -5.620924074286838914e-10
1.893000000000000000e+03, 6.013946085913012733e-10, -3.596129237897890246e-10, -4.404870209804647355e-10, 1.013832399459238887e-09, -2.262152100692969873e-10, -8.115614039578509565e-10, -1.397308301147464410e-09, 4.789916774234440150e-10
1.894000000000000000e+03, 5.707223469536326611e-10, -1.858304657324759577e-11, -5.686426850130124616e-10, -5.973150287014606989e-10, -4.101944740240985034e-10, -5.696435863258577718e-10, -7.695248376481642164e-10, 9.163839172710118198e-10
1.895000000000000000e+03, 5.399124250691932420e-10, -1.091901816578639217e-10, 3.260183234461070301e-12, 1.681930241306103128e-09, -1.279360867580601516e-09, -5.909403762635835975e-11, -2.422288499201967634e-10, -8.777519162175690650e-10
1.896000000000000000e+03, -2.745364721727900119e-10, -4.202066157083312567e-10, -3.009830381449421411e-10, 1.498617631574044397e-09, 3.022621801101738304e-10, -2.126532245074062204e-10, -5.058107510960074511e-10, 6.784257628453020973e-11
1.897000000000000000e+03, 7.642165501330139616e-10, 1.193196804447061824e-10, -7.480190007452050074e-10, -7.296215484111283050e-10, -1.135385777959385303e-09, -5.970850683416732844e-10, -3.681525929320021418e-10, -8.106664554859222677e-10
1.898000000000000000e+03, -3.962661949907068062e-10, 1.044927297296704530e-10, 2.772238415971869409e-11, -6.476222516893508376e-10, -1.033522089343566597e-09, -4.258145117508218906e-10, -4.191489745082636449e-10, 3.415179668248885492e-10
1.899000000000000000e+03, 1.921763357119202641e-11, -6.043134752939206406e-11, 1.005397484729594169e-09, 3.264606820039785588e-09, -2.202544881788661701e-10, -3.471064065349289751e-10, 2.374419508616570328e-11, 2.879456266919965725e-10
1.900000000000000000e+03, -3.512850162530239007e-10, 7.384352560440266749e-10, -4.451486563080277478e-10, -4.377952522399776606e-10, -1.659835511685613333e-09, -2.916347134267084913e-10, -6.538247452641966954e-10, -1.256975309646028457e-09
1.901000000000000000e+03, -1.207555741483727887e-09, -3.253386769983274569e-10, -4.635050687326956036e-10, -1.084935312815961625e-09, -4.240480314365410070e-10, -4.817063329515933964e-10, 4.479307683133714962e-11, -1.258087306256236544e-09
1.902000000000000000e+03, -8.936951910758854942e-11, 7.946500201622850320e-11, -5.585376014801923260e-10, -1.762950330062750975e-09, -4.243900023664502223e-10, -2.780279978290973538e-11, -4.236889262319206349e-10, 9.847007839410417289e-10
1.903000000000000000e+03, 4.223226077833701880e-10, -1.495380589639420909e-10, 1.122810398207481049e-10, 2.060572924957098847e-09, -1.037365658482674901e-09, -2.441645960357056166e-10, 5.069888142525825460e-12, 1.486918174159093470e-09
1.904000000000000000e+03, 3.601543139668539301e-10, -6.295093789730417859e-10, -3.332996133430553535e-10, 1.885348687430814307e-09, 4.172327898785866734e-10, -7.681357754442065293e-10, 9.031279058074274226e-11, -1.689755031845185746e-10
1.905000000000000000e+03, 6.267285100464086028e-10, -2.648848586647302763e-11, -7.839995568666582299e-10, 1.837740769607253323e-10, 1.472363543351371905e-10, -2.970107440356626063e-10, -6.547051051613167810e-10, 4.317022996412350462e-10
