year, CanESM5, CESM2-WACCM, CNRM-ESM2-1, MIROC-ES2L, GFDL-ESM4, NorESM2-LM, IPSL-CM6A-LR, ACCESS-ESM1-5, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-MM, CMCC-CM2-SR5, TaiESM1
1.861000000000000000e+03, 7.395457547066322412e+00, 1.585238975783169302e+00, 1.460181647198026589e+01, 1.776649183169432078e+01, 5.807802184393048961e+00, 1.516187216323889642e+00, 4.857162157279050874e+00, 2.995969934650003275e+00, 1.102922079753320084e+01, 2.228161447871356504e+00, 1.528024911536175479e+00, 2.526114309505764766e+00, 3.303653539133533101e-01
1.862000000000000000e+03, 7.319262165512547824e+00, 1.584117390262388847e+00, 1.463889232350298819e+01, 1.771588960161809467e+01, 5.795074549775545592e+00, 1.426449931410094907e+00, 4.881340822523241307e+00, 3.016042050014777764e+00, 1.103502544381940176e+01, 2.239878956827522138e+00, 1.581331163366539228e+00, 2.273934760207005912e+00, 3.146759106773827641e-01
1.863000000000000000e+03, 7.369664590000788884e+00, 1.570019193785531231e+00, 1.465969466860333625e+01, 1.768880492671204507e+01, 5.741793094278862419e+00, 1.410367056134852914e+00, 4.871356229845909880e+00, 3.059627558179283113e+00, 1.107340325994846353e+01, 2.192011218623466817e+00, 1.617131276883809976e+00, 2.664659553463312402e+00, 3.459873775927135298e-01
1.864000000000000000e+03, 7.388192343567792086e+00, 1.573695076320613895e+00, 1.461798459317734888e+01, 1.768314814177613314e+01, 5.712440851268862474e+00, 1.471321648879711841e+00, 4.900345802295312581e+00, 3.101816413323200905e+00, 1.109809525745441228e+01, 2.083515798201280411e+00, 1.606282346404381389e+00, 2.586590959955014757e+00, 3.267349937901166124e-01
1.865000000000000000e+03, 7.516580696771444359e+00, 1.588479475990317802e+00, 1.467948454928773216e+01, 1.762351363549730010e+01, 5.686750143475942210e+00, 1.451280271402951572e+00, 4.885974734683883547e+00, 3.095896591978776868e+00, 1.104865122642781117e+01, 1.995627543952678939e+00, 1.583945811654659863e+00, 2.414775098990592284e+00, 3.459207830842303544e-01
1.866000000000000000e+03, 7.580722565475453756e+00, 1.598025893646986217e+00, 1.470056848079154221e+01, 1.758131231985231935e+01, 5.705606695885284907e+00, 1.433230865169993873e+00, 4.874132642537004401e+00, 3.077123509448647543e+00, 1.102929863434381552e+01, 1.982654583437824414e+00, 1.567091344827768795e+00, 2.569667317721863853e+00, 3.961100346086534607e-01
1.867000000000000000e+03, 7.429798420255308677e+00, 1.601342397631803971e+00, 1.467560801165121376e+01, 1.763304779601534733e+01, 5.766642229564960864e+00, 1.456361899275435912e+00, 4.863877283778169414e+00, 3.052148333766806942e+00, 1.099602308177001753e+01, 2.004811461153770402e+00, 1.541559757017092247e+00, 2.461941537902074373e+00, 3.414024615749476355e-01
1.868000000000000000e+03, 7.392337757947963439e+00, 1.576547235836504468e+00, 1.479062504625741603e+01, 1.764518444424272303e+01, 5.745331600340128020e+00, 1.442099302562857899e+00, 4.845434506260046348e+00, 3.024754365773822506e+00, 1.100045976495346878e+01, 2.076897139280033500e+00, 1.620375730492220168e+00, 2.497892486364930331e+00, 2.811268845413275042e-01
1.869000000000000000e+03, 7.392128808153572983e+00, 1.548041786105984530e+00, 1.469949212536595162e+01, 1.765295851971751162e+01, 5.676844432391849438e+00, 1.410004746906927009e+00, 4.828030472141119134e+00, 3.017447944420889261e+00, 1.102384147646409041e+01, 2.110782106791043944e+00, 1.687306120300872569e+00, 2.226664907842391905e+00, 3.756322449829033183e-01
1.870000000000000000e+03, 7.533811368448366963e+00, 1.578470321087448225e+00, 1.481484369878888607e+01, 1.762743452459607241e+01, 5.628521962252042599e+00, 1.450278098882014755e+00, 4.805610987311933258e+00, 2.989171987818910026e+00, 1.106690444346851976e+01, 2.142430304130476859e+00, 1.632910162599863879e+00, 2.229290913094988724e+00, 3.899719565205631011e-01
1.871000000000000000e+03, 7.602736701191317614e+00, 1.563636191377412832e+00, 1.480223850525246831e+01, 1.765814658701609829e+01, 5.608796074380701491e+00, 1.435721098977351451e+00, 4.774926465556864841e+00, 2.985654989950216276e+00, 1.098971553988665129e+01, 2.087654544865590545e+00, 1.520882210535864365e+00, 2.992442043134736274e+00, 2.603542263933076306e-01
