year, IPSL-CM6A-LR, MIROC-ES2L, MPI-ESM1-2-LR, CanESM5, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, GFDL-ESM4, EC-Earth3-Veg, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-LM
1.860000000000000000e+03, 2.824768105098877058e+01, 6.239130474826169603e+01, 3.539092584526370189e+01, 7.858698060780373851e+01, 1.835860152411568151e+02, 3.829479860798258528e+01, 3.716432383697713249e+01, 5.001896852682934735e+01, 1.472657152788292656e+01, 1.463069550067656799e+01, 5.971885572385714624e+01, 8.760999436774038429e+01, 1.042690291413735508e+02, 3.654817051679698636e+01
1.861000000000000000e+03, 2.826503619759276731e+01, 6.237293882265471012e+01, 3.535137467300003777e+01, 7.863429945270374333e+01, 1.835033906462974471e+02, 3.829208963811439048e+01, 3.714295130649705357e+01, 5.001734513294163520e+01, 1.473749409631473917e+01, 1.459177991023226362e+01, 5.973913827633590046e+01, 8.760261511375806265e+01, 1.043077871999745128e+02, 3.658434195769164177e+01
1.862000000000000000e+03, 2.828505995257086525e+01, 6.232517553123554421e+01, 3.535845136772522324e+01, 7.863209168962997353e+01, 1.834046040395388388e+02, 3.829116597489125695e+01, 3.713534884597221719e+01, 5.002853394315983593e+01, 1.472618380468555443e+01, 1.456165493970255653e+01, 5.975850584472266291e+01, 8.760539914010304585e+01, 1.042175761004402688e+02, 3.658586524130573281e+01
1.863000000000000000e+03, 2.828450374633863618e+01, 6.227168890119531852e+01, 3.539085492172195302e+01, 7.861625069357205575e+01, 1.833690885203085088e+02, 3.828077003338724182e+01, 3.714484719729564688e+01, 5.004273283806443828e+01, 1.473449312347895912e+01, 1.453997584396571696e+01, 5.976021023963485135e+01, 8.761570256558847802e+01, 1.041559229841440271e+02, 3.656895623287861952e+01
1.864000000000000000e+03, 2.829050228247605148e+01, 6.223975867405884088e+01, 3.541146238215272035e+01, 7.860872369700798856e+01, 1.833463479999376773e+02, 3.827614809740688884e+01, 3.715531687303631259e+01, 5.007507160369981136e+01, 1.473173724691810627e+01, 1.455308515442807149e+01, 5.973660663110523217e+01, 8.760595077981115253e+01, 1.041114388750146986e+02, 3.657349785824216326e+01
1.865000000000000000e+03, 2.828991741731437770e+01, 6.228290238877126939e+01, 3.535898101007951766e+01, 7.859047634947215499e+01, 1.833170739802881428e+02, 3.826717068620045836e+01, 3.715124435986698614e+01, 5.009786941963226781e+01, 1.472757501911790357e+01, 1.452436593643592566e+01, 5.969657118684149566e+01, 8.759978776832413416e+01, 1.041519689611643429e+02, 3.658555460775526313e+01
1.866000000000000000e+03, 2.828729533165459031e+01, 6.227206646929140987e+01, 3.533801235754317815e+01, 7.858230856903810491e+01, 1.832449423055602153e+02, 3.826756118119090644e+01, 3.715220810704295218e+01, 5.009815152903330215e+01, 1.477723881135960049e+01, 1.449674454735467677e+01, 5.965952839921575901e+01, 8.760899531166352006e+01, 1.041783643829489847e+02, 3.658490695848257701e+01
1.867000000000000000e+03, 2.828932946354636968e+01, 6.220330055766620347e+01, 3.529622391054859065e+01, 7.858979601086262790e+01, 1.832277149955176299e+02, 3.828211420217748184e+01, 3.713950113052057844e+01, 5.008670110033614975e+01, 1.478374937893040020e+01, 1.445890199385283381e+01, 5.964980799385964616e+01, 8.761435355773492972e+01, 1.041928377673210662e+02, 3.658945923796469657e+01
1.868000000000000000e+03, 2.828596680455047618e+01, 6.212597205614318341e+01, 3.530150880713604522e+01, 7.857885394393066747e+01, 1.831919718639066446e+02, 3.828366307781445244e+01, 3.714073545289072342e+01, 5.006036193512887422e+01, 1.474523341442935909e+01, 1.440749365063384069e+01, 5.965073588293361695e+01, 8.763830411135025145e+01, 1.041658083185175769e+02, 3.659394278424330338e+01
1.869000000000000000e+03, 2.828670269510183388e+01, 6.205201955121414414e+01, 3.533241318841213996e+01, 7.856814829450438253e+01, 1.831016823883527422e+02, 3.828338868687681895e+01, 3.717568468130727410e+01, 5.004610131350379021e+01, 1.475050382076953071e+01, 1.435012332605144003e+01, 5.966634867604864212e+01, 8.763315827846814443e+01, 1.042600720665801077e+02, 3.657943734226669363e+01
