year, CESM2-WACCM, CNRM-ESM2-1, IPSL-CM6A-LR, UKESM1-0-LL
1.850000000000000000e+03, 5.301017337848350355e-11, 0.000000000000000000e+00, -1.810096682496553389e-09, 7.864872387225801714e-10
1.851000000000000000e+03, 1.779649280085028996e-10, 1.341038781196225534e-10, -1.872238362051044243e-09, 7.157553614864200141e-10
1.852000000000000000e+03, 2.177536636519361433e-10, 1.420938424275909895e-10, -2.028009635866046146e-09, 8.675179318864190951e-10
1.853000000000000000e+03, 2.481899427353937341e-10, 1.551913033199807242e-10, -2.043159508688834660e-09, 8.888573092177362047e-10
1.854000000000000000e+03, 2.737812886381783509e-10, 1.646037176081948843e-10, -1.952268067185599656e-09, 9.163902016429589934e-10
1.855000000000000000e+03, 2.955501053694043655e-10, 1.734697919359629656e-10, -1.943835150117096809e-09, 9.239610996219184081e-10
1.856000000000000000e+03, 3.114703309421124292e-10, 1.794777705531466896e-10, -2.070239005970995155e-09, 9.564397864766925814e-10
1.857000000000000000e+03, 3.240472129715096203e-10, 1.877069379225631190e-10, -1.883814809998722062e-09, 8.081184998916874554e-10
1.858000000000000000e+03, 3.349407618361545420e-10, 1.953343957675865886e-10, -2.058704055932598893e-09, 8.421193210511688738e-10
1.859000000000000000e+03, 3.435885590063963305e-10, 2.035494474707409982e-10, -2.147965711064457056e-09, 8.106106050541150472e-10
1.860000000000000000e+03, 3.505298097649333746e-10, 2.113880205632838640e-10, -2.114954591643102053e-09, 9.100391692952291074e-10
1.861000000000000000e+03, 3.739894179887025539e-10, 2.181604187766343663e-10, -2.149728242944666818e-09, 8.960636837840020874e-10
1.862000000000000000e+03, 3.786418460160060385e-10, 2.209839390333727583e-10, -2.093094744995622766e-09, 9.075118903478394201e-10
1.863000000000000000e+03, 3.823858707165513750e-10, 2.243286358479876005e-10, -2.073602166740050914e-09, 9.463452324721218985e-10
1.864000000000000000e+03, 3.858642694159737253e-10, 2.252513840589116434e-10, -1.974937995030084629e-09, 1.069504412777589032e-09
1.865000000000000000e+03, 3.880649283274819453e-10, 2.271713123332833832e-10, -1.991042088472740232e-09, 1.011922262430593399e-09
1.866000000000000000e+03, 3.904810390638574295e-10, 2.282672121582179088e-10, -1.997102506561838543e-09, 8.708407264442723288e-10
1.867000000000000000e+03, 3.907557603316981702e-10, 2.305651849696753432e-10, -1.979278501660631824e-09, 9.398134877126017123e-10
1.868000000000000000e+03, 3.925842716275181795e-10, 2.316742641110857994e-10, -2.099227772743690874e-09, 8.360585690370007200e-10
1.869000000000000000e+03, 3.934193522188099105e-10, 2.311430564233546008e-10, -2.080317981120765422e-09, 8.245302688538577249e-10
1.870000000000000000e+03, 3.948560410337129377e-10, 2.355850609502148129e-10, -1.963539282199999876e-09, 7.480888220345977115e-10
1.871000000000000000e+03, 3.929588082257040264e-10, 2.702147071462553031e-10, -2.014262308588089738e-09, 8.474566624346871203e-10
1.872000000000000000e+03, 3.947542148426305078e-10, 2.734926791160669907e-10, -2.268375105461916668e-09, 9.194015349629526097e-10
1.873000000000000000e+03, 3.955438602013068005e-10, 2.774906389363124729e-10, -2.142532224254016604e-09, 9.963339226417401491e-10
1.874000000000000000e+03, 3.971610057853119161e-10, 2.802896888814744181e-10, -2.249301505306230185e-09, 1.031631697716171087e-09
1.875000000000000000e+03, 3.985942982430576685e-10, 2.847117468475264168e-10, -2.350990656831096725e-09, 8.369520002568684347e-10
1.876000000000000000e+03, 3.999149470327718211e-10, 2.866118831640193568e-10, -2.288939507654711194e-09, 9.430315358096507040e-10
1.877000000000000000e+03, 4.000408230593604574e-10, 2.897608637998958825e-10, -2.194013394382460334e-09, 1.048758289080002111e-09
1.878000000000000000e+03, 3.993302713954828190e-10, 2.908098980847232322e-10, -2.166282149130730320e-09, 1.194025170262024609e-09
1.879000000000000000e+03, 4.005229180919444545e-10, 2.875221173523980761e-10, -2.273494913862971436e-09, 1.143147370338275921e-09
1.880000000000000000e+03, 4.011710706092346833e-10, 2.911709201268876471e-10, -2.448302770390340790e-09, 1.067365733568535134e-09
1.881000000000000000e+03, 3.927104741415486287e-10, 2.896457973312820612e-10, -2.253216284663702790e-09, 8.430289812459154022e-10
1.882000000000000000e+03, 3.910096156507578962e-10, 2.910366422110086796e-10, -2.347716519363362553e-09, 1.028779220792963540e-09
1.883000000000000000e+03, 3.891630783327888320e-10, 2.920812905762176814e-10, -2.277655944368827900e-09, 9.080412105086103138e-10
1.884000000000000000e+03, 3.890692385998534084e-10, 2.919423462345984764e-10, -2.289523613778519185e-09, 9.657712809548873525e-10
1.885000000000000000e+03, 3.901897511225542949e-10, 2.889569992635227174e-10, -2.172962861185056409e-09, 9.344006313597134045e-10
1.886000000000000000e+03, 3.903710044045677332e-10, 2.841137592362055278e-10, -2.286091319017210170e-09, 9.642047249327292229e-10
1.887000000000000000e+03, 3.892392565493319131e-10, 2.847639272390699887e-10, -2.191697198247296230e-09, 1.098762717543124230e-09
1.888000000000000000e+03, 3.875003537841585319e-10, 2.819936965709851876e-10, -1.984526925988451284e-09, 1.027416821510165916e-09
1.889000000000000000e+03, 3.863913889689515077e-10, 2.799435767612399078e-10, -2.088230140862507985e-09, 8.576610460488692723e-10
1.890000000000000000e+03, 3.856023401696858390e-10, 2.758919283967878816e-10, -2.188315780019675697e-09, 1.031426402288771237e-09
1.891000000000000000e+03, 4.037143821581987095e-10, 3.118482409137415801e-10, -2.201647508523925577e-09, 9.239831225008630087e-10
1.892000000000000000e+03, 4.031756856183759866e-10, 3.082689643073442899e-10, -2.572402404527826891e-09, 9.925987876663796162e-10
1.893000000000000000e+03, 4.020643604094785873e-10, 3.099772631105735513e-10, -2.438041972554953163e-09, 1.039957916723855266e-09
1.894000000000000000e+03, 4.011404116587541111e-10, 3.127678271472540872e-10, -2.492867427696495785e-09, 1.037515273357339342e-09
1.895000000000000000e+03, 4.019104415229698986e-10, 3.146617624435347080e-10, -2.466962610230923778e-09, 1.024669252023997540e-09
1.896000000000000000e+03, 4.023086303080610098e-10, 3.179386742441831868e-10, -2.400860231965190791e-09, 1.060757159060860626e-09
1.897000000000000000e+03, 4.016049996736604775e-10, 3.192139458028434319e-10, -2.152473731524302772e-09, 1.064890684938725853e-09
1.898000000000000000e+03, 3.989957713884855687e-10, 3.206763972122377743e-10, -2.157008199635117835e-09, 1.047790851944553575e-09
1.899000000000000000e+03, 3.976984661758859085e-10, 3.206852102953579891e-10, -2.317832278699672771e-09, 1.050947169454672064e-09
1.900000000000000000e+03, 3.950288844507575802e-10, 3.233542700893706836e-10, -2.349695022948737177e-09, 1.329351911778293554e-09
1.901000000000000000e+03, 3.973665717891740009e-10, 3.597086387392189952e-10, -2.047225161659089513e-09, 9.915508008362132181e-10
1.902000000000000000e+03, 3.963227400295069667e-10, 3.612898542289822892e-10, -2.581859498795213776e-09, 1.105136971510657326e-09
1.903000000000000000e+03, 3.958639154294254207e-10, 3.630455798244646328e-10, -2.556629766607017727e-09, 1.179734499291883565e-09
1.904000000000000000e+03, 3.957836137940574967e-10, 3.650331230651072358e-10, -2.563852401121206854e-09, 1.149906767543887862e-09
1.905000000000000000e+03, 3.932664094849550205e-10, 3.668240468426045348e-10, -2.541245816987812782e-09, 1.061895090742120255e-09
1.906000000000000000e+03, 3.888132847163422185e-10, 3.721753593301100148e-10, -2.688658619292970838e-09, 1.153044935209569251e-09
1.907000000000000000e+03, 3.889587970775087012e-10, 3.781555249956170650e-10, -2.425368042705443320e-09, 1.157689519875789001e-09
1.908000000000000000e+03, 3.885393837322794694e-10, 3.805193498318819457e-10, -2.295005861419496610e-09, 1.080739976768843978e-09
