year, MPI-ESM1-2-LR, NorESM2-MM, GFDL-ESM4, EC-Earth3-Veg, GFDL-ESM4, TaiESM1, TaiESM1, CNRM-ESM2-1, CESM2-WACCM, CNRM-ESM2-1, NorESM2-LM, NorESM2-MM
1.850000000000000000e+03, 5.237463818516339575e-10, 5.525856884925634046e-10, 2.424866406008006983e-10, 3.693657586583148768e-10, 2.358856496701731645e-10, 1.465664735757456662e-10, 1.465664735757456662e-10, 2.650523183460047248e-10, 2.464175286166385204e-10, 2.650523183460047248e-10, 2.410971178697727978e-10, 5.525856884925634046e-10
1.851000000000000000e+03, 4.855829946470521611e-10, 2.422694379526928486e-10, 2.910451901102712614e-10, 5.643343335130743281e-10, 2.843625035701614742e-10, 1.258198027690610806e-10, 1.258198027690610806e-10, 2.777590431511536367e-10, 6.129489570540509015e-10, 2.777590431511536367e-10, 3.922960097507842744e-10, 2.422694379526928486e-10
1.852000000000000000e+03, 7.400269800639283087e-10, 4.688906286938548625e-10, 3.730120164429950393e-10, 4.757407838882191453e-10, 3.660940948359452865e-10, 1.392434203523625642e-10, 1.392434203523625642e-10, 2.334790789735068487e-10, 6.420822218973727071e-10, 2.334790789735068487e-10, 2.023232445416208732e-10, 4.688906286938548625e-10
1.853000000000000000e+03, 5.166193023575561542e-10, 9.363911327582726074e-10, 2.337921745099126994e-10, 5.270783163860326689e-10, 2.267936605128835863e-10, 9.254608696211369593e-11, 9.254608696211369593e-11, 2.383761754954209874e-10, 2.484753413014567944e-10, 2.383761754954209874e-10, 5.599287994346625615e-10, 9.363911327582726074e-10
1.854000000000000000e+03, 4.328060071483261547e-10, 2.912425471448452422e-10, 3.570252823509364001e-10, 7.034740154437007656e-10, 3.500113261425882740e-10, 7.541151232192224932e-11, 7.541151232192224932e-11, 2.242448016289093666e-10, 1.401588273312229554e-10, 2.242448016289093666e-10, 1.168726127202683083e-10, 2.912425471448452422e-10
1.855000000000000000e+03, 3.666545797845632419e-10, 1.323107990762845177e-10, 3.250720674184648616e-10, 7.627490461109114862e-10, 3.180626079885431781e-10, 1.791504689665273117e-10, 1.791504689665273117e-10, 7.207898994250586222e-10, 3.764645392150242313e-10, 7.207898994250586222e-10, 1.480199299384393526e-10, 1.323107990762845177e-10
1.856000000000000000e+03, 5.031306551775909425e-10, 3.326404526623795356e-10, 3.632188484157494749e-10, 4.406876746289360710e-10, 3.561950755911673226e-10, 1.631047813444503613e-10, 1.631047813444503613e-10, 2.954352916282848456e-10, 4.555663541600114839e-10, 2.954352916282848456e-10, 3.634269096393256189e-10, 3.326404526623795356e-10
1.857000000000000000e+03, 5.552749648021814907e-10, 5.497732240604115901e-10, 4.983529132555779340e-10, 4.353135297282374896e-10, 4.909616850986068440e-10, 9.461626902779023462e-11, 9.461626902779023462e-11, 4.603146723148737386e-10, 1.605215638763059476e-10, 4.603146723148737386e-10, 3.816691875806620375e-10, 5.497732240604115901e-10
1.858000000000000000e+03, 4.058379014012398416e-10, 3.691216167135213595e-10, 4.278575314142446184e-10, 5.300411321605038707e-10, 4.204131207602159381e-10, 7.690892631809096972e-11, 7.690892631809096972e-11, 5.830781050853463785e-10, 3.820628545333698101e-10, 5.830781050853463785e-10, 2.240857894285114982e-10, 3.691216167135213595e-10
1.859000000000000000e+03, 5.536469799156296815e-10, 2.876136005356282039e-10, 2.967806969158328380e-10, 5.209527180763418172e-10, 2.895784329872120625e-10, 1.673502518093018713e-10, 1.673502518093018713e-10, 2.072553792690662063e-10, 2.079350336564089199e-10, 2.072553792690662063e-10, 1.837451736568778610e-10, 2.876136005356282039e-10
1.860000000000000000e+03, 6.556650495508799550e-10, 2.689731822668110788e-10, 4.957529999375738105e-10, 4.807930857506280892e-10, 4.882969446712397511e-10, 1.490439710615850778e-10, 1.490439710615850778e-10, 1.859090394218194886e-10, 3.716685904374523421e-10, 1.859090394218194886e-10, 5.554564697827274201e-10, 2.689731822668110788e-10
1.861000000000000000e+03, 5.514769977775564805e-10, 3.296989805215563129e-10, 2.874791944578984027e-10, 4.271091352520353254e-10, 2.802051259870408183e-10, 1.353833383434457811e-10, 1.353833383434457811e-10, 2.653515850677372490e-10, 3.719674454673074680e-10, 2.653515850677372490e-10, 3.554454018299445580e-10, 3.296989805215563129e-10
