year, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-LM, TaiESM1, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL
1.877000000000000000e+03, 1.119336980398940289e-09, 7.618791694253348640e-10, 2.738803551792589503e-10, 4.468067166761643262e-11, 1.971855549375920435e-09, 2.661065782517436319e-10, 3.110932955467422456e-10, 1.048758289080002111e-09
1.878000000000000000e+03, 1.101151635061798262e-09, 7.263814398941344598e-10, 2.734646256101735845e-10, 4.410447812579475338e-11, 1.943849280018868570e-09, 2.545851077220994094e-10, 3.086618861221206677e-10, 1.194025170262024609e-09
1.879000000000000000e+03, 1.105933772409830001e-09, 7.427963666227876362e-10, 2.740685076576013630e-10, 4.340014917290807935e-11, 2.051325193538848300e-09, 2.741600020080786088e-10, 3.075216499644749167e-10, 1.143147370338275921e-09
1.880000000000000000e+03, 1.142458327959724699e-09, 7.586013655170373351e-10, 2.740805452299800400e-10, 4.265581254624691923e-11, 2.226123104246962314e-09, 2.685542415709430436e-10, 3.060822440688640987e-10, 1.067365733568535134e-09
1.881000000000000000e+03, 1.185579127040602340e-09, 8.002357149987743854e-10, 2.749627551753949832e-10, 4.193439928555322024e-11, 2.031477083024591616e-09, 2.758522492715024764e-10, 3.056546853795696690e-10, 8.430289812459154022e-10
1.882000000000000000e+03, 1.209164506518959926e-09, 7.612846702230007600e-10, 2.739264142439217224e-10, 4.164960758237572728e-11, 2.126100010291335258e-09, 2.655159306758734530e-10, 3.043194554350866021e-10, 1.028779220792963540e-09
1.883000000000000000e+03, 1.218041314696675381e-09, 7.681918854756400528e-10, 2.750834679504399973e-10, 4.203221625624941482e-11, 2.053654856566179691e-09, 2.605635085733916344e-10, 3.043048458411679238e-10, 9.080412105086103138e-10
1.884000000000000000e+03, 1.218092166345799185e-09, 8.109606611313180731e-10, 2.764429711914482321e-10, 4.234796100993508559e-11, 2.065303095084329126e-09, 3.157400039323457401e-10, 3.043001046941048107e-10, 9.657712809548873525e-10
1.885000000000000000e+03, 1.269799292966488508e-09, 7.731826263686413794e-10, 2.780676001893977999e-10, 4.234835326353748164e-11, 1.948101558930646386e-09, 3.021389920735397067e-10, 3.037493765284938744e-10, 9.344006313597134045e-10
1.886000000000000000e+03, 1.221338664873103041e-09, 7.193901268017727439e-10, 2.681588087615513448e-10, 4.176950869199795720e-11, 2.062557506317807811e-09, 2.476903668458249705e-10, 3.012600662279807750e-10, 9.642047249327292229e-10
1.887000000000000000e+03, 1.191246486884556649e-09, 7.931173435801122274e-10, 2.664794464470162067e-10, 4.118856909385344699e-11, 1.968378439903344627e-09, 1.992221477146669789e-10, 2.988246336892239349e-10, 1.098762717543124230e-09
1.888000000000000000e+03, 1.236646629553746137e-09, 7.839751405373662810e-10, 2.652695531397687073e-10, 4.109973864666190774e-11, 1.760202158519105464e-09, 2.495563897470515411e-10, 2.972223539762512673e-10, 1.027416821510165916e-09
