year, GFDL-ESM4, INM-CM4-8, CNRM-ESM2-1, CanESM5, CESM2-WACCM, ACCESS-ESM1-5, MIROC-ES2L, IPSL-CM6A-LR, NorESM2-LM, INM-CM5-0, TaiESM1, UKESM1-0-LL, EC-Earth3-Veg, MPI-ESM1-2-LR, NorESM2-MM, CMCC-CM2-SR5
1.850000000000000000e+03, -3.159970723309288299e-02, -2.285267725859883303e-01, -9.112577887231657070e-02, -1.347625582884760531e-01, 6.057665333682367599e-03, -2.710033825619627065e-02, 1.559838086021284910e-02, 2.277804413143797932e-02, 4.418394994351139415e-02, -6.665572790908906586e-02, -8.506613441990407490e-03, 2.731150659598407388e-02, 9.388971808296418808e-02, 1.267830845742428936e-01, -1.180487638979344361e-01, 2.108743438008768012e-01
1.851000000000000000e+03, -7.277848484069231183e-02, -2.152646650255363725e-01, -3.763821202919682973e-02, 8.515599164262882548e-02, -1.574215502671586497e-01, 8.582226381868608700e-02, -1.765112745577895881e-01, -1.114598327454228571e-01, 1.852962725265416485e-02, -1.750139713764464477e-01, -8.353486653017347385e-02, -1.266083609252505182e-01, -5.280869636057268501e-02, -1.076315363287383697e-01, -4.255828923699469385e-02, -5.970398516738184558e-01
1.852000000000000000e+03, -2.065773287007206249e-01, 2.692899829434432929e-02, 7.310983688133972092e-02, -7.552878762691805394e-03, -1.288913258911297266e-01, 8.086789929180408787e-02, -1.896152178834161969e-02, 7.717320715022257804e-02, -5.766691977834622479e-02, 4.229678884420340346e-02, -5.197787619188252994e-02, -2.496935606434427107e-02, 1.523167538193276882e-01, 1.062355759695365019e-02, -1.964429412513612333e-02, -1.053945777745823598e-01
1.853000000000000000e+03, -4.457857297019716947e-02, -4.109354539762102854e-01, 4.562397997415281597e-02, -5.277539821574519369e-02, -1.811512998025710808e-01, 2.460398611842185349e-03, -6.008587083485827235e-02, -4.798816428919471661e-02, -1.298424789024261450e-01, -1.544893210671007544e-01, 1.859697215613627663e-01, -4.462255489743195691e-02, 2.783844175947045030e-02, -1.597221377829253774e-01, -2.414112640582760927e-01, -7.876859515189808814e-02
1.854000000000000000e+03, -1.311933507196346993e-01, -1.456315699269690733e-01, 1.428939973395733920e-01, -6.063963276815993730e-02, 3.760964395935985360e-02, -2.025167940822787116e-01, -3.683183710915396286e-02, -1.423915748737755033e-02, -5.823468448547448190e-02, 1.035950545599838707e-01, -4.180445167473586382e-02, 5.626197322275323237e-02, -2.966907273784046839e-01, 2.255957029080319157e-02, -7.759606614237349320e-02, -1.414804075546698958e-01
1.855000000000000000e+03, 3.448129309065024739e-03, 1.009344987357336382e-01, -3.049977070125071132e-01, -2.030149867975092684e-02, -7.871270102875074781e-02, -2.847770054167542697e-01, -1.087124288274089606e-01, -7.473068131150015225e-02, 1.432841748169345886e-04, 4.414552186743773143e-01, -3.260722570249940944e-01, 3.064476879641796214e-02, -3.965617332839795894e-01, 6.569065881808683338e-02, -8.514532456091904178e-02, -1.252961165404590377e-02
1.856000000000000000e+03, -1.447811747686487127e-01, 2.925277845208346800e-02, -9.601024057381922494e-02, -2.985628899412451007e-02, -5.158947829015063380e-02, -2.712005778016499669e-01, -2.050743840544276275e-01, 7.543221325239309050e-02, -1.546379561574501467e-02, -1.681687910313894585e-01, -1.234040487410903997e-01, 1.381963661161392416e-02, 2.029161065960267268e-02, -1.316054227435964688e-02, -1.082373063873997079e-02, 1.479570243713963871e-03
1.857000000000000000e+03, -2.504734354867663160e-01, 1.353671017694478562e-01, -1.388729652762281941e-01, -6.194653802764058664e-02, -9.484063418824216496e-02, -2.344884975961329387e-01, -1.344335892585103998e-01, -1.690970947614007236e-01, -7.172266990443777746e-02, 1.244802467278812996e-01, 1.582841406491158620e-01, -1.059186410251554827e-01, 7.005280880729981841e-02, 1.145713668033046667e-01, -7.257233584198606591e-02, -8.515910272048528296e-02
1.858000000000000000e+03, -3.679161691810099721e-02, 1.390348121362580125e-01, -1.150713347654914037e-01, 4.700590617242576819e-02, -6.301099567284135228e-02, -2.572132871497084458e-02, -1.077829997908981013e-01, 9.624057213337401662e-02, -5.137860483629913544e-02, 1.889765621896100090e-01, 9.472152077877371568e-02, 8.159016255022627506e-02, 1.360557169949836720e-01, -8.006715606275738306e-02, 7.786643243665653837e-03, -4.124474334047849022e-01
1.859000000000000000e+03, -2.055963946789766961e-01, -2.476318879459170896e-01, 2.779688265534499547e-02, 3.567295542674720626e-02, -1.441493285913826861e-01, -1.712937185862714595e-01, -9.009949144659341880e-02, 7.678636761267294830e-02, -6.468733702252286652e-03, -9.510064583087356194e-02, -1.079708916055955731e-01, -1.213527444856684623e-01, -4.158406866204331261e-03, 5.096035043013659102e-03, -1.318431807161262459e-01, -2.400807080181347475e-01
1.860000000000000000e+03, -1.895933162247872839e-01, -2.879022005358977121e-01, 1.514166780164362403e-01, -2.490022313614201621e-01, -1.085548824163370951e-01, 4.881810709467739040e-02, 4.809986703408891673e-02, 4.921347949029294955e-02, -1.091735410915702781e-01, -1.684600758095120276e-01, -2.081873639758606287e-01, 3.151116775884690163e-02, -7.208293351811206895e-02, -9.181741925046740804e-02, -7.408550200967088661e-02, 3.557378250654007895e-02
1.861000000000000000e+03, -6.102859570674255829e-02, 7.309395097080473302e-02, 4.096299918718900035e-02, -9.830538486470133397e-02, -1.009282242485732700e-01, 1.228937032921756933e-01, -1.803311829168943725e-01, 4.447164155440676281e-02, -1.865277911865027283e-01, 3.630472715176279452e-01, -7.193790020192350476e-02, -2.723682099945732085e-02, 1.528750499710763641e-02, 9.347717266945697323e-02, -1.238873060570489307e-02, -3.526455513790171387e-02
1.862000000000000000e+03, 2.814151528716657674e-03, 1.836823361122156828e-01, -3.463232633153646295e-02, 6.826990595080421886e-02, -1.412864898720301299e-01, 1.219090294118080203e-01, -1.263607731670055856e-01, -6.763239108605326178e-02, -6.230894516255648663e-02, 4.539380091687406776e-03, 2.031123091526931129e-02, -6.741315849726026155e-02, -6.713406510767383484e-02, 9.416294422723152369e-02, -3.847556020901509582e-02, 6.297683191753998544e-02
1.863000000000000000e+03, -4.119864945851223897e-02, 1.611032745283706713e-02, -3.834801350198967229e-02, 4.684527704243083950e-03, -1.150371661570791793e-01, 2.104399343796266308e-01, -1.658569134109381671e-01, 3.645824024061938839e-02, -6.128852627887146354e-02, 6.507135597831625873e-02, -4.486662721112009977e-02, 1.755866884197110518e-03, -4.552049248273151716e-01, 7.244955324609744438e-03, -5.516162267227997518e-02, -2.312780917031042049e-01
1.864000000000000000e+03, 8.047003707766885519e-03, 2.422313246487115823e-01, -1.963548950659504966e-02, -1.654478433094616618e-01, -1.023621145333086097e-01, 1.249701819892908572e-01, 7.651781741730791231e-02, -2.447808169214952048e-02, -1.318019360756725322e-01, 1.249914651206111976e-01, -5.312462408088353821e-02, 4.800424841863592390e-02, -1.512764426695510644e-01, -1.823072919917927692e-01, -1.221142204472545345e-01, -3.241005147311801227e-01
1.865000000000000000e+03, -5.462187754815017726e-02, 9.731342003992658751e-02, -1.489182298726566406e-02, 4.431836291578735570e-02, -3.247726875541456087e-02, -4.329437567831849465e-02, -2.622254738570858196e-03, -6.416178772642576467e-02, -1.158329817838857773e-01, -1.322958116925037342e-01, -3.910071548440312295e-02, 5.230049501004969958e-02, -3.972793537702739020e-01, -1.454399425294128911e-01, -6.082818012177465539e-02, 5.407024048737518046e-02
1.866000000000000000e+03, 5.508424528619076249e-02, 2.805895369064109190e-01, -5.222342822309771621e-02, -2.900848719033641276e-02, -1.110395741650776757e-01, -1.126715890821864130e-01, 1.991772830153621873e-02, -7.067887702060318689e-02, -5.806712436309036801e-02, 1.839178757392851971e-01, -1.683591106017835737e-01, -1.508435734248606691e-02, 1.473120726595171792e-01, -6.249453526775505113e-02, -1.110573183434356431e-01, -3.862042227079979795e-01
1.867000000000000000e+03, -7.605236907706842964e-02, -1.532048010103074457e-03, 1.036518933098792977e-01, -8.081221485640546764e-02, -1.522425534126029822e-01, -2.451251170716189642e-01, -1.099951592049080301e-01, -5.856715369112162201e-02, -7.068897696212508852e-02, -1.023698284066297121e-01, 1.188121058970146963e-02, -1.096557220380782599e-01, -1.964917597333517500e-04, 1.522211909142241401e-02, -5.841714009226078863e-02, -2.451596891991133509e-01
1.868000000000000000e+03, -1.172344588517118952e-01, 2.671072522310546926e-02, -4.310739137050080549e-02, -2.114136278477126568e-02, -9.490895306144561672e-02, 5.819969504967233143e-02, -7.524142609242459590e-02, -6.130419243691370701e-03, -9.135028481018120372e-02, 1.915790188659733662e-01, 9.296480275708259022e-02, 2.093237129872880381e-02, 2.451601609993923347e-01, 6.549745111496291239e-02, -9.812491493582528590e-02, -1.741450328398365111e-01
1.869000000000000000e+03, -1.569830362180684724e-01, -4.741358464390698496e-02, 9.868179055275898282e-02, -7.725922039139201947e-02, -7.811291455603591727e-02, -2.385999850130347266e-01, -4.145403118101813333e-02, -8.269443657841991924e-02, -3.280023401477320105e-02, 1.614825451365891618e-01, -9.813937735453809319e-02, -2.457236614160663093e-02, -3.218293780642585145e-02, 5.663617282521022506e-02, -2.290732132294528989e-01, 2.464580809153727459e-01
1.870000000000000000e+03, -1.298018943434599004e-01, 1.338196635697291581e-01, -1.020921438143367332e-01, 1.375210420261092359e-01, -1.105001553662236236e-01, -9.925883060971510408e-02, -6.179119740293725904e-02, -1.239563847681415532e-01, -1.629770280660081949e-01, -7.686838384537897275e-04, -1.726249147387450555e-01, -1.748511906679280636e-01, -3.314786340203048076e-01, -1.862494223623874234e-01, -2.568352060004522319e-01, 1.833527738951000186e-01
1.871000000000000000e+03, 2.068583237245048834e-02, -3.786350336406064943e-02, -8.905909435542357089e-02, -2.244480882970453783e-01, -1.153991175004824704e-01, 8.314068317348560777e-02, -6.351669376192398131e-02, -9.747737138065909468e-02, -8.828896486656745424e-02, -1.877920477671311469e-02, 1.558647077378509382e-01, -7.147715367722349764e-03, -2.952658451148886809e-01, -2.437856743688676317e-02, -1.386217714994084083e-01, -3.897283915850934255e-01
