year, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5, INM-CM4-8, NorESM2-LM, CESM2-WACCM, NorESM2-MM, MIROC-ES2L, INM-CM5-0, GFDL-ESM4, IPSL-CM6A-LR, TaiESM1, EC-Earth3-Veg, MPI-ESM1-2-LR, UKESM1-0-LL, ACCESS-ESM1-5
1.860000000000000000e+03, 2.809927355554416977e+02, 2.815212683986461570e+02, 2.818196909301450432e+02, 2.820982748881709199e+02, 2.823417440931136184e+02, 2.823376646621742339e+02, 2.828882308916095667e+02, 2.822254351415807605e+02, 2.823110046911475024e+02, 2.804233522155360561e+02, 2.796534451828035799e+02, 2.836907707483424588e+02, 2.785164165854363318e+02, 2.820160120549877547e+02, 2.802795811834476467e+02, 2.816055115736554058e+02
1.861000000000000000e+03, 2.809453448309207602e+02, 2.824600547782283684e+02, 2.817095954999435889e+02, 2.821029857729266723e+02, 2.824890926629576029e+02, 2.815269662586749178e+02, 2.819550447510578692e+02, 2.829191418269454061e+02, 2.817037805666126360e+02, 2.805686844629245797e+02, 2.801527508987052215e+02, 2.840279417012400245e+02, 2.779477047013322135e+02, 2.812820837084963159e+02, 2.808413656290689460e+02, 2.818301343762030342e+02
1.862000000000000000e+03, 2.814424503379251519e+02, 2.819554362331616062e+02, 2.820055398061739993e+02, 2.820712500802267186e+02, 2.827700750234649831e+02, 2.814176079782329225e+02, 2.823058864427197250e+02, 2.827612631550639435e+02, 2.822072504589444293e+02, 2.795786745992995748e+02, 2.802290137080617001e+02, 2.831524299280357582e+02, 2.787670142575078671e+02, 2.810301307874137819e+02, 2.798039963096648535e+02, 2.823705123856387900e+02
1.863000000000000000e+03, 2.813497195889183899e+02, 2.827465302718451312e+02, 2.816799709875874669e+02, 2.822145440208665832e+02, 2.829396914153363696e+02, 2.820929743489363091e+02, 2.830841004529815450e+02, 2.825384971496476396e+02, 2.807109895108645787e+02, 2.806713270073162221e+02, 2.795747574380220613e+02, 2.820763345813360843e+02, 2.785334661984768445e+02, 2.807831858086246370e+02, 2.809671952617394481e+02, 2.820084212692885899e+02
1.864000000000000000e+03, 2.806565721575680072e+02, 2.823916456078079591e+02, 2.820717140864809380e+02, 2.823920154466482018e+02, 2.826617511045274114e+02, 2.809144761052409081e+02, 2.822417353639383464e+02, 2.814547629874894596e+02, 2.812530980033840251e+02, 2.804965229670282838e+02, 2.791335775465732354e+02, 2.835275399767907629e+02, 2.796124083489940517e+02, 2.812221190397543751e+02, 2.803572921567175626e+02, 2.821051770284376516e+02
1.865000000000000000e+03, 2.817738376919876941e+02, 2.818895444017815635e+02, 2.820090095113460507e+02, 2.827162398430209578e+02, 2.830373226027696205e+02, 2.811678003159314017e+02, 2.826169508214371717e+02, 2.827002743316949704e+02, 2.813196994863745886e+02, 2.803835929551072468e+02, 2.800044072968470346e+02, 2.837174952776762780e+02, 2.789679409463080333e+02, 2.810206763696966163e+02, 2.796419403460793660e+02, 2.825455457071506089e+02
1.866000000000000000e+03, 2.814448059205077470e+02, 2.819799963487112109e+02, 2.824061041331849538e+02, 2.812564757609291632e+02, 2.828250988922989677e+02, 2.825232451752270890e+02, 2.818748686946541397e+02, 2.827980349638320376e+02, 2.812494285825100064e+02, 2.805716853878532788e+02, 2.793734027390269716e+02, 2.827402221419192188e+02, 2.782449245899252901e+02, 2.808907361179200848e+02, 2.795559093981320871e+02, 2.824455305547649004e+02
1.867000000000000000e+03, 2.807666651189044842e+02, 2.818279860898191487e+02, 2.826707261885188132e+02, 2.816053543606630569e+02, 2.820923445776284098e+02, 2.825944083733645584e+02, 2.815667963748919078e+02, 2.827546833762420988e+02, 2.816617586309319563e+02, 2.799282501636369602e+02, 2.799303572195553897e+02, 2.835218719003545971e+02, 2.783206687439179632e+02, 2.810766181979972202e+02, 2.805561664279633192e+02, 2.822788790341400613e+02
1.868000000000000000e+03, 2.809208835220917990e+02, 2.810017563586420124e+02, 2.812267986204229828e+02, 2.818160954429000071e+02, 2.821541557896819086e+02, 2.827902704651992849e+02, 2.819978318939968744e+02, 2.827727167902513656e+02, 2.816336380490238298e+02, 2.797739450923553477e+02, 2.805103462474651792e+02, 2.839005377296318784e+02, 2.779211097465883427e+02, 2.810441525556283295e+02, 2.804088938009648473e+02, 2.823609284233299377e+02
1.869000000000000000e+03, 2.811990714293435758e+02, 2.826013513757721398e+02, 2.821385250452348714e+02, 2.825891555547367489e+02, 2.826390107829332123e+02, 2.818290384751997522e+02, 2.819012551505347233e+02, 2.829647999592803558e+02, 2.817684551818766749e+02, 2.811358086212746912e+02, 2.807141143556582961e+02, 2.829639193671514477e+02, 2.793930321207084830e+02, 2.808988484585161700e+02, 2.803086123976912063e+02, 2.827073903858886865e+02
