year, UKESM1-0-LL, EC-Earth3-Veg, ACCESS-ESM1-5, NorESM2-LM, IPSL-CM6A-LR, MPI-ESM1-2-LR, INM-CM5-0, MIROC-ES2L, NorESM2-MM, CNRM-ESM2-1, CESM2-WACCM, TaiESM1, CMCC-ESM2, GFDL-ESM4, INM-CM4-8, CanESM5
1.877000000000000000e+03, 2.118248111714709392e+00, 1.084648102044948548e+00, 1.394541403281160497e+00, 1.023011742102574839e+00, 1.137543273651034470e+00, 1.274263153636144841e+00, 1.415790680152956504e+00, 1.068374698137056100e+00, 1.205424383411013212e+00, 1.120994589656100437e+00, 1.158230068185829298e+00, 1.419270917717464053e+00, 2.177884363717271565e+00, 1.381824558783870893e+00, 1.472721741157335229e+00, 1.464127405750212940e+00
1.878000000000000000e+03, 2.166013325510325327e+00, 1.121641015961579502e+00, 1.414081774474210462e+00, 1.057865569082520052e+00, 1.121180938907394342e+00, 1.288250847946219135e+00, 1.419116893588256101e+00, 1.078740627539782393e+00, 1.175501037292913553e+00, 1.240156933061685507e+00, 1.246238037516578467e+00, 1.445281504961086760e+00, 2.417732285191576125e+00, 1.415115596397738207e+00, 1.424214278648794352e+00, 1.472836431940178104e+00
1.879000000000000000e+03, 2.158407702078687151e+00, 1.138742897956356526e+00, 1.420368068867528644e+00, 1.073189831477825651e+00, 1.114987971495569274e+00, 1.246108948097329305e+00, 1.400342131898977049e+00, 1.110394208913795921e+00, 1.161768100101665979e+00, 1.158339067227286190e+00, 1.219621645221352413e+00, 1.370746060454378856e+00, 2.047490884268785560e+00, 1.424433776328705381e+00, 1.409584833170404394e+00, 1.426483375417308297e+00
1.880000000000000000e+03, 2.175122808140711239e+00, 1.154256909411772725e+00, 1.394378675092719178e+00, 1.052923042715176560e+00, 1.188817640872663617e+00, 1.265958627861621721e+00, 1.415183270420020678e+00, 1.063158553920558358e+00, 1.109199480811750904e+00, 1.063842420118302767e+00, 1.286666905372110481e+00, 1.296646931141163472e+00, 1.859163898445184371e+00, 1.405566067631711213e+00, 1.466466567571864443e+00, 1.483077855381892629e+00
1.881000000000000000e+03, 2.099784275957186974e+00, 1.123787160151109354e+00, 1.418807021637906285e+00, 1.059663449480077402e+00, 1.173506990722378962e+00, 1.318090526399970708e+00, 1.425733887898922969e+00, 1.080008799465738356e+00, 1.193399300294248455e+00, 1.124945678422565321e+00, 1.209146132811425023e+00, 1.031079640939638775e+00, 2.095677254799698908e+00, 1.413029845599777401e+00, 1.426399709783154668e+00, 1.494038497263207699e+00
1.882000000000000000e+03, 2.114017947650506990e+00, 1.121282478030509289e+00, 1.412279579256217277e+00, 1.021139922827791091e+00, 1.169905280348723098e+00, 1.292762230360324560e+00, 1.468045105460835220e+00, 1.054357475267720501e+00, 1.177609704461873186e+00, 1.180103845476857760e+00, 1.145958828017300979e+00, 1.080323945948859388e+00, 2.379872304024134078e+00, 1.414714259069635771e+00, 1.414999850762621136e+00, 1.456479025360040147e+00
1.883000000000000000e+03, 2.105197123757084121e+00, 1.095289027425253581e+00, 1.439595474065963110e+00, 1.073436044885934804e+00, 1.123009340490114027e+00, 1.278816139773815364e+00, 1.514089062901641913e+00, 1.034882295820601650e+00, 1.086026233473625036e+00, 1.111035856207537087e+00, 1.150818592773259041e+00, 1.248861993433397100e+00, 2.458137205375590550e+00, 1.444622236227340206e+00, 1.432288903688735404e+00, 1.446741576377011507e+00
1.884000000000000000e+03, 2.098978637961841365e+00, 1.116389492923383742e+00, 1.467739349788074632e+00, 1.060100587350087942e+00, 1.135355537567212192e+00, 1.313371088625992611e+00, 1.342792451018990807e+00, 1.071391656615462873e+00, 1.084426395388916609e+00, 1.080544042836146135e+00, 1.158503688409434851e+00, 1.397121106228045306e+00, 2.263924850760088869e+00, 1.379115685492277699e+00, 1.391029118323972247e+00, 1.461985440020022287e+00
1.885000000000000000e+03, 2.076951270116456971e+00, 1.094640242679657538e+00, 1.450477194112134161e+00, 1.073843928720665808e+00, 1.085762325622142477e+00, 1.303470092675258485e+00, 1.375313889919705490e+00, 1.056616751118725661e+00, 1.068722164976459998e+00, 9.876013918078093701e-01, 1.234038969152067011e+00, 1.427675455074542521e+00, 2.137991701389688970e+00, 1.404653010440505501e+00, 1.390225432361368529e+00, 1.431009369820126498e+00
1.886000000000000000e+03, 2.099400595142545622e+00, 1.059707693709421861e+00, 1.474371274124284037e+00, 1.052021282681172121e+00, 1.095903201761638801e+00, 1.251267920992278571e+00, 1.344367370525726413e+00, 1.001235833153333310e+00, 1.084431015377009588e+00, 1.129635601884600549e+00, 1.247041853845679338e+00, 1.280565255940441460e+00, 2.206745181290593827e+00, 1.404495643457984499e+00, 1.413837705093645702e+00, 1.444640961169712190e+00
