year, CMCC-CM2-SR5, EC-Earth3-Veg, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, CESM2-WACCM, IPSL-CM6A-LR, CNRM-ESM2-1, MIROC-ES2L
1.850000000000000000e+03, 2.919623993765447026e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.695162661704977536e-01, 1.769602314434925175e-05, 7.909120297870041172e-02, 1.038762208922247993e-01, 0.000000000000000000e+00, 5.330176203140949420e-01
1.851000000000000000e+03, 8.195382934521450169e-02, 1.786877948929242559e-03, 1.186869757562607208e-02, 6.696070340488518013e-01, 4.107885503473956648e-05, 1.362405482032454096e-01, 1.087450659886078780e-01, 3.661179013687224613e-03, 5.566821130643331283e-01
1.852000000000000000e+03, 1.271847404701179352e-01, 3.546569933397245196e-03, 2.206215702333945775e-02, 6.769084111212748667e-01, 5.535686341811893300e-05, 1.848632768787288050e-01, 1.117759796375833309e-01, 6.964922101930576086e-03, 5.743727296315163100e-01
1.853000000000000000e+03, 1.652886269814230202e-01, 5.286035028390216953e-03, 3.146863439552160385e-02, 6.752597191795488563e-01, 6.371142722863459081e-05, 2.292947657723582722e-01, 1.144367619945295678e-01, 1.017114240929511797e-02, 5.873632141289737429e-01
1.854000000000000000e+03, 1.974517456047566732e-01, 6.999566868597023768e-03, 4.019238228009618108e-02, 6.770999786236484574e-01, 7.335522919706646860e-05, 2.624855071699439546e-01, 1.164246600294805700e-01, 1.307929733916461147e-02, 5.976825929414030236e-01
1.855000000000000000e+03, 2.251059407548026414e-01, 8.665485273588003495e-03, 4.848412020851934623e-02, 6.802121596954190386e-01, 7.948253921894393248e-05, 2.922981105374117816e-01, 1.181258925549238670e-01, 1.565093081946361195e-02, 6.068919197438455981e-01
1.856000000000000000e+03, 2.491178953306746879e-01, 1.026119047308475356e-02, 5.638720412693994100e-02, 6.856684784242201847e-01, 7.812303612733769093e-05, 3.219009892690505303e-01, 1.192417858335640679e-01, 1.780035752354245868e-02, 6.136145092629077258e-01
1.857000000000000000e+03, 2.700953704064613103e-01, 1.184283074190510890e-02, 6.393835412764502235e-02, 6.861335638319274732e-01, 7.381685288170423856e-05, 3.488350377936503266e-01, 1.203436505018588148e-01, 1.961337593149296496e-02, 6.192543371573051569e-01
1.858000000000000000e+03, 2.888017783770054359e-01, 1.341424044514754645e-02, 7.119054313280123725e-02, 6.886917566829900972e-01, 7.297856433308752186e-05, 3.723460547145952537e-01, 1.206402148674874802e-01, 2.109340356319807513e-02, 6.251997144208039092e-01
1.859000000000000000e+03, 3.057826764872506597e-01, 1.496945187487942926e-02, 7.816058955492291571e-02, 6.885290927616319889e-01, 7.569620342776776955e-05, 3.899657206134686249e-01, 1.207541145796338644e-01, 2.225241050519402228e-02, 6.305672513579742011e-01
1.860000000000000000e+03, 3.210187047290137818e-01, 1.650006997004936291e-02, 8.492246114122460610e-02, 6.867497403028253178e-01, 7.970251889998393859e-05, 4.114120929144937655e-01, 1.210784160497212908e-01, 2.286620392588768411e-02, 6.328684120290304360e-01
1.861000000000000000e+03, 3.346766538055001017e-01, 1.818967398545886030e-02, 9.231147273901345318e-02, 6.848700920121651992e-01, 8.491212693315214311e-05, 4.283459520649521846e-01, 1.214475998546030722e-01, 2.376036389982263963e-02, 6.357904422931914823e-01
1.862000000000000000e+03, 3.470837567187100015e-01, 1.985957594573187213e-02, 9.959417991585602092e-02, 7.008535872195099659e-01, 8.779225823447301920e-05, 4.492287127451337625e-01, 1.217632761895682952e-01, 2.458398050791192266e-02, 6.380577777963913899e-01
1.863000000000000000e+03, 3.584642888645942493e-01, 2.149840616591262160e-02, 1.067516261916356540e-01, 7.114600862354911737e-01, 9.403854907785670538e-05, 4.650502860791820847e-01, 1.220397522365880422e-01, 2.538002735292653467e-02, 6.402311908604568780e-01
1.864000000000000000e+03, 3.687647470545931117e-01, 2.309105567071610687e-02, 1.141077386995431459e-01, 7.146904522525251435e-01, 1.098855099119084693e-04, 4.804275731475099454e-01, 1.224357207365258660e-01, 2.604869849047545399e-02, 6.432064224408071684e-01
1.865000000000000000e+03, 3.780353799613744847e-01, 2.463692329421834568e-02, 1.212464849937524708e-01, 7.041887856720683292e-01, 1.176483447516276455e-04, 4.936885097549773005e-01, 1.230536606568440189e-01, 2.664765909083310555e-02, 6.485414880014190864e-01
1.866000000000000000e+03, 3.863973326815051124e-01, 2.583218567762560897e-02, 1.281334404460249821e-01, 7.005890737619645536e-01, 1.105521891725060643e-04, 5.058268508123178187e-01, 1.237163078326340426e-01, 2.713840765860405652e-02, 6.553464535609815345e-01
1.867000000000000000e+03, 3.938164055658519569e-01, 2.702580588937519152e-02, 1.348510357575728180e-01, 7.055819418722234504e-01, 1.054659652132477007e-04, 5.193223133299871286e-01, 1.241627657568770415e-01, 2.757377401245176413e-02, 6.603027471587270547e-01
1.868000000000000000e+03, 4.005837370157659394e-01, 2.822094785469046047e-02, 1.413867860532461718e-01, 7.141468382453782793e-01, 1.029827328852383751e-04, 5.337676534049393684e-01, 1.247348201689850583e-01, 2.796694491236295307e-02, 6.630415127131216169e-01
1.869000000000000000e+03, 4.065619838346263282e-01, 2.943580331742914544e-02, 1.477366308732828426e-01, 7.204583758547464800e-01, 1.023067158955321651e-04, 5.477758478020247068e-01, 1.252626232782818316e-01, 2.826449540908020433e-02, 6.638554294108161002e-01
1.870000000000000000e+03, 4.119684477468340544e-01, 3.063747529474960749e-02, 1.539188430176347544e-01, 7.212920274851348790e-01, 1.003830999570109344e-04, 5.555615412153701582e-01, 1.260409435690210689e-01, 2.862081260339510713e-02, 6.719201657113947901e-01
1.871000000000000000e+03, 4.175656457814909683e-01, 3.191469495949092461e-02, 1.599646863489058435e-01, 7.186477077197602759e-01, 1.007568842178201336e-04, 5.688097660978530534e-01, 1.272516223022606974e-01, 2.949729608794311383e-02, 6.788924469301272913e-01
1.872000000000000000e+03, 4.232428533803535009e-01, 3.318795821476104579e-02, 1.659068114767930369e-01, 7.254180967347177988e-01, 1.029901243938422878e-04, 5.819829434049634820e-01, 1.280732111115987504e-01, 3.023469940075059620e-02, 6.856333289020444255e-01
1.873000000000000000e+03, 4.282577497948576450e-01, 3.440605756451930314e-02, 1.716978555420871355e-01, 7.334253684528735384e-01, 1.136333910892827994e-04, 5.942165058451488457e-01, 1.291679545011616137e-01, 3.085860464903533024e-02, 6.917619534656125335e-01
1.874000000000000000e+03, 4.326130997038010184e-01, 3.562892343641132359e-02, 1.773815171138242719e-01, 7.367570552004257811e-01, 1.212687517810914453e-04, 6.054421880977578496e-01, 1.300109905557312873e-01, 3.133717969563470929e-02, 6.981790732785420062e-01
1.875000000000000000e+03, 4.367847146681220205e-01, 3.683120189072443262e-02, 1.829706427627478815e-01, 7.422474037914951195e-01, 1.203712809723989828e-04, 6.182358023761405086e-01, 1.314095054232231330e-01, 3.173308835215078727e-02, 7.043932287409995219e-01
1.876000000000000000e+03, 4.407903315034397140e-01, 3.822319099320415497e-02, 1.884633947425693457e-01, 7.389520281301825699e-01, 1.204248232994026085e-04, 6.300121589213214524e-01, 1.330296984375865244e-01, 3.197398216674646187e-02, 7.095326550871374760e-01
1.877000000000000000e+03, 4.445306956815000543e-01, 3.958062384587588550e-02, 1.938707058143397111e-01, 7.460922124447094683e-01, 1.322909359285342947e-04, 6.330047010539608943e-01, 1.342380202145894430e-01, 3.208948991443932169e-02, 7.142461781897707640e-01
1.878000000000000000e+03, 4.477934239337743594e-01, 4.094356119032150493e-02, 1.991929581930699245e-01, 7.455122334195223299e-01, 1.517136840704484961e-04, 6.410668571328361764e-01, 1.351970561021637041e-01, 3.207650629676164072e-02, 7.190066699117144688e-01
1.879000000000000000e+03, 4.505328187313157873e-01, 4.232317747857274048e-02, 2.045784998176295444e-01, 7.488992697763313666e-01, 1.632340968619356843e-04, 6.516560376104482133e-01, 1.359036865292355956e-01, 3.203150321842769543e-02, 7.239083460795427971e-01
1.880000000000000000e+03, 4.527448424416691819e-01, 4.369682168367591130e-02, 2.097382618935326459e-01, 7.575462086141062645e-01, 1.652125869025041654e-04, 6.592111197295896785e-01, 1.367541065559272073e-01, 3.190060968673327779e-02, 7.274951826048403625e-01
1.881000000000000000e+03, 4.548418880648849583e-01, 4.471806095501346806e-02, 2.127615075724633431e-01, 7.673384676783856495e-01, 9.255572851830180716e-04, 6.668863790473100739e-01, 1.374241011165686088e-01, 3.208120412389469517e-02, 7.309723037549893387e-01
1.882000000000000000e+03, 4.570868561817500453e-01, 4.575117191995556332e-02, 2.160023140998797164e-01, 7.743275013981103516e-01, 2.515868488169229963e-03, 6.729063405397572861e-01, 1.382857479022023273e-01, 3.221375477574459079e-02, 7.350221456065009207e-01
1.883000000000000000e+03, 4.593106069655768509e-01, 4.677939636666276352e-02, 2.193316156147472606e-01, 7.787155129365228579e-01, 3.884852014039756173e-03, 6.792807259717982271e-01, 1.393779040377647049e-01, 3.225588710270076154e-02, 7.380638663955295664e-01
1.884000000000000000e+03, 4.613180689057149730e-01, 4.781777077475325710e-02, 2.227018359427637151e-01, 7.817563240734032304e-01, 5.161981542450851113e-03, 6.903337237393966097e-01, 1.405130843805509899e-01, 3.221104872973487576e-02, 7.409635607990924244e-01
1.885000000000000000e+03, 4.631891174116143373e-01, 4.887174172564338892e-02, 2.260788860335286865e-01, 7.937951535026325223e-01, 6.422059550877667194e-03, 6.955459326788963059e-01, 1.415300324977054602e-01, 3.212102817941673433e-02, 7.439595763192662359e-01
1.886000000000000000e+03, 4.647856074911485003e-01, 4.995275548293254958e-02, 2.294781126802190874e-01, 7.886259081114072034e-01, 7.644508808023868680e-03, 6.970534064866052981e-01, 1.422447746731062002e-01, 3.194976356732941863e-02, 7.469413989306421531e-01
1.887000000000000000e+03, 4.657707168371134077e-01, 5.102002956436153119e-02, 2.329609402215266079e-01, 7.859114636629248585e-01, 8.748624675121760563e-03, 6.987762165322856101e-01, 1.431888804811838611e-01, 3.173100422068593496e-02, 7.493401634903991138e-01
1.888000000000000000e+03, 4.665206643107431272e-01, 5.208256526180447127e-02, 2.363893062463749417e-01, 7.961741337750893877e-01, 9.847929732071483352e-03, 7.085050893245449233e-01, 1.442489013851457058e-01, 3.141317805175789651e-02, 7.507045807877668064e-01
1.889000000000000000e+03, 4.672867327545839888e-01, 5.309800407263845501e-02, 2.397853276824535307e-01, 7.972615317461944073e-01, 1.129159523985520663e-02, 7.150717669133891397e-01, 1.446090630064794935e-01, 3.107730851452471590e-02, 7.517444955932359729e-01
1.890000000000000000e+03, 4.682973535997997372e-01, 5.413012839411119465e-02, 2.432049299850592428e-01, 7.922723714244043203e-01, 1.120347543167264127e-02, 7.181366181478923139e-01, 1.455160700085293135e-01, 3.062465491000423284e-02, 7.603572738951330789e-01
1.891000000000000000e+03, 4.690447542338487819e-01, 5.505979397011701720e-02, 2.510162534381274457e-01, 7.965550733653397053e-01, 1.015738154681629889e-02, 7.254549754530179584e-01, 1.468296235635827840e-01, 3.116653159474852205e-02, 7.668747583581045912e-01
1.892000000000000000e+03, 4.695347777273322643e-01, 5.605714542978242065e-02, 2.581313187632863770e-01, 8.027692543692787064e-01, 9.727975888007018429e-03, 7.329670223679213281e-01, 1.478066604688954566e-01, 3.164538750779802984e-02, 7.718140741098381552e-01
1.893000000000000000e+03, 4.699869383486444119e-01, 5.708555686136643909e-02, 2.650029013204316386e-01, 8.078811602266153802e-01, 9.561548818809103428e-03, 7.367645988832758341e-01, 1.493993984875774117e-01, 3.207955482207660441e-02, 7.748500828168671806e-01
1.894000000000000000e+03, 4.703688963545440971e-01, 5.814886083021486574e-02, 2.715665629585773400e-01, 8.206737056726801649e-01, 9.571214743702587124e-03, 7.400813305144500198e-01, 1.506850199377030297e-01, 3.250697519294734605e-02, 7.783045294744018738e-01
1.895000000000000000e+03, 4.707478430578670436e-01, 5.921244066531856920e-02, 2.779359587786013330e-01, 8.240409239857059420e-01, 9.550565975323980009e-03, 7.493108174975636748e-01, 1.518628039094986060e-01, 3.286066065533765207e-02, 7.831204344257803873e-01
1.896000000000000000e+03, 4.710473866479716887e-01, 6.026645248929418663e-02, 2.841349747522357583e-01, 8.181233431971571823e-01, 9.729262783308545437e-03, 7.511505534758539104e-01, 1.529187133284415356e-01, 3.312258148802356417e-02, 7.886496140524411613e-01
1.897000000000000000e+03, 4.711962300418185978e-01, 6.144018300951206019e-02, 2.902850319474720164e-01, 8.250881338562795486e-01, 9.922473241329988342e-03, 7.539216245181560305e-01, 1.539131195920267203e-01, 3.325422289155501032e-02, 7.925358803803236318e-01
1.898000000000000000e+03, 4.714199069919905449e-01, 6.263727826361975559e-02, 2.961748097832319071e-01, 8.239572339759587694e-01, 1.014270860143707577e-02, 7.565455425586893323e-01, 1.545865378701819504e-01, 3.329345505399504412e-02, 7.964858248795998463e-01
1.899000000000000000e+03, 4.717362152970655531e-01, 6.389688307611339491e-02, 3.019571504631466952e-01, 8.417537960256727958e-01, 1.068667071662733614e-02, 7.576038616354863198e-01, 1.552515973010132611e-01, 3.328641490782437845e-02, 8.027713409163048652e-01
