year, NorESM2-MM, GFDL-ESM4, TaiESM1, CNRM-ESM2-1, NorESM2-LM
1.850000000000000000e+03, 5.525856884925634046e-10, 2.358856496701731645e-10, 1.465664735757456662e-10, 2.650523183460047248e-10, 2.410971178697727978e-10
1.851000000000000000e+03, 2.422694379526928486e-10, 2.843625035701614742e-10, 1.258198027690610806e-10, 2.777590431511536367e-10, 3.922960097507842744e-10
1.852000000000000000e+03, 4.688906286938548625e-10, 3.660940948359452865e-10, 1.392434203523625642e-10, 2.334790789735068487e-10, 2.023232445416208732e-10
1.853000000000000000e+03, 9.363911327582726074e-10, 2.267936605128835863e-10, 9.254608696211369593e-11, 2.383761754954209874e-10, 5.599287994346625615e-10
1.854000000000000000e+03, 2.912425471448452422e-10, 3.500113261425882740e-10, 7.541151232192224932e-11, 2.242448016289093666e-10, 1.168726127202683083e-10
1.855000000000000000e+03, 1.323107990762845177e-10, 3.180626079885431781e-10, 1.791504689665273117e-10, 7.207898994250586222e-10, 1.480199299384393526e-10
1.856000000000000000e+03, 3.326404526623795356e-10, 3.561950755911673226e-10, 1.631047813444503613e-10, 2.954352916282848456e-10, 3.634269096393256189e-10
1.857000000000000000e+03, 5.497732240604115901e-10, 4.909616850986068440e-10, 9.461626902779023462e-11, 4.603146723148737386e-10, 3.816691875806620375e-10
1.858000000000000000e+03, 3.691216167135213595e-10, 4.204131207602159381e-10, 7.690892631809096972e-11, 5.830781050853463785e-10, 2.240857894285114982e-10
1.859000000000000000e+03, 2.876136005356282039e-10, 2.895784329872120625e-10, 1.673502518093018713e-10, 2.072553792690662063e-10, 1.837451736568778610e-10
1.860000000000000000e+03, 2.689731822668110788e-10, 4.882969446712397511e-10, 1.490439710615850778e-10, 1.859090394218194886e-10, 5.554564697827274201e-10
1.861000000000000000e+03, 3.296989805215563129e-10, 2.802051259870408183e-10, 1.353833383434457811e-10, 2.653515850677372490e-10, 3.554454018299445580e-10
1.862000000000000000e+03, 3.571504928134543277e-10, 2.459012737006422481e-10, 1.268135075350094484e-10, 2.324366617058428381e-10, 2.072376203902195548e-10
1.863000000000000000e+03, 3.683378362510625598e-10, 4.350469775772856459e-10, 9.765509383486092615e-11, 3.125801485232961459e-10, 3.165103691035799448e-10
1.864000000000000000e+03, 2.377139296554360347e-10, 2.624870811445867296e-10, 1.316719209063056268e-10, 2.704967606255216696e-10, 5.024343896485635325e-10
1.865000000000000000e+03, 3.142095855829398261e-10, 2.173893468830187246e-10, 1.432495980674201930e-10, 3.340693715595061506e-10, 4.776357326442793045e-10
1.866000000000000000e+03, 7.297759704575676730e-11, 2.859792618130453212e-10, 1.115748819367647656e-10, 3.943764040998227131e-10, 3.182627920791122299e-10
1.867000000000000000e+03, 1.653378503276141170e-10, 2.620698701582378372e-10, 1.290318852332820339e-10, 2.304466740418022660e-10, 2.005422422916725450e-10
1.868000000000000000e+03, 7.609426596503206878e-10, 3.373134073560559189e-10, 1.540555481247675012e-10, 3.181507216915382213e-10, 2.234083077464339997e-10
