year, GFDL-ESM4, INM-CM4-8, NorESM2-MM, UKESM1-0-LL, NorESM2-LM, EC-Earth3-Veg, CESM2-WACCM, TaiESM1, MPI-ESM1-2-LR, INM-CM5-0, ACCESS-ESM1-5, IPSL-CM6A-LR, CanESM5, MIROC-ES2L, CMCC-CM2-SR5, CNRM-ESM2-1
1.867000000000000000e+03, 2.382421226802399872e+00, 1.967366445780992956e+00, 2.025875022236345746e+00, 2.174235668581058434e+00, 1.974379485154145852e+00, 2.061241047925642000e+00, 2.255892598063689913e+00, 2.145243343346681542e+00, 2.280094619526709110e+00, 1.913241858124970829e+00, 2.261446786331362535e+00, 2.452158296867528176e+00, 2.169360857394975639e+00, 2.328590457553602722e+00, 2.162100258294568533e+00, 2.619828860090557932e+00
1.868000000000000000e+03, 2.416984409181276661e+00, 1.849848416669892082e+00, 1.723380943309648083e+00, 1.816734711474288888e+00, 2.056113538228844018e+00, 2.116948493752850435e+00, 1.926617345400512438e+00, 2.131864843246227270e+00, 2.288904803285144673e+00, 1.823663642728416523e+00, 2.525582726659870048e+00, 2.624729868204977112e+00, 1.877762568692112222e+00, 2.460253215664475857e+00, 2.171879968468789279e+00, 2.458262577209703537e+00
1.869000000000000000e+03, 2.499088647705612676e+00, 1.875296576883816790e+00, 1.926031625394042601e+00, 1.869159587215435181e+00, 2.000558944202687428e+00, 2.097066332477056427e+00, 2.233135375064581929e+00, 1.979479147146502305e+00, 2.119275104340466065e+00, 1.947969404863238108e+00, 2.275125965652280424e+00, 2.539344426835449475e+00, 2.171907725739986805e+00, 2.244566698131702065e+00, 2.317467427559586568e+00, 2.624576524727061155e+00
1.870000000000000000e+03, 2.436558350000978646e+00, 1.944908518201258207e+00, 1.939940093886684647e+00, 1.898865339811727004e+00, 1.922480185972987865e+00, 1.897219924204686325e+00, 2.099126270915377734e+00, 2.082366294808760454e+00, 1.986105776851000204e+00, 1.887234224584444453e+00, 2.339018706990649843e+00, 2.327235402630758898e+00, 1.726859022097643415e+00, 2.537200561743826910e+00, 2.268446197571111878e+00, 2.348675496209736480e+00
1.871000000000000000e+03, 2.436326219205128485e+00, 1.774742298524458306e+00, 1.832558919756176685e+00, 2.009270046242116692e+00, 2.119396246968098918e+00, 1.770617972291853359e+00, 2.143426970952797550e+00, 2.056281600995311987e+00, 2.349036100197934740e+00, 1.902355449235037632e+00, 2.582514078053043782e+00, 2.456841841435021045e+00, 2.056492732703294024e+00, 2.572968324343155366e+00, 2.092133708248939961e+00, 2.449020740545816643e+00
1.872000000000000000e+03, 2.610623423657058240e+00, 1.841832733074169060e+00, 1.900909992381029756e+00, 2.142437312416304529e+00, 1.988382007279504204e+00, 1.800506184453884329e+00, 1.957147445893847593e+00, 2.079856257008664944e+00, 2.285958531503574864e+00, 1.948005085926565849e+00, 2.382573688395053235e+00, 2.669538371983040115e+00, 2.035559955158177114e+00, 2.369123414156401708e+00, 1.935747206239456064e+00, 2.555486995638890590e+00
1.873000000000000000e+03, 2.313434121072954763e+00, 1.792566699717722090e+00, 1.995478110124854654e+00, 2.239811251119704139e+00, 1.894571494121618738e+00, 2.056331946442484959e+00, 2.089797485216827955e+00, 2.399156189953014717e+00, 2.420903991273898548e+00, 1.859711161916515199e+00, 2.549734703538364844e+00, 2.524056765204480524e+00, 2.045612392798100032e+00, 2.493636050862680698e+00, 2.179985169480107121e+00, 2.439931871773986849e+00
1.874000000000000000e+03, 2.493439285272102790e+00, 1.852285304836323476e+00, 1.893214721001018397e+00, 2.097264893100752481e+00, 2.056882474765539648e+00, 1.989415459771111117e+00, 1.949838611970629021e+00, 2.018772502588407569e+00, 2.221254458287776679e+00, 2.061333921015169768e+00, 2.457368557164747447e+00, 2.653241064881231903e+00, 2.038423882397605524e+00, 2.455884971877567935e+00, 2.268191045501792402e+00, 2.607009180711618246e+00
1.875000000000000000e+03, 2.433462267941672419e+00, 2.032226427603032182e+00, 1.981257030510916506e+00, 1.906223611409797014e+00, 1.825018399488828269e+00, 1.938704956640111998e+00, 1.988849413420193057e+00, 2.287248980245009111e+00, 2.247086158702254366e+00, 1.985556842599798921e+00, 2.468173390202042849e+00, 2.674348772056734269e+00, 1.879800363862623946e+00, 2.509834454433803597e+00, 2.162120817380098980e+00, 2.216032032929918127e+00
1.876000000000000000e+03, 2.592846976177133556e+00, 1.889218653795477376e+00, 1.909813069386631534e+00, 2.150869999450947923e+00, 1.869055872992638090e+00, 1.897785199345166429e+00, 2.111003912702630547e+00, 2.145148421674041739e+00, 2.240193578635393923e+00, 1.984159346194169116e+00, 2.606263937460536084e+00, 2.628812866925699598e+00, 1.982868348531532821e+00, 2.424507762092237950e+00, 2.186216663208954802e+00, 2.342011271951749851e+00
1.877000000000000000e+03, 2.542177723729405425e+00, 1.859218620332591110e+00, 2.002722812884498715e+00, 2.161859609433527396e+00, 1.886260154428256453e+00, 1.930149136225665751e+00, 1.836361269019509246e+00, 2.228321488397158490e+00, 2.272931335582716983e+00, 2.123720234134015783e+00, 2.461102905507169591e+00, 2.563636694152195084e+00, 1.988845000605973246e+00, 2.240705589437975487e+00, 2.151141050370439345e+00, 2.570941507783872648e+00
1.878000000000000000e+03, 2.633004205240768059e+00, 1.848550848773756972e+00, 2.010003932986445641e+00, 2.399242635354128073e+00, 1.943767541496119744e+00, 2.032791580397458997e+00, 2.194723054399334572e+00, 2.165551406621276875e+00, 2.274470759842767364e+00, 1.850238502749780301e+00, 2.504263187467096419e+00, 2.469908565784348919e+00, 1.931367454828485153e+00, 2.465650290358457841e+00, 2.021011510501428798e+00, 2.746165798777687073e+00
1.879000000000000000e+03, 2.505576593225216087e+00, 1.899147499746747236e+00, 2.052025700273961917e+00, 2.061657375067760700e+00, 1.972670374651428471e+00, 2.110434378209969264e+00, 2.053304055948056206e+00, 2.026392984935929675e+00, 2.190831041957957304e+00, 1.946548657471963928e+00, 2.424775934040740211e+00, 2.536245314899826742e+00, 2.053272097191843226e+00, 2.454546968633927406e+00, 2.176541753472730267e+00, 2.452493680114955055e+00
