year, IPSL-CM6A-LR, MPI-ESM1-2-LR, MIROC-ES2L, CESM2-WACCM, CNRM-ESM2-1, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-ESM2
1.885000000000000000e+03, 2.012372436214242348e-09, 1.317008987132702932e-09, 1.280942534665028812e-09, 6.328946240915973849e-10, 1.082803503807819660e-10, 6.607592547156501675e-11, 1.323589161561921305e-11, 2.117252338539225441e-10
1.886000000000000000e+03, 2.126587910899856071e-09, 1.267998043549482798e-09, 1.283833292159705378e-09, 5.780552071267281000e-10, 1.085356569835090311e-10, 6.617669556494428276e-11, 1.478835924771976292e-11, 2.099142038720398370e-10
1.887000000000000000e+03, 2.032088726774530889e-09, 1.237493126097911861e-09, 1.283371328224081911e-09, 5.291250267265869946e-10, 1.084902234421927492e-10, 6.643822867017624271e-11, 1.595847703418878872e-11, 2.079324291077819176e-10
1.888000000000000000e+03, 1.823807099531189843e-09, 1.283020547719883621e-09, 1.278402960434539899e-09, 5.789827262202356850e-10, 1.085679358141090617e-10, 6.656596122768261128e-11, 1.715198191649434055e-11, 2.059851612297912097e-10
1.889000000000000000e+03, 1.927974642971286013e-09, 1.273663285033661471e-09, 1.276366890842254335e-09, 5.963420403780388273e-10, 1.087908639989603126e-10, 6.666715757708182524e-11, 1.940452343172517726e-11, 2.040799880309518843e-10
1.890000000000000000e+03, 2.026836252723303204e-09, 1.230852897092591915e-09, 1.315267490472189367e-09, 5.751025012580002432e-10, 1.088221706622039414e-10, 6.685403155947689490e-11, 1.685978393835064755e-11, 2.023907807388309470e-10
1.891000000000000000e+03, 2.039794410956777940e-09, 1.243055801088807244e-09, 1.327074208848299049e-09, 5.970917218427085581e-10, 1.081547578675150594e-10, 7.458242068191014887e-11, 1.232014259172323315e-11, 2.007997447060030229e-10
1.892000000000000000e+03, 2.411516093947780805e-09, 1.265437745849247010e-09, 1.328899535739249792e-09, 6.243839950620661328e-10, 1.094330108074596409e-10, 7.803894655242540708e-11, 1.085651278993712021e-11, 1.992712768161563504e-10
1.893000000000000000e+03, 2.274892069449807131e-09, 1.281748641308185503e-09, 1.327127000932830418e-09, 6.089113253842036065e-10, 1.103966826984708298e-10, 8.012383291939591473e-11, 1.053724453987443753e-11, 1.978784029848999552e-10
1.894000000000000000e+03, 2.329591952433403460e-09, 1.344124434263229933e-09, 1.331909498462698326e-09, 5.895832267157799431e-10, 1.114251688417424026e-10, 8.139306732704287309e-11, 1.078749789676022175e-11, 1.965917778310035842e-10
1.895000000000000000e+03, 2.303133973697326309e-09, 1.349169496435134302e-09, 1.346543174984357357e-09, 6.417981270992642658e-10, 1.127151781770329697e-10, 8.239691859895936100e-11, 1.086747541988095506e-11, 1.952917328500164293e-10
1.896000000000000000e+03, 2.237250130066563910e-09, 1.298966544707212730e-09, 1.355989550616361484e-09, 6.085178947150897507e-10, 1.142995971137115386e-10, 8.326331014592572659e-11, 1.151033930044349604e-11, 1.940529030597661452e-10
1.897000000000000000e+03, 1.987892193048409004e-09, 1.324446403230041239e-09, 1.357605936494157450e-09, 5.904055477680859262e-10, 1.159388000526545514e-10, 8.422592228508507200e-11, 1.202524300260265582e-11, 1.928029356187131493e-10
1.898000000000000000e+03, 1.994451055167420652e-09, 1.302134245750926677e-09, 1.363824741062988684e-09, 5.793215740028002778e-10, 1.177027303164054802e-10, 8.485063557270071486e-11, 1.250430899138368111e-11, 1.913430585764441547e-10
1.899000000000000000e+03, 2.155053887106124423e-09, 1.391339443762146944e-09, 1.385002143926951961e-09, 5.586799403479030870e-10, 1.195607470875791401e-10, 8.551607468820920421e-11, 1.388426406605087672e-11, 1.899334055453678597e-10
1.900000000000000000e+03, 2.186905658798276505e-09, 1.385077612663039162e-09, 1.434221999106482038e-09, 5.727633866754310442e-10, 1.215235605611856657e-10, 8.616688383459526750e-11, 1.398699783899158521e-11, 1.886835228019407654e-10
1.901000000000000000e+03, 1.883543001466381139e-09, 1.325473937797089143e-09, 1.438757869214422774e-09, 6.315008013298226892e-10, 1.216637588240291395e-10, 9.051639188818187922e-11, 1.350972599744986088e-11, 1.873233545121359417e-10
1.902000000000000000e+03, 2.420282036986336007e-09, 1.322452851471663288e-09, 1.450143300578601192e-09, 6.495330986610694040e-10, 1.240076749784433135e-10, 9.283552743774592758e-11, 1.309029018534870847e-11, 1.860237796565746741e-10
1.903000000000000000e+03, 2.394491240780837625e-09, 1.366498873932358024e-09, 1.463707053770061545e-09, 6.031103642601877250e-10, 1.262666313770126067e-10, 9.433759992050440643e-11, 1.295792293424937231e-11, 1.849684590159593168e-10
1.904000000000000000e+03, 2.403689679333772419e-09, 1.468419346175726460e-09, 1.469628976723805834e-09, 5.714427138055803955e-10, 1.284089350523391665e-10, 9.552989224519112681e-11, 1.323144236452980526e-11, 1.840736168890962809e-10
1.905000000000000000e+03, 2.381158343024270468e-09, 1.496256457281404028e-09, 1.467061463113890178e-09, 5.396295231374820621e-10, 1.305138761170755106e-10, 9.654750661667337025e-11, 1.379389490525882933e-11, 1.831382404570249841e-10
1.906000000000000000e+03, 2.529715259716027868e-09, 1.524261313774754054e-09, 1.471469453594675807e-09, 5.837094650586539696e-10, 1.325141442336646461e-10, 9.737962931802977787e-11, 1.538205433906090269e-11, 1.820228844851837119e-10
1.907000000000000000e+03, 2.266384045596744546e-09, 1.505369965266420495e-09, 1.487452019157864138e-09, 6.707244041561249326e-10, 1.347113732289838630e-10, 9.828962252604216843e-11, 1.623161413720743343e-11, 1.810276724168023465e-10
1.908000000000000000e+03, 2.138300772811501150e-09, 1.557735947530481637e-09, 1.501598889673142768e-09, 6.794063752115053433e-10, 1.371285284034083325e-10, 9.909028490408130604e-11, 1.654472942862030216e-11, 1.799839584029725179e-10
1.909000000000000000e+03, 2.310406350380517724e-09, 1.583042936767053716e-09, 1.510167492687483499e-09, 6.183868149793940519e-10, 1.396415997340652732e-10, 9.987561001770284850e-11, 1.694469900268332555e-11, 1.789228557900493937e-10
1.910000000000000000e+03, 2.284179218009293598e-09, 1.548131668469487052e-09, 1.392142112218643369e-09, 6.381712757773206186e-10, 1.422272760700520010e-10, 1.008079598081856667e-10, 1.304300588948505881e-11, 1.771359431499219227e-10
1.911000000000000000e+03, 2.371404569667530251e-09, 1.486208965278743964e-09, 1.372941437578293534e-09, 6.709414287595109658e-10, 1.426684939354190433e-10, 8.686591175602148710e-11, 7.906019796218226929e-12, 1.748340155572708062e-10
1.912000000000000000e+03, 2.347118019119600993e-09, 1.474528727894715743e-09, 1.365590711984697142e-09, 6.813251133402151765e-10, 1.348143471421728888e-10, 8.107464775622261519e-11, 5.744019670387832966e-12, 1.728258072274963066e-10
1.913000000000000000e+03, 2.525486977213327697e-09, 1.468378672294286055e-09, 1.349006495203642020e-09, 6.252408234165951118e-10, 1.270484167000855071e-10, 7.825605908814735440e-11, 4.726551205745980818e-12, 1.708665338678416924e-10
1.914000000000000000e+03, 2.567662956039813421e-09, 1.518635730355688949e-09, 1.335405108894350663e-09, 5.780545912086265350e-10, 1.194075636309241280e-10, 7.667433085254658153e-11, 4.174697037212133351e-12, 1.690026925734127815e-10
1.915000000000000000e+03, 2.307762618791545361e-09, 1.571970787380073435e-09, 1.337705228697799934e-09, 6.334287585002126834e-10, 1.118608542183609126e-10, 7.557667776587841257e-11, 3.756392726377229335e-12, 1.673491319163180784e-10
1.916000000000000000e+03, 2.289852975014062923e-09, 1.517820937980870826e-09, 1.338824085961010613e-09, 6.251809848485608588e-10, 1.041558901956465013e-10, 7.470499365450669002e-11, 3.437898005782367075e-12, 1.658407921466851636e-10
1.917000000000000000e+03, 1.859035559466904940e-09, 1.491223888321346864e-09, 1.327355932339688759e-09, 6.543166458308395595e-10, 9.628721348104453107e-11, 7.395253582262823393e-11, 3.122445344420493931e-12, 1.650474671561245306e-10
1.918000000000000000e+03, 2.334482808865120084e-09, 1.484625125367854216e-09, 1.320073912640260652e-09, 6.698898713439773026e-10, 8.843397736378759717e-11, 7.309783377047940535e-11, 2.808332618315554188e-12, 1.650302120142533468e-10
1.919000000000000000e+03, 2.261347083382128187e-09, 1.480916863719607837e-09, 1.318829180087553916e-09, 6.091570949211691478e-10, 8.047916013100981796e-11, 7.246392852105624815e-11, 2.538111953199473511e-12, 1.647034618200960287e-10
1.920000000000000000e+03, 2.434259270019338328e-09, 1.471223744510726439e-09, 1.398380626287244486e-09, 6.151758629514731764e-10, 7.271061176477188781e-11, 7.213358905322835957e-11, 2.295852682962422892e-12, 1.640948494733749401e-10
1.921000000000000000e+03, 2.587945292968167901e-09, 1.548036606951833194e-09, 1.414348923829064476e-09, 5.800623243491482146e-10, 7.266401886077111552e-11, 7.655531030040763428e-11, 2.106053207593979806e-12, 1.629925039774348703e-10
1.922000000000000000e+03, 2.461512327951906542e-09, 1.483090271389487712e-09, 1.416745341615152261e-09, 5.663325188754893209e-10, 7.731912704053237127e-11, 7.836459133103968001e-11, 1.922085646937940804e-12, 1.611065183817595106e-10
