year, TaiESM1, IPSL-CM6A-LR, EC-Earth3-Veg, NorESM2-MM, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, NorESM2-LM, CMCC-ESM2, UKESM1-0-LL
1.850000000000000000e+03, 7.234064477766744477e-11, 1.799794522435830306e-12, 0.000000000000000000e+00, 1.960910885086402341e-10, 1.853080465913840426e-11, 0.000000000000000000e+00, 5.301017325324807447e-11, 1.770210263818290627e-10, 7.661876358022498066e-11, 7.240380394819291306e-14
1.851000000000000000e+03, 1.354511443881471833e-10, 4.061366237064019049e-11, 2.182542641107632081e-10, 3.387755166911829321e-10, 3.123928259460410016e-11, 1.341038781196225534e-10, 1.765673814664105683e-10, 3.351947394225732133e-10, 1.233332536279266707e-10, 1.656541689406111244e-13
1.852000000000000000e+03, 1.707706407475457409e-10, 4.263529330269703659e-11, 2.190577895583467333e-10, 3.864781109276005463e-10, 3.410547374533011815e-11, 1.420938424275909895e-10, 2.163777367898575175e-10, 3.434957183883722315e-10, 1.607996513851624499e-10, 2.123197268549902030e-13
1.853000000000000000e+03, 1.881836097647472163e-10, 4.477381118598436209e-11, 2.205546532666545899e-10, 4.005114544880682731e-10, 3.565942578020354608e-11, 1.551913033199807242e-10, 2.468461685507542135e-10, 3.775885349378106738e-10, 1.917780769644672973e-10, 2.281679236807103245e-13
1.854000000000000000e+03, 1.944796604677257563e-10, 4.664645092717718537e-11, 2.212461577399976985e-10, 4.452933126050039521e-10, 3.668473599915625958e-11, 1.646037176081948843e-10, 2.724401904482162012e-10, 3.813891639583569585e-10, 2.151882216009885226e-10, 2.509395773612419845e-13
1.855000000000000000e+03, 1.928426662001289344e-10, 4.870681179826575159e-11, 2.192378202167108956e-10, 4.727313767274968168e-10, 3.760508843173505072e-11, 1.734697919359629656e-10, 2.941899536774738071e-10, 4.400064370675520077e-10, 2.298944193455675662e-10, 2.567513255548608794e-13
1.856000000000000000e+03, 1.877497939765670284e-10, 5.069034107144011725e-11, 2.146786217936956185e-10, 4.299183132069555249e-10, 3.865684266185753413e-11, 1.794777705531466896e-10, 3.101246203043202794e-10, 4.841035889639253462e-10, 2.419443225178852647e-10, 2.251657373862711748e-13
1.857000000000000000e+03, 1.817081272908671247e-10, 5.283607097611660296e-11, 2.168536052645639863e-10, 4.352844654065885396e-10, 3.917554499830585106e-11, 1.877069379225631190e-10, 3.227140453182814107e-10, 4.910739423095267503e-10, 2.573442804014021123e-10, 1.820718036967515980e-13
1.858000000000000000e+03, 1.752017459649911958e-10, 5.461740200034401085e-11, 2.240970996313316885e-10, 4.651944247167498742e-10, 4.012800191898833945e-11, 1.953343957675865886e-10, 3.336070879192373659e-10, 4.949041799381541105e-10, 2.672724706548430532e-10, 1.591529429929189471e-13
1.859000000000000000e+03, 1.669969420516319392e-10, 5.663214271237779679e-11, 2.272292873745618914e-10, 5.179547497459824701e-10, 4.063179917569783845e-11, 2.035494474707409982e-10, 3.422616855117701562e-10, 5.139465365235575421e-10, 2.719429023104093233e-10, 1.589786244808768250e-13
1.860000000000000000e+03, 1.551334129319281901e-10, 5.876791045848359830e-11, 2.268026640096533475e-10, 5.855235028203849393e-10, 3.974696753777667537e-11, 2.113880205632838640e-10, 3.492116546344718413e-10, 4.700537287183883982e-10, 2.767184761890300805e-10, 1.641401138757354874e-13
1.861000000000000000e+03, 1.460504317792949450e-10, 5.931795523715411359e-11, 2.391380970937539376e-10, 5.967721949875129380e-10, 3.950111066553673217e-11, 2.181604187766343663e-10, 3.723715998533493256e-10, 4.846825608623370857e-10, 2.809833404766706193e-10, 1.723809498404428594e-13
1.862000000000000000e+03, 1.378510207214462912e-10, 5.937352516997516959e-11, 2.391854314934412908e-10, 5.729113264892432033e-10, 4.041945742438619366e-11, 2.209839390333727583e-10, 3.770555102595794034e-10, 5.423153672669788132e-10, 2.830549751035847298e-10, 1.698405653913635677e-13
1.863000000000000000e+03, 1.300169110457770679e-10, 5.927194465653785687e-11, 2.385476530349098929e-10, 5.991948006506236213e-10, 4.063242186726483630e-11, 2.243286358479876005e-10, 3.808297781292025415e-10, 5.235777080013713732e-10, 2.849522428514622642e-10, 1.858307309334659846e-13
1.864000000000000000e+03, 1.231700050930237972e-10, 5.925337067519188366e-11, 2.357457379644924923e-10, 6.450829406008395703e-10, 4.033286762540805997e-11, 2.252513840589116434e-10, 3.843282054099040504e-10, 5.278673800760889017e-10, 2.841422056226005590e-10, 2.542853639972072269e-13
1.865000000000000000e+03, 1.167093655041718230e-10, 5.913303264577791307e-11, 2.339430608663504622e-10, 6.580644949082761815e-10, 3.980402106405887848e-11, 2.271713123332833832e-10, 3.865613231140598590e-10, 4.546952284700236202e-10, 2.843281357817705729e-10, 2.836919004791624564e-13
1.866000000000000000e+03, 1.106330724052528164e-10, 5.912307717403789376e-11, 1.893251000461766557e-10, 6.094323240576496353e-10, 3.964962077088924686e-11, 2.282672121582179088e-10, 3.889926855416189802e-10, 4.584011340383710833e-10, 2.858016553829404891e-10, 2.352904899564142866e-13
1.867000000000000000e+03, 1.060990461212390538e-10, 5.894429062224593104e-11, 1.914138265646169035e-10, 6.093891715795339767e-10, 3.979321384506262802e-11, 2.305651849696753432e-10, 3.893135564150704251e-10, 4.769957443236182131e-10, 2.835775408007316350e-10, 1.968609898518800102e-13
