year, CNRM-ESM2-1, EC-Earth3-Veg, GFDL-ESM4, CMCC-CM2-SR5, IPSL-CM6A-LR, CanESM5, TaiESM1, UKESM1-0-LL, NorESM2-LM, NorESM2-MM, CESM2-WACCM, MIROC-ES2L, MPI-ESM1-2-LR, ACCESS-ESM1-5
1.850000000000000000e+03, 1.961098461071069110e+00, 1.066995264659116094e+00, 1.446757162577673395e+00, 1.818025513258310966e+00, 1.321167297198650337e+00, 3.277285497405298731e+00, 9.663797037515275967e-01, 2.004464536921166218e+00, 1.214175826936267244e+00, 1.251472728587061489e+00, 1.423730721832532797e+00, 2.449186790788551171e+00, 2.226449371147720679e+00, 2.305453591202584196e+00
1.851000000000000000e+03, 1.916649750094450155e+00, 1.206562688733725963e+00, 1.415172860451451076e+00, 1.796381673446153293e+00, 1.400128382363909019e+00, 3.294500403926053700e+00, 1.045796601912579948e+00, 2.089483094242071903e+00, 1.205828753342071513e+00, 1.342505882424737562e+00, 1.408921587964164335e+00, 2.467946741226456187e+00, 2.435946861616804515e+00, 2.236860241717661513e+00
1.852000000000000000e+03, 2.004692791427032272e+00, 1.098226454443255395e+00, 1.459477344419237044e+00, 1.963136527527464814e+00, 1.368731808669337857e+00, 3.192730749258152922e+00, 9.987400690864253194e-01, 2.150942646006717585e+00, 1.261870099969681025e+00, 1.217308304772033223e+00, 1.328749460959791406e+00, 2.368560238654907391e+00, 2.163602875019723815e+00, 2.269375175527043265e+00
1.853000000000000000e+03, 2.023686223299907549e+00, 1.049722345090782216e+00, 1.405378923256236368e+00, 1.862701445920708743e+00, 1.377437808384365692e+00, 3.358379717306394507e+00, 8.918944023218923212e-01, 2.181273820527713347e+00, 1.216842080397140258e+00, 1.245587827761688304e+00, 1.447264763398754539e+00, 2.380192183576246734e+00, 2.444097674725509428e+00, 2.248412041692125385e+00
1.854000000000000000e+03, 2.097781958519848722e+00, 1.230740816935952830e+00, 1.434259029862438251e+00, 1.985086855193541222e+00, 1.366873430350969532e+00, 3.260238591796019048e+00, 1.002132119236577079e+00, 2.160672194731528606e+00, 1.279141864044049726e+00, 1.332919185978444609e+00, 1.377517680841575221e+00, 2.451905787472339782e+00, 2.288123522633841667e+00, 2.349024200739604495e+00
1.855000000000000000e+03, 1.803378021685866583e+00, 1.310079101473713203e+00, 1.461641222437391363e+00, 1.788111831760541115e+00, 1.364260384232313328e+00, 3.152735778226103402e+00, 1.112553700219644837e+00, 2.154203728661785888e+00, 1.259566814768194432e+00, 1.297091496358231177e+00, 1.314174321719842498e+00, 2.402126731691033523e+00, 2.377605568939950231e+00, 2.278523686501935597e+00
1.856000000000000000e+03, 1.931338794968999517e+00, 1.168130822172910088e+00, 1.419653246045112338e+00, 1.892360764241149074e+00, 1.400627484304459491e+00, 3.168394923828638188e+00, 1.011656628393017510e+00, 2.183431322060991331e+00, 1.225641120599098688e+00, 1.162488816341093356e+00, 1.307555656128041699e+00, 2.377578462610547838e+00, 2.199500151621831101e+00, 2.228838781489193455e+00
1.857000000000000000e+03, 1.803908925481652714e+00, 1.129199699820377711e+00, 1.444452057038862147e+00, 1.807733812119405536e+00, 1.374542873480357086e+00, 3.323802612046900862e+00, 9.381588396973382649e-01, 2.041364654876958173e+00, 1.186048673432942513e+00, 1.264516945710788987e+00, 1.371746437690377851e+00, 2.446388870949381289e+00, 2.342570554715102116e+00, 2.230172093955378188e+00
1.858000000000000000e+03, 1.730161615963038857e+00, 1.121395519649931671e+00, 1.400783365364139943e+00, 1.913609377659307054e+00, 1.343656396981240730e+00, 3.237149638322222245e+00, 9.582603412527221920e-01, 1.972463936963418929e+00, 1.232648727079261430e+00, 1.246044018028095612e+00, 1.320517008919092516e+00, 2.367240333192183854e+00, 2.430443438188719441e+00, 2.221663221280688827e+00
1.859000000000000000e+03, 1.938425119806224783e+00, 1.090124190324893050e+00, 1.425413227397174687e+00, 1.892073678031176209e+00, 1.409700245738025659e+00, 3.247661186064613847e+00, 1.011387049345864320e+00, 2.058497496533445936e+00, 1.236774245004872430e+00, 1.279107474703441438e+00, 1.399976053216168470e+00, 2.417719896440643002e+00, 2.335918715439554205e+00, 2.251068290687069595e+00
