year, EC-Earth3-Veg, MPI-ESM1-2-LR, NorESM2-LM, NorESM2-MM, TaiESM1, CESM2-WACCM, CMCC-CM2-SR5, ACCESS-ESM1-5, IPSL-CM6A-LR, INM-CM4-8, MIROC-ES2L, UKESM1-0-LL, GFDL-ESM4, CanESM5, CNRM-ESM2-1, INM-CM5-0
1.850000000000000000e+03, 3.729413649153561661e+00, 5.150786783258192614e+00, 3.349012067787506375e+00, 3.149258179881850417e+00, 2.826754899084943595e+00, 3.803667430796841220e+00, 4.487066428927903416e+00, 4.169625473214854772e+00, 3.579228917506677377e+00, 3.722081634838405151e+00, 4.500660737334666983e+00, 3.813866154858849722e+00, 3.340001359188686347e+00, 5.291117342177629190e+00, 3.032566819457389595e+00, 3.896348245177321257e+00
1.851000000000000000e+03, 3.959173154738010680e+00, 5.028636852377459832e+00, 3.499503842454229297e+00, 3.360130031662841077e+00, 2.766031429907767958e+00, 3.577214694936649231e+00, 3.553826025848332737e+00, 4.149867873629711212e+00, 3.579028082988320758e+00, 3.588488635268155758e+00, 4.244683321246598418e+00, 3.678826769837479471e+00, 3.437495517758878627e+00, 5.620105832244960631e+00, 3.103118892058277289e+00, 3.702215992907734954e+00
1.852000000000000000e+03, 4.038839204287853590e+00, 4.886347854286206882e+00, 3.352816146785137619e+00, 3.340681243190609440e+00, 2.749530969478731990e+00, 3.461444917669671550e+00, 3.935317427203325558e+00, 4.225827826606278315e+00, 3.764821283897131554e+00, 3.883875839165884969e+00, 4.344812655808790502e+00, 3.982958198602783995e+00, 3.262552732051903437e+00, 5.317267706364054547e+00, 3.409302897088657858e+00, 4.187013289755550538e+00
1.853000000000000000e+03, 3.694728790551307540e+00, 4.987036214942410339e+00, 3.141142040439691030e+00, 3.136449058206975060e+00, 3.025224143534706922e+00, 3.422418756496347747e+00, 4.322760350693006792e+00, 4.067276587138415778e+00, 3.643564555029370045e+00, 3.360202267489628802e+00, 4.313845321069211813e+00, 4.080107796040588042e+00, 3.345268763869533757e+00, 5.508059519679875393e+00, 3.428354244171806453e+00, 3.844507037254330406e+00
1.854000000000000000e+03, 3.722979207338750651e+00, 4.962270703761633150e+00, 3.269174053213764086e+00, 3.327414866436251284e+00, 2.908708936138291179e+00, 3.690077252552874665e+00, 4.073176855219155179e+00, 4.051484931075366447e+00, 3.674994479578626461e+00, 3.646164770149604273e+00, 4.443569311361805774e+00, 4.194203511892981240e+00, 3.291504029265463593e+00, 5.315981962839071429e+00, 3.701885285656757230e+00, 4.172667858068198399e+00
1.855000000000000000e+03, 3.977433590690286902e+00, 5.154665066453314459e+00, 3.413547405522084688e+00, 3.224468038960548899e+00, 2.701504350017900347e+00, 3.492139369520497638e+00, 4.190762898943022563e+00, 3.759601500515064476e+00, 3.575312092549844056e+00, 3.919371697583528658e+00, 4.240959503149016818e+00, 4.123401155355105985e+00, 3.551819437498510368e+00, 5.226828497646650362e+00, 2.706160229793320493e+00, 4.455091858228610313e+00
1.856000000000000000e+03, 4.104726156564031392e+00, 4.752342459509789840e+00, 3.438820006979536714e+00, 3.183429628275283640e+00, 2.670100548649040562e+00, 3.563139446877167327e+00, 4.290380531185888024e+00, 3.664388030404531094e+00, 3.919154422064024867e+00, 3.761881662908889368e+00, 4.064880533428762099e+00, 4.192733735521920302e+00, 3.349830414094875586e+00, 5.237875265500260724e+00, 3.047247595436656464e+00, 3.831769714291560547e+00
1.857000000000000000e+03, 4.042273089133889385e+00, 5.332150695078533786e+00, 3.338434662917419526e+00, 3.351487169865138949e+00, 2.978419066561985851e+00, 3.477439613461315027e+00, 4.239233720511820458e+00, 3.739168621707626095e+00, 3.385382782523027156e+00, 4.049584121615793286e+00, 4.311889731710879303e+00, 3.720179431340622678e+00, 3.275997759140184762e+00, 5.416055881825242224e+00, 2.891104089810774269e+00, 4.142066664330180004e+00
1.858000000000000000e+03, 4.225400938904888548e+00, 5.080767868867136272e+00, 3.340329336394223692e+00, 3.495971665529686856e+00, 3.045137785448411183e+00, 3.613900037512296493e+00, 3.762799702461885332e+00, 4.028762840934652978e+00, 3.824272096905112495e+00, 4.154140895377989473e+00, 4.217701697597539656e+00, 3.886913768383125856e+00, 3.341801662388399929e+00, 5.456602536007371107e+00, 2.805092459929840576e+00, 4.109362550775547795e+00
1.859000000000000000e+03, 3.842810568390064407e+00, 5.165981482438374073e+00, 3.446300030579038776e+00, 3.246170578643072790e+00, 3.002939938460331692e+00, 3.532628453970123594e+00, 3.696606377047061631e+00, 3.901475070269598611e+00, 3.972691677752902439e+00, 3.668960074570856378e+00, 4.301566589182422184e+00, 3.704398346627657546e+00, 3.228818210234612351e+00, 5.474438377145243173e+00, 3.210782868070217511e+00, 3.907398165175405946e+00
1.860000000000000000e+03, 3.766289040772875740e+00, 4.943211322345936409e+00, 3.081397853588899505e+00, 3.550944145696106613e+00, 2.946162032773515627e+00, 3.557560955591407392e+00, 4.150800344047030244e+00, 4.007601560945803776e+00, 3.817442649950649525e+00, 3.473845618615039044e+00, 4.499229819946511277e+00, 4.114028964124706533e+00, 3.139225017994040190e+00, 5.358912469923443389e+00, 3.532268833512576922e+00, 3.948083322266605855e+00
1.861000000000000000e+03, 3.660095092089214130e+00, 5.567103691482116368e+00, 3.097333586696738195e+00, 3.607458889030970450e+00, 2.937308694431836287e+00, 3.380765077174388455e+00, 4.176404288145139532e+00, 4.071982711437254210e+00, 3.885772407238537784e+00, 3.914011965182385033e+00, 4.211675888919375943e+00, 3.967129697028852320e+00, 3.295362966341180755e+00, 5.566923462104925946e+00, 3.539415985909981188e+00, 4.411680853783621181e+00
1.862000000000000000e+03, 3.718044971173430469e+00, 5.548414706453137946e+00, 3.206999143912869776e+00, 3.626916597676910214e+00, 2.883342703984262734e+00, 3.472893561146133123e+00, 4.445720865471392891e+00, 4.275896153027213487e+00, 3.703765028922903380e+00, 4.056016371121510034e+00, 4.211659032233013633e+00, 4.100785802415442660e+00, 3.223209557546762749e+00, 5.548564068518639480e+00, 3.369848814344142518e+00, 4.102943722631152923e+00
1.863000000000000000e+03, 3.681561422532391603e+00, 5.407045729069710482e+00, 3.270633963692680890e+00, 3.609173165701182295e+00, 2.834795011757486272e+00, 3.447345012957403920e+00, 3.985254217855557890e+00, 4.314278393921684440e+00, 3.736429499259995790e+00, 3.924312797941951203e+00, 4.169055110470498704e+00, 4.205544536251613508e+00, 3.432466526678802587e+00, 5.581103124579946950e+00, 3.167016103247263015e+00, 3.893768692142229870e+00
