year, EC-Earth3-Veg, MPI-ESM1-2-LR
1.879000000000000000e+03, 1.936627708234853540e-10, 6.247549671564131514e-10
1.880000000000000000e+03, 2.004346801258587484e-10, 6.752653226966154381e-10
1.881000000000000000e+03, 2.033838651902846553e-10, 7.283400599123599536e-10
1.882000000000000000e+03, 1.957093203880621268e-10, 6.979531233169477232e-10
1.883000000000000000e+03, 2.133568746540438963e-10, 6.742604777080851551e-10
1.884000000000000000e+03, 2.116421972918756944e-10, 7.038297693526191368e-10
1.885000000000000000e+03, 2.244788721410536862e-10, 6.798012161206283159e-10
1.886000000000000000e+03, 1.939855296052392310e-10, 6.507127452112359199e-10
1.887000000000000000e+03, 2.012609649638079462e-10, 6.830548923425806660e-10
1.888000000000000000e+03, 2.098991646947134559e-10, 6.717777860415374244e-10
1.889000000000000000e+03, 2.122253921782321698e-10, 5.993876969309254487e-10
1.890000000000000000e+03, 2.184948898105261173e-10, 6.225201086537840370e-10
1.891000000000000000e+03, 2.169844507645141913e-10, 6.352267930062841850e-10
1.892000000000000000e+03, 2.086075885027550458e-10, 6.364926608680625682e-10
1.893000000000000000e+03, 2.051241442253914136e-10, 6.440156645663332330e-10
1.894000000000000000e+03, 2.234771283073216470e-10, 6.834983296238419661e-10
1.895000000000000000e+03, 2.198956043955459364e-10, 6.457781412299521241e-10
1.896000000000000000e+03, 2.623971281876069827e-10, 6.510266839275831792e-10
1.897000000000000000e+03, 2.465281488679315276e-10, 5.980359328201300234e-10
1.898000000000000000e+03, 2.250757217219057672e-10, 7.071093423240660960e-10
1.899000000000000000e+03, 2.407710741300803800e-10, 7.062861938530755704e-10
1.900000000000000000e+03, 2.444907375110528161e-10, 6.061565063102313905e-10
1.901000000000000000e+03, 2.567692977527805603e-10, 5.712804510850631174e-10
1.902000000000000000e+03, 2.593476271597737044e-10, 6.489053447520126282e-10
1.903000000000000000e+03, 2.382308414306128837e-10, 6.689164679708495401e-10
1.904000000000000000e+03, 2.780567279680630142e-10, 6.774842028864490390e-10
1.905000000000000000e+03, 2.295808697301146653e-10, 6.855235882738885013e-10
1.906000000000000000e+03, 2.571016686175426233e-10, 7.057184973465347276e-10
1.907000000000000000e+03, 2.194987210342279806e-10, 6.687196953735727854e-10
1.908000000000000000e+03, 2.149778235693019713e-10, 6.810268979134239996e-10
1.909000000000000000e+03, 2.782824533919652024e-10, 7.196931217851180747e-10
1.910000000000000000e+03, 2.706236131092790148e-10, 6.364103497053767589e-10
1.911000000000000000e+03, 2.564845099178320220e-10, 6.797804097315087228e-10
1.912000000000000000e+03, 2.256365960838274738e-10, 6.424763930646096489e-10
1.913000000000000000e+03, 2.605751148277322938e-10, 7.077414518962006349e-10
1.914000000000000000e+03, 2.188194962144939493e-10, 7.129268459717123769e-10
1.915000000000000000e+03, 2.489515690783896560e-10, 6.635982420039617503e-10
1.916000000000000000e+03, 2.287974470866290299e-10, 6.493420116482015348e-10
1.917000000000000000e+03, 2.561143721191528583e-10, 6.392143793752452470e-10
1.918000000000000000e+03, 2.455400210682807532e-10, 6.945113069306040180e-10
1.919000000000000000e+03, 2.484476718853717463e-10, 6.419938884645253417e-10
1.920000000000000000e+03, 2.321976339429511379e-10, 7.000915582180264473e-10
1.921000000000000000e+03, 2.783395988636292721e-10, 6.316208781962129687e-10
1.922000000000000000e+03, 2.482738311881897487e-10, 6.213027353038136144e-10
1.923000000000000000e+03, 3.115789226193987457e-10, 6.912106988836220013e-10
1.924000000000000000e+03, 2.588856472292297889e-10, 6.201635013959742338e-10
1.925000000000000000e+03, 2.830738062701089252e-10, 6.494464328111282153e-10
1.926000000000000000e+03, 2.498998932986031998e-10, 6.255776701837803895e-10
1.927000000000000000e+03, 2.792960375856639467e-10, 6.423681183437119880e-10
1.928000000000000000e+03, 2.511359122986551535e-10, 6.112361346049397792e-10
1.929000000000000000e+03, 2.683771660340430710e-10, 6.798951430156997783e-10
1.930000000000000000e+03, 2.501992711969621714e-10, 6.866272350065185176e-10
1.931000000000000000e+03, 2.450841464670762676e-10, 6.186671742908971698e-10
1.932000000000000000e+03, 2.462750224927309507e-10, 6.374689756983997126e-10
1.933000000000000000e+03, 2.676401777193421211e-10, 6.585475575664113252e-10
1.934000000000000000e+03, 2.704422314639653477e-10, 6.771642422485038974e-10
1.935000000000000000e+03, 2.897573073413354780e-10, 6.704931292981829651e-10
1.936000000000000000e+03, 2.739262441538873186e-10, 7.297091215343610631e-10
1.937000000000000000e+03, 2.577279855216553188e-10, 6.159931132736674236e-10
1.938000000000000000e+03, 2.491463764619029166e-10, 6.531280993806756189e-10
1.939000000000000000e+03, 2.736841410671195655e-10, 6.407067681403602961e-10
1.940000000000000000e+03, 2.666782882448204883e-10, 6.270854499966527619e-10
1.941000000000000000e+03, 2.682268438547763213e-10, 6.716365699717273714e-10
