year, IPSL-CM6A-LR, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1
2.015000000000000000e+03, -7.193279663166052546e-10, 1.399691983401805325e-10, 1.427465523704199292e-10, 1.505541667820983392e-10
2.016000000000000000e+03, -6.480073264976687058e-10, 6.204156545835441792e-11, 1.499959150923510961e-10, 5.077331816662041133e-11
2.017000000000000000e+03, -5.428471431084350581e-10, 5.699355809532156082e-11, 1.538800198568087300e-10, 5.083866438054121617e-11
2.018000000000000000e+03, -4.080380115215331783e-10, 5.438797470749792335e-11, 1.205411735092508004e-10, 4.785979514487887608e-11
2.019000000000000000e+03, -5.701309308976357022e-10, 5.070396611738881176e-11, 8.325415802367144658e-11, 4.271641149964523826e-11
2.020000000000000000e+03, -5.072575886342521004e-10, 5.178921618415219160e-11, 1.287537115205609392e-10, 4.050769482377624504e-11
2.021000000000000000e+03, -5.555103705328297066e-10, 5.049613485109350369e-11, 1.131130507202774322e-10, 1.783916632323748744e-11
2.022000000000000000e+03, -6.265283494081949727e-10, 4.789452287495349999e-11, 9.572627747492976000e-11, 1.609475186010011208e-11
2.023000000000000000e+03, -5.747033710236305379e-10, 4.712044132463118394e-11, 1.061641791210698254e-10, 1.479319925993605958e-11
2.024000000000000000e+03, -5.291200558989677569e-10, 4.790826548031274237e-11, 1.066784944428850337e-10, 1.352360355945509272e-11
2.025000000000000000e+03, -3.880393578222546443e-10, 4.782527566957717060e-11, 1.386635507337435152e-10, 7.787444314503743909e-12
2.026000000000000000e+03, -5.657063395649264021e-10, 4.572808586071359655e-11, 1.706774008730168331e-10, 9.528969199640158137e-12
2.027000000000000000e+03, -6.288792365561360170e-10, 4.705613362905171504e-11, 1.326886082952948778e-10, 1.159662870198468709e-11
2.028000000000000000e+03, -5.885528515755938591e-10, 4.685832207911280198e-11, 8.324746852140993442e-11, 1.103838076782376037e-11
2.029000000000000000e+03, -6.846762714578519464e-10, 4.519067937508830466e-11, 1.648424451797135755e-10, 1.185630983441756587e-11
2.030000000000000000e+03, -6.676175593327631383e-10, 4.509144437996278042e-11, 1.181107195510763073e-10, 1.142790106991691417e-11
2.031000000000000000e+03, -4.707087685905986164e-10, 7.461203476079779096e-11, 1.146380049983216599e-10, 1.755919821858836184e-11
2.032000000000000000e+03, -5.836819040099871281e-10, 8.118778702745307927e-11, 1.614173378650457397e-10, 2.168398683237999533e-11
2.033000000000000000e+03, -4.174939220834722947e-10, 8.363545354584190751e-11, 1.929703133401649471e-10, 2.686409027865225266e-11
2.034000000000000000e+03, -5.607315196733721582e-10, 8.398774858093691016e-11, 1.340684666909540876e-10, 2.767424630076035208e-11
2.035000000000000000e+03, -5.536179893476558359e-10, 8.590812089577442680e-11, 1.132946878327536144e-10, 2.894252631042426271e-11
2.036000000000000000e+03, -6.861240027050987075e-10, 1.151422266382422289e-10, 8.162025672924561146e-11, 4.663586383099302628e-11
2.037000000000000000e+03, -7.025476881815039796e-10, 1.087992031990785149e-10, 7.223421080010261552e-11, 6.674527935112953385e-11
2.038000000000000000e+03, -5.924927922070919011e-10, 1.125050379011136204e-10, 8.108261984038162583e-11, 7.063980581553812139e-11
2.039000000000000000e+03, -6.326076607269100566e-10, 1.143148245535877137e-10, 1.093995722005655558e-10, 7.655550916994261929e-11
2.040000000000000000e+03, -6.845188736888649448e-10, 1.149756474586656019e-10, 1.202786938986985567e-10, 8.917897914113931524e-11
2.041000000000000000e+03, -7.516441910107016469e-10, 1.119179631733705746e-10, 1.885781272992833235e-10, 1.026635273282918143e-10
2.042000000000000000e+03, -5.824750308860409511e-10, 1.088959039673536054e-10, 1.987776026089509115e-10, 1.084578105898717443e-10
2.043000000000000000e+03, -6.040117262844614589e-10, 1.086563443523424276e-10, 6.578716250530814722e-11, 1.117398766934689987e-10
2.044000000000000000e+03, -6.792636715306496446e-10, 1.112589325958164273e-10, 1.205731201863805375e-10, 1.144315029241025156e-10
2.045000000000000000e+03, -5.786729319251368875e-10, 1.094718932804249019e-10, 1.081229826303074131e-10, 1.185415064168117761e-10
2.046000000000000000e+03, -6.943200768612518765e-10, 7.933606500482960141e-11, 7.536634724274769103e-11, 4.853633013981651882e-11
2.047000000000000000e+03, -6.428683180129357062e-10, 7.721571084559946705e-11, 8.449163588265065052e-11, 4.625529372778133688e-11
2.048000000000000000e+03, -7.730300782552624811e-10, 7.556549995878656999e-11, 1.555833778402382257e-10, 4.399173977221686842e-11
2.049000000000000000e+03, -6.834197961375633046e-10, 7.354105505791539350e-11, 2.320665274821119818e-10, 4.110853878719952599e-11
2.050000000000000000e+03, -6.581543172029475492e-10, 7.277442098345550623e-11, 1.553520874273906853e-10, 3.794783435745828769e-11
2.051000000000000000e+03, -4.674519634928788261e-10, 6.230378443921445606e-11, 1.172194533862704155e-10, 2.702229072775181096e-11
2.052000000000000000e+03, -7.588995421734048106e-10, 5.971383840933942389e-11, 2.102828591921623014e-10, 2.261297276262483632e-11
2.053000000000000000e+03, -8.084594197019991051e-10, 5.789678615353280713e-11, 1.313244531802754555e-10, 1.832030904203877452e-11
2.054000000000000000e+03, -7.353904844136229036e-10, 5.604213569989368436e-11, 1.927019336282286199e-10, 1.466920935148029815e-11
2.055000000000000000e+03, -8.028121189756272588e-10, 5.518438221919450642e-11, 9.728958918094987822e-11, 1.015367639552005074e-11
2.056000000000000000e+03, -7.037237953585234202e-10, 5.162800225958693507e-11, 1.255258463955728371e-10, 8.624804583402381492e-12
2.057000000000000000e+03, -5.704909832987875807e-10, 5.220265386070810841e-11, 1.654368361195121489e-10, 8.353176194902548330e-12
2.058000000000000000e+03, -6.194312903430288614e-10, 5.086801597864977660e-11, 1.038112241898985903e-10, 7.813363289665032182e-12
2.059000000000000000e+03, -7.233153132311119546e-10, 4.839468747014121157e-11, 1.065955567593696957e-10, 7.481793985432487959e-12
2.060000000000000000e+03, -6.844930266166842996e-10, 4.994754490751840033e-11, 1.086043324524574277e-10, 6.764375661716959471e-12
2.061000000000000000e+03, -6.961970746684183784e-10, 4.581027820787380334e-11, 1.662645726630277887e-10, 5.583575346919738600e-12
2.062000000000000000e+03, -7.409066079808297634e-10, 4.472668143512835144e-11, 2.386791179861743657e-10, 5.791257449883182393e-12
2.063000000000000000e+03, -6.264431491014929794e-10, 4.477851127678802232e-11, 1.345522306808595464e-10, 5.658477203571267817e-12
2.064000000000000000e+03, -6.302307378121393251e-10, 4.306472666605382853e-11, 1.185105128356370847e-10, 5.747205649701590976e-12
2.065000000000000000e+03, -6.403159764267365026e-10, 4.227137716531360269e-11, 2.394243980659498222e-10, 5.200664234824780565e-12
2.066000000000000000e+03, -6.158751730400549504e-10, 4.350865746339770126e-11, 1.708312147985250172e-10, 7.250560652788991025e-12
2.067000000000000000e+03, -7.266120943349451974e-10, 4.524762918294836342e-11, 1.116683958493122675e-10, 7.651803903692926842e-12
2.068000000000000000e+03, -7.910394441651577294e-10, 4.534489718362859477e-11, 2.706087035285693848e-10, 7.777691118581920566e-12
2.069000000000000000e+03, -5.916694951727342432e-10, 4.475711824056137609e-11, 1.800329482052531268e-10, 7.735745196768066494e-12
2.070000000000000000e+03, -7.615789827950513301e-10, 4.545809159859012955e-11, 1.461452240717927791e-10, 7.645965783719374621e-12
2.071000000000000000e+03, -5.561305410384699911e-10, 5.702686030933602829e-11, 1.844756065403855418e-10, 7.773640831157781336e-12
2.072000000000000000e+03, -7.384722168075386111e-10, 5.752751007090279222e-11, 2.265974271100596302e-10, 8.377668856025871346e-12
2.073000000000000000e+03, -7.697571165450251201e-10, 5.874877121797851755e-11, 1.780647060421759678e-10, 7.895688882058973566e-12
2.074000000000000000e+03, -7.927534582126882934e-10, 6.102931956022316199e-11, 1.121741664406657240e-10, 8.575909904127408609e-12
2.075000000000000000e+03, -7.004886335389961171e-10, 6.001588796537633386e-11, 1.634201049411177350e-10, 8.246464574969556884e-12
2.076000000000000000e+03, -6.869694689917925371e-10, 8.198499535107223355e-11, 1.675587383831890885e-10, 3.756165523570811696e-11
2.077000000000000000e+03, -6.300068197277770096e-10, 8.522563711936817988e-11, 2.131229208328825127e-10, 3.869267713522575318e-11
2.078000000000000000e+03, -7.196555827171152576e-10, 8.839226874980657286e-11, 2.104334772068762439e-10, 4.026722501658900481e-11
2.079000000000000000e+03, -7.434269563026160775e-10, 9.288228326276976689e-11, 1.389072886751571461e-10, 4.013124369777803644e-11
2.080000000000000000e+03, -8.273034472764832149e-10, 9.290711071411903756e-11, 1.112891471717433388e-10, 4.353150349023122562e-11
2.081000000000000000e+03, -6.732564805776286427e-10, 9.188460414383857118e-11, 8.954811525383021419e-11, 2.349508335081755172e-11
2.082000000000000000e+03, -6.354435283848052993e-10, 9.547452896804827934e-11, 1.167670338604342434e-10, 2.372384001216747786e-11
2.083000000000000000e+03, -6.083031980030047918e-10, 9.647435387762175319e-11, 1.896407874149977792e-10, 2.483779233866142041e-11
2.084000000000000000e+03, -6.463822137618036168e-10, 9.425030335471195024e-11, 2.043587186148013464e-10, 2.872789129316607756e-11
2.085000000000000000e+03, -7.591795178057675510e-10, 9.251528235767566065e-11, 1.895725685350317749e-10, 2.901919322994713047e-11
2.086000000000000000e+03, -7.119103453042737993e-10, 7.017472510432550090e-11, 1.475388187305921974e-10, 1.429308316102141680e-11
2.087000000000000000e+03, -6.931219819532943843e-10, 6.794736816380174403e-11, 2.540823850753893348e-10, 1.275592781936153841e-11
2.088000000000000000e+03, -6.322550994336795160e-10, 6.642789106448877221e-11, 1.845205776879886723e-10, 1.187583261864350251e-11
2.089000000000000000e+03, -6.055472595195355925e-10, 6.503589872152536246e-11, 1.729634875711057540e-10, 9.595832144614521822e-12
2.090000000000000000e+03, -7.986920896708338811e-10, 6.445745858148144504e-11, 1.889206345661921234e-10, 9.202609551835638427e-12
2.091000000000000000e+03, -7.916079641569999220e-10, 6.619330074706995210e-11, 1.942239890023286666e-10, 1.009480963892841861e-11
2.092000000000000000e+03, -7.555397702068404079e-10, 6.569714845512113024e-11, 1.349841827067883316e-10, 9.765149872554440292e-12
2.093000000000000000e+03, -7.232510041985809860e-10, 6.623426134516021118e-11, 1.272642026531526854e-10, 1.134642269871344615e-11
2.094000000000000000e+03, -6.141285159460189940e-10, 6.608242804212243960e-11, 1.290980726760005317e-10, 1.333380096944858427e-11
2.095000000000000000e+03, -6.556974065447775164e-10, 6.788295347482347009e-11, 1.242449267273656997e-10, 1.822226216871532484e-11
2.096000000000000000e+03, -7.814800988435550832e-10, 5.980015983543500684e-11, 2.023134867888211777e-10, 1.569290132777066717e-11
2.097000000000000000e+03, -7.391851347625974565e-10, 5.900856555116846281e-11, 1.714000726481419575e-10, 1.677230031099343118e-11
2.098000000000000000e+03, -6.706401206014654495e-10, 5.776480060938790697e-11, 1.782357161708823882e-10, 1.642713514043998351e-11
2.099000000000000000e+03, -5.184363696887609710e-10, 6.015891571455908302e-11, 1.238387661170010601e-10, 1.698920259493629699e-11
2.100000000000000000e+03, -6.202291931526539908e-10, 6.059582977827074663e-11, 1.721783612460358752e-10, 1.690127687717028511e-11
