year, INM-CM4-8, CESM2-WACCM, MIROC-ES2L, IPSL-CM6A-LR, NorESM2-MM, UKESM1-0-LL, GFDL-ESM4, EC-Earth3-Veg, ACCESS-ESM1-5, CNRM-ESM2-1, CMCC-CM2-SR5, TaiESM1, MPI-ESM1-2-LR, CanESM5, INM-CM5-0, NorESM2-LM
2.015000000000000000e+03, 4.141726633352754483e+00, 1.845843305223998643e+00, 1.313558915196219923e+00, 3.569733073822393354e+00, 1.343695341817075617e+00, 1.500026268093051396e+00, 2.504799513168260106e+00, 3.005045205604797154e+00, 1.590108306596367926e+00, 1.706277981566201474e+00, 1.661448769288936367e+00, 1.917667825333483567e+00, 1.572070510730921855e+00, 3.716322054231602223e+00, 3.368885403293068848e+00, 1.986748459860175231e+00
2.016000000000000000e+03, 3.866850066136756858e+00, 1.443683632634704894e+00, 1.634310606994163306e+00, 3.050767835370256975e+00, 1.730139147358767282e+00, 1.310463723884756293e+00, 2.187192085011003151e+00, 3.382098474586430203e+00, 2.161517190042151704e+00, 2.189621618722701779e+00, 1.538303419778160430e+00, 1.942436992298315790e+00, 1.984547249340012254e+00, 3.583346578992872455e+00, 3.106076522171838938e+00, 1.883683235249783205e+00
2.017000000000000000e+03, 3.689710849542320759e+00, 1.787694004961264849e+00, 1.602128400503784800e+00, 2.167196594485673700e+00, 2.051875695630121399e+00, 1.837268586687686112e+00, 1.138394042829650399e+00, 2.981297201959393295e+00, 1.917480767668999331e+00, 1.655683002844371421e+00, 2.232512692609209815e+00, 1.792033848040559096e+00, 1.444436605497926296e+00, 3.535654226619509455e+00, 3.589446815692190818e+00, 1.449772357244568433e+00
2.018000000000000000e+03, 4.152274743232407417e+00, 1.494314293604435129e+00, 1.599750123523805856e+00, 2.440384193488827513e+00, 1.865154824850663307e+00, 1.321727505369147293e+00, 1.868178070969848559e+00, 2.372603624059206329e+00, 1.710570236290390955e+00, 1.823306464986646391e+00, 1.866704742916146076e+00, 1.507761794582992421e+00, 1.535342059077837495e+00, 3.456172795586849755e+00, 3.426572078335124338e+00, 1.391518813791000175e+00
2.019000000000000000e+03, 3.726762515627687566e+00, 1.872838936642925001e+00, 1.396469882064216073e+00, 2.572513284802616873e+00, 1.737973962069331524e+00, 9.764208857525237262e-01, 1.887107820818811010e+00, 2.123910752642262256e+00, 1.296983636905246096e+00, 1.638901601930192964e+00, 2.425246359251077344e+00, 1.580353654963379872e+00, 1.382914639064926954e+00, 3.812319612122892831e+00, 3.708737250728015411e+00, 1.841775428688548377e+00
2.020000000000000000e+03, 3.753310949068840774e+00, 2.067007396329832769e+00, 1.562890132141262711e+00, 2.567611608810854928e+00, 1.997823372425791666e+00, 1.700764411409068533e+00, 1.142382353222333613e+00, 2.424063924806293624e+00, 1.240089444617993975e+00, 1.821610048789345404e+00, 1.521229056937697388e+00, 2.231115105992327319e+00, 8.679804413916563099e-01, 4.465733795582221610e+00, 3.541777948455629765e+00, 1.948324502875466546e+00
2.021000000000000000e+03, 3.871735471622409275e+00, 1.470663242845533070e+00, 1.724026994542224411e+00, 2.501203626972213101e+00, 1.829445581664083775e+00, 1.165646106187343323e+00, 9.368366441414494039e-01, 2.258871726630662824e+00, 1.157773113082830152e+00, 1.500574697375947064e+00, 1.580000889874111580e+00, 2.054830185866904024e+00, 1.026715562073544197e+00, 4.409472084052692864e+00, 3.371868824015726851e+00, 1.817519100942141641e+00
2.022000000000000000e+03, 3.944490228035869350e+00, 2.081677779487628666e+00, 1.709085931608495423e+00, 3.069957167689504995e+00, 2.114093919868575533e+00, 1.166407172902178990e+00, 1.646928852840585655e+00, 3.203173314316938747e+00, 1.402354208691989790e+00, 1.488188505187665989e+00, 2.032572260765597605e+00, 1.570859665176062236e+00, 1.357260896968034647e+00, 4.518884499318379433e+00, 4.038155781356656426e+00, 1.598930296247148997e+00
2.023000000000000000e+03, 4.274011491840687071e+00, 2.115685777870518702e+00, 1.336540290002296238e+00, 2.566464468399944465e+00, 2.078887344925738123e+00, 1.465289167194923525e+00, 2.429296053191653648e+00, 3.090698835080219364e+00, 1.765209670380467610e+00, 1.863633427813728094e+00, 2.725888835659816323e+00, 1.988864946714407278e+00, 2.451951152649102017e+00, 3.875804206373584471e+00, 4.052395768573567203e+00, 1.683214977443738158e+00
2.024000000000000000e+03, 3.894362481583058422e+00, 1.726534645763671216e+00, 1.512308771272444563e+00, 2.106456797210197518e+00, 2.142577503414138551e+00, 1.390767105497549228e+00, 1.843120439980918901e+00, 3.387474637806598743e+00, 1.504836777642740264e+00, 1.268070796357025243e+00, 2.350670694870741873e+00, 1.706843508286192579e+00, 2.443416966669694546e+00, 3.651577916302992222e+00, 3.257448625285213506e+00, 1.827964208245573152e+00
2.025000000000000000e+03, 3.252634615237702587e+00, 1.935261352957753145e+00, 1.540836328136338196e+00, 2.601993044508924324e+00, 1.467947513040950946e+00, 1.532466309330251297e+00, 1.665507732605288727e+00, 2.695091348352098404e+00, 1.327230630682075585e+00, 1.127220534471413238e+00, 1.756223025971904050e+00, 2.274859544793871979e+00, 1.971010899617108958e+00, 4.046463234097620543e+00, 3.769628669608223515e+00, 1.998808824378646376e+00
2.026000000000000000e+03, 3.708892178734909617e+00, 2.255882436235064237e+00, 1.527982249367178857e+00, 3.160928807432692889e+00, 1.440627385375949920e+00, 1.032689519171386294e+00, 1.246186058339371794e+00, 2.147256359677033988e+00, 1.524328699621361194e+00, 1.873060684444386670e+00, 1.771578745627653939e+00, 1.574133372610407200e+00, 9.797052612376837555e-01, 3.498500487419768934e+00, 3.698398544445422598e+00, 1.896940948121771164e+00
2.027000000000000000e+03, 3.984807323916419897e+00, 2.117386134065224912e+00, 1.660688048497738656e+00, 3.326683644457435918e+00, 1.566512256280872650e+00, 1.632815502837547506e+00, 1.904406226431151650e+00, 2.883281224756966576e+00, 1.790154022305360915e+00, 1.599645275670985134e+00, 1.586530567769775635e+00, 1.408490417378062132e+00, 2.316153317635546660e+00, 4.063172359214430429e+00, 3.741970999512296281e+00, 1.856336507343756548e+00
2.028000000000000000e+03, 3.996637330902570895e+00, 1.820627382889973278e+00, 1.473750096976675916e+00, 3.243107614818895534e+00, 2.035667835599268560e+00, 1.213109168362975554e+00, 1.911269320759439561e+00, 3.324397965426185930e+00, 1.379922998409488066e+00, 1.956672237384391888e+00, 2.085705332444385718e+00, 2.545990371595343582e+00, 1.743597346080020927e+00, 3.657747895279212180e+00, 3.296879320794773527e+00, 1.747341660387839557e+00
2.029000000000000000e+03, 4.163113901419111862e+00, 2.066460726105785906e+00, 1.638259778775790654e+00, 3.572287099049098913e+00, 2.163135145952103766e+00, 2.161014392560363095e+00, 1.339820978514257410e+00, 2.839695175336660160e+00, 1.339679245805383889e+00, 1.417415547604612192e+00, 2.031454789840525077e+00, 1.879111078992542927e+00, 1.771442342959581806e+00, 3.372961564045647620e+00, 3.381773962333716188e+00, 1.615780247130005121e+00
2.030000000000000000e+03, 3.175932574082375837e+00, 1.865091584201530095e+00, 1.732023870965231138e+00, 2.749372962713420687e+00, 2.086923160809934341e+00, 1.474824224080908630e+00, 1.191446421198857575e+00, 2.609121551775093639e+00, 1.178658153253020258e+00, 2.256590360593723865e+00, 2.640286645433621349e+00, 1.452695383179211541e+00, 8.741152804300910129e-01, 3.601734538218552384e+00, 3.571143196816315424e+00, 1.890123062947616006e+00
2.031000000000000000e+03, 3.817489713629485859e+00, 2.805903867714689692e+00, 1.845562804939115953e+00, 2.534286150835742379e+00, 1.869283690758079652e+00, 1.436657751400811422e+00, 1.141991481662069541e+00, 2.739707893304144992e+00, 1.421548892182296520e+00, 2.007369382135478109e+00, 2.121680179230558849e+00, 1.924357568400969942e+00, 1.035250680390957578e+00, 3.279543253344475495e+00, 3.375811556198287544e+00, 1.833304152212704485e+00
2.032000000000000000e+03, 3.854900343045503330e+00, 2.323100541010473918e+00, 1.787995855662845246e+00, 2.087229535643398304e+00, 2.038340199048010781e+00, 1.514886990785773602e+00, 1.305445230073355223e+00, 2.793243475087102023e+00, 1.499234605983622792e+00, 1.813499030045885974e+00, 1.775097040577250374e+00, 2.155522849024183785e+00, 2.265655349788151085e+00, 3.687970842500879698e+00, 3.954860422629484784e+00, 1.811557056495155971e+00
