year, CESM2-WACCM, EC-Earth3-Veg, IPSL-CM6A-LR, CNRM-ESM2-1, MPI-ESM1-2-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, UKESM1-0-LL, MIROC-ES2L
2.015000000000000000e+03, 1.516395045644055861e-01, 2.235649304505296295e-02, 6.961354369367882267e-02, 2.294798430855228208e-02, 1.192544925575843018e-01, 8.105009660925523163e-02, 1.916797210503627946e-01, 3.089631922445073577e-04, 1.778078511385311755e-01
2.016000000000000000e+03, 1.440242672588487316e-01, 2.140620684840304974e-02, 6.541933879002975738e-02, 2.060158325406909186e-02, 1.158707430572005065e-01, 8.154028249103606463e-02, 2.533612932352634073e-01, 2.615502543340819403e-04, 1.676673392436143772e-01
2.017000000000000000e+03, 1.399091043553556679e-01, 2.047772304817603237e-02, 6.135661282383034210e-02, 1.851593488441752658e-02, 1.143884044424281071e-01, 8.203606668255022938e-02, 2.437308235440147630e-01, 2.520404910223713961e-04, 1.608695898384490675e-01
2.018000000000000000e+03, 1.422286494977744176e-01, 1.958951558345591731e-02, 5.699204280128329636e-02, 1.594067541135727600e-02, 1.172583133148587115e-01, 8.264304119605590804e-02, 2.362724079422432177e-01, 2.319173661333097554e-04, 1.568355577988814753e-01
2.019000000000000000e+03, 1.383092661998421014e-01, 1.874112110376198806e-02, 5.320017936062911706e-02, 1.409423751133297327e-02, 1.159124103339120027e-01, 8.335453012231189285e-02, 2.327646173008200703e-01, 2.051301077798847717e-04, 1.536172254315239794e-01
2.020000000000000000e+03, 1.475561512844914547e-01, 1.793247068261083488e-02, 4.986577799045822934e-02, 1.085646851053065354e-02, 1.148211713541088252e-01, 8.397895731040964928e-02, 2.288412580558007725e-01, 1.979930276733140660e-04, 1.489210500224221467e-01
2.021000000000000000e+03, 1.424021605337731089e-01, 1.710294861906422326e-02, 4.615496228564167080e-02, 1.017928759175345046e-02, 1.139726141561126505e-01, 8.446143779663942142e-02, 2.279225214074848682e-01, 2.113135988216161009e-04, 1.458269525041751002e-01
2.022000000000000000e+03, 1.396381868853903141e-01, 1.631236141760330008e-02, 4.434210294711108530e-02, 9.421399862893961585e-03, 1.103669448722427032e-01, 8.499002969162708365e-02, 2.254124575787150864e-01, 1.918802212813089359e-04, 1.447826443687440789e-01
2.023000000000000000e+03, 1.425793633642648273e-01, 1.556163291720587434e-02, 4.234856755423320462e-02, 8.711631315210424664e-03, 1.127516572107347265e-01, 8.553140719458381114e-02, 2.223649736575490921e-01, 1.819235285739281838e-04, 1.429817198912751441e-01
2.024000000000000000e+03, 1.363772846989125265e-01, 1.484798831734703006e-02, 4.091899597844925185e-02, 7.819823463627148877e-03, 1.226589181497775571e-01, 8.609856233678556126e-02, 2.219579740562779568e-01, 1.706119289851206107e-04, 1.415565028743780429e-01
2.025000000000000000e+03, 1.375753794753613590e-01, 1.416798471622941584e-02, 3.966864672059585567e-02, 7.480615964650809240e-03, 1.398834933305196371e-01, 8.665518734692585767e-02, 2.192292159147779529e-01, 1.706514318853233380e-04, 1.415028841024927042e-01
2.026000000000000000e+03, 1.397379093682311335e-01, 1.343128198329697313e-02, 3.959287643696978581e-02, 7.384501444377686470e-03, 1.301341589239562169e-01, 8.719967861096611372e-02, 2.175709749215618549e-01, 2.128330706554839593e-04, 1.411987796294476294e-01
2.027000000000000000e+03, 1.360992401778946537e-01, 1.273407122352719287e-02, 3.959506225788911316e-02, 7.550829999772714490e-03, 1.261426050036425217e-01, 8.776895974025571145e-02, 2.158555859490893514e-01, 2.084144053237390096e-04, 1.423825203064784384e-01
2.028000000000000000e+03, 1.392752415046575043e-01, 1.207867482146999377e-02, 3.957484769965530225e-02, 7.581578307761867482e-03, 1.293746872299773032e-01, 8.837404945155137581e-02, 2.141103196403988385e-01, 1.767562155444614837e-04, 1.433090450199979160e-01
2.029000000000000000e+03, 1.415348821226333487e-01, 1.146234940167413681e-02, 3.957272547355522585e-02, 7.631075965485639538e-03, 1.259870693070061221e-01, 8.900642125493637979e-02, 2.121581700281043037e-01, 1.777334958571046312e-04, 1.427889477389931439e-01
2.030000000000000000e+03, 1.368003695179772494e-01, 1.088119543791335117e-02, 3.944570288926172591e-02, 7.558601179685471225e-03, 1.270580309079402670e-01, 9.025008254182906309e-02, 2.127507217622927882e-01, 2.105176719774512939e-04, 1.505876803662077879e-01
2.031000000000000000e+03, 1.454849732914088589e-01, 1.046984173914300431e-02, 4.116435965623402998e-02, 7.766135185392311277e-03, 1.249991861477352528e-01, 9.198488487881151254e-02, 2.115112236300893400e-01, 2.690893118725912539e-04, 1.574310256390342722e-01
2.032000000000000000e+03, 1.509642461261490043e-01, 1.008813258109647788e-02, 4.271464089034659323e-02, 8.473918484836515108e-03, 1.311019392710450759e-01, 9.355498168054186825e-02, 2.103892889661802268e-01, 3.207477013349998110e-04, 1.627420880523573476e-01
2.033000000000000000e+03, 1.471921834153202269e-01, 9.738283272866781609e-03, 4.398779369109184767e-02, 9.806266149140334745e-03, 1.346395297998356222e-01, 9.499243434424699262e-02, 2.100143567797344291e-01, 3.764970462751541700e-04, 1.667313421669623930e-01
2.034000000000000000e+03, 1.465687068192159659e-01, 9.416411166050296308e-03, 4.513712390923042134e-02, 1.090786969999943054e-02, 1.526664091809498136e-01, 9.631717497197063438e-02, 2.102739053143959369e-01, 4.143322612389065953e-04, 1.679557528434598157e-01
2.035000000000000000e+03, 1.523847749471846091e-01, 9.115864418410791689e-03, 4.612806281463901342e-02, 1.178502059399489169e-02, 1.603647803337700239e-01, 9.752672554196585575e-02, 2.114783409546322490e-01, 4.445442590183461642e-04, 1.792101653559642072e-01
2.036000000000000000e+03, 1.579911177707304659e-01, 8.820674758588602227e-03, 5.047001234106943124e-02, 1.295879967309001429e-02, 1.551124261070797317e-01, 9.856092752727502182e-02, 2.187701869590321646e-01, 4.441599147726034923e-04, 1.834588271583798835e-01
2.037000000000000000e+03, 1.677565425711920188e-01, 8.547512324625297295e-03, 5.491273296340343224e-02, 1.506729260310256391e-02, 1.611947321170313641e-01, 9.949414713467034932e-02, 2.226216768788924771e-01, 4.463986924125882346e-04, 1.880166001860153480e-01
2.038000000000000000e+03, 1.645794810999252900e-01, 8.290803837407252283e-03, 5.879545223018182304e-02, 1.679792452508590411e-02, 1.685158360040929226e-01, 1.003693628779516595e-01, 2.262986688702371407e-01, 4.500810324513625227e-04, 1.922732262367704004e-01
2.039000000000000000e+03, 1.661097519640473974e-01, 8.064009510130093136e-03, 6.201248968176036047e-02, 1.827859090684288285e-02, 1.594703188619271406e-01, 1.011908712863616028e-01, 2.295332347622028868e-01, 4.575318459260231392e-04, 1.959884478357092896e-01
2.040000000000000000e+03, 1.692396321160683781e-01, 7.860516210481931915e-03, 6.497926702819219191e-02, 1.957803322205412672e-02, 1.518592020839056311e-01, 1.016535477586711367e-01, 2.319155844327323301e-01, 4.599851920691163027e-04, 1.995499609535887064e-01
2.041000000000000000e+03, 1.759206931851073352e-01, 7.667806637349582934e-03, 6.615164462857459071e-02, 2.144299280943394448e-02, 1.601287616897237032e-01, 1.018191974368698599e-01, 2.294144458973922940e-01, 4.355340788335873982e-04, 2.039026817096106503e-01
2.042000000000000000e+03, 1.713302031771734568e-01, 7.486920257733635856e-03, 6.722017670206659190e-02, 2.288735690513518314e-02, 1.576934011321926288e-01, 1.020438079173859591e-01, 2.275456434265192285e-01, 4.836068378429417584e-04, 2.079340507396884308e-01
2.043000000000000000e+03, 1.689204978432692350e-01, 7.321717471889926596e-03, 6.796600908086632142e-02, 2.397991299540962531e-02, 1.527222344412066668e-01, 1.023271829916379549e-01, 2.259711872420582801e-01, 3.827948421377990514e-04, 2.093166471996844302e-01
2.044000000000000000e+03, 1.718088965490620346e-01, 7.177375012421855806e-03, 6.807335982728382473e-02, 2.469121639661628342e-02, 1.535407305249723853e-01, 1.026589909243272314e-01, 2.245416440848975181e-01, 3.343732112171215434e-04, 2.072389579492653067e-01
2.045000000000000000e+03, 1.728438817965035901e-01, 7.042168424610706530e-03, 6.782905820618558013e-02, 2.523538722601152001e-02, 1.554780518209790130e-01, 1.025649653013388368e-01, 2.231892414212988118e-01, 3.104683992255791321e-04, 1.909111163075698225e-01
2.046000000000000000e+03, 1.694610504153125086e-01, 6.815653860060728007e-03, 6.335431814287609265e-02, 2.253002151353457327e-02, 1.762915571459690856e-01, 1.021282568216717868e-01, 2.215826298705908526e-01, 2.808563750331282598e-04, 1.819363332913111753e-01
2.047000000000000000e+03, 1.659745744952562108e-01, 6.596199507179351107e-03, 5.974840778833952204e-02, 2.002221649650555782e-02, 1.701733296179558097e-01, 1.018250402106202074e-01, 2.201320095941343147e-01, 2.592483306852172821e-04, 1.749655416034861521e-01
2.048000000000000000e+03, 1.669660357463307598e-01, 6.393374395893983674e-03, 5.650784928620795899e-02, 1.767546723682079240e-02, 1.556264938993437430e-01, 1.016201427095340670e-01, 2.187639189793703920e-01, 2.459669228440984710e-04, 1.684738509974652021e-01
2.049000000000000000e+03, 1.628403605813265875e-01, 6.206820072354439326e-03, 5.381989400608678392e-02, 1.557607213620737854e-02, 1.505592373665430583e-01, 1.014839230436543061e-01, 2.175410557047750826e-01, 2.367202009966570592e-04, 1.630051898427915258e-01
2.050000000000000000e+03, 1.617450387507405329e-01, 6.018815940622208871e-03, 5.176353837843947203e-02, 1.357390167360689529e-02, 1.471637332982966007e-01, 1.015309357235564952e-01, 2.164753793965824846e-01, 2.282533164461543398e-04, 1.588624253351996196e-01
2.051000000000000000e+03, 1.562630111816477319e-01, 5.801729958960374911e-03, 5.060510920788148514e-02, 1.204908085248905872e-02, 1.523797879789192122e-01, 1.015315951095561720e-01, 2.185719478448079900e-01, 2.196638250416992804e-04, 1.559600180363876210e-01
