year, EC-Earth3-Veg, UKESM1-0-LL, CNRM-ESM2-1, GFDL-ESM4, IPSL-CM6A-LR, NorESM2-MM, ACCESS-ESM1-5, MIROC-ES2L, TaiESM1, CESM2-WACCM, MPI-ESM1-2-LR, CMCC-CM2-SR5, NorESM2-LM, CanESM5
2.015000000000000000e+03, 3.646618584228949089e+01, 4.293385509780661380e+01, 4.857005819387310197e+01, 3.252817285562653371e+00, 2.473109884280997051e+01, 2.542198995487654400e+01, 2.876345264386688072e+01, 1.641483139890343779e+01, 2.013695700926666632e+01, 2.494240392262435790e+01, 1.982840156892797978e+01, 5.133166710952855993e+01, 2.528955336614897931e+01, 6.227749992063659334e+01
2.016000000000000000e+03, 3.650484825769199659e+01, 4.290791499793233044e+01, 4.860830644345218587e+01, 3.379734563007502857e+00, 2.480293008676150279e+01, 2.543563126259617491e+01, 2.878502757656693589e+01, 1.639499312224659988e+01, 2.000081169447135210e+01, 2.502022700095550434e+01, 1.987414900188526801e+01, 5.145369089963208609e+01, 2.528727311253099330e+01, 6.226331077552040938e+01
2.017000000000000000e+03, 3.652174873241862940e+01, 4.300763855777631051e+01, 4.864415289457532765e+01, 3.262687009177015263e+00, 2.482730739534762421e+01, 2.542065705976655110e+01, 2.885659883490314925e+01, 1.638905354026433514e+01, 2.004666601957342920e+01, 2.509285647602570180e+01, 1.995039293266507130e+01, 5.150521027733563528e+01, 2.533055252935399437e+01, 6.224100839627411119e+01
2.018000000000000000e+03, 3.654102977566262211e+01, 4.313428369580098121e+01, 4.871947986777185946e+01, 3.171185531147122649e+00, 2.479659529917944027e+01, 2.541181564404467252e+01, 2.891359794364617031e+01, 1.637261500992713792e+01, 2.012403787305852276e+01, 2.514351593874862445e+01, 1.992827009754470780e+01, 5.150682764109831879e+01, 2.541318628988463146e+01, 6.219755274161217073e+01
2.019000000000000000e+03, 3.660249374362873453e+01, 4.298879646357948303e+01, 4.876829412157705690e+01, 3.236798483239102353e+00, 2.479141480337765557e+01, 2.543678359300564296e+01, 2.894356188408833219e+01, 1.632199937550435820e+01, 2.030364307513567113e+01, 2.516388080732996357e+01, 1.994381140327962498e+01, 5.146888778159417654e+01, 2.542980441048092999e+01, 6.219722826180932174e+01
2.020000000000000000e+03, 3.658660705341917918e+01, 4.294802175533050104e+01, 4.880017102090573644e+01, 3.120548600604027278e+00, 2.478287941028495212e+01, 2.544658815241731276e+01, 2.893291547458721169e+01, 1.630895715235602239e+01, 2.018025678950364821e+01, 2.513241322187447579e+01, 1.990930931728462383e+01, 5.138626995028977262e+01, 2.542198716084479670e+01, 6.224421669524718936e+01
2.021000000000000000e+03, 3.650912221600343344e+01, 4.292463249105276191e+01, 4.880636049501963214e+01, 2.966582635511164856e+00, 2.477288917569424243e+01, 2.546877609136504361e+01, 2.888753239092424252e+01, 1.637713938597251939e+01, 1.999387035423742631e+01, 2.516197582552967305e+01, 1.987774531396139466e+01, 5.154872368029617746e+01, 2.542677752309977990e+01, 6.227931526208097068e+01
2.022000000000000000e+03, 3.640627964892095036e+01, 4.279291886694402791e+01, 4.884120101276459991e+01, 3.015274958328228561e+00, 2.476634112197060134e+01, 2.550020027978317216e+01, 2.884087418844798378e+01, 1.641884683714480531e+01, 2.002927719236504345e+01, 2.521117758968063072e+01, 1.987363407393583969e+01, 5.162156728177472331e+01, 2.546206854232780969e+01, 6.237272030667664779e+01
2.023000000000000000e+03, 3.635562139754561883e+01, 4.281703985493432185e+01, 4.883522972376986360e+01, 3.130277380506404139e+00, 2.478726968451732660e+01, 2.549226484207365218e+01, 2.881026981030557721e+01, 1.634287889791975701e+01, 2.004055349553558329e+01, 2.515508301958179871e+01, 1.989995322151543533e+01, 5.154982236498016590e+01, 2.550725400732697068e+01, 6.240219596382759448e+01
2.024000000000000000e+03, 3.631865876031843499e+01, 4.286610467452883455e+01, 4.886907805413589756e+01, 3.214262855664397289e+00, 2.478083561507282084e+01, 2.549988188857653171e+01, 2.880785180397117884e+01, 1.630740341583772590e+01, 2.008422764616493694e+01, 2.518779571003353013e+01, 1.992443254397915808e+01, 5.133055813627102992e+01, 2.553080680867994445e+01, 6.245312487738375040e+01
2.025000000000000000e+03, 3.637435915347698057e+01, 4.287594028421963088e+01, 4.893218524051400919e+01, 3.220143919022704804e+00, 2.472784944720364919e+01, 2.553654201901058229e+01, 2.879961460887583513e+01, 1.626768542012741392e+01, 2.009975163288066824e+01, 2.525943088556240568e+01, 2.008073478490947750e+01, 5.124784740540045647e+01, 2.553235990703208103e+01, 6.253809474924217682e+01
2.026000000000000000e+03, 3.643232988548755458e+01, 4.284693135831073363e+01, 4.894457215788223436e+01, 3.094850414428548913e+00, 2.472820931079119333e+01, 2.563336195333111789e+01, 2.877658258392616020e+01, 1.624107422249720045e+01, 1.998495783943684501e+01, 2.522417402910587114e+01, 2.020688290876982762e+01, 5.131856091235852801e+01, 2.554813174923141261e+01, 6.256838930978005209e+01
2.027000000000000000e+03, 3.649938588892710101e+01, 4.278196674362880714e+01, 4.891582983123947059e+01, 3.140565366301042438e+00, 2.476844688680930417e+01, 2.568610459642238908e+01, 2.877702375346200370e+01, 1.628614238320814778e+01, 2.030189306094870361e+01, 2.522425590839862153e+01, 2.015843515927145901e+01, 5.149179094350186148e+01, 2.558393303837173605e+01, 6.265260849640265661e+01
2.028000000000000000e+03, 3.649070965888674323e+01, 4.275143238129044221e+01, 4.890598979790231482e+01, 3.162173025175351704e+00, 2.482035231219805382e+01, 2.567623816929805969e+01, 2.880526341131129797e+01, 1.628299882286649236e+01, 2.017981371823577064e+01, 2.526706101986752984e+01, 2.024776690185708716e+01, 5.161839533870330143e+01, 2.562285910409863376e+01, 6.266612610113335791e+01
2.029000000000000000e+03, 3.644258712898297148e+01, 4.278870047961415679e+01, 4.895915910490850820e+01, 3.103208378786153077e+00, 2.488515141007007614e+01, 2.567260906790089692e+01, 2.881757648726684451e+01, 1.626816066229605795e+01, 1.991662011944616140e+01, 2.529258693451837203e+01, 2.031179951292415709e+01, 5.167584377976572085e+01, 2.568009253104952805e+01, 6.267780775864417819e+01
2.030000000000000000e+03, 3.643950147597032441e+01, 4.303737021754592718e+01, 4.894410629492788445e+01, 3.027240537569738432e+00, 2.496324644195527753e+01, 2.564482115524131700e+01, 2.879907437017781291e+01, 1.630612427798439157e+01, 2.012716926955677010e+01, 2.534441629246935435e+01, 2.034448092755625837e+01, 5.171359445681485312e+01, 2.572535562495563255e+01, 6.268727483080395046e+01
2.031000000000000000e+03, 3.651264724271568696e+01, 4.307709786807736663e+01, 4.900163545268502219e+01, 2.946085175725675409e+00, 2.495323542127657390e+01, 2.568711233950278583e+01, 2.876678153231011237e+01, 1.634577373956878077e+01, 2.023921526248031100e+01, 2.531726731233559846e+01, 2.030981014881163205e+01, 5.154124902487673410e+01, 2.572253559958417313e+01, 6.264637342738188863e+01
2.032000000000000000e+03, 3.650992141110590694e+01, 4.303122448110067211e+01, 4.899161020154937063e+01, 2.876767528756960957e+00, 2.492898029107133695e+01, 2.571894564919820425e+01, 2.874885575659812531e+01, 1.638910776395592706e+01, 2.004743371178058453e+01, 2.527061109322439947e+01, 2.031100848867516362e+01, 5.156102672629303640e+01, 2.576824384553855651e+01, 6.263420186296751524e+01
