year, UKESM1-0-LL, CNRM-ESM2-1, TaiESM1, EC-Earth3-Veg, CMCC-ESM2, MPI-ESM1-2-LR, IPSL-CM6A-LR, NorESM2-LM, NorESM2-MM, CESM2-WACCM
2.027000000000000000e+03, 2.781257447783251124e-13, 1.159662870198468709e-11, 4.031035901290860071e-11, 2.732674751165888196e-11, 4.816264736484905183e-11, 4.429031793733509486e-12, 1.510531736761007080e-11, 1.529252884064627004e-10, 1.499445603803803717e-10, 4.688829879005715268e-11
2.028000000000000000e+03, 1.669532241975788199e-13, 1.103838076782376037e-11, 4.196449150604938619e-11, 2.833241590748051680e-11, 4.005538624192506860e-11, 4.261061714805283906e-12, 1.484126839298764352e-11, 1.383342365638414265e-10, 1.297154525788830460e-10, 4.669230876888559874e-11
2.029000000000000000e+03, 1.736738286020834054e-13, 1.185630983441756587e-11, 4.352403749378564709e-11, 2.876833772700034939e-11, 3.812258243027392294e-11, 3.903952386978389827e-12, 1.468000361077790823e-11, 1.373742619555355826e-10, 1.439002561684877803e-10, 4.505336970562993235e-11
2.030000000000000000e+03, 3.061628167332808990e-13, 1.142790106991691417e-11, 4.622359675702589118e-11, 2.857805939299405886e-11, 4.193076673791861599e-11, 1.662013142592328927e-11, 1.476613675970242355e-11, 1.537079134766503254e-10, 1.877448272718371569e-10, 4.495430828783101598e-11
2.031000000000000000e+03, 3.779518694901302922e-13, 1.755919821858836184e-11, 4.727496988184412064e-11, 3.619499371039694011e-11, 4.271206048434586939e-11, 2.471614362875373170e-11, 4.325081730760480384e-11, 1.108666802474175765e-10, 1.886731325252725666e-10, 7.398466856948643128e-11
2.032000000000000000e+03, 4.284581495283094608e-13, 2.168398683237999533e-11, 4.834558449740944505e-11, 3.488530521043161284e-11, 4.259108604820042674e-11, 2.683382289505987959e-11, 4.201055314381107015e-11, 1.534386878973327020e-10, 1.940354002555703913e-10, 8.049233429212926484e-11
2.033000000000000000e+03, 5.000586031262399563e-13, 2.686409027865225266e-11, 4.737268547498001880e-11, 3.507329264347869607e-11, 4.299312103376864386e-11, 2.897674309684565028e-11, 4.260418938125620535e-11, 1.658951411582914243e-10, 2.168355224527444976e-10, 8.293935465672660755e-11
2.034000000000000000e+03, 5.064129309098608843e-13, 2.767424630076035208e-11, 4.816128936485236504e-11, 3.596186678114139628e-11, 4.229059132587046683e-11, 3.084782223682015346e-11, 4.353033604366743706e-11, 1.646788723705692519e-10, 2.276278728245286774e-10, 8.332243199780816319e-11
2.035000000000000000e+03, 4.988625667652456781e-13, 2.894252631042426271e-11, 5.622516653378768575e-11, 3.481153533346076585e-11, 4.894612509298926825e-11, 4.625960090849134122e-11, 4.486825751593684445e-11, 1.807069539673368880e-10, 1.665954858746620429e-10, 8.523887933295827843e-11
2.036000000000000000e+03, 4.371009504000674568e-13, 4.663586383099302628e-11, 5.550729176912811834e-11, 3.904045573261890757e-11, 4.940031692035548418e-11, 5.474193082458788518e-11, 7.454406837127203483e-11, 1.881164643810518578e-10, 2.359470486032695921e-10, 1.140030614347131614e-10
2.037000000000000000e+03, 4.062334965835949592e-13, 6.674527935112953385e-11, 5.390891081314173748e-11, 3.909636273312179481e-11, 4.563109806940159295e-11, 5.681970411971749564e-11, 7.629572210842349680e-11, 1.703581835638147953e-10, 2.363915409461508798e-10, 1.078230206935116190e-10
2.038000000000000000e+03, 3.837925633497471219e-13, 7.063980581553812139e-11, 5.595817733193612940e-11, 3.850012106093784795e-11, 4.541071656616825625e-11, 5.980390453053780684e-11, 7.859608811679810509e-11, 1.813570083481313549e-10, 2.406271516874165997e-10, 1.114949736108285401e-10
2.039000000000000000e+03, 3.860885612627352606e-13, 7.655550916994261929e-11, 5.583071526580094008e-11, 3.916164208955328233e-11, 4.722714928381957210e-11, 6.099686243292332080e-11, 7.917104336651756191e-11, 1.766594239780517358e-10, 3.038744713404771649e-10, 1.132994525446319287e-10
2.040000000000000000e+03, 3.952193964474716816e-13, 8.917897914113931524e-11, 5.214634952665887918e-11, 3.967962698559864671e-11, 4.788294335070390632e-11, 4.792384458839758075e-11, 8.094718577060665365e-11, 1.646550869539882763e-10, 2.508905647439083289e-10, 1.139706511813195697e-10
2.041000000000000000e+03, 3.721557553582787266e-13, 1.026635273282918143e-10, 5.364850082095335482e-11, 3.563535388440764772e-11, 4.409978547690866884e-11, 3.929296944078638495e-11, 6.919178439455406737e-11, 1.313311361184514465e-10, 2.290393057674762129e-10, 1.109705835832284154e-10
2.042000000000000000e+03, 6.542708408442548424e-13, 1.084578105898717443e-10, 5.138459745442387574e-11, 3.603241272297268362e-11, 4.127850061668165993e-11, 3.703743670445111609e-11, 7.148436700975599004e-11, 1.630331818892705980e-10, 2.422724191726609906e-10, 1.080006890530882503e-10
2.043000000000000000e+03, 3.324855783037522480e-13, 1.117398766934689987e-10, 5.210830246056961917e-11, 3.499288492025640095e-11, 4.289429678009550008e-11, 3.608680122716947420e-11, 7.169986876656008356e-11, 1.821535650782387446e-10, 2.350799994057006416e-10, 1.077634479131150662e-10
2.044000000000000000e+03, 2.061333185251935731e-13, 1.144315029241025156e-10, 5.347706904487736610e-11, 3.728233074225295835e-11, 4.611868643550627139e-11, 3.547232377762822040e-11, 7.221362774435817974e-11, 1.721865344339317936e-10, 1.827088881854782817e-10, 1.103162501494675367e-10
2.045000000000000000e+03, 1.730277049213640213e-13, 1.185415064168117761e-10, 3.851845632364217630e-11, 3.631163821168559740e-11, 3.948550147019055156e-11, 2.747971286877861779e-11, 7.267657603106922916e-11, 1.777586278605959217e-10, 2.763337077788538953e-10, 1.085675188708265083e-10
2.046000000000000000e+03, 1.162556618841523428e-13, 4.853633013981651882e-11, 3.768787954450049626e-11, 3.018588220955867527e-11, 3.620242357175293076e-11, 2.236132488178935697e-11, 4.194586802266508536e-11, 1.649293890895676552e-10, 2.144219433492745951e-10, 7.895238016286465070e-11
2.047000000000000000e+03, 8.627661729736092522e-14, 4.625529372778133688e-11, 3.724712682113269034e-11, 2.852608202852027704e-11, 3.671492977507521045e-11, 2.086040298985214458e-11, 4.046560607024324077e-11, 1.701824492688328581e-10, 1.949258913803108193e-10, 7.683466869953735225e-11
2.048000000000000000e+03, 8.089129046080266376e-14, 4.399173977221686842e-11, 3.589544400266525374e-11, 2.986838850586927908e-11, 3.809673477239947593e-11, 1.975905036101011091e-11, 3.883647741508142900e-11, 2.018704059757332464e-10, 2.265924223999140690e-10, 7.518592000766328350e-11
2.049000000000000000e+03, 8.794718568549143940e-14, 4.110853878719952599e-11, 3.554843948976706178e-11, 3.066419003623962519e-11, 3.753143831645196817e-11, 1.898886540367654460e-11, 3.716932383486280319e-11, 1.829822792497072169e-10, 2.222969308822603425e-10, 7.317492058112537472e-11
2.050000000000000000e+03, 9.403178531646641268e-14, 3.794783435745828769e-11, 4.149756040770952300e-11, 2.656644264316376094e-11, 3.683598104006699278e-11, 1.601089681102004155e-11, 3.544206701443649257e-11, 1.675731890909601876e-10, 2.297901477310377490e-10, 7.240238023278573093e-11
2.051000000000000000e+03, 9.005251204162073766e-14, 2.702229072775181096e-11, 4.239080245351437182e-11, 2.807882860414895440e-11, 3.852321707276804359e-11, 1.390036381338908318e-11, 3.217552959191808039e-11, 1.556652312591052898e-10, 1.797754174395660095e-10, 6.207495828263712483e-11
2.052000000000000000e+03, 1.021360043849554576e-13, 2.261297276262483632e-11, 4.148489474765682196e-11, 2.860504086224694892e-11, 4.073922515836928409e-11, 1.280853608006661173e-11, 3.104674288253905324e-11, 1.429012347061036470e-10, 2.158476829402611679e-10, 5.949085458302329582e-11
2.053000000000000000e+03, 8.533511877165620315e-14, 1.832030904203877452e-11, 4.229869715036474572e-11, 2.805660737736365410e-11, 3.661751669878539167e-11, 1.219003315378202174e-11, 2.934848221265416077e-11, 1.764131085540554994e-10, 2.180710712304417466e-10, 5.767352099769483805e-11
2.054000000000000000e+03, 9.372459846246836391e-14, 1.466920935148029815e-11, 4.257841202221529655e-11, 2.783879096492490957e-11, 3.712512225868377330e-11, 1.168165259952365170e-11, 2.821500155874662933e-11, 1.767600654402542125e-10, 2.414040401825836483e-10, 5.582504778631160222e-11
2.055000000000000000e+03, 7.999816924119528971e-14, 1.015367639552005074e-11, 3.893988455364856734e-11, 2.883700820562353155e-11, 3.894732203950132235e-11, 1.100480797757012597e-11, 2.719925982358577204e-11, 1.685507983113114244e-10, 2.016678945867336058e-10, 5.496014787662169306e-11
2.056000000000000000e+03, 6.096345478528224986e-14, 8.624804583402381492e-12, 3.842003577469870625e-11, 2.845099363010912002e-11, 3.791949347184629233e-11, 1.042958363342996983e-11, 2.133541949888944510e-11, 2.096067004315357783e-10, 2.064079550131381388e-10, 5.144679418696371588e-11
2.057000000000000000e+03, 6.290934100338801777e-14, 8.353176194902548330e-12, 3.813178065842295448e-11, 2.826292087767611810e-11, 3.657627306314410365e-11, 1.012953451946196132e-11, 2.109406798810775445e-11, 1.771516867836145680e-10, 2.348742907555758978e-10, 5.199117614654441584e-11
2.058000000000000000e+03, 6.047023692959871594e-14, 7.813363289665032182e-12, 3.790262461009250430e-11, 2.780297742179306849e-11, 3.621104829601339446e-11, 1.005055412695108580e-11, 2.100596096833604482e-11, 1.229397563640200142e-10, 2.013615687563112838e-10, 5.066637796098348115e-11
2.059000000000000000e+03, 4.945249527044981527e-14, 7.481793985432487959e-12, 3.768589599581236312e-11, 2.786118333483010306e-11, 3.495711788955962518e-11, 9.877984065627364519e-12, 2.077816001187089400e-11, 1.069331091802737434e-10, 1.962954218357729478e-10, 4.822747827419705018e-11
2.060000000000000000e+03, 4.654073532163196691e-14, 6.764375661716959471e-12, 3.594494251925409646e-11, 2.607096384360418055e-11, 3.655185883810830718e-11, 6.944555542101633107e-12, 2.064964534611432383e-11, 1.738579966411235893e-10, 2.182445773458992859e-10, 4.974148434278871686e-11
2.061000000000000000e+03, 4.961704300028745143e-14, 5.583575346919738600e-12, 3.591883508504918869e-11, 2.458976390195605461e-11, 3.985551368916770495e-11, 4.897851423302865491e-12, 1.292956368704152848e-11, 1.443489086947816321e-10, 1.678088703290534239e-10, 4.566886655085036983e-11
2.062000000000000000e+03, 6.550686022862116777e-14, 5.791257449883182393e-12, 3.546893838182617229e-11, 2.446209118122108796e-11, 3.908361884549714133e-11, 4.437894320562861687e-12, 1.256526627571971186e-11, 1.315780317585048278e-10, 1.883089187207770901e-10, 4.459484759008590895e-11
2.063000000000000000e+03, 6.701471843794917536e-14, 5.658477203571267817e-12, 3.577018062395817219e-11, 2.465933751268105440e-11, 3.570515216969140931e-11, 4.107898305033166354e-12, 1.194055777013440175e-11, 1.193882214913551468e-10, 1.834624746047086022e-10, 4.463715817628628419e-11
2.064000000000000000e+03, 5.679975182432284309e-14, 5.747205649701590976e-12, 3.551474359306670806e-11, 2.440734205104357079e-11, 3.521107724904633858e-11, 3.761446975374839805e-12, 1.130445415585636920e-11, 1.390784747268584522e-10, 1.609374056350315291e-10, 4.294845209876304755e-11
2.065000000000000000e+03, 7.527712958477378054e-14, 5.200664234824780565e-12, 3.903300758955939510e-11, 2.448531188990279921e-11, 3.761215221297749597e-11, 4.850644850924019301e-12, 1.090002623113111015e-11, 1.769767695217002613e-10, 1.982233548732208382e-10, 4.216447408419310913e-11
2.066000000000000000e+03, 1.185617791496158296e-13, 7.250560652788991025e-12, 4.009696220452752147e-11, 2.605239709690375380e-11, 3.778172555713628774e-11, 5.610774021150762511e-12, 1.549008662613344459e-11, 1.614495646917001921e-10, 2.323607473310970937e-10, 4.337821807226743734e-11
2.067000000000000000e+03, 1.080003930094836913e-13, 7.651803903692926842e-12, 4.143073120388186309e-11, 2.614380850304106913e-11, 3.837135611829961002e-11, 5.844963286479573806e-12, 1.563520137063305853e-11, 1.266112922654668015e-10, 2.121803252178988489e-10, 4.508369887547512277e-11
2.068000000000000000e+03, 1.476602878802418244e-13, 7.777691118581920566e-12, 4.033418533057597558e-11, 2.583140898792461902e-11, 3.862355044856374062e-11, 5.776579436288882464e-12, 1.591096823801954717e-11, 1.936756259753876469e-10, 2.065549084617152507e-10, 4.517773833411337673e-11
2.069000000000000000e+03, 2.062163950766346970e-13, 7.735745196768066494e-12, 3.959120439432031264e-11, 2.566350492536967044e-11, 3.734650045289405284e-11, 5.709992781007502974e-12, 1.562744363279345862e-11, 1.546254414031519446e-10, 2.719091931215063573e-10, 4.459982936749581329e-11
2.070000000000000000e+03, 1.530553224094636198e-13, 7.645965783719374621e-12, 4.432806310989728087e-11, 2.500608004619503708e-11, 4.422205616836197787e-11, 1.009377199342499865e-11, 1.566693640539534192e-11, 1.660202476200895156e-10, 1.876314286354260065e-10, 4.528667821850082621e-11
2.071000000000000000e+03, 1.744524606068708612e-13, 7.773640831157781336e-12, 4.592367083236792068e-11, 2.691104406913505028e-11, 4.574147421357994667e-11, 1.308378473617521302e-11, 2.145142387670766884e-11, 1.667183103737760749e-10, 2.247021405520796548e-10, 5.665316438285005529e-11
2.072000000000000000e+03, 1.873999164308662633e-13, 8.377668856025871346e-12, 4.537714707456714977e-11, 2.646709600512296611e-11, 4.351589127684017577e-11, 1.363813640790366979e-11, 2.192950769039347880e-11, 1.898149529790209916e-10, 1.928658350260340961e-10, 5.715701238353708995e-11
2.073000000000000000e+03, 1.453756531298102819e-13, 7.895688882058973566e-12, 4.369006933486368963e-11, 2.617621597705589058e-11, 4.293231631110956883e-11, 1.392893864677319453e-11, 2.232944397883511153e-11, 1.622605759068553919e-10, 1.901571612076150201e-10, 5.837111646673273061e-11
2.074000000000000000e+03, 1.149704205048350719e-13, 8.575909904127408609e-12, 4.370138842971743461e-11, 2.620035660842125733e-11, 4.577123470348467213e-11, 1.426989867786089952e-11, 2.278487397370008032e-11, 1.250134467569071237e-10, 2.487749477047552487e-10, 6.062245308529251284e-11
2.075000000000000000e+03, 1.198110296608055377e-13, 8.246464574969556884e-12, 5.652486659420812063e-11, 2.615927420957859425e-11, 5.766644452850448131e-11, 2.385045649853249974e-11, 2.303401541164922799e-11, 1.678101478269301070e-10, 2.267100996154240015e-10, 5.963846545313940067e-11
2.076000000000000000e+03, 1.624157088000430339e-13, 3.756165523570811696e-11, 5.514646085108220645e-11, 2.651328271481864566e-11, 5.515759909005995823e-11, 3.068231935407886687e-11, 4.989195053019107127e-11, 1.957076679699328765e-10, 2.668541328450127092e-10, 8.125041544646894332e-11
2.077000000000000000e+03, 6.017830980571395018e-13, 3.869267713522575318e-11, 5.514306893691911344e-11, 2.011857427243008798e-11, 5.552028964527141244e-11, 3.251231456080095551e-11, 5.079793956449221370e-11, 1.623297721497998442e-10, 2.611086412638229243e-10, 8.448382799382035493e-11
2.078000000000000000e+03, 2.425132129382123189e-12, 4.026722501658900481e-11, 5.650848798638867206e-11, 2.147159691868407996e-11, 5.554325212781910145e-11, 3.347402908333356231e-11, 5.186458425697291683e-11, 1.512150906668856939e-10, 2.746214785694850726e-10, 8.763306048611885402e-11
2.079000000000000000e+03, 3.033399233293372938e-12, 4.013124369777803644e-11, 5.665264548282038114e-11, 2.126465728505189924e-11, 5.555066106913204467e-11, 3.408411243143369937e-11, 5.292975305482443041e-11, 1.673935533131786763e-10, 2.363171194144257737e-10, 9.207171668392649523e-11
2.080000000000000000e+03, 2.915220765524766258e-12, 4.353150349023122562e-11, 4.973952756921671870e-11, 2.101636675145052601e-11, 5.204693285084042426e-11, 3.738530176071809913e-11, 5.357172060931203118e-11, 1.817957504534627357e-10, 2.403087046618048193e-10, 9.212209504307548388e-11
2.081000000000000000e+03, 2.958396605492129949e-12, 2.349508335081755172e-11, 4.934432301306655413e-11, 2.119969037376223238e-11, 5.281864228933467540e-11, 3.979712874833819351e-11, 3.995709606496868540e-11, 1.432310818673195289e-10, 2.565402102227361953e-10, 9.113775593103954703e-11
2.082000000000000000e+03, 3.064111925037968981e-12, 2.372384001216747786e-11, 5.035156766609343005e-11, 1.835090456079968653e-11, 5.170611119323206556e-11, 4.069793452200425053e-11, 4.025315264297984648e-11, 2.277876000785442437e-10, 2.773673009605172286e-10, 9.467740944049700526e-11
2.083000000000000000e+03, 3.185727846812942134e-12, 2.483779233866142041e-11, 5.062663556063774493e-11, 2.157278950215935249e-11, 5.019248005968311705e-11, 4.143692530187369993e-11, 4.064929733061259872e-11, 1.724465754349207643e-10, 2.996362155862835990e-10, 9.567102960535539094e-11
2.084000000000000000e+03, 3.311003750499963706e-12, 2.872789129316607756e-11, 4.985320433312100898e-11, 2.394986596963640229e-11, 5.214902078825808631e-11, 4.188926174701444564e-11, 4.032310334811231490e-11, 1.706342137547402756e-10, 2.975924631029365624e-10, 9.349815146985102065e-11
2.085000000000000000e+03, 3.335384420289773079e-12, 2.901919322994713047e-11, 4.177015044648206825e-11, 1.904857019046243952e-11, 5.386494808146991868e-11, 2.854042970964116972e-11, 4.078682962936922937e-11, 2.107819621786344901e-10, 2.891812360079257275e-10, 9.180107564562267769e-11
2.086000000000000000e+03, 2.869291113593536426e-12, 1.429308316102141680e-11, 4.226410191769341017e-11, 1.261728899472139829e-11, 4.905693358052787467e-11, 1.950662044336876909e-11, 1.970136477560778136e-11, 2.420071513816963316e-10, 2.194657952750085782e-10, 6.984104839487739875e-11
2.087000000000000000e+03, 2.808283149573237838e-12, 1.275592781936153841e-11, 4.220475231922102827e-11, 1.254061483543154540e-11, 4.638917373697838434e-11, 1.734088477259431588e-11, 1.877419715100021452e-11, 2.114147182573710112e-10, 3.086842607915088792e-10, 6.762272617681753794e-11
2.088000000000000000e+03, 2.890209381744156311e-12, 1.187583261864350251e-11, 4.080880798328826584e-11, 1.240033016515124798e-11, 5.115689812685936588e-11, 1.612591081052951640e-11, 1.759694935814125465e-11, 2.007134529717047561e-10, 3.489211015382300920e-10, 6.610330875116609390e-11
2.089000000000000000e+03, 2.840564398697367321e-12, 9.595832144614521822e-12, 3.936502958015459506e-11, 1.295974239129440190e-11, 5.063395374287515743e-11, 1.516624141184948123e-11, 1.662866431246286171e-11, 1.550230300207564715e-10, 2.326110522806770369e-10, 6.471309460991511502e-11
2.090000000000000000e+03, 3.152282859864838050e-12, 9.202609551835638427e-12, 4.007137043654444502e-11, 1.254821552569336422e-11, 4.509771398025703084e-11, 2.132101532249193435e-11, 1.587659222287648275e-11, 1.670556933435552288e-10, 2.496419719895467162e-10, 6.412479496719329585e-11
2.091000000000000000e+03, 2.532789753542975327e-12, 1.009480963892841861e-11, 3.940622349684019963e-11, 1.896581346655070984e-11, 4.248345274597558160e-11, 2.547749104272433554e-11, 2.625849466285945985e-11, 2.269886859547460218e-10, 2.332820882316979018e-10, 6.581435677951271174e-11
2.092000000000000000e+03, 2.177021164745187712e-12, 9.765149872554440292e-12, 4.099068543609791017e-11, 1.901540275793377351e-11, 4.550329678191894451e-11, 2.612594834380441723e-11, 2.628840807398470685e-11, 1.607035584792006928e-10, 2.090115870251009789e-10, 6.531646833599337545e-11
2.093000000000000000e+03, 2.037499724871420665e-12, 1.134642269871344615e-11, 4.144208403967732937e-11, 1.985623733537416147e-11, 4.654011061259385152e-11, 2.668023227958710525e-11, 2.609499347540219239e-11, 1.606882771160273032e-10, 2.695546159815820915e-10, 6.583358808830247111e-11
2.094000000000000000e+03, 2.050411885303298113e-12, 1.333380096944858427e-11, 3.937554655753491119e-11, 2.027363152294079525e-11, 4.766635176561085398e-11, 2.761972162820802038e-11, 2.587524372387541125e-11, 1.429478422510346751e-10, 2.745710488031969233e-10, 6.567588790370568591e-11
2.095000000000000000e+03, 2.288611586055702651e-12, 1.822226216871532484e-11, 4.047635957794102932e-11, 2.503625117496781422e-11, 4.438931446671557994e-11, 2.312941512254505337e-11, 2.573238422485520489e-11, 1.597481595216255174e-10, 2.678003150259794711e-10, 6.743849713798668333e-11
2.096000000000000000e+03, 2.478493245313848288e-12, 1.569290132777066717e-11, 4.102950653101656093e-11, 1.455887342895998269e-11, 4.236966894945313925e-11, 2.008193317641934707e-11, 1.416379362108085162e-11, 1.570660524808113737e-10, 2.696427909121457426e-10, 5.949232538348940811e-11
2.097000000000000000e+03, 2.526717793372321873e-12, 1.677230031099343118e-11, 3.933347546684265372e-11, 1.402647561492361468e-11, 4.254151382900455576e-11, 1.922914410094732025e-11, 1.407874683615743634e-11, 1.878104670686387625e-10, 2.725865059472772380e-10, 5.870210863712630600e-11
2.098000000000000000e+03, 2.507915974020904295e-12, 1.642713514043998351e-11, 4.019160437874690706e-11, 1.401021662439037609e-11, 4.487458005204063039e-11, 1.873266824582723266e-11, 1.450294870273268261e-11, 1.946856542043625317e-10, 2.581140418069895999e-10, 5.747067636025301431e-11
2.099000000000000000e+03, 2.473674637334941674e-12, 1.698920259493629699e-11, 4.140489247172474757e-11, 1.546653878769554759e-11, 4.606004013911953056e-11, 1.842744534094720123e-11, 1.397799480991388307e-11, 1.572019110595555650e-10, 2.585445008868699716e-10, 5.981503149091774862e-11
2.100000000000000000e+03, 2.352299127187287969e-12, 1.690127687717028511e-11, 2.518715832876805581e-11, 1.503774287743892643e-11, 2.563291189902344903e-11, 1.101119221099045084e-11, 1.394516811921261890e-11, 1.648003645300734074e-10, 2.672812349599674073e-10, 6.025308983262278074e-11
