year, UKESM1-0-LL, CNRM-ESM2-1, TaiESM1, EC-Earth3-Veg, CMCC-ESM2, MPI-ESM1-2-LR, IPSL-CM6A-LR, NorESM2-LM, NorESM2-MM, CESM2-WACCM
2.015000000000000000e+03, 4.161993608913713203e-13, 1.505541667820983392e-10, 1.844291867146650873e-10, 7.093190179177596369e-11, 4.518238879964877319e-11, 1.897638311759485676e-11, 9.160976956169995143e-11, 2.178667897165388151e-10, 1.953592854389276809e-10, 1.382239959703765895e-10
2.016000000000000000e+03, 2.539880658985903969e-13, 5.077331816662041133e-11, 7.624202615557039723e-11, 2.922165736549629718e-11, 4.671763637711639771e-11, 1.316433071493296589e-11, 3.386368097811165587e-11, 1.821030454688618071e-10, 1.568945061042209741e-10, 6.176018484798457146e-11
2.017000000000000000e+03, 2.472072909237657979e-13, 5.083866438054121617e-11, 6.770455734715605463e-11, 2.658628960845815680e-11, 4.087486965759767502e-11, 1.203280101983201138e-11, 3.365996116276430981e-11, 1.147641677053700032e-10, 1.512104607647388365e-10, 5.676840254545638593e-11
2.018000000000000000e+03, 1.964023098258955980e-13, 4.785979514487887608e-11, 6.179069516683438852e-11, 2.665043950667066698e-11, 3.962495335811193996e-11, 1.160247917890844574e-11, 3.325037618640841336e-11, 1.230375965289470574e-10, 1.251214419251912802e-10, 5.417908790511891748e-11
2.019000000000000000e+03, 1.147311220786070426e-13, 4.271641149964523826e-11, 5.627731097141286140e-11, 2.719373117957861408e-11, 3.921984422145859205e-11, 1.136472416415227191e-11, 3.323444932413229403e-11, 1.427598837979936192e-10, 1.449183518108457989e-10, 5.053860007000576901e-11
2.020000000000000000e+03, 1.074039168823707766e-13, 4.050769482377624504e-11, 5.513239146424621861e-11, 2.707503048035609450e-11, 4.220122798252351377e-11, 9.436218303803744590e-12, 2.931747252143268276e-11, 1.765197423921980404e-10, 1.350620340930111556e-10, 5.158774458710922046e-11
2.021000000000000000e+03, 1.831324687874780971e-13, 1.783916632323748744e-11, 5.176721857383211186e-11, 2.591834793298119243e-11, 4.087550895824391380e-11, 7.555353907718767165e-12, 2.639376680798343543e-11, 1.232135874974023298e-10, 1.736932766006590897e-10, 5.030359615549903859e-11
2.022000000000000000e+03, 1.290238461535852267e-13, 1.609475186010011208e-11, 4.917015770897849025e-11, 2.543131016131682103e-11, 4.978941924889665342e-11, 6.822527296140122894e-12, 1.952839076981557947e-11, 9.100955913691540192e-11, 1.675419720001001648e-10, 4.773918476651253246e-11
2.023000000000000000e+03, 1.061407403617411378e-13, 1.479319925993605958e-11, 4.681668420954289030e-11, 2.603787619682479931e-11, 4.789291594552980646e-11, 6.886366646167569182e-12, 1.820098885812347556e-11, 1.354664188784437985e-10, 1.589306161188064078e-10, 4.697100470978094745e-11
2.024000000000000000e+03, 7.916246946699787226e-14, 1.352360355945509272e-11, 4.423033608128000013e-11, 2.692302355451472407e-11, 4.235225229483019137e-11, 6.923543329866666750e-12, 1.659136349564334927e-11, 1.421745287243769404e-10, 1.547948625578066011e-10, 4.773743504848957362e-11
2.025000000000000000e+03, 9.079919975996474185e-14, 7.787444314503743909e-12, 4.417914922027081980e-11, 2.706444218593098599e-11, 3.721565459197532770e-11, 6.279588180637592576e-12, 1.530237981851598762e-11, 1.511515985420741976e-10, 1.766204021902317331e-10, 4.765209096375909462e-11
2.026000000000000000e+03, 2.765888825155027773e-13, 9.528969199640158137e-12, 4.490621710955772343e-11, 2.868625902997555079e-11, 4.345876234556104737e-11, 4.940236322923285786e-12, 1.486295593287348027e-11, 1.697314040068242669e-10, 1.472326097536708734e-10, 4.558856144898318440e-11
