year, CESM2-WACCM, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, MIROC-ES2L, CanESM5, CMCC-ESM2, GFDL-ESM4
2.027000000000000000e+03, 7.690191433106204084e-10, 1.928299578284669609e-09, -2.047196384410689130e-10, 8.195134915092690224e-10, 5.695419588861757909e-10, 1.339525862457726056e-09, -6.140143006531805424e-10, 1.499097236641811976e-09
2.028000000000000000e+03, -2.531212074736694482e-10, 4.237410941310620119e-10, 6.895694688773522765e-10, -5.737405625391956424e-10, -9.251865031396711949e-11, -5.231223999658904721e-10, 2.894375806987227714e-09, 3.367088322683466617e-10
2.029000000000000000e+03, 5.131852163722693179e-10, 4.665420936512083402e-10, 2.077360818769887027e-10, 2.283870035545481923e-09, 1.954023755826350555e-10, -8.051976190211244069e-10, 2.421852555225305361e-10, -1.437880374030653011e-09
2.030000000000000000e+03, -1.828439733638437852e-12, -1.147261586962987642e-09, 8.259442099825895867e-10, 4.773837340171128101e-11, 7.146193380570825215e-10, -2.591758880619971690e-10, -3.720085161084543871e-09, -1.254358070801701675e-09
2.031000000000000000e+03, 1.939433024328209737e-09, -8.306947626763515161e-10, 2.809466376367927294e-10, 2.337355287087405455e-11, 1.035814609616908696e-09, -9.348786229431012123e-10, -2.021625643563371390e-10, -7.527514337685177956e-10
2.032000000000000000e+03, 7.188852468663317373e-10, 1.861958884198774605e-09, 3.084036917843925570e-10, 4.388082156764337879e-10, 8.909428256633480804e-10, 2.314141878809644378e-10, -2.946094771612634030e-11, 6.742385261170895403e-11
2.033000000000000000e+03, -1.192318726816193819e-09, 2.610644338173567724e-09, -2.242510554303770800e-10, 1.334319610870480953e-09, -1.500338071840285625e-10, -1.013972445071846011e-09, 1.261640312298671368e-09, 4.965992005831859839e-10
2.034000000000000000e+03, -2.613723512511578491e-10, 2.452503714059915918e-09, -6.910516247117351678e-12, -8.076057243738067481e-10, -6.862796058577847755e-10, 2.101391628039587264e-09, 2.250257241867636668e-09, -7.477277196874217216e-10
2.035000000000000000e+03, 2.197691451456775678e-10, -2.202635177194511993e-10, 7.848981962499453570e-10, -1.692481174381519376e-10, 3.944797882717750222e-10, -1.353720989806387438e-09, -3.671548388339373157e-09, 1.413193393759416318e-09
2.036000000000000000e+03, 3.597943912200396208e-10, -1.820804503508876321e-09, -5.845276190478156393e-10, -1.283634229434106786e-09, 2.788242651660550084e-10, -1.274160955834262196e-09, -3.221169085148688208e-10, -1.092171861330225308e-09
2.037000000000000000e+03, 7.527650453135861651e-10, 2.438731157171213234e-09, -6.215558519052523352e-10, -1.529882915427796671e-09, 4.403008125287909208e-10, 3.260757904132747752e-09, 2.458065240014485446e-09, -5.058806678748671283e-10
2.038000000000000000e+03, -3.081179101117402748e-10, -5.989309775190492251e-10, 1.050291366017189045e-09, 3.154221505578006593e-10, -2.052356175869384277e-11, 1.504032860159080219e-09, 6.058180026261807434e-10, 1.061548922466071561e-09
2.039000000000000000e+03, -3.272909143954083198e-10, -1.283226155472729644e-09, -7.713831167252103800e-10, -2.116677445129777573e-10, 1.522740369042360908e-10, -8.043311506880065256e-11, -1.723760409129266485e-09, -6.609539920745816608e-10
2.040000000000000000e+03, 6.685978526993035282e-10, 2.835660782104225540e-10, 1.919775664712538799e-09, 8.420618728101133429e-12, 8.936126313570937191e-10, -5.022608877763764015e-10, -2.465189091626405543e-09, 1.418237221604513541e-09
