year, GFDL-ESM4, CNRM-ESM2-1, INM-CM5-0, UKESM1-0-LL, IPSL-CM6A-LR, CESM2-WACCM, CanESM5, TaiESM1, INM-CM4-8, ACCESS-ESM1-5, NorESM2-MM, NorESM2-LM, MPI-ESM1-2-LR, MIROC-ES2L, CMCC-CM2-SR5, EC-Earth3-Veg
2.015000000000000000e+03, 2.321518599431276364e+00, 7.695584138286974074e+00, 1.695151292215094330e+01, 8.260457771734339261e+00, 1.188862345971077339e+01, 1.166715851285911931e+01, 1.598346281296632831e+01, 6.955358909164147008e+00, 1.783163223311876422e+01, 1.525118998969644046e+01, 1.045689121682898914e+01, 8.660298580520324307e+00, 1.064348992804598382e+01, 1.231840096767908577e+01, 6.117913415290188617e+00, 4.690124717239892327e+00
2.016000000000000000e+03, 2.268760082320148808e+00, 7.914483086318458760e+00, 1.687229874742211067e+01, 8.191804966545639388e+00, 1.197048446436122582e+01, 1.123528945750044272e+01, 1.591576076872292944e+01, 7.629194694951056732e+00, 1.801428015669837990e+01, 1.552119827050310974e+01, 1.053159760041609339e+01, 8.803947388369307347e+00, 1.081266681915700367e+01, 1.243238411858236248e+01, 5.209027895409424680e+00, 4.959567769764904988e+00
2.017000000000000000e+03, 1.976171280066418179e+00, 8.070859485202063865e+00, 1.678811339213372733e+01, 8.379870172817796004e+00, 1.176019875398375447e+01, 1.107434185366393642e+01, 1.590153016776005046e+01, 7.416995076299707002e+00, 1.798437820283866273e+01, 1.597964570633657466e+01, 1.074027442602728044e+01, 8.595558988045475246e+00, 1.075213939882060643e+01, 1.257837700062321140e+01, 5.636824728417261454e+00, 5.508256267377753090e+00
2.018000000000000000e+03, 2.017138412934911251e+00, 7.983482296073845852e+00, 1.698456381703261542e+01, 8.388191600664802294e+00, 1.162167488652342229e+01, 1.090627843251476037e+01, 1.574784177612479219e+01, 7.057977648138145987e+00, 1.826728139679448404e+01, 1.604044733307625847e+01, 1.087001332016486188e+01, 8.226852770100860468e+00, 1.078600722770611142e+01, 1.274329215688148054e+01, 5.673750238037362337e+00, 5.091158651627924137e+00
2.019000000000000000e+03, 2.178426185461014519e+00, 8.014382166323306578e+00, 1.710784138738047488e+01, 8.260750945926959687e+00, 1.167652306148928254e+01, 1.095910684966044712e+01, 1.577868553417570041e+01, 6.415451095616220734e+00, 1.820595741541186641e+01, 1.592125820449178875e+01, 1.079889121344217173e+01, 8.396267228509461944e+00, 1.076135934904915636e+01, 1.278100540751812808e+01, 6.390026320009411620e+00, 4.432918631682269073e+00
2.020000000000000000e+03, 1.920697643856769110e+00, 8.086013973168524771e+00, 1.713728492663384628e+01, 8.444359794050441792e+00, 1.158484217092815882e+01, 1.134821485325653079e+01, 1.617278713559857906e+01, 7.036994220134116240e+00, 1.820935011312475993e+01, 1.575396395208837852e+01, 1.090474912668825169e+01, 8.627444948758915544e+00, 1.057172478761467893e+01, 1.272049859388103066e+01, 6.257954353201996334e+00, 4.040020503447475875e+00
2.021000000000000000e+03, 1.798465112060114945e+00, 8.173541038658003188e+00, 1.720629540676961966e+01, 8.396085052105474844e+00, 1.161968443518132865e+01, 1.118898268426264764e+01, 1.688443780630572277e+01, 7.837917624806197026e+00, 1.826082968177653498e+01, 1.552209549127065458e+01, 1.089480433853758434e+01, 8.686331869608372003e+00, 1.047974026832802252e+01, 1.291350843361145273e+01, 5.006608058285187290e+00, 4.004773236229063116e+00
2.022000000000000000e+03, 1.963064406590469879e+00, 8.100548919731261677e+00, 1.735038875635333611e+01, 8.361263368409241892e+00, 1.183903257297195744e+01, 1.115361967873035098e+01, 1.736276938717087148e+01, 7.499395235874347421e+00, 1.834033111207670430e+01, 1.550274804955090246e+01, 1.094018253425254983e+01, 8.602081647433314160e+00, 1.049204357344563299e+01, 1.318562841293379684e+01, 5.338922535454084795e+00, 3.926269096676022308e+00
2.023000000000000000e+03, 2.226064533988429517e+00, 8.211947898739309082e+00, 1.769147489484447533e+01, 8.453735686750858846e+00, 1.199179376720237222e+01, 1.165935784289350430e+01, 1.731933446097417573e+01, 7.578055896725735430e+00, 1.857426783702178952e+01, 1.566594715370988844e+01, 1.116858428346189314e+01, 8.513437787336629370e+00, 1.089585566383143345e+01, 1.307998988388710515e+01, 6.410899743423765784e+00, 4.471828810177248315e+00
2.024000000000000000e+03, 2.177987485677919111e+00, 8.044792503300708830e+00, 1.744740828841501923e+01, 8.449576087831221827e+00, 1.174618208918264095e+01, 1.152583227254950948e+01, 1.703436596769429201e+01, 7.332928118700793974e+00, 1.876166669129766973e+01, 1.586850641409096774e+01, 1.130977901917966655e+01, 8.588557856569728699e+00, 1.111957955777882745e+01, 1.305382314477333772e+01, 7.572092153876381460e+00, 4.862364324088185086e+00
