year, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, IPSL-CM6A-LR, MIROC-ES2L, GFDL-ESM4, CESM2-WACCM, UKESM1-0-LL, CMCC-ESM2
2.015000000000000000e+03, 1.285191847810530731e-10, 4.292221083121608580e-11, 1.450344497728019029e-11, 7.017660079294617271e-10, 1.867059190686576682e-10, 1.725915315071156235e-09, 1.859136863116777024e-10, 4.161993672466700426e-13, 2.783989932850935592e-11
2.016000000000000000e+03, 1.099832571466869146e-10, 4.759334853309120339e-11, 9.312387704519957155e-11, 6.309861852530105337e-10, 1.711247425390131015e-10, 1.857014884789267599e-09, 1.447394416946668112e-10, 2.539880669995217984e-13, 2.782126576945305469e-11
2.017000000000000000e+03, 1.015959207003631621e-10, 4.622359149481362785e-11, 4.965539763376122046e-11, 5.258123633201046979e-10, 1.651891011933376402e-10, 1.757073093364555617e-09, 1.253089125784225064e-10, 2.472072892689498355e-13, 2.780984503485041797e-11
2.018000000000000000e+03, 1.110616921883299711e-10, 4.556188984423115775e-11, 3.056182142102686041e-11, 3.908982230459544621e-10, 1.650101655598119721e-10, 6.783331856784064878e-10, 1.606993371620856501e-10, 1.964023113639068573e-13, 2.788246211889640585e-11
2.019000000000000000e+03, 1.023400957937122925e-10, 3.881712028788439853e-11, 2.535655838318930922e-11, 5.529686336421797400e-10, 1.616547131681322455e-10, 1.271866263175937794e-09, 1.372428781029870137e-10, 1.147311195460065173e-13, 2.803121120523353978e-11
2.020000000000000000e+03, 9.454367032357891881e-11, 3.812140311107281950e-11, 2.174385456452803592e-11, 4.900232318348655232e-10, 1.501534103808903417e-10, 1.588598339749488065e-09, 2.259045327410033551e-10, 1.074039173373086024e-13, 2.812266253665931459e-11
2.021000000000000000e+03, 8.875094143635130290e-11, 1.496210703233827126e-11, 2.313049779917647544e-11, 5.380414192102509158e-10, 1.483290917830687945e-10, 6.609543154250755725e-10, 1.869115003712274053e-10, 1.831324705714036043e-13, 2.811865753567304222e-11
2.022000000000000000e+03, 7.209169506489396959e-11, 1.444769849859033425e-11, 2.154781544712330813e-11, 6.090147617667916724e-10, 1.520457731474365338e-10, 3.707512171557053352e-10, 1.674640044882005439e-10, 1.290238451926150668e-13, 2.814501352793837239e-11
2.023000000000000000e+03, 8.135694668648101476e-11, 1.334271218471742889e-11, 1.967563185392899209e-11, 5.571038384136363437e-10, 1.477192211366053280e-10, 1.077928081770348849e-09, 1.972404778088846371e-10, 1.061407396737073343e-13, 2.818878645389638970e-11
2.024000000000000000e+03, 1.210461571603742258e-10, 1.203559453725924340e-11, 2.160182265694237709e-11, 5.114509226629242348e-10, 1.466886135682821607e-10, 1.771285997170616057e-09, 1.445329271357653935e-10, 7.916247175167346306e-14, 2.826712038823830741e-11
2.025000000000000000e+03, 1.902809824149122177e-10, 6.656190844688098360e-12, 1.947733483853123263e-11, 3.702716143826720713e-10, 1.503512392102183893e-10, 1.520625586430442430e-09, 1.562305779075753852e-10, 9.079920035411831687e-14, 2.833954176407097031e-11
2.026000000000000000e+03, 1.463123030309984915e-10, 6.498278119014192903e-12, 1.938559955884517624e-11, 5.478723316607655982e-10, 1.507819469268142530e-10, 1.091476199219747481e-09, 1.773882441776821067e-10, 2.765888835114459052e-13, 2.839850001270736527e-11
2.027000000000000000e+03, 1.267713330927601689e-10, 6.346822829103365770e-12, 1.900045063171489696e-11, 6.109320266769788276e-10, 1.575784631234367361e-10, 6.255409587768770093e-10, 1.455854381850130333e-10, 2.781257444581982889e-13, 2.846647183437212216e-11
2.028000000000000000e+03, 1.378644081193660797e-10, 6.486192618649034234e-12, 1.851484662356918563e-11, 5.705442367695479061e-10, 1.595475921848365971e-10, 1.379487454552960263e-09, 1.736849553911547760e-10, 1.669532245887552528e-13, 2.855969350008501891e-11
2.029000000000000000e+03, 1.216143419530408206e-10, 6.471075920298878527e-12, 1.776471161633672769e-11, 6.665543774475924714e-10, 1.557379435182360257e-10, 1.231900337184098028e-09, 1.942657740444241694e-10, 1.736738275200105000e-13, 2.867839522052430820e-11
2.030000000000000000e+03, 1.258733199429205612e-10, 6.617366496181128148e-12, 2.033268700999278705e-11, 6.493702369454886977e-10, 1.879207861106979208e-10, 9.668349402169096519e-10, 1.520962134766611235e-10, 3.061628161982077299e-13, 2.919684226478398372e-11
2.031000000000000000e+03, 1.116811760739015852e-10, 6.714350289704704243e-12, 1.934032879428948792e-11, 4.523018254852438881e-10, 2.042991803314300231e-10, 6.632538286608482110e-10, 1.947925173808289966e-10, 3.779518691979928090e-13, 3.001355322742342606e-11
2.032000000000000000e+03, 1.293498600879886181e-10, 7.204062351819303831e-12, 1.886066073480397337e-11, 5.651472747418863729e-10, 2.108426991186090206e-10, 6.574415377961382387e-10, 2.136086978169675850e-10, 4.284581798146593628e-13, 3.070900749800026704e-11
2.033000000000000000e+03, 1.369793805096156670e-10, 7.905125880362799222e-12, 1.943411219870034410e-11, 3.988615941399954417e-10, 2.151885983655502806e-10, 7.447962238913943334e-10, 1.549794954376421498e-10, 5.000586045771799800e-13, 3.130620609813917675e-11
2.034000000000000000e+03, 2.059809621506696258e-10, 8.842117365400887656e-12, 2.047643545281305278e-11, 5.419832266066556700e-10, 2.100006832894186172e-10, 1.106531263043060091e-09, 1.281828112006262640e-10, 5.064129342273352729e-13, 3.182318011790286727e-11
2.035000000000000000e+03, 2.343709818733395703e-10, 9.795219724403846916e-12, 2.222822321271645011e-11, 5.347720412967394004e-10, 2.497794642113113427e-10, 7.050293537675157926e-10, 1.611381875974738933e-10, 4.988625970624749943e-13, 3.227749982506703156e-11
2.036000000000000000e+03, 2.009646865231993635e-10, 1.067112382407813675e-11, 3.093069543995644011e-11, 6.672294614902390316e-10, 2.481736827256850606e-10, 1.150843304812479879e-09, 1.693314657916540946e-10, 4.371009498942629711e-13, 3.265320285625700486e-11
2.037000000000000000e+03, 2.139632664405428123e-10, 1.233490691142579715e-11, 3.181572326529460620e-11, 6.838189648019288758e-10, 2.554844789228152473e-10, 1.012755136853804465e-09, 2.318515655547903968e-10, 4.062334966796576187e-13, 3.296912588187278899e-11
2.038000000000000000e+03, 2.339087774426572084e-10, 1.504759557016988368e-11, 3.261119742095403985e-11, 5.737364299206310330e-10, 2.616849131710860315e-10, 7.194287574834972952e-10, 1.829784645448917252e-10, 3.837925631752422040e-13, 3.324756515241498600e-11
2.039000000000000000e+03, 1.861521997591702178e-10, 1.776393198424685269e-11, 3.297868425843068318e-11, 6.137830295343124921e-10, 2.663197880663306550e-10, 1.124644686717003655e-09, 1.793719695155354467e-10, 3.860885593117696558e-13, 3.347545694013505035e-11
2.040000000000000000e+03, 1.436605205605057396e-10, 2.068868308197858195e-11, 3.254242805919129088e-11, 6.656528912709482490e-10, 2.718832599194946893e-10, 8.403712098017914752e-10, 1.928350148750052041e-10, 3.952194138554664682e-13, 3.343909687218537516e-11
2.041000000000000000e+03, 1.761034179917133435e-10, 2.336498132328899591e-11, 2.650702456255083130e-11, 7.327699707787712263e-10, 2.802830940735647678e-10, 1.304188366480000110e-09, 2.476814413312764417e-10, 3.721557562426911599e-13, 3.320072753684016456e-11
2.042000000000000000e+03, 1.658859464693690669e-10, 2.696438119773827388e-11, 2.403672370199820412e-11, 5.635756694903104112e-10, 2.857859971506228547e-10, 8.429836981338931105e-10, 2.046016998018835181e-10, 6.542708696616124025e-13, 3.302382870610840844e-11
2.043000000000000000e+03, 1.454687241140061708e-10, 3.042293646125185715e-11, 2.290438388642414096e-11, 5.851151166853388245e-10, 2.803280915887504210e-10, 8.548626391705161618e-10, 1.797907336667348288e-10, 3.324855809785388551e-13, 3.289677434219884498e-11
2.044000000000000000e+03, 1.503072878537681750e-10, 3.372964277172406189e-11, 2.226201760753644975e-11, 6.605331541350292127e-10, 2.662433062017481996e-10, 1.008904839576668559e-09, 2.016072021479759063e-10, 2.061333223217158507e-13, 3.280755485195931608e-11
2.045000000000000000e+03, 1.581309445693028462e-10, 3.643147023473934266e-11, 2.179510414490053277e-11, 5.599906079586709404e-10, 2.046443844559039045e-10, 1.582175203688098840e-09, 2.056194475611492533e-10, 1.730277043944969241e-13, 3.244613729609969293e-11
2.046000000000000000e+03, 2.479342098222033992e-10, 3.905658539845636330e-11, 2.101454960207691453e-11, 6.756788485148987805e-10, 1.937665839392252947e-10, 9.045613750368667687e-10, 1.986087267317127263e-10, 1.162556567230997446e-13, 3.189313017614192358e-11
2.047000000000000000e+03, 2.253164735050041069e-10, 3.676024132189935915e-11, 2.057399682692405357e-11, 6.242212775229813471e-10, 1.850105191135895389e-10, 5.470645758892259635e-10, 1.862678592084200252e-10, 8.627661683437524139e-14, 3.145964623829071701e-11
2.048000000000000000e+03, 1.669010370489014033e-10, 3.444916099465269252e-11, 2.023297080419468461e-11, 7.544150709312117335e-10, 1.741048075785343996e-10, 7.495594433091643011e-10, 2.100251492940363755e-10, 8.089128976195713657e-14, 3.110660163460498386e-11
2.049000000000000000e+03, 1.483940118739785749e-10, 3.146393397170388628e-11, 2.003880208576335510e-11, 6.648182210578809927e-10, 1.665523232282633975e-10, 1.067697647265924491e-09, 1.858676984709952992e-10, 8.794718609750651035e-14, 3.082085847079331032e-11
2.050000000000000000e+03, 1.347455206090746680e-10, 2.852009281460108592e-11, 1.995858010845720365e-11, 6.404051679666052365e-10, 1.624104301248351907e-10, 8.315208329675173905e-10, 1.866277468912234789e-10, 9.403178473369430823e-14, 3.067649113085829396e-11
2.051000000000000000e+03, 1.579268675411536012e-10, 2.298906525188449958e-11, 2.374624081228552885e-11, 4.496547658383522785e-10, 1.607302111152087037e-10, 1.060513187121529584e-09, 1.627376750854545884e-10, 9.005251226778476105e-14, 3.049790288041595534e-11
2.052000000000000000e+03, 1.353108727424046117e-10, 1.908869683034252554e-11, 2.983583804505418080e-11, 7.411230479990663949e-10, 1.628585480606277981e-10, 1.396752724802743274e-09, 1.703597828475030545e-10, 1.021360057975749789e-13, 3.020940707334335690e-11
2.053000000000000000e+03, 1.498990901051501384e-10, 1.512283867672111714e-11, 2.785380516505402523e-11, 7.907267052377165317e-10, 1.702545353812629191e-10, 8.325472638425248260e-10, 1.640693594293957699e-10, 8.533511858496219775e-14, 2.995879168041840175e-11
2.054000000000000000e+03, 1.490175086235273520e-10, 1.113610349097056204e-11, 3.227471965763143689e-11, 7.177025910984999599e-10, 1.727097466182254188e-10, 1.313620229593448845e-09, 1.703492581635765526e-10, 9.372459887468650659e-14, 2.974821259532523038e-11
2.055000000000000000e+03, 1.451575979289277005e-10, 6.757573086659785252e-12, 2.957503320180614733e-11, 7.851559087575629169e-10, 1.644745125052883393e-10, 1.194134282448550908e-09, 2.435463409922467612e-10, 7.999817102964569046e-14, 2.954234449787500056e-11
2.056000000000000000e+03, 1.334843466930020966e-10, 6.468488559731874022e-12, 3.410993285192513754e-11, 6.861067507594000058e-10, 1.568468832956373724e-10, 5.043883161190140613e-10, 2.491483876781359462e-10, 6.096345560489104728e-14, 2.933695879137098225e-11
2.057000000000000000e+03, 1.345526861661241586e-10, 6.108733480527812511e-12, 3.151072384494290758e-11, 5.528880147568306015e-10, 1.531957985482322936e-10, 8.613247861964600886e-10, 2.381299704209846335e-10, 6.290934034769648900e-14, 2.916713159339697225e-11
2.058000000000000000e+03, 1.878941981973651553e-10, 5.753570896013282075e-12, 3.134742210572180392e-11, 6.018711741406041903e-10, 1.505768064797932314e-10, 5.340581229913936486e-10, 1.791748643532510769e-10, 6.047023697920110321e-14, 2.902923969355634324e-11
2.059000000000000000e+03, 1.734766058821668006e-10, 5.380542662978382958e-12, 3.534284751398863549e-11, 7.058014197081824678e-10, 1.497160422096740299e-10, 1.450801686977295798e-09, 2.326801849306459090e-10, 4.945249407342304486e-14, 2.890756652298589295e-11
2.060000000000000000e+03, 1.538977957693420826e-10, 5.024510016088004526e-12, 3.377618970671020497e-11, 6.669957939717147778e-10, 1.421767433862557942e-10, 1.712676104354795238e-09, 2.178071007257031822e-10, 4.654073541350480315e-14, 2.876464571930080815e-11
2.061000000000000000e+03, 1.321555368825358177e-10, 4.906506897590845846e-12, 3.131731134760412502e-11, 6.787657594538189042e-10, 1.384722176321975676e-10, 1.076656846458713561e-09, 1.954013587434078837e-10, 4.961704316988874689e-14, 2.860962585832306302e-11
2.062000000000000000e+03, 1.758806510587184614e-10, 4.760019922013306176e-12, 3.095512691083873843e-11, 7.234927819558354999e-10, 1.416283251711225132e-10, 4.691525273083837325e-10, 2.109351588430460212e-10, 6.550686025106595184e-14, 2.847098541800145003e-11
2.063000000000000000e+03, 1.921463287341764086e-10, 4.656076117359030438e-12, 3.221839142044750570e-11, 6.090839711881878060e-10, 1.432542357745982322e-10, 8.789897347127025333e-10, 1.631807754161859349e-10, 6.701471833728591691e-14, 2.835322271448247221e-11
2.064000000000000000e+03, 1.831295763914086368e-10, 4.525738815461803165e-12, 3.158908823557444151e-11, 6.128991372568593136e-10, 1.416618407242239823e-10, 1.045349772133452162e-09, 1.751607884331567290e-10, 5.679975165542790630e-14, 2.825946083631157139e-11
2.065000000000000000e+03, 1.435542434269463374e-10, 4.416818590799025038e-12, 3.045600680406621246e-11, 6.230052546180969765e-10, 1.522703705760320365e-10, 9.627592673790725914e-10, 1.172305851487512566e-10, 7.527712986751280022e-14, 2.825593149660220539e-11
2.066000000000000000e+03, 1.300297017836519301e-10, 4.336534989977117504e-12, 3.374404820048289451e-11, 5.986039928317187937e-10, 1.540347814334159102e-10, 8.696712325579681106e-10, 2.105316064167118843e-10, 1.185617800542104298e-13, 2.831650461097411207e-11
2.067000000000000000e+03, 1.608316290770780131e-10, 4.365001110709268192e-12, 2.970087169021085445e-11, 7.093913731081316378e-10, 1.604923441924575433e-10, 6.147490003715324772e-10, 2.215258319063787751e-10, 1.080003986767194159e-13, 2.835289115023493002e-11
2.068000000000000000e+03, 1.614446093983753320e-10, 4.431125721849102518e-12, 3.342010025277253885e-11, 7.738839501899714753e-10, 1.568235930898494252e-10, 7.421965560918162037e-10, 1.945830262054472789e-10, 1.476602879293854102e-13, 2.835992957167379534e-11
2.069000000000000000e+03, 1.418394223887246502e-10, 4.496031189929963468e-12, 2.976508837453811355e-11, 5.745822314271981996e-10, 1.571226026819185840e-10, 8.355001158016212022e-10, 1.507963785005008308e-10, 2.062163883586951271e-13, 2.834598936734274071e-11
2.070000000000000000e+03, 1.642998981765142907e-10, 4.579455051875198180e-12, 3.536783775759276556e-11, 7.445297860056114180e-10, 1.654598393281519135e-10, 7.561563288203777784e-10, 1.844558069364666273e-10, 1.530553281337587897e-13, 2.847957564598510807e-11
2.071000000000000000e+03, 2.017253607039175644e-10, 4.674641543024537808e-12, 3.515897987447774331e-11, 5.391294630610466374e-10, 1.792048999718669382e-10, 9.440598920808086800e-10, 1.695961006715893985e-10, 1.744524602359189034e-13, 2.873205594337925278e-11
2.072000000000000000e+03, 1.818720803117899636e-10, 4.734057160399315969e-12, 3.602822965064873059e-11, 7.212539693719490270e-10, 1.813035423986043521e-10, 1.259609626783984605e-09, 1.846023411988333476e-10, 1.873999296223933773e-13, 2.894761286603433810e-11
2.073000000000000000e+03, 1.527802564050485360e-10, 4.811612179114620909e-12, 3.477701173250788024e-11, 7.525135610670841426e-10, 1.721189142477569327e-10, 1.117168033653366314e-09, 2.342085768251759050e-10, 1.453756531190419645e-13, 2.951527872739000216e-11
2.074000000000000000e+03, 1.485060794038905322e-10, 4.837604260641993959e-12, 3.473508299683346171e-11, 7.756160374653842843e-10, 1.685139897802422911e-10, 1.048501155788315867e-09, 1.862268836840079560e-10, 1.149704196247290365e-13, 3.045706570349495434e-11
2.075000000000000000e+03, 1.749970756784224817e-10, 4.936351059549256390e-12, 3.429507661744249441e-11, 6.816390597592687135e-10, 1.981176592756783691e-10, 9.088560562443038138e-10, 1.869390274267620622e-10, 1.198110293640371002e-13, 3.170465046306900017e-11
2.076000000000000000e+03, 1.809307435595857052e-10, 4.821612244454348707e-12, 3.446939011563296885e-11, 6.664980728277825908e-10, 2.019196029455902009e-10, 1.146988306179957824e-09, 1.825419000448744015e-10, 1.624157138428184729e-13, 3.288015840859277947e-11
2.077000000000000000e+03, 1.909507755916967277e-10, 6.207513952023887129e-12, 3.265350512255619008e-11, 6.097420949747557210e-10, 2.057244797535573978e-10, 1.488330912687060536e-09, 1.838521767348043190e-10, 6.017830988446542190e-13, 3.346866968995637263e-11
2.078000000000000000e+03, 1.727798342846696498e-10, 7.569181298341831046e-12, 3.240159296757426269e-11, 6.995691946066108158e-10, 2.019309893910038713e-10, 9.969877106027326200e-10, 2.659993943290742757e-10, 2.425132129527411728e-12, 3.375005866478896801e-11
2.079000000000000000e+03, 1.677159878174876395e-10, 8.940657485791126196e-12, 3.171997866554335090e-11, 7.235543958990866823e-10, 1.942835837728219803e-10, 7.587470820003132940e-10, 2.726427994039154678e-10, 3.033399236035520693e-12, 3.394343871927473551e-11
2.080000000000000000e+03, 1.909213974796530829e-10, 1.019013965494660533e-11, 3.371790408268355174e-11, 8.076041821879007764e-10, 1.750834960131122407e-10, 9.971448506244204744e-10, 2.281707873117087652e-10, 2.915220763255777122e-12, 3.393490576077105724e-11
2.081000000000000000e+03, 1.966035305871060516e-10, 1.154219688652575901e-11, 3.261061222340462527e-11, 6.536554932308678641e-10, 1.766785206315109897e-10, 8.152903224537020017e-10, 2.448802410709601174e-10, 2.958396868585063907e-12, 3.378049670800273111e-11
2.082000000000000000e+03, 1.927146428392259686e-10, 1.164823603486192856e-11, 3.823879960166185146e-11, 6.160387832206951493e-10, 1.763565973457102810e-10, 6.493682222057859122e-10, 2.351108321715806189e-10, 3.064111925932690425e-12, 3.363539642718417101e-11
2.083000000000000000e+03, 2.013524121419863578e-10, 1.180171345970141916e-11, 3.658214281507309259e-11, 5.889986996554666936e-10, 1.756747585385941436e-10, 8.566197436105134702e-10, 2.407179126246601803e-10, 3.185728109954005645e-12, 3.348313892579624417e-11
2.084000000000000000e+03, 1.867792514971971093e-10, 1.196386211740242755e-11, 3.634259692568800717e-11, 6.272249971585010814e-10, 1.723278666834854689e-10, 9.501501294945844068e-10, 2.261450813665659282e-10, 3.311003747904428059e-12, 3.331659148698075349e-11
