year, ACCESS-ESM1-5, CMCC-CM2-SR5, EC-Earth3-Veg, NorESM2-LM, NorESM2-MM, IPSL-CM6A-LR, UKESM1-0-LL, GFDL-ESM4, CNRM-ESM2-1, MIROC-ES2L, MPI-ESM1-2-LR, TaiESM1, CESM2-WACCM, CanESM5
2.015000000000000000e+03, 1.473912275279199102e+00, 1.726406816947330780e+00, 2.409940776827341313e+00, 1.710284375793674094e+00, 1.397007073624546791e+00, 2.762393695747177969e+00, 1.390170996762997158e+00, 1.437953807830296915e+00, 1.429196219750002994e+00, 1.446292678532500542e+00, 1.352578835805890334e+00, 1.851158961389922197e+00, 1.622955088535735335e+00, 3.594142486915398393e+00
2.016000000000000000e+03, 1.525188921856168500e+00, 1.806770610774285801e+00, 2.275473064015279157e+00, 1.667059927738017144e+00, 1.468447115434222017e+00, 2.799343932054925155e+00, 1.298545059781287536e+00, 1.533843069415365967e+00, 1.555360827696910198e+00, 1.469175633389760982e+00, 1.548373285745404226e+00, 1.535215682267113024e+00, 1.459811203096669230e+00, 3.657386393264634439e+00
2.017000000000000000e+03, 1.603242374385296598e+00, 1.819155027018023008e+00, 2.263881393107374240e+00, 1.369061777577589512e+00, 1.664763350034345502e+00, 2.447779953971009892e+00, 1.459537692659620189e+00, 1.377866511014327777e+00, 1.387015770739228770e+00, 1.448171892925989246e+00, 1.458672815330086525e+00, 1.870648096544277328e+00, 1.637627207558532749e+00, 3.515582976309023167e+00
2.018000000000000000e+03, 1.580542293889937167e+00, 1.727533785942891864e+00, 2.410130958248761779e+00, 1.391278833274530724e+00, 1.573837678366452941e+00, 2.319734286859694183e+00, 1.333968163310429222e+00, 1.316565161676363394e+00, 1.558437570472994693e+00, 1.421447990787449767e+00, 1.467871737400404442e+00, 1.824278117615816486e+00, 1.382471507373116637e+00, 3.533040469820285079e+00
2.019000000000000000e+03, 1.542790111928938890e+00, 1.807730474946420918e+00, 2.535652085513501852e+00, 1.572976391923813555e+00, 1.566483884341022925e+00, 2.504962968461168948e+00, 1.250562298602527767e+00, 1.331522980278573520e+00, 1.313723939894268611e+00, 1.426658645963003069e+00, 1.418140712273687987e+00, 1.766224693840167559e+00, 1.602580779656034071e+00, 3.801534929770021609e+00
2.020000000000000000e+03, 1.512148573212635849e+00, 1.584399736607495113e+00, 2.357402614825523379e+00, 1.728932374334131161e+00, 1.732943539371834651e+00, 2.439489038978565283e+00, 1.430213366866384339e+00, 1.256785718256798079e+00, 1.584364980769126685e+00, 1.498438164727683208e+00, 9.964621506598195788e-01, 1.499527784373049011e+00, 1.682830418120133231e+00, 3.968076143575265835e+00
2.021000000000000000e+03, 1.418350043623534340e+00, 1.923859947956982896e+00, 2.189795786889959572e+00, 1.580758205512263981e+00, 1.609438699819823571e+00, 2.358188928845271093e+00, 1.314295013486262986e+00, 1.079928929397777626e+00, 1.381743291573202193e+00, 1.492157208547311376e+00, 1.071473651558976226e+00, 1.608611603502779319e+00, 1.373148082259737279e+00, 3.806213024314298643e+00
2.022000000000000000e+03, 1.428370906628419146e+00, 1.743178234770516699e+00, 2.039523363509760934e+00, 1.480695626011967692e+00, 1.862599688932057296e+00, 2.539645223842337707e+00, 1.241796070743251601e+00, 1.064177730367442676e+00, 1.314504844691942287e+00, 1.448236749569836501e+00, 1.337818669690708839e+00, 1.896391752853869406e+00, 1.824242856981809657e+00, 3.804023854232702728e+00
2.023000000000000000e+03, 1.443432546907685410e+00, 1.887009736911801516e+00, 2.022086232388147220e+00, 1.542635660698238764e+00, 1.818595018439488564e+00, 2.636340251556003267e+00, 1.321627510041492481e+00, 1.254135909329800569e+00, 1.458823269434234682e+00, 1.469118265930567491e+00, 1.664106036148046641e+00, 1.785665845230514304e+00, 1.705327496143051569e+00, 3.520256064196843226e+00
2.024000000000000000e+03, 1.465780641025445696e+00, 1.725684029754810833e+00, 2.157049120500977413e+00, 1.597828544535601525e+00, 1.849314994599641437e+00, 2.333142220656769794e+00, 1.354001577291325864e+00, 1.375139447509183599e+00, 1.182017929682714907e+00, 1.470836252482009332e+00, 2.040057056898208820e+00, 1.901107495414813942e+00, 1.561893919791965679e+00, 3.947322841442084229e+00
