year, CMCC-CM2-SR5, NorESM2-MM, MPI-ESM1-2-LR, INM-CM4-8, ACCESS-ESM1-5, TaiESM1, CanESM5, GFDL-ESM4, NorESM2-LM, INM-CM5-0, MIROC-ES2L, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, EC-Earth3-Veg
2.045000000000000000e+03, 2.465428273327709974e+00, 1.782910989971229210e+00, 1.791377439984404463e+00, 1.969909823144122551e+00, 1.911619404180746606e+00, 2.031619686886404708e+00, 1.501949828625315675e+00, 1.175187387232145664e+00, 2.954301741748916577e+00, 2.441912204790165575e+00, 2.109020297192698568e+00, 1.897026106354747554e+00, 1.108282208432595617e+00, 1.204303422361443943e+00, 2.077437250818837455e+00, 1.242423633540189920e+00
2.046000000000000000e+03, 1.992746630827882059e+00, 1.295181711963330651e+00, 1.266359848078263406e+00, 2.664180254419210581e+00, 1.726047989311257025e+00, 3.083942669460202790e+00, 1.234298111947436771e+00, 8.984769484763535097e-01, 2.020645951036938115e+00, 2.198405850234015357e+00, 2.398868780090535058e+00, 1.649040043163931601e+00, 1.093573533428103373e+00, 1.298984696624790880e+00, 2.353387655015907853e+00, 1.463782666500514029e+00
2.047000000000000000e+03, 2.340595753218090991e+00, 1.569615842845023757e+00, 1.347269304341138563e+00, 2.235034529015512916e+00, 1.644647558288219624e+00, 1.783539753708302200e+00, 2.286805551066431796e+00, 1.279815697289095500e+00, 1.852466303113826429e+00, 2.121992969581899313e+00, 1.568658061656757807e+00, 1.902855791399903795e+00, 1.251378673436695843e+00, 1.081632178195871319e+00, 2.383573241552787714e+00, 1.807049348143650036e+00
2.048000000000000000e+03, 2.620645433655150569e+00, 2.211825652359496797e+00, 9.252501158856683006e-01, 1.897125154768794397e+00, 1.481791262293782552e+00, 1.523345253462303317e+00, 2.108470137459500737e+00, 1.295199155365419852e+00, 1.414265804891231104e+00, 1.747625913967382871e+00, 1.742933261530248412e+00, 1.285012148515607411e+00, 1.808148927510303761e+00, 1.404103339535793360e+00, 2.394911756022144012e+00, 1.446882829418064231e+00
2.049000000000000000e+03, 2.448633576266782796e+00, 1.979767356490472974e+00, 1.100691693028177154e+00, 2.314018529108626598e+00, 1.074410719964486782e+00, 1.876283994335802063e+00, 2.288115416649073364e+00, 1.190907995577969558e+00, 1.480233479185650847e+00, 1.984409526155377357e+00, 2.102797669067126396e+00, 1.665787226939974053e+00, 1.874216544810341611e+00, 9.336140022299465047e-01, 2.016581092352302651e+00, 6.389277404263808968e-01
2.050000000000000000e+03, 2.149894753719655327e+00, 1.591276296072032137e+00, 1.378749940501901250e+00, 2.323185402824152757e+00, 8.424727670916046796e-01, 2.740907228903417536e+00, 1.708900861136156690e+00, 1.610085039062051804e+00, 2.052642529812425565e+00, 1.748179042299912833e+00, 2.270833984058591604e+00, 1.053242031755291963e+00, 1.326344066281708978e+00, 1.183005050367565758e+00, 1.608792873177800509e+00, 1.821125329787777858e+00
2.051000000000000000e+03, 1.680049955516932370e+00, 1.793566106495169565e+00, 9.651765284075373152e-01, 2.140965096113587318e+00, 1.232593655334373484e+00, 2.049404577642617742e+00, 2.377660563491637902e+00, 1.559203125148442171e+00, 2.103909094370719490e+00, 1.784961897826321753e+00, 2.193418208015251558e+00, 1.220838578734221969e+00, 1.362804342477464958e+00, 8.251037334314867966e-01, 2.511600907327242282e+00, 2.466998883492021566e+00
2.052000000000000000e+03, 1.799997592758680875e+00, 2.305799096715755336e+00, 1.196993070597790476e+00, 2.551302199960931549e+00, 1.933589146546810689e+00, 1.461442062581062462e+00, 2.067992082599581671e+00, 1.324704890361992238e+00, 2.288682450393159762e+00, 2.370700430381949886e+00, 2.143488586211851121e+00, 1.561165086559112458e+00, 1.888274382348855029e+00, 1.004675799996445740e+00, 2.282769187850409054e+00, 1.465614043596176419e+00
2.053000000000000000e+03, 2.904848842533611641e+00, 2.029901890587943125e+00, 1.040285656152054816e+00, 2.370858560776531565e+00, 1.392501321087699306e+00, 1.511926219538191285e+00, 1.387713943318857890e+00, 1.549892331815901469e+00, 2.160409333461970949e+00, 2.457269379521614727e+00, 2.745484914159819212e+00, 1.570939443564482341e+00, 1.275685055182836258e+00, 1.197224686698960650e+00, 2.274789416881008552e+00, 1.184592368048000610e+00
2.054000000000000000e+03, 2.300258479939970346e+00, 1.940724029479324209e+00, 9.272160172076665541e-01, 2.229732275380344131e+00, 1.615308842492419350e+00, 2.921893291171329121e+00, 1.433903237234093186e+00, 1.327471841610246006e+00, 1.911050388214533990e+00, 2.479563022802230954e+00, 1.817758291664372416e+00, 1.497791770890446461e+00, 1.450967334243870255e+00, 1.308845634894707732e+00, 2.817219811681832553e+00, 1.559682267534880706e+00
2.055000000000000000e+03, 1.822421972953229607e+00, 2.137967716610448488e+00, 9.700675832610415883e-01, 2.955819718573582833e+00, 2.116182226183781712e+00, 1.740366631876941739e+00, 1.880698370678957954e+00, 8.436974337543050595e-01, 2.741051600561852819e+00, 2.161397396631006274e+00, 1.685152451428258757e+00, 2.291987265470337931e+00, 1.110233603050942319e+00, 1.248246550502706276e+00, 2.432311632321102035e+00, 1.122932577014681410e+00
2.056000000000000000e+03, 2.204945806642685024e+00, 1.943245338311713644e+00, 1.210309043152999919e+00, 2.227629639132938877e+00, 1.582855511682883964e+00, 1.958082026173429524e+00, 1.706715409704424147e+00, 1.160195232901556794e+00, 1.963073328821207664e+00, 2.137748322344693364e+00, 2.255357748723557432e+00, 2.226013606385690125e+00, 1.427348407432661226e+00, 1.339953011006136396e+00, 1.789472667421499796e+00, 1.286974271526096336e+00
2.057000000000000000e+03, 2.204672268791021406e+00, 1.508221159239611753e+00, 1.150473986763283385e+00, 2.104426378868344827e+00, 1.176784586631187679e+00, 1.917923641162410098e+00, 1.671372041087084703e+00, 1.024862091260896113e+00, 1.599516208015979712e+00, 2.010983143637816717e+00, 2.013748214310060458e+00, 1.641070568467811519e+00, 1.542685328473994755e+00, 1.001801568335472403e+00, 2.248589220294280100e+00, 1.421968250506919551e+00
2.058000000000000000e+03, 2.455633063903911673e+00, 1.761462678349265509e+00, 1.190201318486936888e+00, 2.495412698133088192e+00, 1.160269116419217816e+00, 1.611620989001394166e+00, 1.525490729078382124e+00, 1.787931927905053842e+00, 1.161120934460592169e+00, 2.377887088871654342e+00, 2.122921743671103645e+00, 1.573595457191058866e+00, 1.223142898843894377e+00, 1.576405658772119578e+00, 2.094084463422805964e+00, 1.607506422047553896e+00
2.059000000000000000e+03, 1.952986938173431719e+00, 1.905108932539081756e+00, 1.139270104784836590e+00, 2.668868222896974007e+00, 1.533384857255863709e+00, 1.895085343159113256e+00, 1.860238052479557203e+00, 1.636353781604146018e+00, 1.566957180920442783e+00, 2.150924238791776411e+00, 2.254845365376909161e+00, 2.518211047852648488e+00, 1.354820176197258474e+00, 1.216710759758372840e+00, 2.268288215269357089e+00, 1.298683016673942259e+00
2.060000000000000000e+03, 1.504530890610203953e+00, 1.345683187934950231e+00, 7.657542033008167826e-01, 2.500216544376598016e+00, 2.009858666612443390e+00, 2.214015437083351578e+00, 1.637363088807281430e+00, 9.552290985337753559e-01, 1.660087615064059996e+00, 1.963032175998935092e+00, 1.694531456085068832e+00, 1.743126294080443284e+00, 1.122609332582788388e+00, 8.961785140157149110e-01, 2.819341362270346707e+00, 1.906794784447881863e+00
2.061000000000000000e+03, 2.231223379893282122e+00, 1.353212402188267438e+00, 9.663670696539501392e-01, 2.123202992327858585e+00, 1.487672912354248700e+00, 2.281777337962943797e+00, 1.877375071925725170e+00, 1.155627608671281559e+00, 1.494764219879753941e+00, 2.297116576110223463e+00, 2.385519589836089249e+00, 1.892287201489874171e+00, 2.102476909497617452e+00, 1.558098174751237908e+00, 2.621809030141159624e+00, 2.310270962561538521e+00
2.062000000000000000e+03, 2.971972172743114982e+00, 1.239764987577935518e+00, 1.464318082083782668e+00, 2.922193723430634549e+00, 1.385388711199834644e+00, 1.817018240723946354e+00, 1.527503806879571657e+00, 1.158392354366983401e+00, 1.403256341401559082e+00, 2.005423667826573553e+00, 2.049636041612782567e+00, 1.933702013773313855e+00, 1.655809213289782145e+00, 9.709348580547815244e-01, 1.789579445768076926e+00, 2.086488777313117104e+00
2.063000000000000000e+03, 3.102143786537305825e+00, 1.534321233421291675e+00, 1.765865772744888762e+00, 2.143643984307006978e+00, 1.628965043683461289e+00, 2.635575221697339821e+00, 1.542409973975270576e+00, 1.304234678360038702e+00, 2.068787082099532437e+00, 2.022044496340023922e+00, 1.912313942406400846e+00, 1.322857675266462030e+00, 1.185920432068114039e+00, 1.230787870673696105e+00, 1.695814129998305608e+00, 1.413216281238731220e+00
2.064000000000000000e+03, 2.664501497935746865e+00, 1.684514034514162928e+00, 8.356227275130309051e-01, 2.498873376371845367e+00, 1.766457664883789080e+00, 1.941213653180881460e+00, 1.783394380422750780e+00, 1.215632786760632245e+00, 1.897180149652497150e+00, 1.922542429421286503e+00, 2.398526272968668049e+00, 1.233575577726404582e+00, 1.317498335058559400e+00, 1.406645355432380784e+00, 2.428936466749782586e+00, 1.444975129581541395e+00
2.065000000000000000e+03, 1.939561645019909353e+00, 2.578610892681391320e+00, 9.106178836896793305e-01, 2.797987679925962645e+00, 1.645883248032478763e+00, 1.774496105797433110e+00, 1.529394542169859816e+00, 9.532406396274241134e-01, 1.797102571066071297e+00, 2.005015719475335967e+00, 1.899105431791065834e+00, 1.156150488866054316e+00, 2.195779946243269443e+00, 1.072032518211153862e+00, 2.236918372830924095e+00, 1.540605945127969223e+00
2.066000000000000000e+03, 1.788414237395485884e+00, 1.766110058008891093e+00, 1.264862667272846908e+00, 2.376875332467257795e+00, 1.268019760045511868e+00, 2.447890792156522277e+00, 1.824784093955407860e+00, 9.759364895199095224e-01, 1.351415940568761798e+00, 2.151823317190896034e+00, 2.289857447876489260e+00, 2.041402247581521223e+00, 1.275165254572390161e+00, 1.444230774119033445e+00, 2.558903193849801916e+00, 1.402703457467220582e+00
2.067000000000000000e+03, 2.178419587861109008e+00, 1.791446862199752132e+00, 1.362214762175635974e+00, 2.481035492552314370e+00, 1.386942474443835671e+00, 3.247975225449461156e+00, 2.086503145692743200e+00, 1.188790015485585938e+00, 2.193659312746472523e+00, 1.906986089223226655e+00, 2.343758160962146508e+00, 1.697371799830428518e+00, 9.934756466209275771e-01, 1.740828829717206094e+00, 2.950084346782492872e+00, 1.637553363453452260e+00
2.068000000000000000e+03, 3.119592329400933117e+00, 2.198581006571548091e+00, 8.409828855047133400e-01, 2.500838951772592189e+00, 1.679635060211317255e+00, 1.996550440642195001e+00, 2.131728856906265346e+00, 1.179760459655998517e+00, 1.862531392604410030e+00, 2.070907985550331620e+00, 2.234972256202174101e+00, 1.433973064853951263e+00, 2.053583625438558435e+00, 1.437433688643470209e+00, 2.342917072795457578e+00, 1.151757260397078708e+00
2.069000000000000000e+03, 2.835446974503719186e+00, 1.326073498021814290e+00, 1.306086253266817376e+00, 2.508683021211319364e+00, 1.345339851494679939e+00, 1.781736673824307671e+00, 1.587866935608419849e+00, 1.097479786123467749e+00, 1.995139345200666714e+00, 2.113393205507319017e+00, 2.874384150294406304e+00, 1.768741890476594802e+00, 1.166379751629605721e+00, 1.286264245115447791e+00, 2.281806821255336182e+00, 1.292891793220352969e+00
2.070000000000000000e+03, 2.693538509974792383e+00, 1.767284161491003758e+00, 1.216084077180280554e+00, 2.572120347569091248e+00, 8.293976335700781188e-01, 1.889608605211321679e+00, 1.438989988696699251e+00, 1.436358620332588210e+00, 2.208654268585679148e+00, 2.155008521213598538e+00, 2.719054302668292955e+00, 2.110967263523014559e+00, 1.237926248927381456e+00, 9.992865920626559095e-01, 1.966992869626469798e+00, 2.278777086335040281e+00
2.071000000000000000e+03, 2.327333997905172147e+00, 1.394880930100224070e+00, 1.130802323847593271e+00, 2.564365163221890676e+00, 1.228760974568654962e+00, 1.869142504543508165e+00, 1.219714060834290237e+00, 1.433227631018997972e+00, 2.318713760834995252e+00, 2.366036920961990919e+00, 2.487705248221074417e+00, 1.803220048893878102e+00, 1.749986738744319759e+00, 1.387118073621303793e+00, 2.205537152114459776e+00, 1.414604224631614393e+00
2.072000000000000000e+03, 1.946782838302298702e+00, 1.668428734002882274e+00, 1.186703689565933972e+00, 2.293492957576964031e+00, 1.443973867011226542e+00, 2.248620720258090788e+00, 1.867482273419604599e+00, 1.340629661104032033e+00, 2.061873385810224502e+00, 1.794797012780965817e+00, 1.872918900259245900e+00, 1.543702919613952007e+00, 1.660087667490423913e+00, 1.061587269246906384e+00, 2.727694429585146629e+00, 1.471028017369077956e+00
2.073000000000000000e+03, 1.688470647950416126e+00, 1.796646780364437923e+00, 9.073947508092585768e-01, 2.425478473894921105e+00, 1.868704585903614879e+00, 1.657699201157468938e+00, 1.617222570585550301e+00, 1.384380411059081606e+00, 1.680701378714547944e+00, 1.913421148739234079e+00, 2.213788089355159805e+00, 2.374022145286478924e+00, 1.218126843493454903e+00, 1.170381038649984440e+00, 2.525781096410229409e+00, 2.297938990934671466e+00
2.074000000000000000e+03, 2.251836340107200574e+00, 1.901679408156196516e+00, 1.193392917014066468e+00, 2.697687116240650163e+00, 1.308640935421546025e+00, 2.289307687358439480e+00, 1.777901534851712873e+00, 1.361445389351416901e+00, 1.508752557153149043e+00, 2.804977893718528570e+00, 2.143551151357335538e+00, 1.624654270454592320e+00, 9.168354724456183602e-01, 1.360680618665969677e+00, 2.352216916018412096e+00, 1.576943104932065687e+00
