year, INM-CM4-8, INM-CM5-0, CNRM-ESM2-1, CESM2-WACCM, ACCESS-ESM1-5, CMCC-CM2-SR5, GFDL-ESM4, MPI-ESM1-2-LR, CanESM5, EC-Earth3-Veg, MIROC-ES2L, UKESM1-0-LL, NorESM2-MM, NorESM2-LM, TaiESM1, IPSL-CM6A-LR
2.028000000000000000e+03, 2.951769055855799593e+02, 2.949050573414803580e+02, 2.965561022891100720e+02, 2.962054106106032236e+02, 2.964998757976458705e+02, 2.965780132072222841e+02, 2.953719092521880611e+02, 2.956226469315467398e+02, 2.963425195402351733e+02, 2.960794528325964166e+02, 2.978070233059607403e+02, 2.958170313668139215e+02, 2.961975939594528882e+02, 2.960941550679175407e+02, 2.965826346034627932e+02, 2.945556942782270653e+02
2.029000000000000000e+03, 2.942618172373535685e+02, 2.946760724909723876e+02, 2.961868532533583220e+02, 2.965372796019790371e+02, 2.969496220499040078e+02, 2.966629847735708836e+02, 2.962868919262822374e+02, 2.963580564477398980e+02, 2.958378309572555054e+02, 2.956184840620372256e+02, 2.977415573741379831e+02, 2.949895414813119601e+02, 2.958585451639689836e+02, 2.964664957448966902e+02, 2.963971407970442442e+02, 2.942558532384331329e+02
2.030000000000000000e+03, 2.954964513628528948e+02, 2.944060796150115493e+02, 2.953080375601984429e+02, 2.967032195881922689e+02, 2.970873084403953044e+02, 2.961922599918697188e+02, 2.965069362082041380e+02, 2.967401370804275302e+02, 2.967285026810866952e+02, 2.969808308318940817e+02, 2.973779231006462851e+02, 2.948715981072284649e+02, 2.958708616983964248e+02, 2.967040942688218479e+02, 2.972973758397558868e+02, 2.949362830845673216e+02
2.031000000000000000e+03, 2.951751906057205019e+02, 2.943729590759513712e+02, 2.959709079493818535e+02, 2.960734993804112491e+02, 2.968422431523969749e+02, 2.959400542010242248e+02, 2.960985497468417975e+02, 2.967443103212043525e+02, 2.968276057959145078e+02, 2.963222081983863063e+02, 2.970573783658766729e+02, 2.955251896255698512e+02, 2.957016816450708916e+02, 2.962857564657131775e+02, 2.970956813910909773e+02, 2.950207062920603676e+02
2.032000000000000000e+03, 2.949160912427927315e+02, 2.946787182532326597e+02, 2.962392879486503148e+02, 2.958791011661473931e+02, 2.963549337115865114e+02, 2.958956579234928199e+02, 2.963958513874552523e+02, 2.957413619902820869e+02, 2.964014427822015705e+02, 2.968280931886760641e+02, 2.967126462895966483e+02, 2.950364987061678335e+02, 2.960015156579384552e+02, 2.967445305496993342e+02, 2.967201085010675570e+02, 2.954549047719947907e+02
2.033000000000000000e+03, 2.950650267524216588e+02, 2.947508780814168290e+02, 2.963786867235170917e+02, 2.963194396494354805e+02, 2.969999600975128260e+02, 2.970276652327696638e+02, 2.960236678877724898e+02, 2.958642177228319383e+02, 2.971756195645751291e+02, 2.966783032007680845e+02, 2.975094745639900680e+02, 2.945104398696246335e+02, 2.954368297179390765e+02, 2.965590283211427050e+02, 2.967366079289981258e+02, 2.952307579104037245e+02
2.034000000000000000e+03, 2.952076980543024547e+02, 2.940352649154266942e+02, 2.964638435182683907e+02, 2.968990691418603092e+02, 2.965330018691133773e+02, 2.963341769371816667e+02, 2.964929079660640809e+02, 2.957500332529041884e+02, 2.965309148903587015e+02, 2.964047163761630372e+02, 2.982688248632148316e+02, 2.961130910784330581e+02, 2.957487538566088006e+02, 2.966548229807444272e+02, 2.974176130573292767e+02, 2.949652069251829403e+02
2.035000000000000000e+03, 2.952193746891110777e+02, 2.943320033627025509e+02, 2.960565940994227390e+02, 2.969072897637381061e+02, 2.967814974005302702e+02, 2.962624071725304589e+02, 2.957984227310345773e+02, 2.962875957518559744e+02, 2.976424673071998086e+02, 2.959002907804713800e+02, 2.972380033168607270e+02, 2.956887956114319991e+02, 2.956803070743911235e+02, 2.963239359360550793e+02, 2.969000508851033260e+02, 2.948141527295075548e+02
2.036000000000000000e+03, 2.949026896600199166e+02, 2.943029130500590327e+02, 2.965688654616546387e+02, 2.971935933462393677e+02, 2.972160722572352824e+02, 2.960900220986667932e+02, 2.964244762294159159e+02, 2.974283683029685790e+02, 2.977924059712271969e+02, 2.965042894118139429e+02, 2.976890337223425149e+02, 2.957796913887022470e+02, 2.955840195259904135e+02, 2.962694340279938956e+02, 2.973017850991300861e+02, 2.943788648945508726e+02
2.037000000000000000e+03, 2.944919175521782790e+02, 2.941646237033844500e+02, 2.970798003568498871e+02, 2.966056164657417185e+02, 2.971926839517314534e+02, 2.963260922925070986e+02, 2.962555884603112872e+02, 2.959510456284263569e+02, 2.960535640499062424e+02, 2.961675160522019610e+02, 2.972789599836191883e+02, 2.963966626295942888e+02, 2.958443024730664206e+02, 2.971815684214668067e+02, 2.980189057614358035e+02, 2.949103342094603022e+02
