year, CMCC-CM2-SR5, ACCESS-ESM1-5, TaiESM1, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, CanESM5, CESM2-WACCM, MPI-ESM1-2-LR, MIROC-ES2L, NorESM2-LM, EC-Earth3-Veg, IPSL-CM6A-LR
2.031000000000000000e+03, 1.437412881266916020e+00, 1.079280700687644590e+00, 4.716452765449817841e-01, 9.517043582463399432e+00, 1.210174375585591378e+00, 2.167217119251614310e+00, 5.346522881366364999e+00, 9.284175968736884110e-01, 9.838540923576646335e+00, 7.486939186979705063e+00, 1.070335371383980272e+00, 1.814427840389237101e+00, 5.549148360072847730e+00
2.032000000000000000e+03, 2.139005281880462572e+00, 1.091265351482688661e+00, 3.398616232402995596e-01, 9.501918936884232281e+00, 1.157140747764131783e+00, 2.116753788136069847e+00, 5.275280186359954548e+00, 1.011319378628051435e+00, 9.817252342135894594e+00, 7.517199951392485424e+00, 1.092241416425556277e+00, 1.648102772333572164e+00, 5.497042658481857913e+00
2.033000000000000000e+03, 2.390010227381018648e+00, 1.076568088204713503e+00, 6.961989669731528663e-01, 9.617978195068655367e+00, 1.142338790843007157e+00, 2.099468460013594218e+00, 5.300326803189141067e+00, 1.329376930609085017e+00, 9.897216942211075619e+00, 7.588533958752889497e+00, 1.019996149682923736e+00, 1.630557184362445122e+00, 5.347487941304466474e+00
2.034000000000000000e+03, 2.052688349197285600e+00, 1.115960794257230937e+00, 5.398531338819787528e-01, 9.561571673166731955e+00, 1.226733079614926725e+00, 2.112271605042860934e+00, 5.233282019474059688e+00, 1.366459575452302566e+00, 1.000671561381084196e+01, 7.678917221206598143e+00, 9.981631494337280808e-01, 1.589348454415477674e+00, 5.329106634813516763e+00
2.035000000000000000e+03, 1.936465779704190870e+00, 1.122987675072922853e+00, 3.069790877249624073e-01, 9.454906178461722988e+00, 1.212236142374811587e+00, 2.053718301254933376e+00, 5.483263454239370560e+00, 1.210454854175765149e+00, 1.017383720062096053e+01, 7.666408537837204662e+00, 1.081549249521482237e+00, 1.585265255974440013e+00, 5.374914650253114878e+00
2.036000000000000000e+03, 1.585202298494968298e+00, 1.110688954237867510e+00, 8.511574825563835711e-01, 9.583143734823179827e+00, 1.161399896251671171e+00, 2.162850741498437923e+00, 5.298762180012931644e+00, 1.174814131896107616e+00, 1.024642696248458584e+01, 7.678155624881977559e+00, 1.090052445622282207e+00, 1.785672945472602358e+00, 5.420752407885631285e+00
2.037000000000000000e+03, 2.013898600372125092e+00, 1.079669191026051411e+00, 5.685496296033411001e-01, 9.594392715641593128e+00, 1.252430852196684929e+00, 2.106148469590289896e+00, 4.847537795608780620e+00, 1.076035386030294916e+00, 1.017260478420532444e+01, 7.629522280321706873e+00, 1.210623615204801773e+00, 1.917767952126630870e+00, 5.554278962881234349e+00
2.038000000000000000e+03, 1.966831052132673285e+00, 1.028254632571043103e+00, 3.145662992451433992e-01, 9.447877967819266587e+00, 1.201940517640581296e+00, 2.057338334684794212e+00, 4.999409875663503477e+00, 1.213895105730224078e+00, 1.026971349918887633e+01, 7.698430455189961386e+00, 1.126569695508088387e+00, 1.902397716567538533e+00, 5.540337408723663870e+00
2.039000000000000000e+03, 1.649285890038112212e+00, 9.764037615475429366e-01, 4.581790070837799544e-01, 9.546225200411546652e+00, 1.120891210279216565e+00, 2.148461632480219041e+00, 5.465400448094458241e+00, 1.206214323164461755e+00, 1.027628615968783876e+01, 7.694985623014382270e+00, 1.153041725898193537e+00, 1.782807326110785517e+00, 5.406681223107059786e+00
2.040000000000000000e+03, 2.278009949104031762e+00, 9.485989899878995990e-01, 5.624433477890720123e-01, 9.402564271611776547e+00, 1.282981149671909238e+00, 2.113559231662699212e+00, 5.650608867289773407e+00, 1.123590712448194306e+00, 1.023385100287036664e+01, 7.601171851051629069e+00, 1.127419423486483607e+00, 1.633735159364566369e+00, 5.461690685400026446e+00
