year, TaiESM1, NorESM2-LM, GFDL-ESM4, CESM2-WACCM, EC-Earth3-Veg, NorESM2-MM, UKESM1-0-LL, IPSL-CM6A-LR, MPI-ESM1-2-LR
2.062000000000000000e+03, 2.742464184069617945e-11, 2.974296506104487380e-11, 1.336322628712272389e-10, 1.732145254068923762e-10, 1.053232133680078226e-09, 3.459466566017856444e-11, 2.386791179861743657e-10, 7.109275088223114432e-10, 1.714436977499995041e-10
2.063000000000000000e+03, 2.742262305150911134e-11, 2.972962970112482977e-11, 1.642927750854378454e-10, 1.259141829445612687e-10, 1.144483734836225428e-09, 3.457011825848056454e-11, 1.345522306808595464e-10, 5.971434165603295877e-10, 1.880396066097411664e-10
2.064000000000000000e+03, 2.755364983430663546e-11, 2.958581583732419187e-11, 1.685963490304173412e-10, 1.382751257788796850e-10, 9.235168894267157896e-10, 3.448957668730069658e-11, 1.185105128356370847e-10, 6.015946959967873955e-10, 1.793719653488226720e-10
2.065000000000000000e+03, 2.747595096852990112e-11, 2.937148958676996166e-11, 1.485635800469588888e-10, 8.064036021199552770e-11, 1.192577808488736054e-09, 3.441369538213844471e-11, 2.394243980659498222e-10, 6.121052304188320652e-10, 1.387068451722909032e-10
2.066000000000000000e+03, 2.736337546624936362e-11, 2.934912467046906036e-11, 1.505564128813902218e-10, 1.739548656341347148e-10, 9.351029471410778078e-10, 3.421216147328573800e-11, 1.708312147985250172e-10, 5.831138966101428858e-10, 1.244206479930520522e-10
2.067000000000000000e+03, 2.749010355741261770e-11, 2.941229417349154776e-11, 1.272409315322926816e-10, 1.849898954451369811e-10, 1.159945806471437613e-09, 3.406534921744237830e-11, 1.116683958493122675e-10, 6.937561760703974708e-10, 1.549877608600024918e-10
2.068000000000000000e+03, 2.752790179504143804e-11, 2.928260028096517160e-11, 1.436917174682893298e-10, 1.581214511557465384e-10, 8.634503932368975630e-10, 3.389252176717781629e-11, 2.706087035285693848e-10, 7.579729900813526977e-10, 1.556715589174759568e-10
2.069000000000000000e+03, 2.741060569946258747e-11, 2.901958740885250434e-11, 1.879924746890089399e-10, 1.143980009546638753e-10, 1.055853476494339517e-09, 3.371602426636130777e-11, 1.800329482052531268e-10, 5.589547865103239894e-10, 1.361324131469864434e-10
2.070000000000000000e+03, 2.716643702548198357e-11, 2.894450691074247148e-11, 1.427619609120210905e-10, 1.481071028092779300e-10, 9.700678177783694251e-10, 3.357567526616217037e-11, 1.461452240717927791e-10, 7.288628596654824998e-10, 1.542086210107312228e-10
2.071000000000000000e+03, 2.707986416366803766e-11, 2.896082674505007371e-11, 1.639825851056120407e-10, 1.324285298492590963e-10, 1.269954259522187905e-09, 3.348514927666475686e-11, 1.844756065403855418e-10, 5.176780423824080368e-10, 1.886384694262401426e-10
2.072000000000000000e+03, 2.189204813922605607e-11, 2.882686545471909178e-11, 1.633819679408348800e-10, 1.467642124366649173e-10, 9.356427653428036012e-10, 3.339359014835033061e-11, 2.265974271100596302e-10, 6.993244573385220139e-10, 1.682303691840492082e-10
2.073000000000000000e+03, 1.994373207078759673e-11, 2.916183836844008771e-11, 2.056105698355358737e-10, 1.955294681632999017e-10, 1.274595384913113921e-09, 3.532441026450760277e-11, 1.780647060421759678e-10, 7.301841200980376587e-10, 1.388487205268677815e-10
2.074000000000000000e+03, 1.986456423271557598e-11, 2.925148663247751590e-11, 1.884460796741145085e-10, 1.468195785667857507e-10, 9.836176298125366268e-10, 3.585881277172997727e-11, 1.121741664406657240e-10, 7.528311731326619325e-10, 1.342380205508085459e-10
2.075000000000000000e+03, 1.891146400419339955e-11, 2.917732883428490988e-11, 1.523986505570934193e-10, 1.469804410144907910e-10, 1.122515315723166458e-09, 3.553363046268092373e-11, 1.634201049411177350e-10, 6.586050527365558688e-10, 1.511480683462975986e-10
2.076000000000000000e+03, 1.785265091139878510e-11, 2.605502457222351617e-11, 2.021656581389641190e-10, 1.395944832784013507e-10, 8.347971710106005303e-10, 3.522137533592299798e-11, 1.675587383831890885e-10, 6.166061324629218269e-10, 1.502484482902667570e-10
2.077000000000000000e+03, 1.783982730368451810e-11, 2.307488106307437730e-11, 1.906153355420702595e-10, 1.380482717332782628e-10, 8.986995319188574823e-10, 3.498038359849299980e-11, 2.131229208328825127e-10, 5.589441629095633000e-10, 1.584364388860648828e-10
2.078000000000000000e+03, 1.776764591242087802e-11, 2.302190304823332318e-11, 1.643228985699610335e-10, 2.179537627233797543e-10, 9.127467369495807553e-10, 3.470035920659403920e-11, 2.104334772068762439e-10, 6.477046245803328865e-10, 1.393063285447168719e-10
2.079000000000000000e+03, 1.781581210839081249e-11, 2.295602153685758625e-11, 1.600782285606196336e-10, 2.228362370384404227e-10, 1.273640269574175405e-09, 3.454215654418300455e-11, 1.389072886751571461e-10, 6.706246480784374546e-10, 1.336324195803001468e-10
2.080000000000000000e+03, 1.792839917267642114e-11, 2.279393099882824107e-11, 1.561994487761178022e-10, 1.769815867790988689e-10, 1.016873350346300464e-09, 3.428768640999978726e-11, 1.112891471717433388e-10, 7.540324462672186380e-10, 1.535355581460964090e-10
2.081000000000000000e+03, 1.793239213013880796e-11, 2.276030981288293926e-11, 1.713642070418310361e-10, 1.926852793389265585e-10, 1.115178298196204612e-09, 3.404254080389521220e-11, 8.954811525383021419e-11, 6.136983973026718321e-10, 1.568081452246335950e-10
2.082000000000000000e+03, 1.803081614947345663e-11, 2.278133633131165893e-11, 1.808060724603122085e-10, 1.819975508008757126e-10, 1.008201665188489611e-09, 3.384569484673896899e-11, 1.167670338604342434e-10, 5.757856381897631540e-10, 1.520215612491487635e-10
2.083000000000000000e+03, 1.830424871910385998e-11, 2.268504629770260404e-11, 1.545461491881895529e-10, 1.869344895450888571e-10, 1.034291791887145012e-09, 3.348333668100498054e-11, 1.896407874149977792e-10, 5.483494111547597810e-10, 1.599164775024861440e-10
2.084000000000000000e+03, 1.842072183072199456e-11, 2.274315125510149950e-11, 2.250894605507929127e-10, 1.718662008024011253e-10, 1.009716396554501161e-09, 3.327337952351222223e-11, 2.043587186148013464e-10, 5.869018979698248721e-10, 1.448920524184198248e-10
2.085000000000000000e+03, 1.836627528767350525e-11, 2.264694178990825381e-11, 3.110908282969882856e-10, 1.564616396044289301e-10, 1.031979339954328819e-09, 3.306068351560660770e-11, 1.895725685350317749e-10, 6.993554140405714042e-10, 1.191870642840615924e-10
2.086000000000000000e+03, 1.850655782088387032e-11, 2.246915457886743939e-11, 2.463344652298886429e-10, 1.545928876180340680e-10, 1.182551675086951915e-09, 3.277283297697756742e-11, 1.475388187305921974e-10, 6.733387229058044888e-10, 1.080313824911299297e-10
2.087000000000000000e+03, 1.855776394007472621e-11, 2.241102928595386541e-11, 2.292226277836808988e-10, 1.536027146541434961e-10, 1.210879405500130352e-09, 3.258223338772133315e-11, 2.540823850753893348e-10, 6.556961703046946870e-10, 1.123787737987431770e-10
2.088000000000000000e+03, 1.866368287871018691e-11, 2.229795060938764961e-11, 1.687337400538464940e-10, 2.318563466089600904e-10, 9.853348168450830106e-10, 3.224143892436291520e-11, 1.845205776879886723e-10, 5.961949032423683960e-10, 1.509800890414179137e-10
2.089000000000000000e+03, 1.871927773936798192e-11, 2.228356288177234301e-11, 1.689557421513181026e-10, 1.770315410891735461e-10, 1.334564558196707632e-09, 3.204568590136858587e-11, 1.729634875711057540e-10, 5.706459216887793949e-10, 1.506543848515865915e-10
2.090000000000000000e+03, 1.868604635900409951e-11, 2.224423447155632572e-11, 1.938629488200169042e-10, 1.916134904776145086e-10, 9.138630277996884451e-10, 3.178788465356850837e-11, 1.889206345661921234e-10, 7.647087202421916844e-10, 1.448784256583503194e-10
2.091000000000000000e+03, 1.864378318438147232e-11, 2.224305909762297759e-11, 1.586624197394407687e-10, 1.486577399817887087e-10, 1.002312079241986769e-09, 3.167848752531213713e-11, 1.942239890023286666e-10, 7.473928614419642628e-10, 1.239946760795739876e-10
2.092000000000000000e+03, 1.871695719758459934e-11, 2.219072169363558790e-11, 1.929684886192359755e-10, 1.301506947556554271e-10, 8.299642066666564507e-10, 3.143638121728293892e-11, 1.349841827067883316e-10, 7.114541423018932998e-10, 1.259859081271440312e-10
2.093000000000000000e+03, 1.908348884699233216e-11, 2.210435964452257592e-11, 1.869414065991543182e-10, 2.137077628511575979e-10, 1.214338541673068614e-09, 3.114759162483803284e-11, 1.272642026531526854e-10, 6.794912456714142950e-10, 1.719933677563502261e-10
2.094000000000000000e+03, 1.911120561111521080e-11, 2.189216732720148433e-11, 1.888829705886754326e-10, 1.677276296335089578e-10, 1.137014891326856281e-09, 3.077439762439290967e-11, 1.290980726760005317e-10, 5.707003859726689258e-10, 1.491454178985638768e-10
2.095000000000000000e+03, 1.907799710329221522e-11, 2.188859403147168667e-11, 1.853018743211078999e-10, 2.223197233278072980e-10, 1.072923767046655325e-09, 3.055256736740900253e-11, 1.242449267273656997e-10, 6.125688097782419336e-10, 1.372299909700814738e-10
2.096000000000000000e+03, 1.897615456987003536e-11, 2.183525084905730407e-11, 2.191923550443319601e-10, 1.906211710314765171e-10, 7.985343152684451541e-10, 3.028429170393625221e-11, 2.023134867888211777e-10, 7.502003144176542108e-10, 1.750517840115323726e-10
2.097000000000000000e+03, 1.884801642531735892e-11, 2.168044944000614829e-11, 1.711080557763781643e-10, 1.977848434133302857e-10, 9.974252016838362118e-10, 2.999529558646595346e-11, 1.714000726481419575e-10, 7.081637689047518698e-10, 1.540937888916917277e-10
2.098000000000000000e+03, 1.869608744286978622e-11, 2.158459925371046596e-11, 1.865374801625624992e-10, 1.815063454187336429e-10, 1.275572636464681083e-09, 2.979663310099933900e-11, 1.782357161708823882e-10, 6.394075240946857726e-10, 1.218524953301198956e-10
2.099000000000000000e+03, 1.468405980426186617e-11, 2.149740050802906936e-11, 1.943014679674955870e-10, 2.063551694839805799e-10, 1.132856445173910731e-09, 2.963029654213807833e-11, 1.238387661170010601e-10, 4.858245013962817744e-10, 1.086382343159812758e-10
2.100000000000000000e+03, 1.473734771628629071e-11, 1.967615301828196062e-11, 1.463458009631626909e-10, 1.806661179635904333e-10, 9.341014928014790959e-10, 3.069236149319390859e-11, 1.721783612460358752e-10, 5.876649692205224049e-10, 1.046740734810775469e-10
