year, TaiESM1, NorESM2-LM, GFDL-ESM4, CESM2-WACCM, EC-Earth3-Veg, NorESM2-MM, UKESM1-0-LL, IPSL-CM6A-LR, MPI-ESM1-2-LR
2.015000000000000000e+03, 2.489088839162542301e-11, 2.685264442169479660e-11, 1.563859650250122416e-10, 1.357389026581430110e-10, 1.013946139605810562e-09, 0.000000000000000000e+00, 1.427465523704199292e-10, 6.101562527930244874e-10, 1.095425222493613238e-10
2.016000000000000000e+03, 2.282586875464167720e-11, 3.043272847306783296e-11, 2.693373093518487066e-10, 9.765115528990587440e-11, 1.080058854202485246e-09, 3.320867090892253818e-11, 1.499959150923510961e-10, 5.971225143389532752e-10, 9.682057802168865533e-11
2.017000000000000000e+03, 2.301438111180764030e-11, 2.847949028338588476e-11, 1.630623355506696830e-10, 8.028067440780291869e-11, 1.137503924251892747e-09, 3.574039972198983290e-11, 1.538800198568087300e-10, 4.921523920756080166e-10, 8.956530303345953673e-11
2.018000000000000000e+03, 2.322608954148067924e-11, 2.866271309897006979e-11, 1.321272481986516906e-10, 1.174121288871670515e-10, 9.875127187068885595e-10, 3.590946950866309747e-11, 1.205411735092508004e-10, 3.576478492733439979e-10, 9.946142574255999727e-11
2.019000000000000000e+03, 2.323834578572778071e-11, 2.888814164113617315e-11, 1.963885243871094187e-10, 9.532694147295302017e-11, 9.149127376359303227e-10, 3.617864224460438599e-11, 8.325415802367144658e-11, 5.197341697147455134e-10, 9.097306658572439085e-11
2.020000000000000000e+03, 2.341853285227597736e-11, 2.899210962187047557e-11, 1.768565194109035307e-10, 1.848221152630371542e-10, 8.503174593801823722e-10, 3.634493810531839464e-11, 1.287537115205609392e-10, 4.607057536504523652e-10, 8.510844242987315907e-11
2.021000000000000000e+03, 2.345388510649260277e-11, 2.910660219795728399e-11, 1.404294819297744322e-10, 1.466474079765439063e-10, 9.569781963654239987e-10, 3.658485228427310347e-11, 1.131130507202774322e-10, 5.116476441771137371e-10, 8.119681308245745104e-11
2.022000000000000000e+03, 2.359755166560354562e-11, 2.925015675734620796e-11, 1.239459277945456525e-10, 1.278246819257828279e-10, 9.113702990619908542e-10, 3.675405103810169178e-11, 9.572627747492976000e-11, 5.894863690833036171e-10, 6.527253095262004299e-11
2.023000000000000000e+03, 2.382423305068909062e-11, 2.935756627484231946e-11, 1.657932930002432278e-10, 1.580615293010357292e-10, 1.075172970663719297e-09, 3.685334148039577487e-11, 1.061641791210698254e-10, 5.389028456616698652e-10, 7.447261809735198635e-11
2.024000000000000000e+03, 2.403096666909825358e-11, 2.955587538726978372e-11, 2.204550193213058827e-10, 1.057030846148463000e-10, 1.100365158368198414e-09, 3.704936013808113320e-11, 1.066784944428850337e-10, 4.948595602391605484e-10, 1.141234222194314618e-10
2.025000000000000000e+03, 2.430217882159690412e-11, 2.958749349882066216e-11, 2.382227258745082378e-10, 1.176088710157950874e-10, 1.188278936355187231e-09, 3.719578796303330795e-11, 1.386635507337435152e-10, 3.549692402920045699e-10, 1.839995581907572597e-10
2.026000000000000000e+03, 2.444813304077037375e-11, 2.977586260139256078e-11, 1.747784313378082533e-10, 1.390748481381635622e-10, 9.131601370092931141e-10, 3.757243889001679754e-11, 1.706774008730168331e-10, 5.330093707661834753e-10, 1.413680110677086826e-10
2.027000000000000000e+03, 2.450757286995883822e-11, 2.990832968586274529e-11, 1.658615573722521589e-10, 1.074485405494239596e-10, 8.546448377455014663e-10, 3.781569092095083915e-11, 1.326886082952948778e-10, 5.958267040309697031e-10, 1.223446238644924818e-10
2.028000000000000000e+03, 2.461659292693573339e-11, 3.017205438127262546e-11, 1.392765723612543770e-10, 1.356490514712776427e-10, 1.035129125159866149e-09, 3.807048908589450782e-11, 8.324746852140993442e-11, 5.557029648441730570e-10, 1.336027265036913094e-10
2.029000000000000000e+03, 2.488825984708833023e-11, 3.032537774016289279e-11, 2.113662289462936221e-10, 1.563721283494790130e-10, 1.153685228054632937e-09, 3.818696092109107604e-11, 1.648424451797135755e-10, 6.518743686068626927e-10, 1.177082401039545972e-10
2.030000000000000000e+03, 2.515155710081317252e-11, 3.058635285188570124e-11, 2.112464931770114867e-10, 1.142925367906927101e-10, 9.444282597640489206e-10, 3.839127350893364538e-11, 1.181107195510763073e-10, 6.346041066729414037e-10, 1.092511165120828783e-10
2.031000000000000000e+03, 2.529824460893416502e-11, 3.084515470982918686e-11, 1.289858010987508747e-10, 1.535204873617821041e-10, 9.699455995210833004e-10, 3.853257944235454031e-11, 1.146380049983216599e-10, 4.090510084643927013e-10, 8.696614999640592464e-11
2.032000000000000000e+03, 2.557570116464720257e-11, 3.093881436238314015e-11, 1.202955619987753570e-10, 1.693792486572559169e-10, 9.763697167961247643e-10, 3.868309134196271097e-11, 1.614173378650457397e-10, 5.231367254116950340e-10, 1.025174042817723024e-10
2.033000000000000000e+03, 2.566926915384990542e-11, 3.112529110678227919e-11, 1.598465091393750382e-10, 1.083366427831317564e-10, 9.783821423047554594e-10, 3.887092225677359283e-11, 1.929703133401649471e-10, 3.562574074602341181e-10, 1.080021016987717501e-10
2.034000000000000000e+03, 2.585951055649200290e-11, 3.125017822402098390e-11, 1.439881266304750491e-10, 7.955183789230242890e-11, 9.943827336200597856e-10, 3.891638311823043627e-11, 1.340684666909540876e-10, 4.984529056863527885e-10, 1.751347355592336965e-10
2.035000000000000000e+03, 2.610961758480139938e-11, 3.130310522565724948e-11, 1.600212825785522059e-10, 1.107952960009688030e-10, 1.153986099333821264e-09, 3.906155218975014306e-11, 1.132946878327536144e-10, 4.899037712704355555e-10, 1.881128762451986317e-10
2.036000000000000000e+03, 2.628612582567821945e-11, 3.146133195914094223e-11, 1.659601727923380433e-10, 1.147276908888722841e-10, 9.858486467146098812e-10, 3.921429118038058288e-11, 8.162025672924561146e-11, 5.926854003839730314e-10, 1.462232865049783678e-10
2.037000000000000000e+03, 2.595565447784226986e-11, 3.155521279348953403e-11, 1.552100225061888326e-10, 1.749296151529069740e-10, 1.112379157775753540e-09, 3.927685581609979099e-11, 7.223421080010261552e-11, 6.075232544644949662e-10, 1.571469210779336950e-10
2.038000000000000000e+03, 2.606717205531401935e-11, 3.151111970709842433e-11, 1.376665360905410881e-10, 1.241510688142141445e-10, 1.006187078450013910e-09, 3.945017353307604798e-11, 8.108261984038162583e-11, 4.951403476216800832e-10, 1.741097595834422583e-10
2.039000000000000000e+03, 2.635369145313592712e-11, 3.159255554410968673e-11, 1.512878065867557485e-10, 1.190169598604576253e-10, 9.296918891338058944e-10, 3.943159534758107010e-11, 1.093995722005655558e-10, 5.346119855900039732e-10, 1.251576946077088752e-10
2.040000000000000000e+03, 2.651937113024686859e-11, 3.168542104026568756e-11, 1.647682509550193870e-10, 1.312679041797192387e-10, 9.851267205090663440e-10, 3.939122457177606282e-11, 1.202786938986985567e-10, 5.847056990534407999e-10, 9.573718706902523187e-11
2.041000000000000000e+03, 2.671193033695058148e-11, 3.172967920248375085e-11, 2.247242841491810590e-10, 1.861099767896939794e-10, 1.032678347460257617e-09, 3.947578881477832590e-11, 1.885781272992833235e-10, 6.635781778732761039e-10, 1.368144458536633339e-10
2.042000000000000000e+03, 2.686250193014033357e-11, 3.167023116914420176e-11, 1.576411806471435831e-10, 1.432801297486875689e-10, 1.077377897532031791e-09, 3.955807363593975982e-11, 1.987776026089509115e-10, 4.920913028440862124e-10, 1.288491306732005553e-10
2.043000000000000000e+03, 2.694085833913492998e-11, 3.162234395847760021e-11, 1.421545372105395899e-10, 1.185854304145240764e-10, 8.918617730727251177e-10, 3.959629492070721405e-11, 6.578716250530814722e-11, 5.134152538053817562e-10, 1.093853955094003174e-10
2.044000000000000000e+03, 2.507153227287176162e-11, 3.167320665666438112e-11, 2.045211719811782416e-10, 1.404451128979856310e-10, 1.265918497411222308e-09, 3.958535372376312071e-11, 1.205731201863805375e-10, 5.883195294022572308e-10, 1.148327842353325454e-10
2.045000000000000000e+03, 2.517854590303396403e-11, 2.920155989000627421e-11, 2.012181616328992762e-10, 1.442084697394491909e-10, 9.657099972306720677e-10, 3.912729896472453030e-11, 1.081229826303074131e-10, 4.873140124911996074e-10, 1.306501934104177948e-10
2.046000000000000000e+03, 2.535444688671381844e-11, 2.911101688815353843e-11, 1.694162907904896841e-10, 1.396628089583501622e-10, 1.018238632708169358e-09, 3.894190067000584806e-11, 7.536634724274769103e-11, 6.337329979893209729e-10, 2.255738536110189030e-10
2.047000000000000000e+03, 2.563761033996239596e-11, 2.897326219441414034e-11, 1.342565822284667825e-10, 1.293017260080316232e-10, 9.629612733291993306e-10, 3.884649346098657773e-11, 8.449163588265065052e-11, 5.837556707537902570e-10, 2.044583208609719200e-10
2.048000000000000000e+03, 2.558430139185897762e-11, 2.900603476131761970e-11, 1.259947818859533038e-10, 1.546316092048367303e-10, 1.214355115196063711e-09, 3.892412296289431437e-11, 1.555833778402382257e-10, 7.155786046879442673e-10, 1.471419186426658317e-10
2.049000000000000000e+03, 2.569142026883504930e-11, 2.899809413616329759e-11, 1.469979938818119963e-10, 1.317840630275066076e-10, 1.007697123217513108e-09, 3.873649869878575545e-11, 2.320665274821119818e-10, 6.276488890184969706e-10, 1.294048135658932240e-10
2.050000000000000000e+03, 2.877804605737975755e-11, 2.903672560362593076e-11, 1.516697250533963383e-10, 1.336246773289183717e-10, 7.393534071882347651e-10, 3.862668771503103895e-11, 1.553520874273906853e-10, 6.049630975199849344e-10, 1.187339633664797919e-10
2.051000000000000000e+03, 2.883004619469415311e-11, 3.057677555934524175e-11, 1.391987854676896353e-10, 1.125943157078123097e-10, 1.320135443655967606e-09, 3.557617686796620435e-11, 1.172194533862704155e-10, 4.174792320956029099e-10, 1.440261235413380480e-10
2.052000000000000000e+03, 2.871553071874283400e-11, 3.038256797102251767e-11, 1.504076758217238405e-10, 1.224959535543794970e-10, 1.132167481421913932e-09, 3.557338679793879185e-11, 2.102828591921623014e-10, 7.100763217845565976e-10, 1.225032913401457508e-10
2.053000000000000000e+03, 2.847812037458870347e-11, 3.026537423720007749e-11, 1.438325661900443102e-10, 1.180375738419544993e-10, 1.068677995831700676e-09, 3.537501074620823837e-11, 1.313244531802754555e-10, 7.613782378981437090e-10, 1.377123781541860507e-10
2.054000000000000000e+03, 2.824927838804261922e-11, 3.023755959843327188e-11, 1.803059468021717838e-10, 1.258437251719661449e-10, 8.782831774715016947e-10, 3.527778282263125398e-11, 1.927019336282286199e-10, 6.894875872797481905e-10, 1.373393772936622585e-10
2.055000000000000000e+03, 2.819203365447726801e-11, 3.022080403495448671e-11, 1.726596748830273310e-10, 2.002784373719786250e-10, 1.156527627992421203e-09, 3.519876413632467300e-11, 9.728958918094987822e-11, 7.579566481814028954e-10, 1.341536383794535608e-10
2.056000000000000000e+03, 2.808211956441147551e-11, 3.007608694437226942e-11, 1.333979620444851004e-10, 2.071502489214288133e-10, 9.324721767974600148e-10, 3.511279952570274982e-11, 1.255258463955728371e-10, 6.647713254904217153e-10, 1.230563331992200487e-10
2.057000000000000000e+03, 2.797260720349921380e-11, 2.992268686034124097e-11, 1.255110006338337847e-10, 1.971658374518557301e-10, 1.069399809917100403e-09, 3.494871993782535432e-11, 1.654368361195121489e-10, 5.317939380028242707e-10, 1.244228405123311466e-10
2.058000000000000000e+03, 2.785213172964182556e-11, 3.003134894627884104e-11, 1.725174992992540672e-10, 1.390223880890919376e-10, 1.007328792137539198e-09, 3.489168245227626737e-11, 1.038112241898985903e-10, 5.808652032993123414e-10, 1.778472866117246026e-10
2.059000000000000000e+03, 2.759825606042513833e-11, 3.015600207542321510e-11, 2.567202927558580051e-10, 1.931714973980643540e-10, 1.124014814172986864e-09, 3.481848872364008425e-11, 1.065955567593696957e-10, 6.850232613322540167e-10, 1.636014619402553421e-10
2.060000000000000000e+03, 2.753799791663875780e-11, 3.006622860685837419e-11, 2.214157953480983900e-10, 1.788102395693348866e-10, 8.913254333126574241e-10, 3.471099651548513027e-11, 1.086043324524574277e-10, 6.463461623422983918e-10, 1.469556272887355013e-10
2.061000000000000000e+03, 2.750442665186650705e-11, 2.998201343270116556e-11, 1.473401890278904925e-10, 1.571061284513042896e-10, 1.349994396617774658e-09, 3.467894049760329178e-11, 1.662645726630277887e-10, 6.658361823418168570e-10, 1.272592887167711919e-10
