year, NorESM2-LM, GFDL-ESM4, CNRM-ESM2-1, INM-CM5-0, ACCESS-ESM1-5, TaiESM1, MIROC-ES2L, EC-Earth3-Veg, INM-CM4-8, NorESM2-MM, CanESM5, UKESM1-0-LL, CESM2-WACCM, IPSL-CM6A-LR, CMCC-CM2-SR5, MPI-ESM1-2-LR
2.025000000000000000e+03, 5.927895162310019117e+00, 3.143777597206444785e+00, 2.327175137827487195e+00, 7.549035013326399479e+00, 2.959647622720381843e+00, 5.446252194896812782e+00, 2.962090750134275030e+00, 7.205032199561677508e+00, 6.784301097080278176e+00, 4.747923142687016984e+00, 6.782192178408910976e+00, 3.089427950526914213e+00, 5.395340244529129414e+00, 5.302107127803459719e+00, 4.842318591621283197e+00, 4.677399626489356699e+00
2.026000000000000000e+03, 5.887571180273997840e+00, 2.409670539816042290e+00, 3.656314881590531751e+00, 7.491922950064604514e+00, 3.257845385931398052e+00, 4.478268654650825020e+00, 2.918854025833683696e+00, 6.525034133944617842e+00, 7.404027288940943308e+00, 4.389553024998397390e+00, 5.998836917671993341e+00, 1.914769419008685247e+00, 6.123076504285095645e+00, 6.273869956277698279e+00, 4.228655309058142464e+00, 2.510389703712649911e+00
2.027000000000000000e+03, 5.771166302104928647e+00, 3.448840935472179403e+00, 3.435639691684564401e+00, 7.555388475158796524e+00, 3.684003017633435739e+00, 3.551580997088682246e+00, 3.107945924930755055e+00, 7.693960556389714434e+00, 7.942869803562564890e+00, 4.224679774261621112e+00, 6.748342162565298175e+00, 3.239322895145970271e+00, 6.123974099070842669e+00, 6.743372574943109043e+00, 3.341646628006846420e+00, 5.024935178558132876e+00
2.028000000000000000e+03, 5.504656508963298833e+00, 3.525145454980924686e+00, 3.912740805601547578e+00, 6.754482105526592228e+00, 3.068624325432220523e+00, 5.246633138557186271e+00, 2.876846164595892930e+00, 8.033465213256249626e+00, 8.132778333155185280e+00, 5.739429212964943794e+00, 6.212336355734120019e+00, 2.361824335279199438e+00, 5.408750179018150028e+00, 6.612655894787999422e+00, 3.948715504277995336e+00, 3.966653139627292823e+00
2.029000000000000000e+03, 5.076232323434152427e+00, 2.568909294319430714e+00, 3.066969640587706269e+00, 6.778133377938559079e+00, 2.986435297028328772e+00, 5.354807845291906787e+00, 3.095403913814755548e+00, 7.598375474150126152e+00, 8.285505925341748679e+00, 5.943329305809666785e+00, 5.766501939041123848e+00, 4.870148024235580131e+00, 5.775739058025431305e+00, 7.188997922301386900e+00, 3.948485390054841115e+00, 4.062134861333371205e+00
2.030000000000000000e+03, 5.781737893093064073e+00, 2.312532025387907808e+00, 4.675561386783575024e+00, 7.180105097128577363e+00, 2.668117748915596721e+00, 4.415497731591322861e+00, 3.240992703511668349e+00, 7.495481010620791196e+00, 6.609937767876295389e+00, 5.833930949931308341e+00, 6.101430245142666742e+00, 3.384697404999916781e+00, 5.393795608230766980e+00, 5.898935775378090440e+00, 5.001081141934696994e+00, 2.331310404074979026e+00
2.031000000000000000e+03, 5.655021986596569405e+00, 2.190674297233316192e+00, 4.100597735357720097e+00, 6.731309503260467508e+00, 3.036856169400777627e+00, 4.508794864491056487e+00, 3.406614239267664157e+00, 7.298799922738888668e+00, 7.604867871895303111e+00, 5.573960148085215671e+00, 5.648384558128612731e+00, 2.922799598630800855e+00, 6.869732185413039538e+00, 5.284483086914335992e+00, 4.810979127529782851e+00, 2.643816566208486929e+00
2.032000000000000000e+03, 5.511426042164272232e+00, 2.469127584533330033e+00, 3.991018177076596452e+00, 7.860626696069993535e+00, 3.162429441330317115e+00, 5.231575527098251577e+00, 3.318940830945026121e+00, 7.316454647067325290e+00, 7.753256890940814827e+00, 5.791699207704612107e+00, 6.166208767968779370e+00, 2.986883758914584686e+00, 6.728557126103263286e+00, 4.579954437685009871e+00, 4.214367387130509179e+00, 4.705635632090154452e+00
2.033000000000000000e+03, 5.943152967951133903e+00, 2.812592150086635545e+00, 3.027505459897549045e+00, 6.704565426880038537e+00, 3.301995916702437306e+00, 4.569823288510489689e+00, 2.902012009930405423e+00, 7.201281015064823876e+00, 7.951517067864348753e+00, 5.959185724316699684e+00, 5.934924136550152163e+00, 4.426263660444689663e+00, 5.156169910894821129e+00, 4.818448346875168653e+00, 3.319333786079504467e+00, 5.816333166321780546e+00
2.034000000000000000e+03, 6.040927685473048925e+00, 2.393150830431536313e+00, 3.431741007163778612e+00, 6.615399980099484267e+00, 3.465533955507814845e+00, 4.462564579091519157e+00, 2.809269448174209316e+00, 8.433977260487843353e+00, 8.242051321766323824e+00, 5.505725313952388511e+00, 6.684146127766811496e+00, 2.355572627049538958e+00, 5.382041826131610307e+00, 6.212359864887183392e+00, 3.844912758809236220e+00, 6.062488862754512375e+00
2.035000000000000000e+03, 5.960217829641050180e+00, 3.211343712376276027e+00, 4.747684413202510889e+00, 7.574870298450502304e+00, 3.126573421791695839e+00, 5.432243207490137671e+00, 3.137211530895996248e+00, 7.527018339486749809e+00, 8.540510006374047336e+00, 6.126659445198822773e+00, 5.766422720305688365e+00, 2.703334905922270437e+00, 5.509900879172731969e+00, 5.867777243239183704e+00, 4.258227215042865943e+00, 4.007374471640850366e+00
2.036000000000000000e+03, 5.681073678950019357e+00, 2.447395707619089311e+00, 3.309407697918826941e+00, 8.177938446848701304e+00, 2.986258826517890430e+00, 4.232950849916561786e+00, 3.197401600131880350e+00, 8.387932516165877317e+00, 8.718419103877540266e+00, 6.170381552638076528e+00, 5.972438363552468488e+00, 1.779190202663752940e+00, 5.634129183647432093e+00, 7.099184293288753445e+00, 4.564440399262241321e+00, 2.393226046886673952e+00
