year, GFDL-ESM4, NorESM2-MM, CanESM5, ACCESS-ESM1-5, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-LM, INM-CM5-0, INM-CM4-8, MIROC-ES2L, EC-Earth3-Veg, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR, TaiESM1, CNRM-ESM2-1
2.015000000000000000e+03, 5.211466097640267137e-01, -3.177937346408715169e-01, 1.220994374744549804e-01, 1.124929864863947609e-01, -2.606967015939992138e-01, -1.904358865354185276e-02, 1.318668381264176404e-01, -9.805342653135443176e-02, 6.490924689262963510e-01, -1.804136625606672373e-01, 1.293611972834121104e-01, 6.248873522864992758e-01, 7.356758512754911494e-02, 1.436618693123214996e-01, -4.343008004383396709e-02, -4.898503192792180022e-02
2.016000000000000000e+03, -5.618637721901050680e-02, 8.762233935379375172e-02, -7.465228889181355076e-02, 6.125516956247966105e-01, -4.137090479053177616e-01, -2.391126363277809308e-01, 8.621237669370895862e-02, -4.447881228911698681e-01, 3.097104673474184167e-01, 1.214310853148434510e-01, 7.024381781138689940e-01, 8.706179875726068051e-02, -2.616538968454682618e-02, 3.652851992324331332e-01, 3.442998057676270873e-01, 4.145260113230900823e-01
2.017000000000000000e+03, -8.225239902805432379e-01, 2.033086018357602165e-01, 1.941652270330640126e-02, 3.015603075562208746e-01, 2.911621653767429985e-01, -1.095484966931133466e-02, -8.282130562427632292e-02, 2.826164156054282173e-01, 1.244178013779201203e-01, 1.117706618080711034e-01, 1.744435287878332852e-01, -4.182724149135086944e-01, 3.386640304896033626e-01, -8.042373375101510846e-02, -1.386251925445208255e-01, 5.071732737926838014e-02
2.018000000000000000e+03, 3.174600293959571884e-01, 1.192505194422871506e-01, -7.751722128331739459e-02, 1.222248462393519669e-01, 3.377515009689865955e-02, -8.100820020958313106e-02, -1.349614896855887425e-01, 7.164101453572606359e-02, 6.732019382039385880e-01, 1.361615800487849803e-01, -6.573286006836723816e-01, 1.715415622641906432e-02, -4.284420422890673763e-02, -5.457656694955627516e-04, -4.204241866149496243e-01, -2.991413952777324456e-02
2.019000000000000000e+03, 6.320764594226777056e-02, -1.839386389816707532e-02, 1.016091499498905648e-02, -2.522805524639050168e-01, 5.555594728035360141e-01, 1.270762108507628163e-01, 1.510703253317579320e-01, 3.778943965464500732e-01, 4.820331454135749066e-02, -7.147776837493365065e-02, -1.038171052655939564e+00, -7.705901448331783921e-02, -2.952730436902741284e-01, -1.017271798154046059e-01, -2.978530002307047675e-01, 5.173983222382881608e-02
2.020000000000000000e+03, -6.343301778191063889e-01, 1.080157275812353296e-01, 4.970253662625763735e-01, -2.776108141080949610e-01, -3.115093617568462925e-01, 2.214907839120169586e-01, 1.054779084734363964e-01, 1.152316112697629180e-01, 1.031613133191552623e-01, 2.611274581259565020e-02, -3.554883226948915009e-01, -5.394371805352095360e-04, 2.378884266464815767e-01, -1.953045894146452632e-01, 6.560905977308630899e-01, -1.336780306774878850e-02
2.021000000000000000e+03, -3.966723569891599799e-01, 2.708319189253700909e-02, 6.027259874197017364e-01, -2.664826575043452439e-01, -4.670961832359014632e-01, -1.165846024961251642e-01, 1.004766061662395044e-01, -7.002996118868222430e-02, 3.039346301458704103e-01, 1.939927549931792505e-01, -3.882373606114520870e-01, 2.113734386426493594e-03, -1.773662695452027094e-01, -1.075854260617229718e-01, 3.900101329894878344e-01, -7.785978376505928167e-02
2.022000000000000000e+03, 4.126358309240981126e-01, 1.347934149247213553e-01, 7.143891175874479416e-01, -3.151832358457525712e-02, 1.774879801768363685e-01, 1.510896773142700322e-01, -1.011994442853083459e-02, 7.407338376828839221e-01, 2.604456618650040078e-01, 2.220191195854567812e-01, 7.676037351439308765e-01, 3.713978373443926340e-01, -9.968546948427363386e-02, -3.617114166097971928e-02, -4.190655422501966543e-01, -7.948385641942212754e-02
2.023000000000000000e+03, 8.282338916175149279e-01, 1.073301703977654203e-01, 3.551277706125708367e-01, 3.167535107897619939e-01, 7.719740903177113589e-01, 2.311845737010628510e-01, -5.438804073093238267e-03, 7.329615080684116490e-01, 7.239102573516840167e-01, -1.702964230174754956e-01, 5.058679518868844927e-01, -2.156449358432516727e-01, 1.167251713110846328e-01, 7.317502397119611812e-01, 1.505769478752651547e-01, 1.002091559204200122e-01
2.024000000000000000e+03, -1.424267349648049297e-01, 1.705845646043019637e-01, -2.961640293092895337e-01, 3.354073773785762325e-02, 5.886520772755403641e-01, -2.735119471368115465e-02, 1.397613695233584363e-01, -3.821091864963945817e-01, 2.043087254595776781e-01, 4.007166535903705466e-03, 7.080961955709359490e-01, -3.608926879811428234e-01, 9.705496667463483010e-03, 3.449141944034380680e-01, -2.764423624891084175e-01, -1.226716899678681610e-01
