year, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, MPI-ESM1-2-LR, MIROC-ES2L, CESM2-WACCM, UKESM1-0-LL, NorESM2-LM, NorESM2-MM, CMCC-ESM2, INM-CM4-8, ACCESS-ESM1-5, INM-CM5-0, IPSL-CM6A-LR, CanESM5
2.028000000000000000e+03, 6.912670105925657893e-01, 8.783186758660331828e-01, 8.587588148592915083e-01, 2.088746350685021902e+00, 9.258421201907365283e-01, 5.593110695970305857e-01, 1.028640593213824950e+00, 1.148272498955207332e+00, 8.716714405726289083e-01, 9.273911423060650083e-01, 8.099771318297069866e-01, 1.250709603720448593e+00, 5.684810510998745681e-01, 1.131853169321256125e+00, 1.085734499289455313e+00, 7.043051300302858309e-01
2.029000000000000000e+03, 6.446256710855001737e-01, 6.426955440216525206e-01, 1.333395209013470195e+00, 2.264714971507821861e+00, 9.105786942231078873e-01, 5.528431893597531843e-01, 1.046722393719927480e+00, 1.351596226458106287e+00, 8.569350964667160619e-01, 9.826034077371432751e-01, 5.853084547840287089e-01, 1.259712263314674230e+00, 5.338582590063820632e-01, 1.149829521254257081e+00, 1.166857531983808816e+00, 6.295768339668648128e-01
2.030000000000000000e+03, 8.097264757571149829e-01, 5.754140949254098469e-01, 1.145320871652239392e+00, 1.635078358547696897e+00, 7.394492097102803863e-01, 5.707856800985480206e-01, 1.019133939489079044e+00, 1.284095138280424653e+00, 9.174516579973513997e-01, 1.007794719688949625e+00, 9.500214954182131244e-01, 1.118835974227939678e+00, 4.839647551727920272e-01, 1.163806723898213269e+00, 1.065430634769002571e+00, 6.904283507386526075e-01
2.031000000000000000e+03, 7.372797372975697927e-01, 5.581114464869920688e-01, 9.295767190424774062e-01, 1.638677807670185782e+00, 7.652233154943355320e-01, 5.880477447397944868e-01, 1.104855733811792806e+00, 1.244817603852041321e+00, 8.483893301566216572e-01, 1.018920393838306238e+00, 1.410024976511585759e+00, 1.201972711994097276e+00, 5.196606171324402723e-01, 1.128337778391847568e+00, 8.733138261400286151e-01, 6.176544152502490004e-01
2.032000000000000000e+03, 7.727885745959498509e-01, 6.398837571521701628e-01, 1.115152000936586507e+00, 1.644985826070866075e+00, 1.009309961158332047e+00, 5.932528843325916013e-01, 1.165689802743548498e+00, 1.214799379081468400e+00, 9.421722827210596840e-01, 1.038493255325966258e+00, 1.328903686571798470e+00, 1.215633755658926507e+00, 5.357149799622964448e-01, 1.224725939090656190e+00, 8.099136527141815867e-01, 6.774974371667354944e-01
2.033000000000000000e+03, 6.271611907688001697e-01, 7.074130862517183926e-01, 1.101795259043644171e+00, 1.560926889509855808e+00, 1.067037665627479592e+00, 5.718592645214939374e-01, 1.079878013135588510e+00, 1.375300093768939691e+00, 9.202148309119870806e-01, 1.029549319490708603e+00, 1.016726536212865684e+00, 1.215065155427632382e+00, 5.472478245591478885e-01, 1.130327114128491628e+00, 7.797026793330013028e-01, 6.370425315166452496e-01
2.034000000000000000e+03, 6.476590340920047595e-01, 6.099071602102698053e-01, 9.156081905576624047e-01, 1.747074882726616041e+00, 1.094742035016029957e+00, 5.549294284947012823e-01, 1.014526609047114336e+00, 1.170584910607912921e+00, 9.534483142877778761e-01, 1.033289128474070617e+00, 5.862049613770184964e-01, 1.250600990940821333e+00, 6.059185220504147429e-01, 1.103810542678389295e+00, 9.639733115037310007e-01, 7.420116799566743859e-01
2.035000000000000000e+03, 8.008219908417705257e-01, 8.044686010838839607e-01, 1.092766001192512881e+00, 2.174756709988885817e+00, 9.352198622190409649e-01, 5.662425726438373719e-01, 9.616611675522711566e-01, 1.235522280430115583e+00, 9.924286363563376012e-01, 1.070931286627402557e+00, 7.634334763876324814e-01, 1.265661686981601752e+00, 5.569465085675361360e-01, 1.206361968764430026e+00, 9.356775128042177370e-01, 6.036669758097538141e-01
2.036000000000000000e+03, 6.401795128386391642e-01, 6.289649528431158210e-01, 1.095723050502639850e+00, 1.872295798623748064e+00, 7.293473913758268257e-01, 5.640402347752185852e-01, 9.814573008704199353e-01, 1.086780288304456832e+00, 9.978891501488743598e-01, 1.088562312618331918e+00, 1.157630769128432435e+00, 1.287514511261817596e+00, 5.272012440462146010e-01, 1.229593847062689038e+00, 1.124704069507825199e+00, 6.387459445789505086e-01
2.037000000000000000e+03, 5.599284619055416856e-01, 6.173709668481318635e-01, 8.269892517999773984e-01, 1.871463137781441244e+00, 1.072082754566976215e+00, 5.750487661025803776e-01, 1.039680506376844615e+00, 1.037259459298071063e+00, 9.473760639396362482e-01, 9.925922766628882954e-01, 8.709655680314383197e-01, 1.233251425636367138e+00, 4.750783799858056544e-01, 1.244455542861276909e+00, 1.012985482513841351e+00, 9.464629242224222860e-01
2.038000000000000000e+03, 7.250066575608099528e-01, 7.642033941807436781e-01, 9.612124719829566732e-01, 1.569464301391573446e+00, 8.508781104228376746e-01, 5.623889865971918312e-01, 9.852819679352979865e-01, 1.145524299708402971e+00, 8.856180998416998129e-01, 1.052684160362671983e+00, 6.647587334609167398e-01, 1.216344549236100026e+00, 4.087483307498508966e-01, 1.214104840152568476e+00, 8.666894621649759989e-01, 8.059735923028618076e-01
2.039000000000000000e+03, 6.181524563212544843e-01, 6.329029603893436828e-01, 1.254524167813890534e+00, 1.507049481588860651e+00, 7.814264055187878366e-01, 5.729518753845775914e-01, 1.004598089001472072e+00, 1.221536568724484129e+00, 8.602087754182217161e-01, 1.101863478584500289e+00, 8.047503808155204164e-01, 1.194729484465074210e+00, 3.910413607818133963e-01, 1.112595687938730205e+00, 9.453611035562438092e-01, 6.137603020436139811e-01
