year, CNRM-ESM2-1, ACCESS-ESM1-5, NorESM2-LM, MIROC-ES2L, INM-CM4-8, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-MM, IPSL-CM6A-LR, UKESM1-0-LL, TaiESM1, INM-CM5-0, EC-Earth3-Veg, MPI-ESM1-2-LR, GFDL-ESM4, CanESM5
2.031000000000000000e+03, 2.677304454155265745e+00, 2.613622217139312642e+00, 3.777895766492664009e+00, 3.362281308459664331e+00, 6.320869448582057792e+00, 4.067771975078673385e+00, 4.477432825019259433e+00, 4.057859000146796902e+00, 3.013825429528447675e+00, 5.884245116948339849e+00, 4.434074498345629500e+00, 6.133187159081916029e+00, 4.062425467599340756e+00, 5.025107354252776659e+00, 4.698750984944274123e+00, 5.472861101392802574e+00
2.032000000000000000e+03, 3.065475587612115582e+00, 2.424245153981841483e+00, 3.578582019632932987e+00, 3.424860105154590162e+00, 6.270491729170863060e+00, 4.098762005856908530e+00, 4.243583962224044548e+00, 4.384894669682883439e+00, 3.407475382919675777e+00, 6.061679487286514956e+00, 4.412380350441639010e+00, 6.231991037413924239e+00, 4.161022032452318165e+00, 4.855436549451614958e+00, 4.928861016183738286e+00, 5.383197933304425753e+00
2.033000000000000000e+03, 3.061178400480281780e+00, 2.603592733488356181e+00, 3.884937839709082574e+00, 3.394482577075197849e+00, 6.391142646532146365e+00, 3.875460414541747944e+00, 4.028690211485593586e+00, 4.721267791913548173e+00, 3.169167542126883230e+00, 6.133973201433956746e+00, 4.035909226752570689e+00, 6.239875020226201663e+00, 3.997564724311193363e+00, 5.292789156034968912e+00, 4.632333805303630925e+00, 5.458907744858547240e+00
2.034000000000000000e+03, 2.843429531761605400e+00, 2.703301426416279352e+00, 3.818757871621129674e+00, 3.329591827023897999e+00, 6.261671436800149593e+00, 4.375164075795352048e+00, 4.112730940554125247e+00, 4.554041966684775566e+00, 3.518522820122431227e+00, 5.892916184765361720e+00, 4.194798442450964338e+00, 6.120358652074260775e+00, 4.148150177281006989e+00, 5.211305287081877680e+00, 4.783221502196898456e+00, 5.559751626240623246e+00
2.035000000000000000e+03, 2.854783369644397162e+00, 2.457187891174799965e+00, 3.566124798015170683e+00, 3.372062541546872350e+00, 6.485429694440243864e+00, 4.454341881409134452e+00, 4.103300889464813750e+00, 4.466705341546541419e+00, 3.639223186670437205e+00, 6.018349742072033770e+00, 4.422860861957548906e+00, 6.023311322019198499e+00, 4.036831028754406248e+00, 5.030364939502598887e+00, 5.060926926078095356e+00, 5.308462798102353553e+00
2.036000000000000000e+03, 2.644506000127456513e+00, 2.734735984322811397e+00, 3.432060055901695605e+00, 3.521204736936551338e+00, 6.456521689097402650e+00, 3.888822625923437304e+00, 3.994867323000235171e+00, 4.462648646870648328e+00, 3.319014377091335621e+00, 5.578511792281158677e+00, 4.150039963203395743e+00, 6.282795768984240858e+00, 3.869311530189841530e+00, 5.132257215758139424e+00, 4.616736324797529711e+00, 5.694818432315570611e+00
2.037000000000000000e+03, 2.853250618557251261e+00, 2.612492546175120278e+00, 3.299693856515129031e+00, 3.363296058678092226e+00, 6.398902360927543498e+00, 3.811276832955566185e+00, 4.414514085950668409e+00, 4.198490131244897228e+00, 3.302560962604704997e+00, 5.910641400041431126e+00, 4.288789524555467025e+00, 6.262192558628801642e+00, 4.183749295198001761e+00, 5.261120889267274947e+00, 4.594141398376297758e+00, 5.682082078323911212e+00
2.038000000000000000e+03, 3.067873084088176494e+00, 2.512346710300024988e+00, 3.789586519349827487e+00, 3.499051487522436776e+00, 6.258039718530873152e+00, 4.609959299559434953e+00, 4.045471823627181607e+00, 4.337112404050296632e+00, 3.125721487866838455e+00, 6.391843288844552440e+00, 4.630356426813129644e+00, 6.368789170981525416e+00, 4.199007086594240157e+00, 5.159773747176163994e+00, 4.775126395353558983e+00, 5.652498367891600317e+00
2.039000000000000000e+03, 2.955385425945630917e+00, 2.562086685854084500e+00, 3.917439315346740170e+00, 3.459003008641282406e+00, 6.407944692735769721e+00, 4.390816411071299719e+00, 3.989380289270749724e+00, 4.802075242255879672e+00, 3.391618213122427505e+00, 6.227478328333472923e+00, 4.195028577517884827e+00, 6.215488445169618181e+00, 4.054015972295365700e+00, 5.122075043538620420e+00, 4.970585284591494180e+00, 5.517662520481029453e+00
2.040000000000000000e+03, 2.711150797582686955e+00, 2.725874311366567770e+00, 3.910683492255527138e+00, 3.468675230926476338e+00, 6.598489040965067609e+00, 3.776258700279071068e+00, 3.902973992299291872e+00, 4.464950802240812422e+00, 3.589942938867308531e+00, 5.764325614742861426e+00, 4.254014702795164027e+00, 6.210661199897772988e+00, 4.148214503594313207e+00, 5.166913120563623174e+00, 4.966120221435255111e+00, 5.717438527753752275e+00
