year, IPSL-CM6A-LR, UKESM1-0-LL, GFDL-ESM4, INM-CM4-8, MIROC-ES2L, NorESM2-LM, CanESM5, EC-Earth3-Veg, INM-CM5-0, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, CESM2-WACCM, ACCESS-ESM1-5, CNRM-ESM2-1, CMCC-CM2-SR5
2.015000000000000000e+03, 2.939181139263133957e+01, 4.895034501566789231e+01, 2.995463724824083940e+01, 5.817807846702823582e+01, 2.664166048103594875e+01, 4.867043515291522482e+01, 3.944661495910214200e+01, 3.512897344985293557e+01, 5.666183646687737507e+01, 2.317686754987641606e+01, 5.605490602381439658e+01, 5.794729276680797625e+01, 5.529578803564276512e+01, 4.518004713274953588e+01, 4.537729881320258585e+01, 5.417720570827673043e+01
2.016000000000000000e+03, 2.942060272004862753e+01, 4.885783940441061901e+01, 3.003416706916253531e+01, 5.825582986327457036e+01, 2.666113064504808250e+01, 4.896206376270276195e+01, 3.974552527102053290e+01, 3.527050340317900634e+01, 5.687346150694556002e+01, 2.312974645695214448e+01, 5.661182178260399667e+01, 5.823101955208579028e+01, 5.540012199633257950e+01, 4.512147471066786153e+01, 4.553222036219065672e+01, 5.326546018079984890e+01
2.017000000000000000e+03, 2.922432894337683607e+01, 4.879729295645309151e+01, 2.993146296932007999e+01, 5.856429993023535729e+01, 2.670661965575456875e+01, 4.919426808874798240e+01, 3.991791772638269009e+01, 3.539779140054418605e+01, 5.708045701430835095e+01, 2.305952973126643357e+01, 5.677478705945972592e+01, 5.856944357603349971e+01, 5.558123429331132570e+01, 4.526840403583610595e+01, 4.579192610978841316e+01, 5.355815119541856717e+01
2.018000000000000000e+03, 2.924163937622484966e+01, 4.875738586112708361e+01, 3.001861104980610051e+01, 5.882844842348065839e+01, 2.676550987629390477e+01, 4.943418170033905312e+01, 4.007041397804326266e+01, 3.568041268077599426e+01, 5.731072238767429639e+01, 2.313204881806423785e+01, 5.637158040404219861e+01, 5.883945733825878932e+01, 5.571177901050286607e+01, 4.544328915964487692e+01, 4.568628504080930242e+01, 5.411193321610920748e+01
2.019000000000000000e+03, 2.937438706283485956e+01, 4.866912450541999391e+01, 3.018542765550242990e+01, 5.912314314146129846e+01, 2.686712837393274000e+01, 4.973338862367034352e+01, 4.040505405324921639e+01, 3.569279690426790097e+01, 5.744771780416579077e+01, 2.319640701791582060e+01, 5.610296673826893965e+01, 5.900449888942058152e+01, 5.583303051789924609e+01, 4.555918644915664117e+01, 4.584477295949203324e+01, 5.501146365081149980e+01
2.020000000000000000e+03, 2.953503938313107824e+01, 4.864325757806053474e+01, 3.019169774714844579e+01, 5.941819375162325656e+01, 2.697892873768810063e+01, 5.006760378972294490e+01, 4.075870592663331138e+01, 3.547748495015553516e+01, 5.765813311927486495e+01, 2.322612821508408132e+01, 5.679959225424766345e+01, 5.908886847506569495e+01, 5.630707578638773469e+01, 4.559129245372376715e+01, 4.581351162311366920e+01, 5.464655839952723682e+01
2.021000000000000000e+03, 2.958867274758658894e+01, 4.862090368296743748e+01, 3.008049740469800781e+01, 5.971279417429518332e+01, 2.705061698355288868e+01, 5.022635010021930668e+01, 4.097199615812120044e+01, 3.530297681791920184e+01, 5.783582421419806963e+01, 2.338018924561891509e+01, 5.781591347785320067e+01, 5.908391132916129607e+01, 5.650492872243257381e+01, 4.559257720608239595e+01, 4.567487136227715183e+01, 5.323660016641016313e+01
2.022000000000000000e+03, 2.972775466497425612e+01, 4.854773538256331733e+01, 3.017433415634680571e+01, 5.998507918321921295e+01, 2.716180212291266827e+01, 5.033882922088329792e+01, 4.136541893313294338e+01, 3.549915783763707111e+01, 5.805416513311743643e+01, 2.344001475836856940e+01, 5.781053449054557092e+01, 5.934734630319140791e+01, 5.641080243635692426e+01, 4.574201596882715393e+01, 4.580062346303093790e+01, 5.308102048889706026e+01
2.023000000000000000e+03, 2.992365322497699154e+01, 4.851143728993422855e+01, 3.045223950541118541e+01, 6.023794366963892344e+01, 2.723915319844576999e+01, 5.040347709258208653e+01, 4.155230966586609043e+01, 3.556052393178900672e+01, 5.827292039361961429e+01, 2.379324353904645051e+01, 5.728733703412751765e+01, 5.971609164574969952e+01, 5.670528991265874907e+01, 4.589634283658626401e+01, 4.574624886730043727e+01, 5.464877072449669271e+01
2.024000000000000000e+03, 2.987996354224902618e+01, 4.848858906532978352e+01, 3.067144997189004130e+01, 6.038198897947189892e+01, 2.734514649347592297e+01, 5.058333580067426283e+01, 4.159328185227939656e+01, 3.591902475683031781e+01, 5.834377192396536316e+01, 2.427059195259858981e+01, 5.727702063032646151e+01, 5.991553230976290223e+01, 5.683816626040668751e+01, 4.599496214941419225e+01, 4.596153378123742073e+01, 5.465166374864202936e+01
