year, ACCESS-ESM1-5, CNRM-ESM2-1, TaiESM1, UKESM1-0-LL, MPI-ESM1-2-LR, CanESM5, IPSL-CM6A-LR, MIROC-ES2L, NorESM2-MM, CESM2-WACCM, CMCC-CM2-SR5, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4
2.015000000000000000e+03, 2.491974111389779090e+00, 2.726424469316923727e+00, 4.042050097177654067e+00, 4.849999192300142425e+00, 4.072588922042886139e+00, 4.941416877384609663e+00, 2.646991164994807022e+00, 2.667759009768596812e+00, 3.636404949763374361e+00, 3.415594191035240534e+00, 3.404992019798977143e+00, 2.983448738294876001e+00, 3.060728144473181978e+00, 3.821607454073190357e+00
2.016000000000000000e+03, 2.499125030014390347e+00, 2.774414031104041278e+00, 3.657350722886414385e+00, 4.971246618430464004e+00, 4.076403074392148440e+00, 5.053937554985604486e+00, 2.592169662551615961e+00, 2.576093627316012658e+00, 3.658265051470826368e+00, 3.366716580667285630e+00, 3.626495961402186108e+00, 2.940411303944249877e+00, 3.116022792555019016e+00, 4.189392920964254863e+00
2.017000000000000000e+03, 2.505854112907918818e+00, 2.733148401644320380e+00, 3.902449134882830517e+00, 5.186796700159038487e+00, 4.090801606125347156e+00, 4.969623059359502548e+00, 2.517866667085701948e+00, 2.554395152174751882e+00, 3.662046669688201028e+00, 3.426976651866804335e+00, 3.513318483666510783e+00, 2.954876467424738529e+00, 3.064731110401477387e+00, 4.192332744484438933e+00
2.018000000000000000e+03, 2.528689662050119580e+00, 2.692248602233066279e+00, 3.828008674905908570e+00, 4.725358425137737406e+00, 4.075404502327343970e+00, 5.108451600643477697e+00, 2.518538409622385288e+00, 2.643707132556182504e+00, 3.635476619329469639e+00, 3.270606687124252954e+00, 3.521818860304119614e+00, 3.123281330240542442e+00, 3.104882663831393774e+00, 3.745028456476658274e+00
2.019000000000000000e+03, 2.566564767078827636e+00, 2.725341296097945509e+00, 3.821172345211311772e+00, 5.109688186702002533e+00, 4.013645504692899380e+00, 5.148626000120479773e+00, 2.536931403750998015e+00, 2.739554466629677609e+00, 3.555290745393697271e+00, 3.436504492038435110e+00, 3.417778256424195860e+00, 3.247036746718998668e+00, 3.144651295750410469e+00, 3.777164975387149681e+00
2.020000000000000000e+03, 2.573652798368365247e+00, 2.587879633976266636e+00, 3.767163539026598951e+00, 5.059178046199032330e+00, 4.108513854332176862e+00, 5.040052945268230999e+00, 2.566318969304253184e+00, 2.664279531712879567e+00, 3.449119263355216347e+00, 3.551082158133283873e+00, 3.443624557714675571e+00, 3.067446775333451114e+00, 3.214333109263674881e+00, 4.244858594576933264e+00
2.021000000000000000e+03, 2.580302760828874664e+00, 2.691014602113821930e+00, 3.782534970540003094e+00, 4.855682638580836041e+00, 4.101497786409656676e+00, 5.080119653495304810e+00, 2.598717494846893405e+00, 2.622885982687232609e+00, 3.577420261225515485e+00, 3.322670424871432271e+00, 3.470430098793884088e+00, 3.090322142755506540e+00, 3.103339600533246756e+00, 4.207517250483977733e+00
2.022000000000000000e+03, 2.551073480005261462e+00, 2.524970618027299274e+00, 4.044969921924579381e+00, 5.079803590279126091e+00, 4.145916990899551458e+00, 5.139338451089903614e+00, 2.655285343387420838e+00, 2.634603162300198420e+00, 3.671564745750804715e+00, 3.504803261811644255e+00, 3.575931330292195565e+00, 3.009649110705299169e+00, 3.083316640110257190e+00, 3.709835570628626122e+00
2.023000000000000000e+03, 2.579560988030503488e+00, 2.653208625655858466e+00, 4.052057457878786906e+00, 5.015546180347034699e+00, 4.276301722398263117e+00, 4.920086705322369802e+00, 2.656343600880270106e+00, 2.703273309918919232e+00, 3.687000264034264507e+00, 3.483595066155814823e+00, 3.004139422420805339e+00, 2.954196482469367613e+00, 3.099898496317034180e+00, 3.747104650446266394e+00
2.024000000000000000e+03, 2.607086089220684855e+00, 2.745243470090401150e+00, 3.987428308737106075e+00, 5.366671032573959721e+00, 4.271790219735242644e+00, 5.253061822540381343e+00, 2.543221823690759553e+00, 2.742625539177457217e+00, 3.712471189223237378e+00, 3.316908918322405420e+00, 3.342802230677615949e+00, 2.922099615974242504e+00, 3.143038480498025589e+00, 3.939078770907267657e+00
2.025000000000000000e+03, 2.598132558497756595e+00, 2.715295483484093886e+00, 3.672541529064513366e+00, 5.331450624034991925e+00, 4.268136818198287052e+00, 5.221257435928146506e+00, 2.538250104731333501e+00, 2.704626278278771334e+00, 3.575109906334454912e+00, 3.460574064049201315e+00, 3.850825144672387790e+00, 3.101511846775578896e+00, 3.129313890742202009e+00, 4.351786011352837491e+00
2.026000000000000000e+03, 2.577141805178433387e+00, 2.757768573565315684e+00, 4.055563345584694446e+00, 5.430559592774921285e+00, 4.254224063545564150e+00, 5.153894879728535550e+00, 2.621691335372428711e+00, 2.615582068004485450e+00, 3.654174929021425822e+00, 3.526712084798127478e+00, 3.640303509655042458e+00, 3.346714670596059094e+00, 3.074006769477283019e+00, 3.980615718900892830e+00
2.027000000000000000e+03, 2.570540728420647625e+00, 2.683377987111703167e+00, 3.952943234855868404e+00, 4.618231042896301375e+00, 4.365565020550355335e+00, 5.230336538353880904e+00, 2.667898704523910869e+00, 2.639995187988245728e+00, 3.662863066597569883e+00, 3.463024646502419923e+00, 3.590617546944261829e+00, 2.991006919220457583e+00, 3.160477820173089203e+00, 3.984979506307793073e+00
2.028000000000000000e+03, 2.594349702460052587e+00, 2.739530532572552524e+00, 3.729031016221395767e+00, 5.073507241542364099e+00, 4.207291173247680760e+00, 5.206522273404195822e+00, 2.683580659860679507e+00, 2.727711769198511327e+00, 3.718719747272129617e+00, 3.422734188269846545e+00, 3.542978741779525986e+00, 2.877638705106116745e+00, 3.112787625967396110e+00, 4.364760036193243486e+00
2.029000000000000000e+03, 2.601251783053933231e+00, 2.700034346974985677e+00, 3.992481502922855086e+00, 5.666098174318032754e+00, 4.197151540506158796e+00, 5.200331074078358817e+00, 2.658795733719505616e+00, 2.770170793770439399e+00, 3.773672086754121135e+00, 3.425212934075019255e+00, 3.362106197282651365e+00, 3.088567510846451203e+00, 3.111923890826860273e+00, 4.284050308273613439e+00
2.030000000000000000e+03, 2.602847275070247601e+00, 2.678445902729424510e+00, 4.026632072110987615e+00, 5.370770557021455005e+00, 4.393811051017282310e+00, 5.201378645627819708e+00, 2.623642418847430768e+00, 2.681464510486998076e+00, 3.690238666133416778e+00, 3.464888427032887463e+00, 3.686328408632163711e+00, 3.187292277411765795e+00, 3.213082675516869990e+00, 4.279800789530557203e+00
2.031000000000000000e+03, 2.616010717622849757e+00, 2.771715197892934412e+00, 3.921247162593507696e+00, 5.078809245368462122e+00, 4.167810093926258119e+00, 5.245237494750520924e+00, 2.593292702699597552e+00, 2.653879863114877669e+00, 3.584183720033253362e+00, 3.609542395513356539e+00, 3.686935028248966795e+00, 2.941500898952434273e+00, 3.153852508388201858e+00, 4.136107863971156817e+00
2.032000000000000000e+03, 2.608965921163334478e+00, 2.756971236532836489e+00, 3.839082010929495414e+00, 5.446124445998262509e+00, 4.395952182730933799e+00, 5.183924418191649508e+00, 2.660275032534291650e+00, 2.707233858969283258e+00, 3.742292103131332315e+00, 3.572867108329484509e+00, 3.748812293418755548e+00, 2.960925274892885373e+00, 3.143180884108863982e+00, 4.072685031553806567e+00
2.033000000000000000e+03, 2.559866130703105647e+00, 2.824136301872179011e+00, 3.877461909285732755e+00, 5.192707505372680110e+00, 4.455661452335280437e+00, 5.413698846142868781e+00, 2.691335458930258717e+00, 2.757086944995735589e+00, 3.833592730377048952e+00, 3.463914057914374567e+00, 3.703486040679792257e+00, 3.189258487763360517e+00, 3.264054581694253443e+00, 4.354185292192980228e+00
2.034000000000000000e+03, 2.543961921787767366e+00, 2.756789142616294708e+00, 4.193330999750072507e+00, 5.432978830312253926e+00, 4.348445751517385105e+00, 5.226718533953765622e+00, 2.702649387817306792e+00, 2.855623626187057340e+00, 3.785387229071136339e+00, 3.549969452439705186e+00, 3.702388393622925378e+00, 2.994521247535833375e+00, 3.186583642420854900e+00, 4.113004036439254385e+00
2.035000000000000000e+03, 2.602207199992266684e+00, 2.746679981046718400e+00, 3.865986201910928788e+00, 5.214747032175680808e+00, 4.213501221643634942e+00, 5.344332194727185126e+00, 2.735671089553354918e+00, 2.741950493659586208e+00, 3.774349886798605613e+00, 3.473207021631052882e+00, 3.539614686282723799e+00, 3.125093956626941782e+00, 3.040361220568668976e+00, 4.109765173246606729e+00
2.036000000000000000e+03, 2.556748125189062026e+00, 2.650968000294462890e+00, 3.862631862726964904e+00, 5.122462121501731858e+00, 4.480229693810699132e+00, 5.402063648050111411e+00, 2.716100351696784543e+00, 2.734269073639550740e+00, 3.735970779998207369e+00, 3.502521327014645802e+00, 3.670475373243385686e+00, 3.183197891849397720e+00, 2.993496313026874578e+00, 4.341945343643926591e+00
2.037000000000000000e+03, 2.585414256134465294e+00, 2.791508555519935708e+00, 4.125160675156511303e+00, 5.309796291201953622e+00, 4.521888669364058089e+00, 5.355907001515635812e+00, 2.720749381207741902e+00, 2.721715531024824664e+00, 3.653293023104224879e+00, 3.604016951461255669e+00, 3.719306052685160680e+00, 3.002230958808834949e+00, 2.888239985322276215e+00, 4.304703617402943827e+00
2.038000000000000000e+03, 2.582855851483696341e+00, 2.748000701502329335e+00, 3.787080936621235683e+00, 5.733118670733380107e+00, 4.358500334448231150e+00, 5.246406039383453290e+00, 2.696141362529776320e+00, 2.874339447529020042e+00, 3.751178950417615621e+00, 3.472199109438085074e+00, 3.797538599073202903e+00, 3.002797098338494841e+00, 3.200668572570741333e+00, 3.908606941874744667e+00
2.039000000000000000e+03, 2.551797652327136845e+00, 2.783047107106010110e+00, 3.977237805464359344e+00, 5.379767959049124748e+00, 4.429062086689750544e+00, 5.369325244276155651e+00, 2.682084648059631871e+00, 2.850710765504620881e+00, 3.902884962110600320e+00, 3.456333921265014375e+00, 3.459304657701241403e+00, 3.052556158280770759e+00, 3.233236547167427588e+00, 3.985859777482154698e+00
2.040000000000000000e+03, 2.541547941516094866e+00, 2.755384612669110833e+00, 4.142940597313204520e+00, 5.266605671792500942e+00, 4.518962968406793124e+00, 5.477733759973052230e+00, 2.726400024540450495e+00, 2.772292727115110544e+00, 3.775714071639598934e+00, 3.339987835391839521e+00, 3.844463646766630216e+00, 2.999577892629160303e+00, 3.198092474901858662e+00, 4.200703799393148863e+00
2.041000000000000000e+03, 2.573053516303373645e+00, 2.720265531867703590e+00, 4.098555127019129607e+00, 5.599697891390924553e+00, 4.308370744566579091e+00, 5.404031418229023664e+00, 2.770084802571729732e+00, 2.750007351215493223e+00, 3.853085556772883447e+00, 3.519380677369468913e+00, 3.835400449486198848e+00, 3.178202657233355044e+00, 3.222226949768538962e+00, 4.428003203946272670e+00
2.042000000000000000e+03, 2.562554429566244796e+00, 2.810960264480649506e+00, 4.016493316279069248e+00, 5.039545094826653582e+00, 4.410294067897302384e+00, 5.367174302652485629e+00, 2.746352014465178737e+00, 2.777035604161248283e+00, 3.801361929689276220e+00, 3.604314477452665866e+00, 3.800092762887998354e+00, 3.132005272191020762e+00, 3.080073243474641398e+00, 4.386453399595816371e+00
2.043000000000000000e+03, 2.617114462441455736e+00, 2.753614007770660788e+00, 3.739874383984729267e+00, 5.239025239547397739e+00, 4.392953845743713615e+00, 5.517163906622921665e+00, 2.758079780969412642e+00, 2.879724935715038292e+00, 3.689846836512019390e+00, 3.552433942479447548e+00, 3.704217709753008236e+00, 2.899501230787336681e+00, 3.278488787392409787e+00, 4.150782917037686204e+00
2.044000000000000000e+03, 2.577354829040202411e+00, 2.669413696492192845e+00, 4.040117086324208628e+00, 5.375118383597883742e+00, 4.410280898933287119e+00, 5.499123729653451420e+00, 2.808019524639432607e+00, 2.814017460426992745e+00, 3.790935216380515005e+00, 3.587291130805483785e+00, 3.853071976216428052e+00, 3.066348016067441673e+00, 3.359753822064062589e+00, 4.234973289504072369e+00
