year, EC-Earth3-Veg, TaiESM1, ACCESS-ESM1-5, CMCC-ESM2, CanESM5, CESM2-WACCM, INM-CM4-8, IPSL-CM6A-LR, GFDL-ESM4, NorESM2-MM, UKESM1-0-LL, NorESM2-LM, CNRM-ESM2-1, INM-CM5-0, MIROC-ES2L, MPI-ESM1-2-LR
2.015000000000000000e+03, 3.714715937941649671e+00, 4.452532941186528426e+00, 1.939125972526614339e+00, 4.927878607753866547e+00, 2.963825035975323097e+00, 3.430952428275020338e+00, 2.584986894794327750e+00, 3.025563205605948269e+00, 3.514224168224309608e+00, 3.182764286532574260e+00, 3.991563444464331756e+00, 2.908291638833677695e+00, 3.034044500909828912e+00, 2.514829867183423495e+00, 2.473378113483660989e+00, 3.780152668063376797e+00
2.016000000000000000e+03, 3.727787633852654992e+00, 4.616700009904704416e+00, 2.000444553481090182e+00, 4.552764122627157128e+00, 3.150092390995259173e+00, 3.427090509722506173e+00, 2.538680821960087819e+00, 2.930650491568395299e+00, 3.394301817546881761e+00, 3.245746583621157200e+00, 3.983034374117818910e+00, 2.995282299284714789e+00, 3.080892636704077425e+00, 2.554169982669087346e+00, 2.463774636764040071e+00, 3.638452360109909023e+00
2.017000000000000000e+03, 3.792609846522574824e+00, 4.846771337023096038e+00, 2.056025420462112674e+00, 4.376649195807609694e+00, 3.029131306243062038e+00, 3.402112381867323343e+00, 2.598229541088405981e+00, 2.722080615171856177e+00, 3.354389370032042184e+00, 3.378089996369518566e+00, 3.992301299490997213e+00, 3.047305181476154701e+00, 3.142711059199298163e+00, 2.550194195082212012e+00, 2.427040877783486650e+00, 3.602106818070708094e+00
2.018000000000000000e+03, 3.760530256589687426e+00, 4.398096618447867812e+00, 2.097722597094673791e+00, 4.087039556966743703e+00, 3.057818564742695422e+00, 3.457849340500435353e+00, 2.577874431827557267e+00, 2.772897625613200745e+00, 3.476016794518936415e+00, 3.442325964464787003e+00, 3.976489640637730805e+00, 3.052989346796899817e+00, 2.968688135243915394e+00, 2.553399683923736951e+00, 2.424013438517767849e+00, 3.656874108793399802e+00
2.019000000000000000e+03, 3.620581856495114881e+00, 3.984592914873649416e+00, 2.055601344593292801e+00, 3.925906221142815511e+00, 3.179598913238212532e+00, 3.381536155866110338e+00, 2.606095446081932110e+00, 2.850240928227053328e+00, 3.463634402201439144e+00, 3.460344418929703014e+00, 3.975363307722699524e+00, 3.100471284228112800e+00, 3.050179012918509347e+00, 2.525598769936487908e+00, 2.464438996648709246e+00, 3.606499260989296296e+00
2.020000000000000000e+03, 3.624859107790053159e+00, 4.299388915558358448e+00, 2.023742408531768344e+00, 3.909683476642757505e+00, 3.245667873371161249e+00, 3.497666366515334690e+00, 2.603975861350039001e+00, 2.921237523149559756e+00, 3.292274148896054520e+00, 3.412761648813812165e+00, 3.977506940950679137e+00, 3.152644064297732918e+00, 2.911477557292060592e+00, 2.564212221071168862e+00, 2.475382664568866353e+00, 3.603852484259726374e+00
2.021000000000000000e+03, 3.610032053024679222e+00, 5.222775201831204583e+00, 1.992987125871021226e+00, 4.318942999661082638e+00, 3.158534509829411974e+00, 3.553623727019195488e+00, 2.597233400637469547e+00, 2.898353262846999456e+00, 3.390668846691379912e+00, 3.367613543864533820e+00, 3.978495692197018929e+00, 3.155442601115610479e+00, 2.809802926092340059e+00, 2.552529549297434031e+00, 2.498187858358787317e+00, 3.644384570417155356e+00
2.022000000000000000e+03, 3.630764222542947728e+00, 5.414954057665585907e+00, 2.096924940757582068e+00, 5.243221318684323506e+00, 3.335662942082661342e+00, 3.465087627475492926e+00, 2.589648976057003171e+00, 2.919486641966076323e+00, 3.389937128676788092e+00, 3.399191785008862876e+00, 3.970404845920650683e+00, 3.120540501619675222e+00, 2.860336229269552444e+00, 2.561497513268777837e+00, 2.492433628761040687e+00, 3.606032686250835173e+00
2.023000000000000000e+03, 3.678915367047511875e+00, 4.866870201821679842e+00, 2.101492752622599713e+00, 5.006957694375497425e+00, 3.157314679246304934e+00, 3.514946670187485189e+00, 2.590452282932864669e+00, 2.954159272870815034e+00, 3.534535804701324668e+00, 3.518568829607947368e+00, 3.974918071951006215e+00, 3.134730298083278299e+00, 2.841398114619308579e+00, 2.535799795415089264e+00, 2.475903642672195648e+00, 3.828370696314024713e+00
2.024000000000000000e+03, 3.774887352046273126e+00, 4.641544278603362272e+00, 2.070112073960812538e+00, 3.786543165209599771e+00, 3.145743433791005739e+00, 3.551186785941917279e+00, 2.575798540207006937e+00, 2.828539385985674226e+00, 3.544114359251242075e+00, 3.567499535649164777e+00, 3.974032987092378288e+00, 3.108703132475222120e+00, 2.967986397535604226e+00, 2.533941052359844015e+00, 2.492190846948074689e+00, 3.975739664391361838e+00
2.025000000000000000e+03, 3.752068206693944585e+00, 5.102532759563927378e+00, 1.995620171973096157e+00, 3.636542746753917310e+00, 3.200047650367311647e+00, 3.521194565637446594e+00, 2.568336317210487607e+00, 2.733289467098709125e+00, 3.474999352229886984e+00, 3.565619101852113726e+00, 3.980953058061796668e+00, 3.161245494038377402e+00, 2.998291013626174450e+00, 2.558705606427613688e+00, 2.506346877239016724e+00, 3.879604259520323062e+00
2.026000000000000000e+03, 3.614052588247169684e+00, 4.772106166279093564e+00, 2.014615353205015946e+00, 4.578500746280865563e+00, 3.212378425641706947e+00, 3.585124408083482983e+00, 2.585353432732304224e+00, 2.924621664437358159e+00, 3.428114732073630933e+00, 3.473383473577299263e+00, 3.968343086140619036e+00, 3.202972834808905045e+00, 2.998209813257251888e+00, 2.534918816602964586e+00, 2.515498009099144117e+00, 3.760982425995847755e+00
