year, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, TaiESM1, EC-Earth3-Veg, NorESM2-MM, GFDL-ESM4, NorESM2-LM, UKESM1-0-LL
2.031000000000000000e+03, 1.302642063269819150e-09, 2.644596112026369150e-09, 1.797113004867502269e-09, 3.401506404578500694e-10, 9.710524861559463160e-10, 2.763556054494841340e-10, 9.313075601967732917e-10, 2.460844516272470347e-10, 3.703711435608053133e-09
2.032000000000000000e+03, 1.157765801608058683e-09, 3.005225629635949277e-09, 1.793546251335158967e-09, 3.392618898089708759e-10, 1.051255441707731436e-09, 2.771701746453717888e-10, 9.588561884183637923e-10, 2.466562170796884977e-10, 3.784957570113187939e-09
2.033000000000000000e+03, 1.122957293291635320e-09, 2.973214035831710044e-09, 1.775405024377132006e-09, 3.399214967975821629e-10, 1.005686343084897406e-09, 2.774463643125681375e-10, 9.529379766071139042e-10, 2.472211988000530503e-10, 3.902263209600873934e-09
2.034000000000000000e+03, 1.015810016545452139e-09, 3.030022497848240408e-09, 1.763926880455628748e-09, 3.378526102849535584e-10, 9.536975016286743245e-10, 2.776295993184211442e-10, 9.934272404434145724e-10, 2.476515279406735942e-10, 3.700359246764832516e-09
2.035000000000000000e+03, 1.063760045069754641e-09, 3.235624530514868808e-09, 1.776106589007461113e-09, 3.374397430506044157e-10, 1.078170442498825266e-09, 2.780490047216054368e-10, 1.006177080381347585e-09, 2.490552516990408191e-10, 3.803888262104411467e-09
2.036000000000000000e+03, 8.825361018153276070e-10, 2.995095597018728132e-09, 1.793744266345305172e-09, 3.377478767023489109e-10, 8.372522989473437952e-10, 2.785182057703557885e-10, 9.989144069252063120e-10, 2.498118328738160851e-10, 3.465816282143236035e-09
2.037000000000000000e+03, 1.141932601772842240e-09, 3.006007682879538599e-09, 1.787339401490183211e-09, 3.396847835153755901e-10, 1.051792556674534766e-09, 2.782610107829631870e-10, 1.032102849953016619e-09, 2.498332336386859034e-10, 3.642713251526425262e-09
2.038000000000000000e+03, 1.064784121143134105e-09, 2.861161878303023435e-09, 1.793063929059632068e-09, 3.410330489291745791e-10, 1.105618479738358641e-09, 2.783345685128484226e-10, 9.707236704056458005e-10, 2.499543594364560497e-10, 3.971106429665592354e-09
2.039000000000000000e+03, 1.029678943476765162e-09, 2.967599739638224338e-09, 1.806094805527268617e-09, 3.419438475387699927e-10, 1.090500123224664796e-09, 2.781200890775429201e-10, 9.843972886078597407e-10, 2.496297212576982281e-10, 3.902287116185768624e-09
2.040000000000000000e+03, 9.554024077225600280e-10, 3.126498335412064608e-09, 1.796543134587183819e-09, 3.417861583255832863e-10, 1.108070054218254782e-09, 2.773611514742021316e-10, 1.006209262763462562e-09, 2.491670792393742864e-10, 3.538523265632612290e-09
2.041000000000000000e+03, 9.257700574341324318e-10, 3.220435340864589049e-09, 1.808518922137875200e-09, 3.394802652098780469e-10, 1.002779508437045969e-09, 2.771331080085095313e-10, 9.905725035559704509e-10, 2.489734500917427394e-10, 3.886515797506094129e-09
2.042000000000000000e+03, 1.172975869232070772e-09, 3.031455901404233936e-09, 1.777822928799659800e-09, 3.402761653935720342e-10, 9.535040966365811929e-10, 2.765626767473905053e-10, 1.074094239268759752e-09, 2.486569850182910913e-10, 3.491494711825844863e-09
2.043000000000000000e+03, 1.094581265294548375e-09, 3.348346877781137721e-09, 1.789158343753951072e-09, 3.384586055901550350e-10, 1.147566793762462003e-09, 2.761832905030970346e-10, 9.835467902790367140e-10, 2.486867574763095232e-10, 3.619818898871057363e-09
2.044000000000000000e+03, 9.602956110887131703e-10, 3.068885910401160591e-09, 1.790898046434362373e-09, 3.336457430679713544e-10, 1.209743186408428873e-09, 2.759572475540419198e-10, 9.961171269059297859e-10, 2.484189029875331475e-10, 3.864712867420228966e-09
2.045000000000000000e+03, 1.189644594207885988e-09, 3.222782413295349932e-09, 1.802031474709111479e-09, 3.305198714630001270e-10, 9.433307313055623565e-10, 2.789620593477542435e-10, 1.077900840681001243e-09, 2.506937350332603960e-10, 3.558363230244851065e-09
2.046000000000000000e+03, 1.123125122092133540e-09, 3.302107635015907713e-09, 1.778856972685087766e-09, 3.320385464304840215e-10, 1.052813211204516457e-09, 2.784603101443051978e-10, 1.098074950395530927e-09, 2.506056842889877390e-10, 3.419057546346492151e-09
2.047000000000000000e+03, 1.087592228351234623e-09, 3.128321548066681508e-09, 1.768922191961322949e-09, 3.320463630428991445e-10, 1.075014599745417393e-09, 2.776123750124695079e-10, 1.066955060494688460e-09, 2.501248740109699341e-10, 3.785074073506559004e-09
2.048000000000000000e+03, 1.025212988379627317e-09, 3.078186133236985649e-09, 1.767760570159927885e-09, 3.310870256300201739e-10, 1.122180032861860743e-09, 2.772880349208839640e-10, 1.031758824209961451e-09, 2.498486227934717760e-10, 4.092093963234080506e-09
2.049000000000000000e+03, 1.079542099984475086e-09, 2.962042629792903929e-09, 1.775651736627718089e-09, 3.308936277414909443e-10, 1.012805305524575831e-09, 2.764996058368090722e-10, 1.039739589723696036e-09, 2.497262648208424333e-10, 4.143871347075384758e-09
2.050000000000000000e+03, 1.032639464983700673e-09, 3.042727091387918450e-09, 1.772840275826148432e-09, 3.385435935499219766e-10, 9.585444660678916362e-10, 2.756434867217498779e-10, 1.087144054220117576e-09, 2.490837670598176089e-10, 3.836390515419591236e-09
2.051000000000000000e+03, 1.072808646716133628e-09, 2.897178256095375211e-09, 1.801505020157600304e-09, 3.348220536750698038e-10, 1.185933092420572806e-09, 2.643490910157848249e-10, 1.048791090290849267e-09, 2.276308133178157847e-10, 3.564973921541916809e-09
2.052000000000000000e+03, 9.195431522375326374e-10, 3.288588834631600633e-09, 1.785516232372569281e-09, 3.344533199540462102e-10, 1.232760319261202157e-09, 2.631133051906481463e-10, 1.013357633157272807e-09, 2.266836632035259681e-10, 3.657837457112999985e-09
2.053000000000000000e+03, 1.086554721236575119e-09, 3.112024439195642233e-09, 1.734677149409798539e-09, 3.330493785206280389e-10, 1.131299884934014372e-09, 2.619151913599120051e-10, 1.040222304829092060e-09, 2.257258264978729924e-10, 3.684139570513504217e-09
2.054000000000000000e+03, 1.228777492319158380e-09, 3.324078297345059432e-09, 1.750459608130195336e-09, 3.330461175162036676e-10, 1.113389449840951830e-09, 2.607886614648984143e-10, 1.060620606124940725e-09, 2.251014975869292945e-10, 3.932234219669492497e-09
