year, CanESM5, CMCC-ESM2, CNRM-ESM2-1, GFDL-ESM4, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, MIROC-ES2L
2.015000000000000000e+03, -9.226188728851648464e-11, -6.097668646460202040e-10, 3.233490665341742053e-10, 1.845287243268568263e-09, 1.626091303904912326e-11, 1.344685368808552092e-09, 6.987275364811477493e-10, -3.868604049535832157e-10
2.016000000000000000e+03, 1.311282221496920019e-09, 3.663763991773327646e-10, 5.841827449400614270e-10, -9.867053114690030694e-10, 4.413928253066318038e-10, -1.128905458788386394e-09, 8.160466997655024619e-11, 5.155038917617829192e-10
2.017000000000000000e+03, 3.399709285145098913e-10, -2.273515310775052742e-09, 5.499965128267620755e-10, -1.911531692080246119e-09, 9.859790365909196604e-10, 1.621612241688579307e-10, -3.879823482088175313e-10, 9.515997216546222994e-10
2.018000000000000000e+03, 5.295145122445297716e-10, 5.485347117150107891e-10, -7.655948745870026199e-10, 2.119825190974979990e-09, 2.059240830884733817e-12, 6.182687036397437690e-10, 1.728793608487972401e-10, 5.750403199856806662e-10
2.019000000000000000e+03, 1.074150128932937028e-09, -2.177126451764452361e-09, 7.940034646997391002e-10, 1.827400236454527241e-09, 1.054668595015520065e-09, -1.328345132739268659e-09, 2.834780896979239887e-10, -3.076448331256953431e-10
2.020000000000000000e+03, 2.397614851311267646e-09, -7.016476972703034022e-10, -6.557159097193413044e-10, -1.945599662379877326e-09, 2.620868574838152010e-09, 2.030532152404408414e-10, 1.398766896859450620e-10, 6.310848044917350032e-10
2.021000000000000000e+03, 9.347287758688946686e-10, -4.839428992999681109e-09, -1.701094228076361024e-11, -1.150030477571475348e-09, -4.059534060354715010e-11, 7.707621714523750755e-10, 1.147384302323946093e-09, 9.580680349012716672e-10
2.022000000000000000e+03, 2.507677937985310312e-09, -1.753062129224911624e-09, -3.163006684692156502e-10, 2.081713299233077073e-09, 5.272903860735600981e-11, -8.945055340483312995e-10, 2.023878952166445138e-10, 8.387828768852765089e-10
2.023000000000000000e+03, 1.560958914161199754e-09, 2.094151797892491457e-09, 2.591611897134087384e-10, 3.587510142139384321e-09, 1.607802707658441364e-09, 1.314643208421962834e-10, 9.411220154235408073e-10, 7.729513404907042981e-10
2.024000000000000000e+03, 7.041945242728498687e-11, 3.351101450575958194e-09, 1.050799443113069335e-09, 2.596505532571780525e-09, 3.943121935039616744e-10, -1.033574326365180654e-09, 2.197712842126234355e-09, 4.397006188175295593e-10
2.025000000000000000e+03, 1.055858957071950856e-09, -4.923917598699103960e-09, 2.968100247002549641e-10, -4.356810947505059455e-10, 5.655651186430640935e-10, 8.063266816774289582e-10, 1.476076329846813929e-09, 7.078506519986226460e-11
2.026000000000000000e+03, 1.564779235709478035e-09, -4.117922818968385765e-09, 5.313657988480740708e-10, 5.240378816632015610e-10, 2.456258799977757098e-09, -1.034828908165694873e-09, 1.275775653356845928e-09, 1.333437052290193444e-09
