year, MPI-ESM1-2-LR, CMCC-CM2-SR5, TaiESM1, CanESM5, CESM2-WACCM, NorESM2-LM, ACCESS-ESM1-5, CNRM-ESM2-1, EC-Earth3-Veg, MIROC-ES2L, GFDL-ESM4, IPSL-CM6A-LR, NorESM2-MM
2.015000000000000000e+03, 8.689998663555554614e+00, 2.137841036207546619e+00, 6.514743150635801117e-01, 3.416509714518038532e+00, 1.223688977827290802e+00, 1.130029038352618365e+00, 1.203981156783347606e+00, 7.786558552944677025e+00, 1.598971407971353731e+00, 6.730129285508633430e+00, 9.978113522949733749e+00, 4.069189274728698180e+00, 1.354593208762927992e+00
2.016000000000000000e+03, 8.763804975113432150e+00, 2.724588926793856114e+00, 4.908872519102805421e-01, 3.238462273296769833e+00, 1.242022315721129644e+00, 1.138178618829489563e+00, 1.223493859009882057e+00, 7.753900558918695118e+00, 1.598114765082723876e+00, 6.719716751556283008e+00, 1.006510358990433041e+01, 4.118090513660118468e+00, 1.296014797095130122e+00
2.017000000000000000e+03, 8.780442973267064133e+00, 2.228174415505580708e+00, 5.752581143074398939e-01, 3.332961400325571422e+00, 1.226340407136962796e+00, 1.157196849782260895e+00, 1.236368852557729214e+00, 7.749722262466501199e+00, 1.633279605555386649e+00, 6.807559279445864142e+00, 1.008915321480799854e+01, 4.131242423345160120e+00, 1.312599398703564901e+00
2.018000000000000000e+03, 8.737802544912250724e+00, 2.181387189028788143e+00, 7.212563408104945006e-01, 3.294351965625771594e+00, 1.257632198269204471e+00, 1.151246248644922643e+00, 1.253504208287235633e+00, 7.800524993483172409e+00, 1.635568672136358925e+00, 6.881157858178785780e+00, 9.986028828848587224e+00, 4.112252909986115590e+00, 1.337967125258311185e+00
2.019000000000000000e+03, 8.749735119404261852e+00, 1.983201616057783001e+00, 6.174333946280323726e-01, 3.179078292481984924e+00, 1.213469875491328676e+00, 1.140063955273216578e+00, 1.261459942654449939e+00, 7.768288346895309004e+00, 1.513889785468717220e+00, 6.783653973691966321e+00, 1.002491330204937547e+01, 4.111310718299724165e+00, 1.364690853646174373e+00
2.020000000000000000e+03, 8.771997194617693339e+00, 2.483922558963006733e+00, 5.113418990325961921e-01, 3.177117099084193708e+00, 1.189366597025395933e+00, 1.137086092481904620e+00, 1.252036425453979085e+00, 7.842024513610125425e+00, 1.485512701577460515e+00, 6.718583773087876132e+00, 1.014907839481763041e+01, 4.107923926421068295e+00, 1.404732641511942104e+00
2.021000000000000000e+03, 8.767443878050954709e+00, 2.843208229751067684e+00, 4.112301919926624749e-01, 3.384076773925581261e+00, 1.256047682403449439e+00, 1.171470447328372355e+00, 1.234185383478423104e+00, 7.868880742881584567e+00, 1.457786202738731607e+00, 6.732558105832455730e+00, 1.012560467179225299e+01, 4.118534036884283545e+00, 1.365561552668414835e+00
2.022000000000000000e+03, 8.783609422987737503e+00, 2.301583065517410986e+00, 6.109261359501907407e-01, 3.234219288602093734e+00, 1.242737508593229734e+00, 1.159376912681489014e+00, 1.248214590968496740e+00, 7.861355473399881610e+00, 1.430339977462456780e+00, 6.792286137341771557e+00, 1.003972420575702706e+01, 4.120349699739636939e+00, 1.323345409272524531e+00
2.023000000000000000e+03, 8.672382765752717049e+00, 1.895457198368454721e+00, 7.385327972461612767e-01, 3.489358896496078000e+00, 1.198863359356106217e+00, 1.169479764882172645e+00, 1.264634229723350378e+00, 7.867650039917519322e+00, 1.478819325287852759e+00, 6.833519688486157762e+00, 1.004020389665820012e+01, 4.116370054162136860e+00, 1.326229044252135170e+00
2.024000000000000000e+03, 8.577154529577738273e+00, 2.319592906021436196e+00, 5.368706641814762204e-01, 3.527094710709753667e+00, 1.251218345507207230e+00, 1.148101887080637429e+00, 1.268331905262214843e+00, 7.805513645989814897e+00, 1.529223674256824150e+00, 6.814922472434632006e+00, 1.018265061666696525e+01, 4.114757763786927036e+00, 1.348594781312575375e+00
