year, CNRM-ESM2-1, NorESM2-MM, NorESM2-LM, GFDL-ESM4, TaiESM1
2.015000000000000000e+03, 1.595557182264109007e-10, 1.149859696981879443e-09, 7.279999885360122480e-10, 4.465900198507867418e-10, 6.128899537640479730e-10
2.016000000000000000e+03, 1.219071061552012541e-10, 6.616920176052314971e-10, 3.555752531363502239e-10, 7.255904948031129262e-10, 4.951015287230542687e-10
2.017000000000000000e+03, 2.502591337144385905e-10, 6.085227864022095693e-10, 3.541344412477533315e-10, 6.168376762217852576e-10, 6.406825830788791704e-10
2.018000000000000000e+03, 1.935252330720381359e-10, 5.590443782437878558e-10, 3.325568092519189925e-10, 4.478171108447570212e-10, 1.274172479348049577e-09
2.019000000000000000e+03, 1.407471242093478834e-10, 7.338938114631060563e-10, 3.468143242847251868e-10, 3.584893759607859225e-10, 6.718600430976374004e-10
2.020000000000000000e+03, 2.108720850090001382e-10, 7.128971636730934974e-10, 2.163866147402560395e-10, 1.207380938346149840e-09, 6.244974701737217470e-10
2.021000000000000000e+03, 2.176698430982719805e-10, 1.536084893289878864e-09, 1.124972819369039908e-09, 4.109780366408795208e-10, 1.807531786143795679e-10
2.022000000000000000e+03, 2.200349709491630002e-10, 1.117537420726420020e-09, 1.157874723937665495e-09, 4.237978888143015091e-10, 4.071559535833596687e-10
2.023000000000000000e+03, 1.530391132768272824e-10, 1.155246677186176002e-09, 1.275691894785887019e-09, 3.568147547652957392e-10, 6.784975218250844787e-10
2.024000000000000000e+03, 1.575789634699255608e-10, 1.068382315288379418e-09, 8.277793599413748687e-10, 3.667479107805586409e-10, 5.205777305645169525e-10
2.025000000000000000e+03, 1.884549370817495937e-10, 1.100913580854051264e-09, 7.857683662137591525e-10, 6.089884366073784423e-10, 2.841782926261227493e-10
2.026000000000000000e+03, 1.586050626158457257e-10, 1.333232842930293929e-09, 1.380640122842527198e-09, 6.954378970729547958e-10, 1.214030678148618957e-09
2.027000000000000000e+03, 1.695000774222512705e-10, 9.202211792070076271e-10, 8.936400654087454138e-10, 3.482592917365887021e-10, 5.273812538062344462e-10
