year, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR
2.015000000000000000e+03, 1.224398209835229674e-09, 3.662050114173993136e-09, 6.400985925330279552e-10, -3.995566597208929492e-09
2.016000000000000000e+03, 7.452437421395366888e-10, 3.525489599851165671e-09, 3.455170404407507915e-10, -3.387545979999951023e-09
2.017000000000000000e+03, 6.944876200692959121e-10, 3.836222510245776895e-09, 3.357031415157897750e-10, -3.179827543621611758e-09
2.018000000000000000e+03, 6.502806601633269109e-10, 3.442679679454178429e-09, 3.165730162425440976e-10, -3.232035123150688057e-09
2.019000000000000000e+03, 6.098005321688166809e-10, 3.460260961716747949e-09, 2.977016879217251995e-10, -3.162166115067419989e-09
2.020000000000000000e+03, 5.746204868979467005e-10, 3.626690736292005743e-09, 2.514279463514749050e-10, -3.269555144556834483e-09
2.021000000000000000e+03, 5.428274861342742488e-10, 3.541792344609062481e-09, 1.997622350491745380e-10, -3.195796245867995554e-09
2.022000000000000000e+03, 5.090660758124421884e-10, 3.506509940466393240e-09, 1.855602924516294385e-10, -3.287853242128314554e-09
2.023000000000000000e+03, 4.791161910932093228e-10, 3.569537841063114810e-09, 1.533571275217204448e-10, -3.240161852071638148e-09
2.024000000000000000e+03, 4.528628513441616238e-10, 3.670056436339466368e-09, 1.312594509802925195e-10, -3.031290209493261803e-09
2.025000000000000000e+03, 4.303086591213521195e-10, 3.854346143798700200e-09, 1.058236372633770102e-10, -2.909039770204368335e-09
2.026000000000000000e+03, 4.518833982494961338e-10, 3.678865593096451087e-09, 1.326993600995479654e-10, -3.345789309810335251e-09
2.027000000000000000e+03, 4.218349380177297112e-10, 3.332930135246430204e-09, 1.316525029422707641e-10, -3.417349195356826095e-09
2.028000000000000000e+03, 4.015118334864587756e-10, 3.338541741347678873e-09, 1.275367305663216510e-10, -3.326636682315045371e-09
2.029000000000000000e+03, 3.857233126476556261e-10, 4.000120276414043876e-09, 1.280852711595431951e-10, -3.255547024987604569e-09
2.030000000000000000e+03, 3.737668881155927058e-10, 3.931447297808802768e-09, 1.267058442020000642e-10, -3.253279207136537454e-09
2.031000000000000000e+03, 3.984195166376017351e-10, 3.703711435608053133e-09, 1.149685037449870355e-10, -2.992526673203150689e-09
2.032000000000000000e+03, 3.925286333891906171e-10, 3.784957570113187939e-09, 1.152794976524887029e-10, -3.353664039759062536e-09
2.033000000000000000e+03, 3.827270334311322408e-10, 3.902263209600873934e-09, 1.168845969244032130e-10, -3.321389991787454173e-09
2.034000000000000000e+03, 3.735000028531895401e-10, 3.700359246764832516e-09, 1.183516044596355273e-10, -3.378740855830545626e-09
2.035000000000000000e+03, 3.696866950357249002e-10, 3.803888262104411467e-09, 1.192739675221770336e-10, -3.586140053156803493e-09
2.036000000000000000e+03, 3.864575784229547276e-10, 3.465816282143236035e-09, 8.443848611343881222e-11, -3.360119706832968134e-09
