year, CESM2-WACCM, TaiESM1, ACCESS-ESM1-5, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, CNRM-ESM2-1, CanESM5, MIROC-ES2L, UKESM1-0-LL, NorESM2-MM, INM-CM5-0, CMCC-CM2-SR5, INM-CM4-8, MPI-ESM1-2-LR, IPSL-CM6A-LR
2.025000000000000000e+03, 9.388788615618555156e+00, 1.477025492212636770e+01, 8.394491272679266203e+00, 9.287961795436011414e+00, 8.870701071744642618e+00, 9.673985112222423410e+00, 9.377163386175721982e+00, 1.100103422659943853e+01, 6.464260441160448956e+00, 1.288004021587176418e+01, 9.960266823655564039e+00, 1.521800797818224460e+01, 1.079299425944132551e+01, 1.545021339361847978e+01, 1.251268869471532064e+01, 7.741638598586472853e+00
2.026000000000000000e+03, 9.878135868172197576e+00, 1.297860538150273157e+01, 8.565775790745160378e+00, 9.198023256200102082e+00, 8.515059196274757269e+00, 9.406141874927490321e+00, 9.469631286192482733e+00, 1.105130739164296294e+01, 6.583423765285430385e+00, 1.248587981892339016e+01, 1.000912916578631595e+01, 1.504504619650126429e+01, 1.073395276444217927e+01, 1.568491309824249491e+01, 1.248421996792738575e+01, 8.548481606547806422e+00
2.027000000000000000e+03, 9.834653463391996198e+00, 1.297521039649480556e+01, 8.678024841059519545e+00, 9.727513639254754096e+00, 8.727868978930196420e+00, 1.001117152357928575e+01, 9.204189645208110448e+00, 1.102781369663046007e+01, 6.470528115833104721e+00, 1.138944267275129896e+01, 1.018620607778853682e+01, 1.496269555003585339e+01, 9.824188520367233224e+00, 1.562420112818170459e+01, 1.207155924242455924e+01, 8.747435977172441923e+00
2.028000000000000000e+03, 9.611613634100788062e+00, 1.384820405077246086e+01, 8.658838930974333437e+00, 9.721970376322103036e+00, 8.778422632511176715e+00, 1.002781580857786281e+01, 9.607320587227656361e+00, 1.110807157440199155e+01, 6.781230922314962939e+00, 1.172122468205848911e+01, 1.022158663577051385e+01, 1.502582801110987987e+01, 1.057478238460778108e+01, 1.551397579605885646e+01, 1.235272415294824100e+01, 8.343510163688957704e+00
2.029000000000000000e+03, 9.721006014199941703e+00, 1.393496525061670788e+01, 8.718341048100313628e+00, 9.437733513917976325e+00, 8.784358069193416441e+00, 9.471885226112604528e+00, 9.622365263771989419e+00, 1.114852534472534273e+01, 6.596050252982849749e+00, 1.330737970935355108e+01, 1.054345680850326161e+01, 1.511987999818988904e+01, 1.132530693160611257e+01, 1.550379501319057773e+01, 1.245786756687105701e+01, 8.292586695098679073e+00
2.030000000000000000e+03, 9.533203570837503804e+00, 1.323274915421773912e+01, 8.755995013471528310e+00, 9.400047707812186459e+00, 8.786266620956777018e+00, 9.419942983195587871e+00, 9.790758228763102977e+00, 1.113875781364660789e+01, 6.543308699453436184e+00, 1.313711434064508587e+01, 1.054708404880739181e+01, 1.502987636098737312e+01, 1.107736200958606076e+01, 1.541772762197618896e+01, 1.237217255431190743e+01, 8.193216904136427559e+00
2.031000000000000000e+03, 1.009698390778376620e+01, 1.379709642766679423e+01, 8.668969616942495904e+00, 9.550466552180258972e+00, 8.950674135334995896e+00, 9.553352099043047829e+00, 9.108860497915394205e+00, 1.119144605525706915e+01, 6.608307762390868589e+00, 1.245037253330807658e+01, 1.003516066861945255e+01, 1.505291743329548559e+01, 1.158404001412055351e+01, 1.555365834616680232e+01, 1.230251519745877964e+01, 7.868321183985328204e+00
2.032000000000000000e+03, 1.003094980744365827e+01, 1.453074551063601483e+01, 8.337589922764310657e+00, 9.658072080678561377e+00, 8.726849494457015410e+00, 9.941117730031507449e+00, 1.001206251943868608e+01, 1.104620109480939227e+01, 6.723530490385402736e+00, 1.288798519917899199e+01, 1.024253126414058990e+01, 1.520603817094179533e+01, 1.155159085464928381e+01, 1.535194473206480481e+01, 1.183675170568537993e+01, 8.504979572821603995e+00
2.033000000000000000e+03, 9.791959416882169975e+00, 1.438314752457952395e+01, 8.581562229077288606e+00, 9.623155289278036761e+00, 8.986768251841688482e+00, 9.484857807393810347e+00, 1.005872753292260491e+01, 1.115348487392744481e+01, 6.718547982638324534e+00, 1.294251417989441677e+01, 1.071717360038251599e+01, 1.515858848308747220e+01, 1.065897424930371074e+01, 1.559832211326776807e+01, 1.292853662177449792e+01, 8.128486974392812314e+00
2.034000000000000000e+03, 9.821340848765492737e+00, 1.374857900294620272e+01, 8.787991447569213577e+00, 9.791003179567818293e+00, 9.035450047758711634e+00, 9.772140158225900208e+00, 9.772001078650925265e+00, 1.128208464242239017e+01, 6.709762011668834347e+00, 1.263986816393815182e+01, 1.068156581547843764e+01, 1.498710789506317376e+01, 1.124124415555110268e+01, 1.541641877066644462e+01, 1.309239464728998747e+01, 8.708547000972622243e+00
2.035000000000000000e+03, 9.825939215358074463e+00, 1.418034212944073325e+01, 8.375290114818412235e+00, 9.494806038210942489e+00, 8.863834338215903941e+00, 1.018220397727598581e+01, 9.617423157849485094e+00, 1.099376106080724647e+01, 6.682960175377536949e+00, 1.283621458592708997e+01, 1.055987490133771978e+01, 1.481120979707821128e+01, 1.186955717130994081e+01, 1.583813293477768980e+01, 1.258653060175572591e+01, 8.992811281083692876e+00
2.036000000000000000e+03, 9.636279972331546873e+00, 1.376493859418579824e+01, 8.906290053355707670e+00, 9.602564943783379547e+00, 8.545575669463783441e+00, 9.508745138477260994e+00, 9.262597940176078737e+00, 1.147419547486023284e+01, 6.902396981493720496e+00, 1.200080910549331925e+01, 1.056720598447782322e+01, 1.523381520874539774e+01, 1.115997766117820511e+01, 1.567042627018471812e+01, 1.251937451674235469e+01, 8.487224318419544389e+00
2.037000000000000000e+03, 1.012615829670262357e+01, 1.340771520038030573e+01, 8.704837655333617974e+00, 9.710584719071841064e+00, 8.429886504806630043e+00, 9.376963800495849100e+00, 9.328920240258188556e+00, 1.145347650626781721e+01, 6.679023531154345328e+00, 1.265162475385723440e+01, 1.023966541261362906e+01, 1.531634328628414110e+01, 1.049703897723458823e+01, 1.566115365625483236e+01, 1.301815328399457883e+01, 8.463868505496481731e+00
2.038000000000000000e+03, 9.833232267691741413e+00, 1.458567089186890975e+01, 8.511569322747483568e+00, 9.626549931013613559e+00, 8.777114427020936915e+00, 9.661465242296316092e+00, 1.002545648774786891e+01, 1.140450248115435627e+01, 6.962119217007838756e+00, 1.361170288151084051e+01, 1.028202029528501349e+01, 1.549076440425844758e+01, 1.146811475570081917e+01, 1.543387771720173340e+01, 1.275786434557633520e+01, 8.079813946852063111e+00
2.039000000000000000e+03, 9.711494912434472937e+00, 1.490354560644696136e+01, 8.524511207782280664e+00, 9.595719848182369560e+00, 9.071117208667091703e+00, 1.004180237234242412e+01, 1.006438519879272064e+01, 1.126899356898642246e+01, 6.898976367905245155e+00, 1.321274192906457223e+01, 1.084208809954180275e+01, 1.514886799222293234e+01, 1.196113829532676043e+01, 1.571544516850496720e+01, 1.286046911918457702e+01, 8.489982864634091797e+00
2.040000000000000000e+03, 9.581654409540613315e+00, 1.498556247040276013e+01, 8.866447106948481149e+00, 9.703295430776488928e+00, 9.248563462181090600e+00, 1.000786443027544870e+01, 9.458181559194269283e+00, 1.151049058173078876e+01, 6.852135407188701954e+00, 1.236836148367144084e+01, 1.067859388905970519e+01, 1.527684126187128655e+01, 1.095845493843628127e+01, 1.607610667374948576e+01, 1.296604761999988753e+01, 8.913500149665614103e+00
2.041000000000000000e+03, 9.673574468027096529e+00, 1.376944393108625775e+01, 8.722276798808859866e+00, 9.362551652397254287e+00, 9.035097625551690825e+00, 9.753480242606993755e+00, 9.910634457397069497e+00, 1.152637648462648734e+01, 6.747720751040765741e+00, 1.343484676499953778e+01, 1.057930966265495165e+01, 1.592341808067347486e+01, 1.206596758975601702e+01, 1.606487244059859165e+01, 1.271751266428714544e+01, 8.680264367553320426e+00
2.042000000000000000e+03, 1.010114819425296773e+01, 1.327822459488584350e+01, 9.028002266026589950e+00, 9.607571358473231626e+00, 8.913548759594016602e+00, 9.580866664613434835e+00, 9.632295988662020747e+00, 1.124526886375581469e+01, 6.899753482344626043e+00, 1.222402289264404196e+01, 1.067751371187024390e+01, 1.564548462981791666e+01, 1.150650336893042613e+01, 1.616762651258500583e+01, 1.288261962816446626e+01, 8.349112792186224041e+00
2.043000000000000000e+03, 9.984917013862810720e+00, 1.415472314206704674e+01, 8.744292817450160626e+00, 9.826774592229881478e+00, 9.059074302402725820e+00, 9.801794026751787570e+00, 9.632830048964867942e+00, 1.146755976489841444e+01, 6.838606586261206211e+00, 1.246259533507231509e+01, 1.036032521405873830e+01, 1.534775841328973200e+01, 1.253235248996475093e+01, 1.601760400818590568e+01, 1.274284894995833639e+01, 9.310372893474145428e+00
