year, ACCESS-ESM1-5, UKESM1-0-LL, GFDL-ESM4, MPI-ESM1-2-LR, CMCC-ESM2, CESM2-WACCM, CNRM-ESM2-1, IPSL-CM6A-LR, MIROC-ES2L
2.015000000000000000e+03, 6.050837284727603186e-10, 1.411816900970976176e-10, 1.402431518409752338e-09, 4.638240166038359112e-09, 5.617566676315307383e-10, 1.937658864593882771e-09, 2.616351867444166304e-10, 3.623924232551874583e-09, 3.491583640457631610e-09
2.016000000000000000e+03, 6.514046189534236357e-10, 7.003990868705962551e-11, 1.374737852888066044e-09, 4.486696319856704577e-09, 5.205419621184684727e-10, 1.675214861737862199e-09, 2.643972615368871358e-10, 3.023831106033271164e-09, 3.413398725721140015e-09
2.017000000000000000e+03, 4.633734335139135977e-10, 4.268686657465025274e-11, 1.443681382546205511e-09, 4.392816387545490820e-09, 4.861982219811720830e-10, 1.828905412192285328e-09, 2.530456947219671454e-10, 2.835480635046733068e-09, 3.360271179971318238e-09
2.018000000000000000e+03, 3.797387068400326613e-10, 3.128997306683767976e-11, 1.406926905520139427e-09, 4.310232461010616715e-09, 4.562321038288745395e-10, 1.606666504416966747e-09, 2.337745077189606844e-10, 2.907722982168825797e-09, 3.304396445730867495e-09
2.019000000000000000e+03, 3.373402493593905148e-10, 2.581685440604473654e-11, 1.411988424804635362e-09, 4.238774600939721898e-09, 4.290626426257564750e-10, 1.540015536982838665e-09, 2.150623646644886871e-10, 2.856049073301179462e-09, 3.280650971500820185e-09
2.020000000000000000e+03, 3.108247384730447923e-10, 2.265929676659541639e-11, 1.437261473026467116e-09, 4.166496237485259512e-09, 4.049373734517519237e-10, 1.804735781740854263e-09, 1.682730256144030427e-10, 2.979108056673033363e-09, 3.236241788353870355e-09
2.021000000000000000e+03, 3.076105332277922045e-10, 2.056017655948901348e-11, 1.429336932388637380e-09, 4.135754034156357869e-09, 3.830833783281534140e-10, 1.749876498689676924e-09, 1.587849617766512324e-10, 2.918425478491399940e-09, 3.243368819513788876e-09
2.022000000000000000e+03, 2.992264602614403673e-10, 1.879593774923636517e-11, 1.414161079338034919e-09, 4.122958381136998856e-09, 3.625664807023637678e-10, 1.401097067278152503e-09, 1.435896268058910734e-10, 3.019677280476864185e-09, 3.232043962438354943e-09
2.023000000000000000e+03, 2.895823011763405346e-10, 1.725552482916539836e-11, 1.370154543965356235e-09, 4.076957214117009567e-09, 3.437040548338267895e-10, 1.512498444577983514e-09, 1.096830621908647658e-10, 2.978880518482379377e-09, 3.217959859353231323e-09
2.024000000000000000e+03, 2.803919183958928638e-10, 1.592255477433498937e-11, 1.417530936738476697e-09, 4.089293002314344001e-09, 3.266785636038304548e-10, 1.498411630450898035e-09, 8.754741814378895434e-11, 2.774304829248707039e-09, 3.211309288903718601e-09
2.025000000000000000e+03, 2.716021457247853868e-10, 1.482442726237529253e-11, 1.437315659416935542e-09, 4.113801471702693941e-09, 3.126700926068934127e-10, 1.343768231369114378e-09, 6.979961255978485351e-11, 2.655560970575203880e-09, 3.263036841403102136e-09
