year, NorESM2-MM, NorESM2-LM, INM-CM4-8, INM-CM5-0, CanESM5, CNRM-ESM2-1, IPSL-CM6A-LR, CMCC-CM2-SR5, TaiESM1, GFDL-ESM4, EC-Earth3-Veg, MIROC-ES2L, MPI-ESM1-2-LR, ACCESS-ESM1-5, UKESM1-0-LL, CESM2-WACCM
2.049000000000000000e+03, 7.318332099671732927e+00, 7.548014856470635081e+00, 9.395427588114623418e+00, 9.461583525541909623e+00, 8.547754089188916993e+00, 6.823598252416202214e+00, 9.615978660013682955e+00, 7.843944095159550045e+00, 7.306451930659707550e+00, 6.283866040579781043e+00, 6.235476156795546565e+00, 6.177624672346462731e+00, 5.866185694617169766e+00, 7.755260589810681893e+00, 6.914908535439357351e+00, 7.090655327466911295e+00
2.050000000000000000e+03, 7.159805463747238363e+00, 7.129708489024020324e+00, 8.870579739891901738e+00, 9.391418846274186549e+00, 8.759843034807126116e+00, 6.712691191304198668e+00, 9.818701677695589325e+00, 7.584186830338931706e+00, 7.619252863504804907e+00, 7.168195967175091887e+00, 7.036706511760360883e+00, 6.326306295419737324e+00, 6.036355571342432391e+00, 8.448264153648857189e+00, 6.343936255554138981e+00, 8.103015939887830754e+00
2.051000000000000000e+03, 8.030254411986962992e+00, 7.234769979904577930e+00, 9.238564078668227708e+00, 9.217450051910804021e+00, 7.612305924187085182e+00, 6.784965341804981342e+00, 1.063421097938180004e+01, 7.122139045215290842e+00, 6.291140146813535061e+00, 6.720977136316915512e+00, 6.891529774793465180e+00, 6.851685332143767404e+00, 5.623163148968775005e+00, 8.272344747102046369e+00, 6.547272655226773708e+00, 6.698027878410433011e+00
2.052000000000000000e+03, 7.725262806867233323e+00, 6.854792949565116977e+00, 9.154301803863328146e+00, 9.180132135955696882e+00, 7.966746583367879886e+00, 6.387772876461301763e+00, 8.757585452735474618e+00, 8.370728709395967471e+00, 7.367838864172880697e+00, 7.377043863806069801e+00, 6.573780551723148236e+00, 6.497372493806486737e+00, 5.909319331380419094e+00, 9.037504287601581865e+00, 6.293050128369942264e+00, 8.582024566290396450e+00
2.053000000000000000e+03, 7.636726095556903182e+00, 6.413534700623435114e+00, 9.324399047246572536e+00, 9.460856460891578834e+00, 8.518329001092221020e+00, 6.880286635505282966e+00, 1.042787950675464081e+01, 8.184795284985137087e+00, 7.597831183950149558e+00, 7.303398463423984133e+00, 6.693892117368888783e+00, 6.467108525963783272e+00, 6.313556710313103615e+00, 7.979645240948353369e+00, 7.079495810648821497e+00, 7.606243796975162397e+00
2.054000000000000000e+03, 8.137982290088576320e+00, 7.816091840840982741e+00, 9.111414786598876603e+00, 9.437524561547395052e+00, 8.581955047864825659e+00, 7.193190802825422558e+00, 9.903235040277209578e+00, 7.728219307115473669e+00, 7.426135328985718154e+00, 6.466789727122924880e+00, 7.049355858115496254e+00, 5.790495524538799010e+00, 6.399947155264019472e+00, 8.792993325368280821e+00, 6.793563343742185623e+00, 6.465675813244065040e+00
2.055000000000000000e+03, 7.836860385890180858e+00, 7.561719542173961806e+00, 9.149749828448394240e+00, 9.791931824245546423e+00, 8.016911488045879608e+00, 7.526540924108393149e+00, 9.994792562438771455e+00, 7.027732519257402721e+00, 7.456754416370033667e+00, 6.631277199314463466e+00, 5.965893553590745135e+00, 6.481219987930338711e+00, 5.562049230620126572e+00, 8.367335536073824187e+00, 6.197804736212578547e+00, 9.367410828443148318e+00
2.056000000000000000e+03, 7.989728150352557456e+00, 6.516401459883153002e+00, 9.068976224253058049e+00, 9.829485604820186850e+00, 8.183716813406498147e+00, 7.175303026418880847e+00, 1.102028843393285662e+01, 8.389143739602195282e+00, 7.440206658304120424e+00, 6.083568075451203150e+00, 6.233971167104640720e+00, 6.855522757528646594e+00, 5.186044079614545055e+00, 8.200038682658597367e+00, 6.573522953781324674e+00, 8.618899614286322119e+00
2.057000000000000000e+03, 6.846438145815057830e+00, 7.414956237576054043e+00, 9.237874066451688293e+00, 9.137136646641170756e+00, 8.048883484136807098e+00, 6.567830572351573970e+00, 1.031220130075159602e+01, 8.022893677290209524e+00, 7.460669650472981473e+00, 7.588733989074180286e+00, 7.124107064073139206e+00, 6.523029277058028264e+00, 6.025384202923541821e+00, 7.698739569124887439e+00, 7.156244908382825898e+00, 6.709555551246022986e+00
2.058000000000000000e+03, 7.989136624656826058e+00, 6.488043477874935405e+00, 9.259951002310607748e+00, 9.361423560764636775e+00, 8.427856093437117835e+00, 6.855267786781905848e+00, 1.030881202045682521e+01, 7.825716931840416279e+00, 5.995394928124062162e+00, 7.628463799449273886e+00, 6.292946545820099935e+00, 6.175270310266877338e+00, 6.112900293184134526e+00, 6.710382538080883918e+00, 6.055537691803212219e+00, 9.279753565484393008e+00
2.059000000000000000e+03, 8.070423177802970471e+00, 6.130729569915298605e+00, 9.011875817983964865e+00, 9.320486178832467772e+00, 8.329867143260749174e+00, 6.183533854779717842e+00, 1.055549095213277688e+01, 6.800878768550310483e+00, 7.438765073239455461e+00, 7.286797794477602785e+00, 5.440266256380568599e+00, 6.385069437054379904e+00, 5.637145433023926344e+00, 8.401641312518021820e+00, 6.608835793300726458e+00, 8.394636278277912922e+00
2.060000000000000000e+03, 7.473041773966762946e+00, 7.367463360762656954e+00, 9.276188526806551593e+00, 9.356663232958391418e+00, 7.997576895561923749e+00, 6.724958446789464084e+00, 9.570058860591691641e+00, 7.383205351742294198e+00, 7.547846335077570856e+00, 6.636417707376071284e+00, 7.247967719331842140e+00, 6.291157633548157158e+00, 4.898135508564833707e+00, 8.030463584152313317e+00, 6.736075916788769824e+00, 6.811960239194101874e+00
2.061000000000000000e+03, 7.500782323009734576e+00, 7.313418739854396833e+00, 9.328910061803341591e+00, 9.233788993329840267e+00, 8.555891093022646388e+00, 6.895056637254358911e+00, 1.001477644437437675e+01, 8.040047733865957724e+00, 6.985022921292142861e+00, 6.819289501720499302e+00, 7.286233905366109376e+00, 6.453811932739742296e+00, 6.044752800000341431e+00, 7.553884934951988761e+00, 6.901991436636076394e+00, 9.509661746208687205e+00
2.062000000000000000e+03, 7.312794271298783677e+00, 6.764062995136485235e+00, 9.076013167966394235e+00, 9.485071329000813734e+00, 8.121449806357789569e+00, 6.378146028383932631e+00, 1.092482243919070406e+01, 7.145605749388959538e+00, 8.068352261055505181e+00, 6.977073369192356544e+00, 6.806030433611641506e+00, 6.067058947468495944e+00, 6.871807902768403586e+00, 7.830156765889357828e+00, 6.490740410818395922e+00, 8.329770793254146710e+00
2.063000000000000000e+03, 6.434592318201626249e+00, 7.668853697444276918e+00, 9.214819132750971420e+00, 9.260869265259604077e+00, 7.890684288286640147e+00, 7.268818169773783033e+00, 1.068863496953188630e+01, 7.255613790025607024e+00, 7.687357179343888625e+00, 7.495258226313511685e+00, 6.774791457234535130e+00, 6.707959249930207868e+00, 6.510475549405367879e+00, 7.566114953934496512e+00, 5.902320770061010080e+00, 7.966694527927358216e+00
2.064000000000000000e+03, 8.464737742924278052e+00, 7.646054657311144531e+00, 8.872889243732757336e+00, 9.585568345047342120e+00, 8.843357254172088844e+00, 6.674014419823778077e+00, 1.022984442101655489e+01, 8.025968441409590426e+00, 6.260316786102813502e+00, 7.135738579227353995e+00, 5.668659020999885279e+00, 6.740484310511769550e+00, 6.045179993061761792e+00, 8.856863716888796034e+00, 6.899935401228172616e+00, 7.126210925095325166e+00
2.065000000000000000e+03, 8.132638918230130187e+00, 6.264581988154193759e+00, 9.044599572234799822e+00, 9.096446133834303893e+00, 8.394616465722890553e+00, 6.565960652356939597e+00, 1.035295682708152576e+01, 6.388800970499930898e+00, 7.779465710558464586e+00, 6.494800986896693828e+00, 6.406129440821509036e+00, 6.718338412117784486e+00, 6.190612096406908904e+00, 8.100040886786414873e+00, 6.861611069937245233e+00, 9.049183765677897284e+00
