year, ACCESS-ESM1-5, EC-Earth3-Veg, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, MPI-ESM1-2-LR, CESM2-WACCM, MIROC-ES2L, CMCC-CM2-SR5
2.031000000000000000e+03, 1.697514640504348638e+00, 8.689949759949892882e-02, 5.323796847532979992e-02, 6.945357938052477975e-02, 1.313652150896095216e-01, 8.554225282358647320e-01, 3.686320628578062530e-01, 1.688598642101567293e+00, 2.250704172107846623e-01
2.032000000000000000e+03, 1.695457845261393093e+00, 8.560583573294443249e-02, 5.128796869234225619e-02, 6.764657426036123355e-02, 1.303873955105800675e-01, 8.540467564148567226e-01, 3.558706524537162408e-01, 1.692547130683173640e+00, 2.219839810781407408e-01
2.033000000000000000e+03, 1.693703227850872572e+00, 8.458847016388909568e-02, 4.979033452566662687e-02, 6.569047095995053653e-02, 1.290497921685734295e-01, 8.523695080397571955e-01, 3.510596796529821262e-01, 1.695006991145431741e+00, 2.194643345944891910e-01
2.034000000000000000e+03, 1.692930115030879756e+00, 8.364467665837793664e-02, 4.848474299857497005e-02, 6.357872193254381077e-02, 1.274775181005819158e-01, 8.524166484013603329e-01, 3.414276939477869921e-01, 1.696938960132132079e+00, 2.174545331946702298e-01
2.035000000000000000e+03, 1.692595159505352997e+00, 8.261860304977293457e-02, 4.730054306338476316e-02, 6.108130570012066524e-02, 1.263645642367638711e-01, 8.548196450829292914e-01, 3.429019496411679357e-01, 1.698272702054493211e+00, 2.162363369121313994e-01
2.036000000000000000e+03, 1.663177362918102808e+00, 8.126099544556300569e-02, 4.622774496922558291e-02, 5.662256410168994142e-02, 1.240063090782336369e-01, 8.562921441453414939e-01, 3.298370390733448843e-01, 1.704429249494984422e+00, 2.154646670764739369e-01
2.037000000000000000e+03, 1.637419583765532982e+00, 8.002182258521635394e-02, 4.768159468772691090e-02, 5.245417508730615408e-02, 1.217892197999488196e-01, 8.563458707372562095e-01, 3.468037067754341507e-01, 1.710353305953943970e+00, 2.146132995136147137e-01
2.038000000000000000e+03, 1.613463708598298352e+00, 7.894530814584840850e-02, 4.959744707062572339e-02, 4.853352361463994513e-02, 1.199434912321687835e-01, 8.577886525884547142e-01, 3.403428245641471062e-01, 1.715448196182460139e+00, 2.137360771141447457e-01
2.039000000000000000e+03, 1.591153775679982951e+00, 7.812721255225822670e-02, 5.150649191960511575e-02, 4.486943387900862307e-02, 1.185844918844732310e-01, 8.599047583813104190e-01, 3.368126032553600546e-01, 1.722063300271645891e+00, 2.129284206398626700e-01
2.040000000000000000e+03, 1.569865071159872949e+00, 7.737332024469330272e-02, 5.224044407352770175e-02, 4.143720499498203258e-02, 1.174693377887709722e-01, 8.589159165042402622e-01, 3.306361870622273602e-01, 1.720234023998679307e+00, 2.122681793498715774e-01
