year, EC-Earth3-Veg, NorESM2-MM, CMCC-ESM2, CNRM-ESM2-1, TaiESM1, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-LM, IPSL-CM6A-LR
2.041000000000000000e+03, 7.216543927417043040e-10, 1.466903752828920603e-09, 2.765089514341400888e-10, 5.968965219005290986e-11, 3.907604077601320781e-10, 3.517100254882434869e-10, 1.700559977254498129e-11, 2.336180081692441349e-09, 1.281769114297166448e-09, 6.131386120000922713e-11
2.042000000000000000e+03, 7.551827243330248457e-10, 1.565130069525521398e-09, 2.734875705076962503e-10, 5.595167357027244194e-11, 3.884437231764589395e-10, 3.512778883659535659e-10, 1.101494866790349199e-11, 2.331679933224443349e-09, 1.228764915282221286e-09, 5.999812123510969473e-11
2.043000000000000000e+03, 7.838714688367000631e-10, 1.548601361927050483e-09, 2.847587350447877015e-10, 5.205161834986418340e-11, 3.918881113542988580e-10, 3.489175220292465988e-10, 8.672943203850538907e-12, 2.334398172825493090e-09, 1.088480174333727112e-09, 5.836390337645315728e-11
2.044000000000000000e+03, 7.955928154855580882e-10, 1.315169902492494007e-09, 2.823708242758887618e-10, 4.703353862572210399e-11, 3.842102246121900485e-10, 3.474794089517712212e-10, 7.614079024277585415e-12, 2.332953065975954628e-09, 1.256615350221415483e-09, 5.799728878215667260e-11
2.045000000000000000e+03, 7.711823734641721547e-10, 1.785427380881461257e-09, 2.751162545838289343e-10, 4.406054560523764219e-11, 3.773073055259496114e-10, 3.475217478998093057e-10, 6.927598850060817797e-12, 2.325895688514683507e-09, 1.331458272860061772e-09, 5.751980559934285320e-11
2.046000000000000000e+03, 7.809845855007857713e-10, 1.577811280400939476e-09, 2.654906071007380621e-10, 4.254912194136898733e-11, 3.817637908847098986e-10, 3.454083722329532568e-10, 6.185614342366692510e-12, 2.316543749864558172e-09, 1.358417215400378009e-09, 6.094618692758779121e-11
2.047000000000000000e+03, 7.737405817808054563e-10, 1.381461230406829142e-09, 2.713359579361730086e-10, 4.058595329209257242e-11, 3.750251687175775258e-10, 3.417655212324734168e-10, 5.717437635982497756e-12, 2.313965156792677041e-09, 1.371731178321972788e-09, 5.965022929573235103e-11
2.048000000000000000e+03, 7.497364193134067090e-10, 1.484656447876074837e-09, 2.819165458521224441e-10, 3.844495681256722940e-11, 3.708361870575978640e-10, 3.405873526111431441e-10, 5.363553754032857124e-12, 2.299577175328992439e-09, 1.146446768381783249e-09, 5.858638153242754460e-11
2.049000000000000000e+03, 7.869639011894490582e-10, 1.533568494951601171e-09, 2.721369341578255996e-10, 3.554801936009149831e-11, 3.750151977163811145e-10, 3.393194061312734636e-10, 5.088082828291060326e-12, 2.304959543706685958e-09, 1.039071804006339453e-09, 5.472554903013561530e-11
2.050000000000000000e+03, 7.266017809582980683e-10, 1.507809745976210630e-09, 2.587945482818505305e-10, 3.167907110922416653e-11, 3.846460743724082468e-10, 3.392648109018724347e-10, 4.826617670859798018e-12, 2.296785163403190854e-09, 1.122925683829803798e-09, 5.407865867287553297e-11
2.051000000000000000e+03, 7.253641634475729754e-10, 1.425111580529855567e-09, 2.686741772139349517e-10, 3.670640127752463875e-11, 3.842159363642978111e-10, 3.336971703536163029e-10, 4.516481999846730965e-12, 2.285133600128289775e-09, 1.330513194977059443e-09, 6.736824038059982406e-11
2.052000000000000000e+03, 7.801416889708515958e-10, 1.619517145654170211e-09, 2.651953636809206736e-10, 3.618435136037308820e-11, 3.855588810686540049e-10, 3.297599592666878789e-10, 4.255871794547453956e-12, 2.260720187441024797e-09, 1.484937707155106646e-09, 6.735899869478484041e-11
2.053000000000000000e+03, 7.719981240024728558e-10, 1.674894493378128836e-09, 2.555706419953104788e-10, 3.398059394915652515e-11, 3.918789755263529934e-10, 3.273339800436350624e-10, 4.038167632552205229e-12, 2.265206870743150015e-09, 1.145959522028219537e-09, 6.880387718561817243e-11
2.054000000000000000e+03, 7.421976744852691461e-10, 1.788182960913920089e-09, 2.584479128701484641e-10, 3.244702156107012229e-11, 3.903143587049761180e-10, 3.257851910192207206e-10, 3.856533051635712978e-12, 2.267153677056504909e-09, 9.862940494014057470e-10, 6.976804583302474467e-11
2.055000000000000000e+03, 7.325587308301639737e-10, 1.505785133982078330e-09, 2.742626035500092705e-10, 3.140735171030943392e-11, 4.139956968378062794e-10, 3.230349894046423568e-10, 3.704240920833759952e-12, 2.283975040663398889e-09, 1.304946175863249149e-09, 7.107347963812676944e-11
2.056000000000000000e+03, 6.879751342927602417e-10, 1.686888861613897454e-09, 2.721199735527936787e-10, 6.183161344937163403e-11, 4.167595005598835689e-10, 3.572541596313954506e-10, 3.540784206158233024e-12, 2.284995258774744764e-09, 1.285684688732899980e-09, 1.048748619236835776e-10
2.057000000000000000e+03, 7.100256300948845960e-10, 1.579592242042177795e-09, 2.699417052144450705e-10, 6.437397124287925741e-11, 4.198854543404864196e-10, 3.601193782995509824e-10, 3.408915850542794470e-12, 2.266238072177148170e-09, 1.168719655920463721e-09, 1.058445148005975104e-10
2.058000000000000000e+03, 7.415769422522643848e-10, 1.442847423216275836e-09, 2.659195985044761412e-10, 6.423259454995670958e-11, 4.199533151080785032e-10, 3.596495083803152541e-10, 3.321609212503599094e-12, 2.276521392145692138e-09, 1.172546481948011670e-09, 1.066455057564064815e-10
2.059000000000000000e+03, 7.327569617960664287e-10, 1.578231327694245383e-09, 2.663036745519134535e-10, 6.548690419600440864e-11, 4.181562434116463958e-10, 3.590614282336604503e-10, 3.206595342024777130e-12, 2.273097827902055302e-09, 1.196666428131059835e-09, 1.066167417853767802e-10
2.060000000000000000e+03, 7.192387392340430172e-10, 1.700563884401217610e-09, 2.742278680542420356e-10, 6.734579067038307802e-11, 4.298534228574985319e-10, 3.599600773318483466e-10, 3.092285867756910082e-12, 2.288655702874947395e-09, 1.152340733208472005e-09, 1.070596423799894833e-10
2.061000000000000000e+03, 6.949419082127869613e-10, 1.547558192554737997e-09, 2.696429054750173352e-10, 4.558244595012915407e-11, 4.330323130294762067e-10, 3.738570522599357364e-10, 3.143833285117053228e-12, 2.299261667400770600e-09, 1.383220801723584406e-09, 1.106354115379518182e-10
2.062000000000000000e+03, 7.504299436593718643e-10, 1.683690115334417334e-09, 2.711429948932326548e-10, 4.669619166701817614e-11, 4.348883384030571374e-10, 3.740172342929366669e-10, 3.174999815674885187e-12, 2.322097991531488937e-09, 1.202480322413449929e-09, 1.276219936332866606e-10
2.063000000000000000e+03, 7.011291033526389785e-10, 1.508838362970912711e-09, 2.691690281797263339e-10, 5.319715065077200764e-11, 4.378727443199801278e-10, 3.793589011549970269e-10, 3.102927586619378398e-12, 2.329737525245076553e-09, 1.225491679919991278e-09, 1.306893752299134273e-10
2.064000000000000000e+03, 6.980982748695094322e-10, 1.466724117037612517e-09, 2.694872447450525413e-10, 8.562214241325981497e-11, 4.376800259985972922e-10, 3.791074021906215842e-10, 2.984899039895658623e-12, 2.321063433885552739e-09, 1.188233921581908505e-09, 1.249104201683883770e-10
