year, CanESM5, TaiESM1, NorESM2-MM, CMCC-CM2-SR5, IPSL-CM6A-LR, NorESM2-LM, MPI-ESM1-2-LR, GFDL-ESM4, EC-Earth3-Veg, CESM2-WACCM, CNRM-ESM2-1, MIROC-ES2L, ACCESS-ESM1-5, UKESM1-0-LL
2.015000000000000000e+03, 4.951984347076739112e+01, 2.895768707300081246e+01, 3.992784177001625778e+01, 7.440962119448369094e+01, 2.332616842393866108e+01, 3.269223848588250547e+01, 2.247168860985245686e+01, 1.459906351660588264e+01, 4.740949639690035866e+01, 3.719817320325627463e+01, 4.351725524546830570e+01, 2.370469876866059877e+01, 1.606957296296089766e+01, 6.549528745150148268e+01
2.016000000000000000e+03, 4.946034682833156637e+01, 2.887470046241016064e+01, 3.988917145035610901e+01, 7.454865206579492565e+01, 2.334799140883055557e+01, 3.267640863502744253e+01, 2.253309559480648616e+01, 1.462917195538045689e+01, 4.740952495720472371e+01, 3.720249718653064264e+01, 4.350520962108944190e+01, 2.372687025342032996e+01, 1.607862573634599457e+01, 6.559084268808807394e+01
2.017000000000000000e+03, 4.937414959764745248e+01, 2.885403312809662779e+01, 3.985059380248848981e+01, 7.469098749691677597e+01, 2.335478621458041815e+01, 3.267707869531828635e+01, 2.253652985332800185e+01, 1.433967877175967232e+01, 4.741992491861189052e+01, 3.719933986393994019e+01, 4.346964590848367038e+01, 2.374908687065737567e+01, 1.609174077273673120e+01, 6.556753601132710685e+01
2.018000000000000000e+03, 4.929972584157506077e+01, 2.892056138100610241e+01, 3.983765163900945083e+01, 7.469439348119901467e+01, 2.334936754115827640e+01, 3.268318584750688416e+01, 2.248513036116944619e+01, 1.437204690915899974e+01, 4.743809213504019340e+01, 3.719893257274147658e+01, 4.347689684152310008e+01, 2.374889209893863296e+01, 1.610966072099705926e+01, 6.570182278783498475e+01
2.019000000000000000e+03, 4.921027463139127178e+01, 2.899752444766521720e+01, 3.984379685849049224e+01, 7.465102629005794199e+01, 2.335196451804100093e+01, 3.267961705875059408e+01, 2.249226483970576496e+01, 1.451351560651146499e+01, 4.740425090400893993e+01, 3.720320132661852597e+01, 4.347037138721983496e+01, 2.375759410172755537e+01, 1.613191493983423186e+01, 6.573808210801364282e+01
2.020000000000000000e+03, 4.912433081335443319e+01, 2.886876601734560666e+01, 3.986368925563150611e+01, 7.467680850346403076e+01, 2.335377361901871751e+01, 3.267588782254019009e+01, 2.249466541812469700e+01, 1.449309105723932767e+01, 4.736356669722464119e+01, 3.716228898835319683e+01, 4.347399398633798029e+01, 2.375721333690299986e+01, 1.613994073008520047e+01, 6.567685756119850282e+01
2.021000000000000000e+03, 4.905319817345883848e+01, 2.870829885684036498e+01, 3.988723504401686171e+01, 7.490116903284192063e+01, 2.335816906630946477e+01, 3.268046723676999221e+01, 2.247166824961772136e+01, 1.417054110074945150e+01, 4.732998243041515707e+01, 3.715264952315783376e+01, 4.351492485165394442e+01, 2.377331405988370250e+01, 1.613411683079831960e+01, 6.582385802043282297e+01
2.022000000000000000e+03, 4.901687994780471769e+01, 2.870864035389219637e+01, 3.986592320596169259e+01, 7.505045195617832121e+01, 2.336692238636096874e+01, 3.270068942931214195e+01, 2.247063104685078727e+01, 1.423086472660716773e+01, 4.728676005590762088e+01, 3.717917596258498492e+01, 4.351133374214760607e+01, 2.378123552461206813e+01, 1.613564044971000655e+01, 6.583159557806420992e+01
2.023000000000000000e+03, 4.895776492217171949e+01, 2.881786890388915268e+01, 3.984017251351237121e+01, 7.489767435108508664e+01, 2.337360792938413567e+01, 3.271195956812964312e+01, 2.234133943680344458e+01, 1.445092593807000547e+01, 4.726106382497033565e+01, 3.715382296059401313e+01, 4.355035622332702161e+01, 2.378025207525195484e+01, 1.615454058983827323e+01, 6.581808291223619278e+01
2.024000000000000000e+03, 4.894594060139094438e+01, 2.886783441670064221e+01, 3.984096786325151385e+01, 7.483210488330387022e+01, 2.337175730002572394e+01, 3.271352591284150435e+01, 2.224150382464704379e+01, 1.459840443442340430e+01, 4.725603794202706354e+01, 3.715221781906036824e+01, 4.353429130418802373e+01, 2.376926972933780391e+01, 1.617128881692832820e+01, 6.579543247930527627e+01
