year, UKESM1-0-LL, MPI-ESM1-2-LR, TaiESM1, CESM2-WACCM, INM-CM5-0, CanESM5, GFDL-ESM4, IPSL-CM6A-LR, INM-CM4-8, EC-Earth3-Veg, CMCC-CM2-SR5, NorESM2-MM, ACCESS-ESM1-5, CNRM-ESM2-1, MIROC-ES2L, NorESM2-LM
2.015000000000000000e+03, 2.122545514446093629e-01, 1.172136254130854149e-01, -3.757693370245677178e-01, 2.554066995633878095e-03, 1.518134499742334609e-01, -1.547417353823212112e-02, 3.094917724903057943e-01, 2.379306306635076140e-01, 5.579144597104022107e-01, 4.056460443237028257e-02, 1.063722155805692932e-01, -2.033941361522009772e-01, -3.460973882815751579e-02, 5.227034316958168586e-02, -6.194939341435128782e-02, 7.620753107738147125e-02
2.016000000000000000e+03, -1.781943399821544483e-01, 1.323245826236976209e-02, 2.526123667245688265e-01, 6.932863145618183009e-02, 4.552962446083205217e-01, 2.199283935043394589e-01, -1.654903196703536583e-01, 1.172329511659145167e-02, 1.295778688864792638e-01, 2.062183859979722922e-01, -3.792380482286440979e-01, 1.973001274265397953e-01, 3.014649988312401857e-02, 9.443488697542901100e-02, 8.254955272874602012e-02, 2.033395771463028523e-01
2.017000000000000000e+03, 2.559666275551638823e-02, -6.376568591080646053e-02, -1.681005023034666257e-01, 1.548656283750112217e-01, 5.184964064554381524e-01, 5.701996025006766250e-02, -3.206022984830255163e-01, -2.346998472800364000e-01, 7.153591371778985630e-01, 2.278438296186331424e-01, 4.812509211012173660e-01, 1.837835564601186522e-01, 1.355452869102150570e-01, 8.890858036384560736e-02, 1.523831975951183415e-01, 1.552370051592638356e-01
2.018000000000000000e+03, 9.759186007918681238e-02, 2.694365642461366700e-02, -3.722227682234121038e-01, 3.234405736992942678e-04, 4.811190624584662512e-01, 8.881023025099167578e-02, 3.555373062474271317e-01, 1.158606486104721972e-01, 3.921373930236017324e-01, -3.654962806465534425e-02, 3.739193386042850009e-01, 2.001963398322851861e-01, 1.928583000014633397e-01, -1.237607000152142200e-01, 9.208334209385320157e-02, 2.099662886037182152e-01
2.019000000000000000e+03, -2.096752942013645482e-01, 4.903574283386569199e-02, 1.353569795240966711e-01, 1.656545510939040067e-01, 1.245212399216689136e-01, 1.801565737458256378e-01, 3.064917618070812089e-01, 1.900721424071988575e-01, 5.822989817908237331e-01, -6.586920211791137403e-01, 5.892334340260440007e-01, 1.347236008214934833e-01, 3.123385846539350127e-02, 1.283530335267129563e-01, -4.926430969714473695e-02, 2.410665595410606821e-01
2.020000000000000000e+03, 3.205134087123517189e-02, 2.310686215938803981e-02, 3.369278203354575951e-01, 4.116542478773107527e-01, 4.410943269522651367e-01, 4.021282175923037161e-01, -3.263161820811712466e-01, 6.863059744490881964e-02, 6.123335926435412579e-01, -2.477268375568082992e-01, -4.134044991339746455e-01, 1.008257181561050958e-01, -1.442685725049601062e-02, -1.059984368909937802e-01, 1.010579535426176234e-01, 3.032484218809344267e-01
2.021000000000000000e+03, 1.216624964968953948e-01, 1.926132174684691556e-01, 3.479964264654131223e-01, -6.376223731290470327e-03, 3.478332108356779195e-01, 1.567728095973477398e-01, -1.928832338812556391e-01, 9.614337637609655929e-02, 5.130364415720527482e-01, -9.873266690969625947e-02, -7.806626368220369594e-01, -1.066390684276999172e-02, -4.904704064055709356e-02, -2.749869669283507359e-03, 1.534189926181112607e-01, 7.607267126397716794e-02
2.022000000000000000e+03, -1.411950150557344241e-01, 3.323436575793806830e-02, -2.829808905464103463e-01, 8.282037847145864648e-03, 5.196061975057675308e-01, 4.205880101827333961e-01, 3.491451757153441471e-01, 2.393733389080801577e-01, 5.020037723496146853e-01, 2.409551607200202672e-02, 4.965269376231697951e-01, 2.666212980152810053e-01, 2.365352384309587219e-01, -5.113094855310685444e-02, 1.343174172493097618e-01, 1.092586979090196253e-01
2.023000000000000000e+03, 2.075124865533014076e-02, 1.577529872243346176e-01, -2.650310048989263922e-01, 2.525341486827936688e-01, 3.438776089794611246e-01, 2.618041949244540589e-01, 6.016975821883302489e-01, 6.420091960827785382e-02, 4.778050002108767402e-01, 3.935120613246649857e-01, 8.308552065897083505e-01, 2.361900457790088725e-01, 1.225923846404092521e-01, 4.189418100925687560e-02, 1.237755688332955600e-01, 3.703933835321431695e-02
2.024000000000000000e+03, -1.631466067201180203e-01, 3.690687180999911443e-01, 2.169808005868149592e-01, 6.193377684180513543e-02, 5.581241187390238723e-02, 1.181075804269525464e-02, 4.354861837841079719e-01, -8.225457527671652114e-02, 3.130448683710840285e-01, 4.687406525937368729e-01, -1.751734175401927218e-01, 1.467170630713743595e-01, 3.888998473845216991e-02, 1.698648710591544597e-01, 7.041089310478568231e-02, 2.324384385636791561e-01
