year, CMCC-CM2-SR5, INM-CM5-0, CESM2-WACCM, EC-Earth3-Veg, NorESM2-MM, MIROC-ES2L, ACCESS-ESM1-5, CanESM5, MPI-ESM1-2-LR, NorESM2-LM, TaiESM1, CNRM-ESM2-1, UKESM1-0-LL, IPSL-CM6A-LR, GFDL-ESM4, INM-CM4-8
2.039000000000000000e+03, 2.839192729393816990e+02, 2.841084657222482974e+02, 2.850706759670950419e+02, 2.826902852574373810e+02, 2.828350541001730107e+02, 2.850975593159687378e+02, 2.836183646963053206e+02, 2.840538817565645786e+02, 2.830514827581711756e+02, 2.837095222126249610e+02, 2.853779923533471674e+02, 2.836896853028434862e+02, 2.835672316045544221e+02, 2.836166617361637918e+02, 2.817278394138987210e+02, 2.835643886374182330e+02
2.040000000000000000e+03, 2.843158045262175051e+02, 2.846503655038205238e+02, 2.840277193174043759e+02, 2.828232495428800917e+02, 2.830972922776310270e+02, 2.846723284504066669e+02, 2.836078986056701865e+02, 2.840251904282304736e+02, 2.831215483273276163e+02, 2.841060562956901663e+02, 2.844803989847216030e+02, 2.835771615953876790e+02, 2.835271909381046385e+02, 2.839300169941187164e+02, 2.813258419421832173e+02, 2.833046519353003418e+02
2.041000000000000000e+03, 2.850587486008531641e+02, 2.835685766237483563e+02, 2.842199525777606368e+02, 2.828496743177389021e+02, 2.835421843423157497e+02, 2.844784618670016130e+02, 2.841151715145938965e+02, 2.853364717284966900e+02, 2.825775219933860285e+02, 2.845186649023377754e+02, 2.847504601073020467e+02, 2.839218209853873987e+02, 2.831771059933259380e+02, 2.832274812361218892e+02, 2.816928466483826696e+02, 2.834678233295051086e+02
2.042000000000000000e+03, 2.850819313519726279e+02, 2.836227684075116713e+02, 2.845903532074825648e+02, 2.813758305725268656e+02, 2.834471265881492741e+02, 2.842788268511342267e+02, 2.832577096353290926e+02, 2.845287372102728227e+02, 2.826644889001659635e+02, 2.847237350653837780e+02, 2.859040387869721940e+02, 2.829509732790119187e+02, 2.827468865962803193e+02, 2.832229604956433491e+02, 2.821666320307311366e+02, 2.837567731411396608e+02
2.043000000000000000e+03, 2.857346891547912264e+02, 2.851398210927894183e+02, 2.842688934640956973e+02, 2.815500975588048505e+02, 2.837970151977967816e+02, 2.848163368670606701e+02, 2.839016388182235460e+02, 2.843476112027814224e+02, 2.832657638448710600e+02, 2.842988058241309659e+02, 2.851101297109281063e+02, 2.840405028508204737e+02, 2.826274030830022070e+02, 2.838186906297618179e+02, 2.822037665766545160e+02, 2.842096640050419296e+02
2.044000000000000000e+03, 2.850868928050195450e+02, 2.840711825880314336e+02, 2.845642207015321219e+02, 2.826891372730340777e+02, 2.835574573199546080e+02, 2.841511696745728273e+02, 2.847937414049000608e+02, 2.849263142395539603e+02, 2.830605675859205235e+02, 2.845289018888402097e+02, 2.849471928195093255e+02, 2.842081316302777054e+02, 2.826212402208655021e+02, 2.830024203144681110e+02, 2.819178661847054173e+02, 2.835502011775192841e+02
2.045000000000000000e+03, 2.856140252460294278e+02, 2.842494080455325047e+02, 2.854078531301686894e+02, 2.817355393157887988e+02, 2.840685814907948838e+02, 2.841218621196298386e+02, 2.835068282191464846e+02, 2.854696573459635829e+02, 2.831928914400569397e+02, 2.844110341995396425e+02, 2.853307596900773433e+02, 2.834022497308803281e+02, 2.841374388998231666e+02, 2.837556218931495664e+02, 2.812044980261276237e+02, 2.841697408999914956e+02
2.046000000000000000e+03, 2.859570423665080057e+02, 2.847356541667234069e+02, 2.854548934567566221e+02, 2.828784468039233388e+02, 2.840522715090509109e+02, 2.849125402144923669e+02, 2.833691641130809558e+02, 2.851257236760640126e+02, 2.826887512689524442e+02, 2.840004205128533954e+02, 2.848079367572665888e+02, 2.826384836319360261e+02, 2.845289312977516261e+02, 2.832766241197107888e+02, 2.819748925152176184e+02, 2.842496174482438960e+02
2.047000000000000000e+03, 2.854818703152382682e+02, 2.836984835341004896e+02, 2.851906941389391932e+02, 2.839386345165013950e+02, 2.842968902088982759e+02, 2.844189248957394511e+02, 2.840303748141059828e+02, 2.854477108478885725e+02, 2.837505459949668420e+02, 2.841992432284649794e+02, 2.862269982497899150e+02, 2.840278185568914751e+02, 2.840761905975228387e+02, 2.842144237303765522e+02, 2.819360196746073939e+02, 2.838002728485557213e+02
2.048000000000000000e+03, 2.856623512329236405e+02, 2.844372810961693858e+02, 2.854345973057593824e+02, 2.828399181617214140e+02, 2.832041377445490866e+02, 2.846232046328356660e+02, 2.846637613099362056e+02, 2.855775232042283847e+02, 2.831075746441922547e+02, 2.852635214306015428e+02, 2.857280855527536119e+02, 2.840594723596776134e+02, 2.838272841450441888e+02, 2.838927780146391342e+02, 2.824640924109615980e+02, 2.845486409515054333e+02
