year, NorESM2-MM, CanESM5, MPI-ESM1-2-LR, GFDL-ESM4, CESM2-WACCM, EC-Earth3-Veg, ACCESS-ESM1-5, NorESM2-LM, UKESM1-0-LL, TaiESM1, INM-CM5-0, IPSL-CM6A-LR, INM-CM4-8, CNRM-ESM2-1, CMCC-CM2-SR5, MIROC-ES2L
2.015000000000000000e+03, 2.034702965308849976e+00, 2.035555753242408450e+00, 2.277724233273438870e+00, 2.611062792462608861e+00, 2.165090450290198643e+00, 2.121264081833766912e+00, 2.664863377597007865e+00, 2.090611199223313843e+00, 2.117173402287683803e+00, 2.151145497328053047e+00, 1.803528637719081784e+00, 2.388049741873615517e+00, 1.739737277979105157e+00, 2.348899091941359707e+00, 2.026560973683574129e+00, 2.551022232865966632e+00
2.016000000000000000e+03, 1.913120466993917912e+00, 2.188531023350726468e+00, 2.494568992302067745e+00, 2.527797186577228405e+00, 2.274419119347729445e+00, 2.152693248069361687e+00, 2.506085955830723577e+00, 1.768321101359862091e+00, 2.124981979387125630e+00, 2.262392697509078232e+00, 1.907173525300218442e+00, 2.381092666740276087e+00, 1.759936995471385268e+00, 2.599431628655547222e+00, 2.024902545095478068e+00, 2.347966736271035249e+00
2.017000000000000000e+03, 2.077684026733210398e+00, 1.908309160595416998e+00, 2.256560601107726605e+00, 2.554201326576730047e+00, 2.105827090529982737e+00, 2.173209151735664424e+00, 2.517729454993754779e+00, 2.067074885122046179e+00, 2.145319576212862955e+00, 2.026537617768571220e+00, 1.730221704921188097e+00, 2.774780090927284615e+00, 1.895311000978048277e+00, 2.374139190979347447e+00, 2.187309075554820570e+00, 2.528683105141120713e+00
2.018000000000000000e+03, 2.121031237660969015e+00, 2.032480740860018731e+00, 2.301548043853350212e+00, 2.334331023383327874e+00, 2.283371027002941034e+00, 2.029297030460313067e+00, 2.465880858802328657e+00, 2.206187656146182174e+00, 2.256036603105391780e+00, 1.918668935499406647e+00, 1.781489940323415677e+00, 2.311473836078158151e+00, 1.961647431520348928e+00, 2.496064835362462375e+00, 2.033686392060589210e+00, 2.694462479797435250e+00
2.019000000000000000e+03, 1.998517205240976535e+00, 2.274596234891227642e+00, 2.215854032156451936e+00, 2.467671913254763982e+00, 2.068800319742537752e+00, 2.433457599264095883e+00, 2.475804810768774455e+00, 1.900472982476536066e+00, 2.098295120875458331e+00, 1.952959149781574810e+00, 1.941096015790957807e+00, 2.668869512299725244e+00, 1.750500345500196619e+00, 2.566420900011605166e+00, 2.107640552265662492e+00, 2.682928703411563642e+00
2.020000000000000000e+03, 1.925982999604605395e+00, 2.211492525379942009e+00, 2.170999384474223248e+00, 2.432465023703112905e+00, 1.845545350481013536e+00, 2.321813927983881864e+00, 2.218734339728309024e+00, 1.872635010669539524e+00, 1.904508670024281258e+00, 2.144826564716308059e+00, 1.888896329428803478e+00, 2.578207274247367398e+00, 1.824716603788029357e+00, 2.589378809196745568e+00, 2.169959763589723423e+00, 2.600211861086929588e+00
2.021000000000000000e+03, 2.049819897573726291e+00, 2.065132156171800570e+00, 2.429928851915106325e+00, 2.458662576412697032e+00, 2.175540839138636162e+00, 2.261599489237898108e+00, 2.503030317252252335e+00, 2.045134721630913255e+00, 1.934443596056866221e+00, 2.293198911022118036e+00, 2.006765795592670099e+00, 2.448983491838078397e+00, 1.693620721241646754e+00, 2.755837271258049892e+00, 2.204042276746875029e+00, 2.450888185841191280e+00
2.022000000000000000e+03, 1.913733744351020949e+00, 2.007016411714102944e+00, 2.212768867678388762e+00, 2.483426885488729585e+00, 2.164062922429973224e+00, 2.268738893787926258e+00, 2.231275780557609334e+00, 1.961450766532711443e+00, 2.199437209536285298e+00, 2.276787209145519686e+00, 2.053852677843529762e+00, 2.544836018037571534e+00, 1.992412705311056076e+00, 2.556044079699633986e+00, 1.978366629822479572e+00, 2.672573970463103965e+00
2.023000000000000000e+03, 1.822801682460861716e+00, 2.140669689770325235e+00, 2.220541934900299719e+00, 2.435269755736614972e+00, 2.215202378106932102e+00, 2.330463937453363332e+00, 2.455738691537289409e+00, 1.882481910731254260e+00, 2.213473760865289908e+00, 2.182726067848898666e+00, 1.849130567070526920e+00, 2.540158537133684558e+00, 2.057390079105529956e+00, 2.289323734265315213e+00, 1.987339382399117893e+00, 2.656087280594936484e+00
2.024000000000000000e+03, 2.098303617330429027e+00, 1.925853183872125562e+00, 2.172738788707361035e+00, 2.605281453335859698e+00, 2.119346482079257576e+00, 2.351401511771292530e+00, 2.541210307612539854e+00, 1.757334888824136021e+00, 2.120762050221447037e+00, 2.085218283035648490e+00, 1.952532600381974071e+00, 2.470834631059656950e+00, 1.915592656694713680e+00, 2.580323195699476102e+00, 2.040439197397398097e+00, 2.555003152391484011e+00
