year, NorESM2-MM, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, GFDL-ESM4, TaiESM1, CESM2-WACCM, MPI-ESM1-2-LR, EC-Earth3-Veg, CNRM-ESM2-1
2.015000000000000000e+03, 2.416762038966139963e-10, 2.416762038966139963e-10, 1.679087707972735025e-10, 7.244675638852692699e-10, 2.130806272917475157e-10, 1.371459892457415992e-10, 2.226291685287044785e-10, 1.371459892457415992e-10, 3.454044809424331014e-10, 5.043112719282562979e-10, 5.795517914659611639e-10, 7.244675638852692699e-10
2.016000000000000000e+03, 2.510263464615388728e-10, 2.510263464615388728e-10, 4.718636403586112757e-10, 3.947145266303288054e-10, 1.375456017214411258e-10, 1.002082465747138493e-10, 1.468035031150025966e-10, 1.002082465747138493e-10, 2.114791162669274708e-10, 4.106019944389347681e-10, 5.378267428233596961e-10, 3.947145266303288054e-10
2.017000000000000000e+03, 2.844737270024898529e-10, 2.844737270024898529e-10, 2.490123418809436581e-10, 7.719617927273787801e-10, 2.482226211868473091e-10, 1.673123317605031828e-10, 2.577158771117827914e-10, 1.673123317605031828e-10, 2.824129474706455919e-10, 3.254127821888617553e-10, 5.745159693543320079e-10, 7.719617927273787801e-10
2.018000000000000000e+03, 2.629868247122853966e-10, 2.629868247122853966e-10, 2.511201239332545395e-10, 3.110006765021828634e-10, 4.869516579717125136e-10, 2.055798031176655102e-10, 4.959842091681664091e-10, 2.055798031176655102e-10, 4.697889266921485484e-10, 3.389875852626467296e-10, 6.376804645733707606e-10, 3.110006765021828634e-10
2.019000000000000000e+03, 2.462398205440102647e-10, 2.462398205440102647e-10, 4.986585962897636472e-10, 3.876306794942938413e-10, 5.649544792707987236e-10, 1.229085618519847946e-10, 5.740333719370088930e-10, 1.229085618519847946e-10, 4.102478929028231807e-10, 4.411914476878216873e-10, 4.242438021632586060e-10, 3.876306794942938413e-10
2.020000000000000000e+03, 3.210834185277752873e-10, 3.210834185277752873e-10, 3.578720438722441691e-10, 3.708192074054942565e-10, 1.408176338494013545e-10, 1.308740679199315586e-10, 1.501357410307352156e-10, 1.308740679199315586e-10, 4.213622951850102333e-10, 5.232734396083716636e-10, 6.278628835381756819e-10, 3.708192074054942565e-10
2.021000000000000000e+03, 2.151265272857867169e-10, 2.151265272857867169e-10, 2.232145657451681776e-10, 3.684176618712632578e-10, 3.680811016700338408e-10, 1.104228673700939822e-10, 3.780556638418658811e-10, 1.104228673700939822e-10, 4.077079970055747649e-10, 4.323178447763286850e-10, 6.138624079394843786e-10, 3.684176618712632578e-10
2.022000000000000000e+03, 2.741478646133567888e-10, 2.741478646133567888e-10, 1.765398824803049704e-10, 6.943022999835311238e-10, 3.422612541737441463e-10, 1.293097334016773657e-10, 3.519582256164325135e-10, 1.293097334016773657e-10, 1.735360366659422397e-10, 4.581467487528518939e-10, 6.819180740986050170e-10, 6.943022999835311238e-10
2.023000000000000000e+03, 4.090061880332250160e-10, 4.090061880332250160e-10, 4.645374473160904359e-10, 6.572662849240237095e-10, 2.338185478596873063e-10, 1.159667912734098467e-10, 2.433052702338747015e-10, 1.159667912734098467e-10, 2.188766034050583340e-10, 4.306148141631543706e-10, 5.305405480441882893e-10, 6.572662849240237095e-10
2.024000000000000000e+03, 2.362984245384737141e-10, 2.362984245384737141e-10, 6.878973993073196489e-10, 5.947130683733019003e-10, 2.619050053222421749e-10, 1.141388062989200433e-10, 2.718246943224874060e-10, 1.141388062989200433e-10, 2.279731640392968498e-10, 4.647104701133792331e-10, 4.797756452512992372e-10, 5.947130683733019003e-10
2.025000000000000000e+03, 2.169470787293708908e-10, 2.169470787293708908e-10, 6.715110243373109796e-10, 3.482963404376013519e-10, 2.264409687276959737e-10, 1.147525727425295493e-10, 2.365045297290553636e-10, 1.147525727425295493e-10, 5.864474402832247259e-10, 7.461627837134986436e-10, 5.231802178468645763e-10, 3.482963404376013519e-10
2.026000000000000000e+03, 3.031208171060402465e-10, 3.031208171060402465e-10, 3.627532177169672262e-10, 6.766931683981348870e-10, 3.401262260898971344e-10, 1.023320111331238900e-10, 3.503153403597100456e-10, 1.023320111331238900e-10, 5.756585314596955613e-10, 4.181989881051056769e-10, 5.438616075392774277e-10, 6.766931683981348870e-10
2.027000000000000000e+03, 3.535406851622380897e-10, 3.535406851622380897e-10, 5.459009718359936742e-10, 5.150105355966047074e-10, 2.474820766087302690e-10, 1.233388456359269775e-10, 2.577384611570587896e-10, 1.233388456359269775e-10, 1.788217619033284668e-10, 5.671128552809468484e-10, 5.560153580431011039e-10, 5.150105355966047074e-10
2.028000000000000000e+03, 2.085613745879209531e-10, 2.085613745879209531e-10, 2.569749578728692916e-10, 5.018291100308034601e-10, 2.844411862074725124e-10, 1.716146911672672316e-10, 2.940132117559321601e-10, 1.716146911672672316e-10, 4.516622093903279677e-10, 4.982339419355660510e-10, 5.348970716173742165e-10, 5.018291100308034601e-10
2.029000000000000000e+03, 2.775333800800185409e-10, 2.775333800800185409e-10, 2.909656251652067148e-10, 5.862505062920968480e-10, 2.225133429536785190e-10, 1.430596878507988180e-10, 2.323572726476255395e-10, 1.430596878507988180e-10, 3.276133451963278857e-10, 3.773776190114285813e-10, 5.728480322842441184e-10, 5.862505062920968480e-10
2.030000000000000000e+03, 4.203011169872875044e-10, 4.203011169872875044e-10, 4.406813803487738476e-10, 4.531676643982731375e-10, 3.992247593219146606e-10, 1.099372418433367948e-10, 4.096593019522224952e-10, 1.099372418433367948e-10, 3.587098371425420097e-10, 4.584313416143022237e-10, 4.362741502105402789e-10, 4.531676643982731375e-10
2.031000000000000000e+03, 5.250020631465692232e-10, 5.250020631465692232e-10, 6.629123038966524941e-10, 5.979793709373220093e-10, 2.139887211281579171e-10, 1.442863863517914565e-10, 2.241081330261994373e-10, 1.442863863517914565e-10, 2.677608924657745842e-10, 3.407870206799321549e-10, 5.265941639038173389e-10, 5.979793709373220093e-10
2.032000000000000000e+03, 2.301549343906221047e-10, 2.301549343906221047e-10, 5.430885041528083295e-10, 7.759055152683855108e-10, 5.147913352134161025e-10, 1.058313286818417886e-10, 5.252307961806758130e-10, 1.058313286818417886e-10, 3.499066462650793066e-10, 5.164272954830391397e-10, 4.526150062603561925e-10, 7.759055152683855108e-10
2.033000000000000000e+03, 7.321306166360382269e-10, 7.321306166360382269e-10, 3.751310255716360272e-10, 4.602956553395500243e-10, 3.678486010661022663e-10, 1.134550788938273467e-10, 3.777749645110660717e-10, 1.134550788938273467e-10, 6.810220140654908137e-10, 3.499933873064169814e-10, 4.620093599871541257e-10, 4.602956553395500243e-10
2.034000000000000000e+03, 2.359386711855041221e-10, 2.359386711855041221e-10, 2.324544732955989369e-10, 3.957886049560164029e-10, 3.476702836652246344e-10, 1.287211046071589060e-10, 3.573831967486012148e-10, 1.287211046071589060e-10, 6.482286146244837596e-10, 6.179570351841787221e-10, 7.250907909992799116e-10, 3.957886049560164029e-10
2.035000000000000000e+03, 3.409746008550320220e-10, 3.409746008550320220e-10, 3.833234081263378576e-10, 5.458926673043069613e-10, 5.849829015771687038e-10, 1.232230724966514196e-10, 5.956047964533112023e-10, 1.232230724966514196e-10, 5.658707613522403362e-10, 6.201017294179953202e-10, 6.660842591034023830e-10, 5.458926673043069613e-10
2.036000000000000000e+03, 3.988367993985634942e-10, 3.988367993985634942e-10, 2.627569082165508481e-10, 7.821590506750698764e-10, 2.664973830304611899e-10, 1.717238924919409835e-10, 2.769906987477198015e-10, 1.717238924919409835e-10, 7.696294781911477184e-10, 5.766069297602921686e-10, 5.420473818811637234e-10, 7.821590506750698764e-10
2.037000000000000000e+03, 4.840820193404941192e-10, 4.840820193404941192e-10, 2.852355606927244311e-10, 1.074883625910434720e-09, 3.918120179788237923e-10, 8.963412965878449258e-11, 4.023713527711844990e-10, 8.963412965878449258e-11, 5.263796732915222368e-10, 6.695999966939288122e-10, 1.001112519863494443e-09, 1.074883625910434720e-09
2.038000000000000000e+03, 2.568242617380646152e-10, 2.568242617380646152e-10, 4.297370513199598629e-10, 5.106384583663647900e-10, 5.875393537419920237e-10, 1.357421972967120990e-10, 5.978116948764168683e-10, 1.357421972967120990e-10, 2.590323990086427754e-10, 7.197302243650585654e-10, 7.666327267510063286e-10, 5.106384583663647900e-10
2.039000000000000000e+03, 2.943788628709682434e-10, 2.943788628709682434e-10, 3.324421697015879153e-10, 4.750553404675857975e-10, 4.851835335643559824e-10, 1.021248809034986140e-10, 4.960339740162850910e-10, 1.021248809034986140e-10, 7.475162485472262712e-10, 5.055482117243078914e-10, 5.179022332911759309e-10, 4.750553404675857975e-10
2.040000000000000000e+03, 3.957015453782700506e-10, 3.957015453782700506e-10, 3.228364553091173648e-10, 5.605860239095718451e-10, 3.564585587738562954e-10, 9.777263777760210061e-11, 3.664590580138806653e-10, 9.777263777760210061e-11, 3.244642921312410505e-10, 5.037518779132885729e-10, 5.640686490634832548e-10, 5.605860239095718451e-10
2.041000000000000000e+03, 5.831842948974686371e-10, 5.831842948974686371e-10, 4.238049132612603035e-10, 9.420218973529242316e-10, 2.142163039377252651e-10, 1.332994393855304403e-10, 2.251045019826932662e-10, 1.332994393855304403e-10, 3.255168823617771867e-10, 4.511650732225237311e-10, 7.850777118662115644e-10, 9.420218973529242316e-10
