year, NorESM2-LM, CESM2-WACCM, NorESM2-MM, CNRM-ESM2-1, UKESM1-0-LL, EC-Earth3-Veg, IPSL-CM6A-LR, INM-CM5-0, CMCC-CM2-SR5, INM-CM4-8, MPI-ESM1-2-LR, TaiESM1, ACCESS-ESM1-5, CanESM5, MIROC-ES2L, GFDL-ESM4
2.029000000000000000e+03, 2.255411857365461792e+00, 2.469185910438986831e+00, 2.225068960330464307e+00, 2.774048489474699508e+00, 2.994275189028587469e+00, 2.637516754220341486e+00, 2.743666367445118937e+00, 2.555232565073629392e+00, 2.361218286240195585e+00, 2.487673491016001215e+00, 3.234283138260042989e+00, 1.290313487781529211e+00, 3.199568963616345130e+00, 4.234449715754434962e+00, 3.978836786013975502e+00, 2.436529005240517964e+00
2.030000000000000000e+03, 2.023466043285410798e+00, 2.239460795011800620e+00, 2.280856194162701467e+00, 3.078037649825429600e+00, 2.920954476997145832e+00, 2.515936233643913056e+00, 2.494278778711476185e+00, 2.816754960140625208e+00, 2.217800269906938571e+00, 2.466476038186685926e+00, 3.212140374685293231e+00, 1.418512248569973266e+00, 2.892774347506303023e+00, 4.449553160744140534e+00, 3.746480075110103058e+00, 2.435330769951035368e+00
2.031000000000000000e+03, 2.005580213360282471e+00, 2.345328781114412120e+00, 2.314742331129316266e+00, 2.950371097839496137e+00, 2.922672735465866811e+00, 2.534742001405917655e+00, 2.360145909516278895e+00, 2.488472321968267398e+00, 1.956413200604919744e+00, 2.186907871576892592e+00, 3.489421540425879709e+00, 1.194652380348775855e+00, 3.005215095533967151e+00, 4.038959993814442484e+00, 4.172044260757957090e+00, 2.573973502564280480e+00
2.032000000000000000e+03, 2.105073407804584296e+00, 2.526849122881031917e+00, 2.417282395076850499e+00, 2.805723272557074210e+00, 2.634202954761731608e+00, 2.626627049932713120e+00, 2.456478768991915196e+00, 2.659835946989110855e+00, 2.326277211723797755e+00, 2.251608600611856748e+00, 3.472824666361308488e+00, 1.325181734012439438e+00, 3.247529885055205234e+00, 4.288340545400219028e+00, 4.047688399131184056e+00, 2.426203433072236848e+00
2.033000000000000000e+03, 2.194158036154049363e+00, 2.352177980732167217e+00, 2.311207728043171983e+00, 3.268949053804067972e+00, 2.660017463193082410e+00, 2.737870043489917915e+00, 2.612450137879714696e+00, 2.566005935815060646e+00, 2.725036789270748994e+00, 2.345611686290661524e+00, 3.687722473842043325e+00, 1.314594249336173304e+00, 3.345400594266395355e+00, 4.174562068742661225e+00, 4.044904765295877169e+00, 2.507601985672642364e+00
2.034000000000000000e+03, 2.365487478058489135e+00, 2.384039921064536660e+00, 2.320595860383909415e+00, 3.160114044601847194e+00, 2.917243107305937500e+00, 2.675490516574479560e+00, 2.537593701127458967e+00, 2.635555915983086361e+00, 2.366911511529001810e+00, 2.209461305155883792e+00, 3.239800961343288321e+00, 1.315874197298120718e+00, 3.123315907886519138e+00, 4.301349870834859423e+00, 4.203361829313290166e+00, 2.327447645350149141e+00
2.035000000000000000e+03, 2.275984209879867048e+00, 2.281411752580778440e+00, 2.354871284427956013e+00, 3.037823744815916882e+00, 3.023556864447972448e+00, 2.311166228352846908e+00, 2.704951690485853266e+00, 2.621567164982487874e+00, 1.903743716318980983e+00, 2.495224040716570002e+00, 3.413395745455092722e+00, 1.282416164118441726e+00, 3.334543185315292479e+00, 4.207103213095523486e+00, 3.829200632513702462e+00, 2.547781233101007903e+00
2.036000000000000000e+03, 2.305889159428177404e+00, 2.287851823894807790e+00, 2.270090524217143635e+00, 3.198409924742506405e+00, 2.806158410285820803e+00, 2.698929071860967976e+00, 2.552092552259682012e+00, 2.916852904021006498e+00, 2.136676568587553948e+00, 2.254660596201831346e+00, 3.270856081662965931e+00, 1.187462960057831474e+00, 3.140308450276673824e+00, 4.214567971903681709e+00, 4.028684712346375818e+00, 2.513402458559371944e+00
2.037000000000000000e+03, 2.274141489700640673e+00, 2.195432211382096543e+00, 2.272770244058824218e+00, 2.703245097522210649e+00, 2.730591004730499094e+00, 2.305741066798652206e+00, 2.395987085194234645e+00, 2.876848148501279123e+00, 2.487876941256569108e+00, 2.532000997428007771e+00, 3.482352410288385158e+00, 1.502072686562709869e+00, 2.977008930867322434e+00, 4.600131385933835304e+00, 4.311674050438967676e+00, 2.562462451284365894e+00
2.038000000000000000e+03, 2.353163206932083806e+00, 2.389345820240407647e+00, 2.335198611886053044e+00, 3.111803899056424516e+00, 3.138294533271926312e+00, 2.626068041071639048e+00, 2.836739275234456237e+00, 2.836485142749107347e+00, 1.891489193335838870e+00, 2.560764104067498437e+00, 3.421572594848195870e+00, 1.259857165573446292e+00, 3.309976995426135105e+00, 4.369900207009109749e+00, 4.060190958100609038e+00, 2.546343928356471498e+00
