year, CESM2-WACCM, CMCC-CM2-SR5, CanESM5, TaiESM1, EC-Earth3-Veg, UKESM1-0-LL, ACCESS-ESM1-5, CNRM-ESM2-1, NorESM2-LM, NorESM2-MM, IPSL-CM6A-LR, MPI-ESM1-2-LR, GFDL-ESM4, MIROC-ES2L
2.015000000000000000e+03, 1.749224274436908866e+00, 2.103016240010807891e+00, 3.758631497617842765e+00, 1.244141575375418807e+00, 1.594936825216650922e+00, 2.427357685789270025e+00, 2.836583523830423115e+00, 2.440700543886156204e+00, 1.685992913431033857e+00, 1.686283555440945214e+00, 1.754877943862543477e+00, 2.853439444633141697e+00, 1.762464518449429196e+00, 3.209193539229788339e+00
2.016000000000000000e+03, 1.914327189691910069e+00, 1.928104751813270790e+00, 3.867603596997769788e+00, 1.122262722793746059e+00, 1.562251787555201998e+00, 2.488865953690491128e+00, 3.067187138749898789e+00, 2.376859179928684007e+00, 1.481406853330652806e+00, 1.781831437981361788e+00, 1.657885078337240303e+00, 3.043389712448649753e+00, 1.775318496960673453e+00, 3.046487570189826855e+00
2.017000000000000000e+03, 1.804867607695653575e+00, 2.033726936122454809e+00, 3.647577533710452347e+00, 1.258243130589382863e+00, 1.690531376730334934e+00, 2.524452564887750938e+00, 2.893207186318877522e+00, 2.385385801855442800e+00, 1.691660401988270168e+00, 1.692622021055817383e+00, 1.753653863285067116e+00, 2.759880561661315124e+00, 1.770972051372692091e+00, 3.129461899437081307e+00
2.018000000000000000e+03, 1.867219284127104029e+00, 1.990466543124528309e+00, 3.676682119690931394e+00, 1.171768091655668309e+00, 1.682115413276216831e+00, 2.640935264214256950e+00, 2.878315430891460025e+00, 2.435299990893640132e+00, 1.745515472162214810e+00, 1.785556802498469153e+00, 1.821576454171174086e+00, 2.877964521264940956e+00, 1.758678257328438521e+00, 3.148688319895386556e+00
2.019000000000000000e+03, 1.676915773325015291e+00, 1.995642675858641635e+00, 3.898606394241960427e+00, 1.105404354775869402e+00, 1.534419328466138710e+00, 2.388251385546899641e+00, 2.959553430917690076e+00, 2.594384258569000234e+00, 1.507252899477126595e+00, 1.736668348019751118e+00, 1.694878329167927022e+00, 2.951873036657749694e+00, 1.775868232021470927e+00, 3.102012434075053893e+00
2.020000000000000000e+03, 1.687581996253050276e+00, 2.005544280930848355e+00, 3.857977069203259113e+00, 1.208790635745859099e+00, 1.661114127076011249e+00, 2.281745842052729678e+00, 2.918293000974043760e+00, 2.607348473624973906e+00, 1.593206784888143046e+00, 1.645103829857058608e+00, 1.753778038397894257e+00, 2.699030344867167752e+00, 1.781142245164094362e+00, 3.084173355451762522e+00
2.021000000000000000e+03, 1.807373617021466039e+00, 1.938133337657300670e+00, 3.882540674961439287e+00, 1.145410409345793301e+00, 1.649496709114298243e+00, 2.350360725455539423e+00, 2.974834626225453249e+00, 2.830288674977809116e+00, 1.641727829081540690e+00, 1.764665897734365885e+00, 1.838386729587578206e+00, 3.157026679588947449e+00, 1.831056552916679570e+00, 3.041678693778353981e+00
2.022000000000000000e+03, 1.854726479016974627e+00, 1.892803355822509914e+00, 3.650845892728011410e+00, 1.136724950566466497e+00, 1.674340696407433882e+00, 2.553687191270127332e+00, 2.920816929558572639e+00, 2.500684336086654191e+00, 1.682278969725162110e+00, 1.737417768689530018e+00, 1.827194776544362131e+00, 2.804408685890646957e+00, 1.774611328697444534e+00, 3.211688211831668749e+00
2.023000000000000000e+03, 1.822253219505189037e+00, 2.156992867451639651e+00, 4.007330995391470196e+00, 1.228344209499474315e+00, 1.583699075899261066e+00, 2.634264048413168524e+00, 2.850086328761167298e+00, 2.512292852260018972e+00, 1.577545718570472655e+00, 1.595038384273468113e+00, 1.852564261701906245e+00, 2.994676146480960810e+00, 1.808245451635372536e+00, 3.184101269789581856e+00
2.024000000000000000e+03, 1.852047231292421436e+00, 2.025026766922183530e+00, 3.880090850278563153e+00, 1.269301689825329982e+00, 1.590031125676965917e+00, 2.569509159246930352e+00, 2.914981966704294880e+00, 2.479635417708835110e+00, 1.587491629718623676e+00, 1.797474463393343491e+00, 1.870717787277347499e+00, 2.936974983606823297e+00, 1.826334269162228630e+00, 3.196312730483316322e+00
