year, MIROC-ES2L, EC-Earth3-Veg, INM-CM5-0, UKESM1-0-LL, CESM2-WACCM, NorESM2-LM, ACCESS-ESM1-5, TaiESM1, MPI-ESM1-2-LR, NorESM2-MM, IPSL-CM6A-LR, CNRM-ESM2-1, CMCC-ESM2, GFDL-ESM4, INM-CM4-8, CanESM5
2.015000000000000000e+03, 1.326437762325300085e+00, 1.732511432513375027e+00, 1.523288597431521119e+00, 2.233694367449167384e+00, 1.697797989195372503e+00, 1.585374849576844714e+00, 1.937367115133971751e+00, 1.348109827833628982e+00, 1.343155281501376086e+00, 1.667105432167458989e+00, 1.415964476908800895e+00, 1.399774217934735443e+00, 1.673448137356168486e+00, 1.525484748407746727e+00, 1.413498929933162840e+00, 1.520716321041306829e+00
2.016000000000000000e+03, 1.239063725997324950e+00, 1.751214708048253410e+00, 1.436990383951553207e+00, 2.242478635234193884e+00, 1.730203815045152194e+00, 1.480053049112040497e+00, 1.865290742416323644e+00, 1.493162468114999530e+00, 1.386328966745907554e+00, 1.621885486745447968e+00, 1.365607494437942382e+00, 1.433783201852597999e+00, 2.012102249169198664e+00, 1.574538504594159782e+00, 1.463487649202724672e+00, 1.535967316947949080e+00
2.017000000000000000e+03, 1.264170684214457552e+00, 1.723651186619371778e+00, 1.506177638352090176e+00, 2.256801849769047408e+00, 1.700735705021771293e+00, 1.572111475588947371e+00, 1.848692773554205804e+00, 1.483610617580805480e+00, 1.400227980422630969e+00, 1.586883036085418253e+00, 1.499426659363629399e+00, 1.342369294534696111e+00, 2.396302419125845073e+00, 1.623782448392268707e+00, 1.494448288477853604e+00, 1.537815372277520742e+00
2.018000000000000000e+03, 1.374572821517566767e+00, 1.744433524081859588e+00, 1.516279130161611199e+00, 2.276739059479573779e+00, 1.797400409667456289e+00, 1.581429981516185412e+00, 1.869708981898155598e+00, 1.351041252232825451e+00, 1.379912516983262227e+00, 1.645985536387967851e+00, 1.408894590395527446e+00, 1.472701942015120391e+00, 2.624301744989293361e+00, 1.522300564580299609e+00, 1.442313361147787854e+00, 1.527109272488621050e+00
2.019000000000000000e+03, 1.270046184127896716e+00, 1.751117505142020692e+00, 1.543976958068598249e+00, 2.235663943925548569e+00, 1.721688572789199956e+00, 1.544580625288542119e+00, 1.833102290573551008e+00, 1.337665410690431100e+00, 1.403297839993346230e+00, 1.642940513392320279e+00, 1.418712459082967392e+00, 1.546702612618793715e+00, 2.215984878261270996e+00, 1.509641245396395437e+00, 1.477413259607313289e+00, 1.531960011815281408e+00
2.020000000000000000e+03, 1.278805379929901953e+00, 1.783589922628468161e+00, 1.507029530518362748e+00, 2.223242194166573871e+00, 1.578248095755265812e+00, 1.496648684792976525e+00, 1.764505149477501922e+00, 1.488775744935731282e+00, 1.334616655310147948e+00, 1.635578741352996079e+00, 1.452508133435948867e+00, 1.513330871946756861e+00, 1.919134075413981844e+00, 1.588121844682325534e+00, 1.512403780188710023e+00, 1.577537198341869784e+00
2.021000000000000000e+03, 1.230107967524787682e+00, 1.829677572056136015e+00, 1.451892705292305630e+00, 2.234110388032223504e+00, 1.619211465413414652e+00, 1.473462313344776620e+00, 1.725605139504937435e+00, 1.597335785755700677e+00, 1.414031264737833693e+00, 1.665026593702338298e+00, 1.463406989080001885e+00, 1.703498843045152755e+00, 2.072734756765327369e+00, 1.664946894616475159e+00, 1.461889171261180342e+00, 1.592068443892796781e+00
2.022000000000000000e+03, 1.303298028276799636e+00, 1.798072055204436692e+00, 1.612851272157141747e+00, 2.235319733684606014e+00, 1.691357169192399201e+00, 1.559286386593478957e+00, 1.710546017032946065e+00, 1.734855822590241292e+00, 1.371470216633496220e+00, 1.606456840223057680e+00, 1.508488414917595888e+00, 1.394773241032904565e+00, 2.218416023236116530e+00, 1.541456151354412274e+00, 1.510188591364116872e+00, 1.583721737241756022e+00
2.023000000000000000e+03, 1.257148174550014375e+00, 1.786810062379399433e+00, 1.524055944583758482e+00, 2.292774495899016163e+00, 1.790818254759166450e+00, 1.577472113474332804e+00, 1.773593489541823276e+00, 1.789075864395204718e+00, 1.408111481385569963e+00, 1.649836740335376639e+00, 1.541683224829586640e+00, 1.418084868411373600e+00, 2.306666292626255998e+00, 1.592723203480989502e+00, 1.503498075640853138e+00, 1.577835779573114161e+00
2.024000000000000000e+03, 1.258640266298011401e+00, 1.831268802174837118e+00, 1.518217606139077303e+00, 2.285681434825249436e+00, 1.813914173918707462e+00, 1.599219188482566611e+00, 1.813538785128625541e+00, 1.643217227353647836e+00, 1.376228076053120253e+00, 1.619875373256244977e+00, 1.542466365280544816e+00, 1.333663050830857122e+00, 2.398367314539673778e+00, 1.622555891604588130e+00, 1.517071286484958037e+00, 1.606000901691986282e+00
2.025000000000000000e+03, 1.336342133271713362e+00, 1.850564180837786621e+00, 1.533152126498227519e+00, 2.306396164764706658e+00, 1.745119318237893680e+00, 1.568112687179112008e+00, 1.803061370551651610e+00, 1.536512278108006724e+00, 1.405927687363779155e+00, 1.599569940871539364e+00, 1.509363079788669015e+00, 1.655517563326720731e+00, 2.173514478598817856e+00, 1.626385929547780718e+00, 1.506671186302592780e+00, 1.559384373515469546e+00
2.026000000000000000e+03, 1.281082056051302764e+00, 1.888522560372907666e+00, 1.541641231671144308e+00, 2.243501868063521254e+00, 1.730424357809718261e+00, 1.572155208200555210e+00, 1.836016724564361935e+00, 1.600501842018001941e+00, 1.416788900243223903e+00, 1.727167440299034684e+00, 1.437765390425422618e+00, 1.419060387250977051e+00, 2.007309714877769657e+00, 1.643574683023481864e+00, 1.517811205234186778e+00, 1.588283165058940183e+00
2.027000000000000000e+03, 1.328156727964685979e+00, 1.806544296309228192e+00, 1.532064109260588225e+00, 2.247623975235387483e+00, 1.739364388918817506e+00, 1.547768272354207664e+00, 1.876884975450316961e+00, 1.587338801271436228e+00, 1.435609778953105931e+00, 1.615680854107914177e+00, 1.499192472201265947e+00, 1.506020556313171443e+00, 2.086670172855175309e+00, 1.663989695387485312e+00, 1.540205410748092252e+00, 1.604102270853562162e+00
2.028000000000000000e+03, 1.299209704301819368e+00, 1.792457045368464286e+00, 1.575354211675241256e+00, 2.277230963446304823e+00, 1.784861794630999254e+00, 1.533000085761278664e+00, 1.917811524618578511e+00, 1.514805045527795269e+00, 1.411808577666668674e+00, 1.609989781022453048e+00, 1.496966073331234659e+00, 1.575197546056122722e+00, 2.559461649533588012e+00, 1.669916266134388039e+00, 1.445849823635216413e+00, 1.671430782941363713e+00
2.029000000000000000e+03, 1.349783890212191473e+00, 1.762510820926623145e+00, 1.518304640560931285e+00, 2.296341172629949856e+00, 1.806650018811444935e+00, 1.620619696603221138e+00, 1.896363475202529347e+00, 1.490363331533607560e+00, 1.404222336673174976e+00, 1.608005563175876951e+00, 1.570881643155761509e+00, 1.416215864068842700e+00, 2.613057573392525867e+00, 1.587165806310062877e+00, 1.520736908537631438e+00, 1.634166708857442973e+00
2.030000000000000000e+03, 1.268321594320991785e+00, 1.827673092190929216e+00, 1.578542253168050635e+00, 2.263786781750027455e+00, 1.810840340166008700e+00, 1.567010183378003463e+00, 1.800353328638264472e+00, 1.528803819808782327e+00, 1.361159239877174798e+00, 1.600004600161265333e+00, 1.488582201482077094e+00, 1.546812386734560674e+00, 2.090853666541323985e+00, 1.631538304437686326e+00, 1.539250022357940839e+00, 1.695622007905212225e+00
2.031000000000000000e+03, 1.381232572755017873e+00, 1.731672417605192082e+00, 1.603512194154927739e+00, 2.307178735634538125e+00, 1.741263229457919337e+00, 1.581121348530536208e+00, 1.787011349100260160e+00, 1.624658760861280138e+00, 1.415503411595756988e+00, 1.673234299734837283e+00, 1.453109601048114818e+00, 1.539234553709780684e+00, 2.251172844886673019e+00, 1.661140177090063341e+00, 1.423115649452382447e+00, 1.627441592319965213e+00
2.032000000000000000e+03, 1.306241507270033964e+00, 1.767800529085193029e+00, 1.545979612241510592e+00, 2.264442922131033153e+00, 1.840073223600186436e+00, 1.566789105917556268e+00, 1.913407470937160459e+00, 1.647275371980804204e+00, 1.443545476572424491e+00, 1.769571285899326663e+00, 1.504881151175931686e+00, 1.474698159909958894e+00, 2.565255733708142305e+00, 1.644360236658838348e+00, 1.428099332508855124e+00, 1.671223226706982423e+00
2.033000000000000000e+03, 1.402589368362457067e+00, 1.786273254465567728e+00, 1.505236232657410023e+00, 2.232163214671745166e+00, 1.774688144535999434e+00, 1.667808785431178276e+00, 1.971233849931447901e+00, 1.585170715235666439e+00, 1.427054458651913604e+00, 1.768446859161912244e+00, 1.518896925224495265e+00, 1.647428708182901769e+00, 2.684949709302828946e+00, 1.664551081732226656e+00, 1.500354292835181624e+00, 1.641063428691269310e+00
2.034000000000000000e+03, 1.422561837699945153e+00, 1.870986046898003741e+00, 1.564557657464085372e+00, 2.303436814451881087e+00, 1.842246126096013015e+00, 1.752936865172622039e+00, 1.944957663406183590e+00, 1.669449540966409185e+00, 1.398966755848440213e+00, 1.651495399579910650e+00, 1.502688837890639117e+00, 1.562322877746093797e+00, 2.164005455461572858e+00, 1.578557124296309011e+00, 1.490690412905961049e+00, 1.648571976383091719e+00
2.035000000000000000e+03, 1.328053128282620454e+00, 1.771309009023212644e+00, 1.610763931007270999e+00, 2.318288652175173770e+00, 1.754115367327956143e+00, 1.693040133041181727e+00, 1.959101575229636794e+00, 1.708567519537890878e+00, 1.395406773661930666e+00, 1.685929617480315779e+00, 1.524999062846572606e+00, 1.526493750974583730e+00, 1.811672731951486037e+00, 1.641039106743439113e+00, 1.540154547591855660e+00, 1.674171517123203667e+00
2.036000000000000000e+03, 1.329192466241224890e+00, 1.757588901541652371e+00, 1.637269995705055381e+00, 2.279985376073809356e+00, 1.712010113146205770e+00, 1.718457964777957203e+00, 1.931340013477234496e+00, 1.559037157180243272e+00, 1.367790179824611263e+00, 1.747662844381049130e+00, 1.509960102761834122e+00, 1.612198785378411658e+00, 2.179861535810911910e+00, 1.675967605520966464e+00, 1.487757803954206537e+00, 1.661468154885553883e+00
2.037000000000000000e+03, 1.421234905452674058e+00, 1.800662505465357111e+00, 1.649190550442042547e+00, 2.254107876604426242e+00, 1.744885520382067901e+00, 1.766026483815688941e+00, 1.829478919891776689e+00, 1.491843991012793857e+00, 1.430010896698978184e+00, 1.696904493791320023e+00, 1.463323489588941984e+00, 1.426249308649370384e+00, 2.553670963746170752e+00, 1.709351523187928601e+00, 1.552603076465382204e+00, 1.764465511379183837e+00
2.038000000000000000e+03, 1.363148531693568533e+00, 1.771893452843039007e+00, 1.578447428650693318e+00, 2.303999658567667641e+00, 1.763359812730316944e+00, 1.742362384814551524e+00, 1.928507098909927109e+00, 1.644110069188583267e+00, 1.384856484381018937e+00, 1.629018691832799570e+00, 1.591760248487309681e+00, 1.584921549144037822e+00, 2.450567292781546058e+00, 1.728707100442381517e+00, 1.538394457953580874e+00, 1.703535717055626231e+00
