year, NorESM2-MM, NorESM2-LM, GFDL-ESM4, TaiESM1, CNRM-ESM2-1
2.086000000000000000e+03, 6.798560639421764252e-10, 9.108310571504618589e-10, 1.189057886974117005e-09, 2.006304765999677723e-10, 1.406148478470399325e-09
2.087000000000000000e+03, 1.033004069196889294e-09, 9.149706153904555584e-10, 6.764536524967780921e-10, 1.319668589117539816e-10, 9.556313738936351374e-10
2.088000000000000000e+03, 6.520712376456644222e-10, 6.377573741636480935e-10, 8.566362544097132819e-10, 2.109184082556089089e-10, 1.112992289445551347e-09
2.089000000000000000e+03, 7.564200629347041731e-10, 4.397702425501061213e-10, 6.833439429461583460e-10, 1.698201727968068609e-10, 7.419870642237283155e-10
2.090000000000000000e+03, 8.115824308023541024e-10, 8.956287536126685729e-10, 1.312109267973322905e-09, 2.668931030903635203e-10, 9.224584211262691974e-10
2.091000000000000000e+03, 7.170087094152408277e-10, 3.676601287265485816e-10, 1.676727487519141874e-09, 2.043067674121922076e-10, 1.801078048072207552e-09
2.092000000000000000e+03, 8.113740637530817586e-10, 1.106214042868053202e-09, 7.055201239835843463e-10, 1.637791803729279884e-10, 7.917225444627612845e-10
2.093000000000000000e+03, 9.468042831591350229e-10, 5.204012449203782265e-10, 8.738147639428017939e-10, 1.961507862429409981e-10, 1.098976766026374417e-09
2.094000000000000000e+03, 6.416198476292838796e-10, 1.018939525867517095e-09, 9.723690819062528796e-10, 2.154977658067126500e-10, 1.029508227746837011e-09
2.095000000000000000e+03, 6.674200636983517283e-10, 7.029216554255686246e-10, 1.312681342670435803e-09, 1.556811339864062376e-10, 1.136121914425642956e-09
2.096000000000000000e+03, 1.471788983638773043e-09, 7.222697666644277199e-10, 9.209926696770352338e-10, 1.585917525264587860e-10, 1.603573524486752175e-09
2.097000000000000000e+03, 9.726353832320125732e-10, 6.968834782341152546e-10, 9.750863264303099030e-10, 2.162859969415798456e-10, 8.543280022050326978e-10
2.098000000000000000e+03, 5.465505957666958252e-10, 6.427657249808763352e-10, 1.650889446395997960e-09, 2.333035182935848429e-10, 1.539006575241913093e-09
2.099000000000000000e+03, 7.817971121463174625e-10, 1.136253672897912806e-09, 1.285097960797800656e-09, 1.544204162107704048e-10, 1.342679295421130494e-09
2.100000000000000000e+03, 7.354545959325017722e-10, 6.167430315782939404e-10, 1.631848272172492532e-09, 1.928846636436591366e-10, 9.501187189681013967e-10
