year, CNRM-ESM2-1, UKESM1-0-LL, IPSL-CM6A-LR, CESM2-WACCM
2.015000000000000000e+03, 1.050625533636744838e-10, 1.124105168599611502e-09, -2.753089677965393229e-09, 3.382815911916750554e-10
2.016000000000000000e+03, 1.014069244767301367e-10, 1.212310894115726224e-09, -2.644421589660074371e-09, 3.363946365068126584e-10
2.017000000000000000e+03, 9.905970553561325922e-11, 1.129833453767777580e-09, -3.053033700902613377e-09, 3.370039888797698876e-10
2.018000000000000000e+03, 9.022669974096131131e-11, 1.300648088485854597e-09, -2.704326223633969890e-09, 3.377614423055832890e-10
2.019000000000000000e+03, 9.208271074464471917e-11, 1.124688631362075165e-09, -2.822514085927180034e-09, 3.378900492721095200e-10
2.020000000000000000e+03, 8.341230356115909898e-11, 1.039518078892608307e-09, -3.011954562990684503e-09, 3.367627823529854701e-10
2.021000000000000000e+03, 7.981079094912323984e-11, 1.075610806387254409e-09, -2.870376036875560886e-09, 3.354930975237450896e-10
2.022000000000000000e+03, 1.041478004202464285e-10, 1.133497257569734116e-09, -3.157144628777829339e-09, 3.383591097200039365e-10
2.023000000000000000e+03, 1.021690211880140736e-10, 1.311820879233837726e-09, -3.294115699336280687e-09, 3.414563940422890938e-10
2.024000000000000000e+03, 1.029777917759069827e-10, 1.254105102483534323e-09, -3.107076216540184844e-09, 3.427360975343415242e-10
2.025000000000000000e+03, 1.047837457157461322e-10, 1.312834612472699035e-09, -3.152076165549910824e-09, 3.442202661007712909e-10
2.026000000000000000e+03, 1.317675052109805337e-10, 9.997773516689156934e-10, -2.754842114171837921e-09, 3.460169308014801460e-10
2.027000000000000000e+03, 1.341458232962136836e-10, 1.077589923385285516e-09, -3.115078839606225387e-09, 3.489992763106452029e-10
2.028000000000000000e+03, 1.374763679101237991e-10, 1.199975887607792344e-09, -3.182923434006574391e-09, 3.525111023869358932e-10
2.029000000000000000e+03, 1.408977469793137358e-10, 1.223334284974744019e-09, -3.256475265334536043e-09, 3.534550540303521401e-10
2.030000000000000000e+03, 1.578393866347459761e-10, 1.207555623351651929e-09, -2.998518885680030142e-09, 3.551710900916216998e-10
2.031000000000000000e+03, 1.498023460896077643e-10, 1.147628533177935231e-09, -2.823563080062191355e-09, 3.507097100886833490e-10
