year, MPI-ESM1-2-LR, GFDL-ESM4, EC-Earth3-Veg
2.015000000000000000e+03, 8.030602326976472259e-10, 4.171676913476410157e-10, 2.746961428762657698e-10
2.016000000000000000e+03, 8.691039383170620650e-10, 4.512938253223194343e-10, 2.813558499154804623e-10
2.017000000000000000e+03, 8.694846526577869502e-10, 4.605301409169778552e-10, 2.842006880116989653e-10
2.018000000000000000e+03, 8.546816648264660511e-10, 4.955398492431237226e-10, 2.760707142226508046e-10
2.019000000000000000e+03, 8.947096119956207128e-10, 4.928681942557215982e-10, 2.868174836741109685e-10
2.020000000000000000e+03, 8.169388323261092579e-10, 4.365381769167129936e-10, 2.908245158445968349e-10
2.021000000000000000e+03, 8.838072693476556004e-10, 4.757686154059766620e-10, 2.984644216304124479e-10
2.022000000000000000e+03, 8.662507593654814942e-10, 5.695328192188081958e-10, 2.820852472645280250e-10
2.023000000000000000e+03, 8.704220532632230818e-10, 4.891442544834961834e-10, 2.808954700557335843e-10
2.024000000000000000e+03, 8.566040408203040788e-10, 5.203980884201467099e-10, 2.891124133091219065e-10
2.025000000000000000e+03, 8.606872525855801739e-10, 4.699979087221718302e-10, 2.996612483363197711e-10
2.026000000000000000e+03, 8.561124044465156835e-10, 5.122565206389086744e-10, 2.930865282343080382e-10
2.027000000000000000e+03, 8.770239957653912016e-10, 5.188096419932354492e-10, 2.831767013692784220e-10
2.028000000000000000e+03, 8.779761655508506713e-10, 5.534837615383004798e-10, 2.890154569997835973e-10
2.029000000000000000e+03, 8.589806851826185419e-10, 5.200738911024790418e-10, 2.655951211860878888e-10
2.030000000000000000e+03, 8.255776176760012272e-10, 5.313846560531846929e-10, 2.817781796338684491e-10
2.031000000000000000e+03, 8.997635631288815362e-10, 4.844071637296083340e-10, 2.588879299596486865e-10
2.032000000000000000e+03, 9.173232518726037249e-10, 5.432245410717564869e-10, 2.862530104397977011e-10
2.033000000000000000e+03, 9.386275103551135655e-10, 5.289511423325941440e-10, 2.701419495588875966e-10
2.034000000000000000e+03, 8.847108862268955339e-10, 5.270191978079954262e-10, 2.862551055503217755e-10
2.035000000000000000e+03, 8.738886562434498195e-10, 5.077877026052051862e-10, 2.780915921090425229e-10
2.036000000000000000e+03, 8.351241202724948595e-10, 5.144289870722775598e-10, 2.620253653681990854e-10
2.037000000000000000e+03, 8.863717017142385909e-10, 5.459841572033169622e-10, 2.791582860749214200e-10
2.038000000000000000e+03, 8.516538651917413989e-10, 5.919362162091765673e-10, 2.608323692717589036e-10
2.039000000000000000e+03, 8.837139550929841801e-10, 5.707163030110701190e-10, 2.937279509402720697e-10
2.040000000000000000e+03, 8.980911699797883466e-10, 6.121256484481130044e-10, 2.921050767016953629e-10
2.041000000000000000e+03, 9.162275535648201463e-10, 5.187287110080248029e-10, 3.016551273947287853e-10
2.042000000000000000e+03, 9.500654160903689636e-10, 5.809293926467630491e-10, 2.676735442500313106e-10
2.043000000000000000e+03, 9.017803976534334473e-10, 6.205386788907058440e-10, 2.521040278755025575e-10
2.044000000000000000e+03, 9.552414265848606219e-10, 5.911955262892381254e-10, 2.916184638747422779e-10
2.045000000000000000e+03, 9.608332391387406204e-10, 6.047324883665020970e-10, 2.431014344325785021e-10
2.046000000000000000e+03, 9.382564340316700791e-10, 6.041036011752858445e-10, 2.801548034809819744e-10
2.047000000000000000e+03, 9.083519362461401563e-10, 6.151850246148617999e-10, 2.646733465059070568e-10
2.048000000000000000e+03, 9.133056669343196207e-10, 6.537283719351163062e-10, 2.855772798718858445e-10
2.049000000000000000e+03, 9.008792306106463154e-10, 5.776158359145839001e-10, 2.472704255429739130e-10
2.050000000000000000e+03, 8.871131403477232358e-10, 5.760202809290683245e-10, 2.915568235783192481e-10
2.051000000000000000e+03, 8.781703284119647012e-10, 6.319587570115326371e-10, 2.780689321673402727e-10
2.052000000000000000e+03, 9.185399984112245963e-10, 6.172683546019321436e-10, 2.943440807618757029e-10
2.053000000000000000e+03, 9.371074543945218021e-10, 6.099875856178212773e-10, 2.739848146434004872e-10
2.054000000000000000e+03, 9.445789973660502906e-10, 6.313559437137459444e-10, 3.089662180305315933e-10
2.055000000000000000e+03, 9.863238095236723627e-10, 6.170817074191799145e-10, 2.641562467866958730e-10
2.056000000000000000e+03, 9.585422629642162188e-10, 6.369422958040987190e-10, 2.936044176448946237e-10
2.057000000000000000e+03, 9.343697530772864896e-10, 5.852005696145051534e-10, 2.801643956590997117e-10
2.058000000000000000e+03, 9.678508008724054400e-10, 6.988023701201566868e-10, 2.910914716967495869e-10
2.059000000000000000e+03, 9.848440012841516989e-10, 7.432947996431467403e-10, 2.819685090067407420e-10
2.060000000000000000e+03, 9.752205442882542173e-10, 6.631825397184152313e-10, 3.061221847533279556e-10
2.061000000000000000e+03, 9.439419695881757624e-10, 7.826370518402258019e-10, 2.818512978385611511e-10
2.062000000000000000e+03, 1.020510457649906474e-09, 7.226947439913773782e-10, 2.859333130332386063e-10
2.063000000000000000e+03, 9.655633501586991046e-10, 7.223730925262516437e-10, 2.734071742663641768e-10
2.064000000000000000e+03, 9.705945554350777493e-10, 7.004193001821696047e-10, 3.090827062960465764e-10
2.065000000000000000e+03, 9.759850358363926818e-10, 6.071078201840685657e-10, 2.919136680882376316e-10
2.066000000000000000e+03, 9.581886251427436145e-10, 7.088305331116488459e-10, 3.189479512529527951e-10
2.067000000000000000e+03, 1.003748164553581963e-09, 6.530482485135409239e-10, 2.758692824247285893e-10
2.068000000000000000e+03, 1.009241890712996047e-09, 6.812556295201553758e-10, 3.102647289747922972e-10
2.069000000000000000e+03, 9.040749956960154943e-10, 6.638355623298690969e-10, 2.795588500104838006e-10
2.070000000000000000e+03, 1.025275412851897920e-09, 6.379947992982826956e-10, 3.224511759314993275e-10
2.071000000000000000e+03, 9.921353679460914116e-10, 6.624199800991845260e-10, 2.807933119575500405e-10
2.072000000000000000e+03, 1.017251945772355141e-09, 7.075567087654428729e-10, 3.177759753705281333e-10
2.073000000000000000e+03, 9.606021240564849408e-10, 7.734922977410268151e-10, 2.970382043829824132e-10
2.074000000000000000e+03, 1.022443616594740230e-09, 8.553331424675647709e-10, 3.227534080082408900e-10
2.075000000000000000e+03, 9.525105273391851024e-10, 7.390769012935539754e-10, 2.990083514274326775e-10
2.076000000000000000e+03, 9.654967320261805000e-10, 7.596906580564013563e-10, 3.146909861918029843e-10
2.077000000000000000e+03, 9.458837024624680719e-10, 6.771305017339257344e-10, 3.064615333486550453e-10
2.078000000000000000e+03, 8.688059329291714395e-10, 7.538434799947504505e-10, 2.767955736201621338e-10
2.079000000000000000e+03, 1.008029966397815740e-09, 7.554604664941019073e-10, 3.054578419295447161e-10
2.080000000000000000e+03, 9.919918732481143689e-10, 8.481143511061313732e-10, 2.998302342049486335e-10
2.081000000000000000e+03, 1.010290095541970952e-09, 7.304745905381540249e-10, 3.144430836430931744e-10
2.082000000000000000e+03, 1.019796908793521944e-09, 7.486971718802261143e-10, 2.984325393266288820e-10
2.083000000000000000e+03, 1.117571106485798938e-09, 9.201385222970414899e-10, 3.158363546263346138e-10
2.084000000000000000e+03, 1.066457828185322804e-09, 7.615997773690170128e-10, 2.979987494628896246e-10
2.085000000000000000e+03, 1.035190957128737761e-09, 7.587387303702245732e-10, 3.460593783491547796e-10
2.086000000000000000e+03, 1.082730346168912322e-09, 8.995512060816763271e-10, 2.646136755255188677e-10
2.087000000000000000e+03, 1.050594861061025737e-09, 8.206416209435110036e-10, 3.186190505363214605e-10
2.088000000000000000e+03, 9.574178308504970136e-10, 7.542045376474475705e-10, 3.350138896101359462e-10
2.089000000000000000e+03, 1.007430011896489551e-09, 9.043003610258574231e-10, 3.306440964823797260e-10
2.090000000000000000e+03, 1.082723082876728440e-09, 9.408908617718181318e-10, 3.216091672740370581e-10
2.091000000000000000e+03, 1.068705942242519968e-09, 8.318067404269705730e-10, 3.156142551740020335e-10
2.092000000000000000e+03, 1.087757055106797689e-09, 7.272731980518824327e-10, 3.205626359141315429e-10
2.093000000000000000e+03, 1.044418911325635205e-09, 9.436412409622571415e-10, 3.257119193378957144e-10
2.094000000000000000e+03, 1.065981509264279486e-09, 9.283853620043649644e-10, 3.262432886403428855e-10
2.095000000000000000e+03, 1.059649108143417229e-09, 1.021947989214863646e-09, 3.178992970686196565e-10
2.096000000000000000e+03, 1.066503063811767554e-09, 8.501054610571930858e-10, 3.063043506919267163e-10
2.097000000000000000e+03, 1.007124076785417021e-09, 9.479312322315520908e-10, 3.316580502694442299e-10
2.098000000000000000e+03, 1.016332047064905289e-09, 9.037091502585914585e-10, 3.056659025396059112e-10
2.099000000000000000e+03, 9.754529803602973506e-10, 9.901723249636688015e-10, 3.204244610724436769e-10
2.100000000000000000e+03, 1.052691938111475079e-09, 9.033509202182287038e-10, 2.983424931877680719e-10
