year, NorESM2-LM, CNRM-ESM2-1, CMCC-CM2-SR5, MIROC-ES2L, EC-Earth3-Veg, IPSL-CM6A-LR, MPI-ESM1-2-LR, TaiESM1, ACCESS-ESM1-5, UKESM1-0-LL, NorESM2-MM, CESM2-WACCM, CanESM5
2.015000000000000000e+03, 4.029566007916506720e+01, 9.575898558774973424e+01, 1.811174467215034554e+02, 7.031489379203711110e+01, 5.906591806963600533e+01, 2.962875741896868576e+01, 3.667780412192140460e+01, 1.651878324158169420e+01, 5.446278758448396928e+01, 1.065795196506952891e+02, 4.113044096268993144e+01, 4.196987848787023978e+01, 7.115278280120254806e+01
2.016000000000000000e+03, 4.032004526562738533e+01, 9.582689537716744610e+01, 1.811246878690842550e+02, 7.041867990837907598e+01, 5.906772819900820792e+01, 2.963251981495292142e+01, 3.662657910878112233e+01, 1.643444123893813114e+01, 5.453476611209713809e+01, 1.066420045043000613e+02, 4.116457211493242596e+01, 4.201058238331454930e+01, 7.114812870659982025e+01
2.017000000000000000e+03, 4.034654348032357518e+01, 9.591204570406587493e+01, 1.810927199512445611e+02, 7.047459651740102515e+01, 5.907048551324819385e+01, 2.963160877307416996e+01, 3.663338403708682023e+01, 1.644545794397100380e+01, 5.453426910002895767e+01, 1.067750421047799421e+02, 4.119678165780180734e+01, 4.201916435812347572e+01, 7.113650925468292030e+01
2.018000000000000000e+03, 4.034591731508729140e+01, 9.597241223674323862e+01, 1.810308060466148845e+02, 7.050329650512389890e+01, 5.906550099738994675e+01, 2.965910460093364165e+01, 3.673486185370070700e+01, 1.650355103004927315e+01, 5.453745525234636915e+01, 1.068117195606757122e+02, 4.122298349490982616e+01, 4.203586478379847335e+01, 7.110780131925146463e+01
2.019000000000000000e+03, 4.033878591921556733e+01, 9.603757456023933514e+01, 1.810191433675825010e+02, 7.059421793175262394e+01, 5.906587742242519568e+01, 2.964772211612790187e+01, 3.676944831189280194e+01, 1.652401917921520180e+01, 5.454689866316150670e+01, 1.069185641569637824e+02, 4.126366574408575616e+01, 4.206312054038556170e+01, 7.111415119924124895e+01
2.020000000000000000e+03, 4.038635024297470011e+01, 9.612407469367953183e+01, 1.810211360770873057e+02, 7.072326014508254843e+01, 5.908791528825831563e+01, 2.966472911865038853e+01, 3.690305004145388779e+01, 1.647356187885449685e+01, 5.454738549325443131e+01, 1.070496184285946413e+02, 4.129280029792170126e+01, 4.213232025014720961e+01, 7.112519375433573998e+01
2.021000000000000000e+03, 4.042583356334016287e+01, 9.617332255877687430e+01, 1.809418737804695070e+02, 7.085272522097218939e+01, 5.910053505550021669e+01, 2.970206994219736885e+01, 3.685853930508353926e+01, 1.646632630374340067e+01, 5.451475285611646626e+01, 1.071639257559790082e+02, 4.133308180558730527e+01, 4.216933692036265313e+01, 7.111359060541654742e+01
2.022000000000000000e+03, 4.042876965500222042e+01, 9.623209592192340267e+01, 1.808698144995818211e+02, 7.098112932606626657e+01, 5.911461459130640606e+01, 2.972188778452136404e+01, 3.691820917320932693e+01, 1.642334077505505263e+01, 5.445065083886399293e+01, 1.072598008491736863e+02, 4.134856241015668843e+01, 4.216562386329180612e+01, 7.108291002082182786e+01
2.023000000000000000e+03, 4.044453837080310166e+01, 9.631896622007536735e+01, 1.809799294216604437e+02, 7.112609178045802594e+01, 5.913103213890474308e+01, 2.974829513466919551e+01, 3.697373124811237943e+01, 1.642598630513061408e+01, 5.440138461053495433e+01, 1.072752542925764772e+02, 4.137593753757476378e+01, 4.216663320221761779e+01, 7.107211320920498565e+01
2.024000000000000000e+03, 4.046067154427687740e+01, 9.639416963570708674e+01, 1.810261562296811917e+02, 7.126790364436384095e+01, 5.916223349844344881e+01, 2.977942442377759846e+01, 3.697327151322105721e+01, 1.651687558203667905e+01, 5.437711091068663904e+01, 1.073722958464443167e+02, 4.143879542355390555e+01, 4.218627664785745424e+01, 7.106737006729788675e+01
2.025000000000000000e+03, 4.048895250804358170e+01, 9.642394970190029824e+01, 1.809779912308671896e+02, 7.133007450241051117e+01, 5.919524774342023932e+01, 2.980326030429671746e+01, 3.696323140026209586e+01, 1.655661019111273191e+01, 5.436924734009336646e+01, 1.074643361992019663e+02, 4.146702479419139564e+01, 4.222934781815764893e+01, 7.104724031972079956e+01
2.026000000000000000e+03, 4.053372988248699471e+01, 9.651170540219618488e+01, 1.809371166796856016e+02, 7.141300290670807271e+01, 5.923505651853334797e+01, 2.983940484997561526e+01, 3.705247022927095202e+01, 1.657228279872273902e+01, 5.439494337097090693e+01, 1.075383952877319729e+02, 4.149285958737304725e+01, 4.229339338728566844e+01, 7.105481190698465355e+01
2.027000000000000000e+03, 4.055872982550165773e+01, 9.661356468396191133e+01, 1.808729242790238629e+02, 7.147424236790870111e+01, 5.926984450455748288e+01, 2.983717248596608229e+01, 3.707379588081179378e+01, 1.663084126322381096e+01, 5.444782689694387301e+01, 1.074947906142161855e+02, 4.155432690042221822e+01, 4.233862684473736948e+01, 7.108402308165635475e+01
2.028000000000000000e+03, 4.059321997063874932e+01, 9.667806475503971342e+01, 1.808702854477240862e+02, 7.152918444616959448e+01, 5.929165848693320839e+01, 2.986798673285638372e+01, 3.708151331791565042e+01, 1.666567462103285280e+01, 5.450753139712936957e+01, 1.076140098366351907e+02, 4.162983835834575075e+01, 4.234547254526810178e+01, 7.110250578803477595e+01
2.029000000000000000e+03, 4.059777869381410653e+01, 9.676485073674510318e+01, 1.808905116600083716e+02, 7.159658727964240654e+01, 5.932691219042855124e+01, 2.991116346984190244e+01, 3.708889580064109737e+01, 1.673895955526193546e+01, 5.456635605581359982e+01, 1.077428782181152513e+02, 4.168371848678663127e+01, 4.236089605778392553e+01, 7.108269642458411397e+01
2.030000000000000000e+03, 4.060972978709050096e+01, 9.688269657135613500e+01, 1.807944549815388768e+02, 7.166917963487777854e+01, 5.935251742316241064e+01, 2.994976553489663118e+01, 3.705013365642439993e+01, 1.671559279423547295e+01, 5.458418913242681469e+01, 1.078250234584312466e+02, 4.170537936412139146e+01, 4.240452023014423588e+01, 7.110251123290272801e+01
2.031000000000000000e+03, 4.064523281140362343e+01, 9.697247920712365499e+01, 1.808424739417758644e+02, 7.173310811539252541e+01, 5.939447667025908828e+01, 2.998396831733511192e+01, 3.705155669085776537e+01, 1.670479213667506357e+01, 5.456072852928942751e+01, 1.078514373388231320e+02, 4.171593221816493724e+01, 4.245272508295039415e+01, 7.112712704689133147e+01
2.032000000000000000e+03, 4.068154294496714840e+01, 9.705628707707820979e+01, 1.808981120975103067e+02, 7.178673372680839293e+01, 5.943237138705215727e+01, 2.999914981169356665e+01, 3.708598436728330228e+01, 1.674541226428177154e+01, 5.456209171170517891e+01, 1.079252570580302262e+02, 4.173309742934647915e+01, 4.246760048864408077e+01, 7.115576421643294225e+01
2.033000000000000000e+03, 4.070298541966197803e+01, 9.710567071743575696e+01, 1.808482986047100667e+02, 7.184547723592875457e+01, 5.947007396741000917e+01, 3.001483892500573347e+01, 3.706435464209922515e+01, 1.677425488919996965e+01, 5.459267335128805598e+01, 1.080441858475102634e+02, 4.175365285415768568e+01, 4.249251108488415696e+01, 7.117872173181821438e+01
